% function evaluation | noise-free fitness - Fopt (-6.211100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.980360488e+013 +2.980360488e+013 +2.980360488e+013 +2.980360488e+013 +5.5979e+000 +7.8541e+000 +1.1916e+001 +1.2521e+001 +1.1414e+001 +1.0244e+001 +9.7881e+000 +7.7211e+000 +9.5637e+000 +1.0200e+001 +7.7259e+000 +8.5561e+000 +5.2482e+000 +1.4848e+001 +1.3063e+001 +1.3647e+001 +6.5653e+000 +5.6893e+000 +1.4320e+001 +9.4782e+000
3 +9.982908886e+012 +9.982908886e+012 +9.982908885e+012 +9.982908885e+012 +6.7560e+000 +1.4623e+001 +1.3573e+001 +1.4377e+001 +8.9558e+000 +9.9110e+000 +6.8237e+000 +1.3274e+001 +1.2901e+001 +1.2231e+001 +1.0799e+001 +7.7067e+000 +8.2460e+000 +1.2483e+001 +1.0581e+001 +9.0820e+000 +8.4209e+000 +1.1121e+001 +7.5326e+000 +8.3611e+000
4 +2.087099304e+012 +2.087099304e+012 +2.087099304e+012 +2.087099304e+012 +1.2277e+001 +1.3436e+001 +1.1077e+001 +1.1996e+001 +8.1752e+000 +6.4270e+000 +1.1086e+001 +1.2218e+001 +6.6152e+000 +1.0704e+001 +9.8426e+000 +9.5762e+000 +1.3027e+001 +5.1863e+000 +1.3868e+001 +7.0195e+000 +1.1927e+001 +1.3283e+001 +6.2390e+000 +7.7402e+000
24 +1.552426845e+012 +1.552426845e+012 +1.552426845e+012 +1.552426845e+012 +6.2416e+000 +8.1583e+000 +1.0832e+001 +6.1433e+000 +1.0616e+001 +1.0046e+001 +1.2254e+001 +1.0737e+001 +1.0998e+001 +1.1907e+001 +9.8933e+000 +5.0623e+000 +7.4877e+000 +1.2772e+001 +5.8315e+000 +8.8176e+000 +7.5713e+000 +1.3172e+001 +8.1220e+000 +7.7316e+000
32 +3.888955928e+011 +3.888955928e+011 +3.888955922e+011 +3.888955922e+011 +5.7543e+000 +1.2394e+001 +6.1311e+000 +1.1866e+001 +1.3051e+001 +9.2640e+000 +9.8683e+000 +5.6012e+000 +8.4763e+000 +1.4648e+001 +1.2538e+001 +6.1227e+000 +9.9169e+000 +6.9293e+000 +6.3420e+000 +7.3344e+000 +1.3286e+001 +1.4511e+001 +1.4277e+001 +6.4147e+000
92 +1.347924413e+011 +1.347924413e+011 +1.347924407e+011 +1.347924407e+011 +1.1379e+001 +1.2211e+001 +1.2275e+001 +5.4099e+000 +1.2802e+001 +9.8825e+000 +8.9291e+000 +3.6394e+000 +1.4281e+001 +5.8264e+000 +1.1358e+001 +1.2606e+001 +1.4160e+001 +1.0526e+001 +6.3408e+000 +6.5958e+000 +7.5986e+000 +1.4953e+001 +1.2779e+001 +4.6775e+000
125 +3.781572757e+010 +3.781572757e+010 +3.781572695e+010 +3.781572695e+010 +7.2968e+000 +6.1973e+000 +7.8575e+000 +7.2339e+000 +6.2765e+000 +1.1603e+001 +9.1294e+000 +1.3013e+001 +8.8633e+000 +1.7990e+001 +9.5957e+000 +1.1162e+001 +8.7288e+000 +5.1295e+000 +1.1329e+001 +3.5620e+000 +5.9040e+000 +1.0721e+001 +1.7371e+001 +5.7856e+000
302 +2.392025356e+010 +2.392025356e+010 +2.392025294e+010 +2.392025294e+010 +6.0708e+000 +1.6378e+001 +1.1244e+001 +9.5855e+000 +3.9813e+000 +1.4582e+001 +1.1300e+001 +1.2263e+001 +4.2423e+000 +1.8121e+001 +8.4568e+000 +1.9480e+001 +1.1123e+001 +4.1876e+000 +5.4492e-001 +1.3744e+000 +1.3267e+001 +9.3339e+000 +7.7472e+000 +7.9480e+000
337 +8.104879468e+009 +8.104879468e+009 +8.104878847e+009 +8.104878847e+009 +5.4687e+000 +1.1741e+001 +4.0705e+000 +9.0893e+000 +1.1398e+001 +1.0338e+001 +3.8172e+000 +8.0895e+000 +8.5461e+000 +1.4055e+001 +8.3712e+000 -1.8486e+000 +4.8193e+000 +6.8239e+000 +2.3807e+001 -2.0402e+000 +1.0548e+001 +2.1085e+001 +2.1047e+001 +7.3400e-001
483 +2.316746613e+009 +2.316746613e+009 +2.316745992e+009 +2.316745992e+009 +8.8730e+000 +6.4083e+000 +1.0008e+001 -4.8561e-001 +2.7458e-002 +1.2473e+001 +5.6640e+000 +1.3046e+001 +1.4364e+001 +1.2893e+001 +5.5906e+000 +8.3815e+000 +1.2909e+001 +4.5217e+000 +8.1649e+000 +2.7294e+000 -1.6311e+000 +2.3494e+001 +1.1866e+001 +5.1463e+000
543 +1.523480257e+009 +1.523480257e+009 +1.523479636e+009 +1.523479636e+009 +6.7132e+000 +1.5783e+001 +9.4810e+000 +3.9274e+000 +2.0285e+000 +1.3027e+001 +1.5044e+001 +8.5781e+000 +7.9445e+000 +1.1079e+001 +2.1313e+000 +7.7271e+000 +1.1489e+001 +6.7591e+000 +4.2192e+000 -8.0003e+000 +2.9524e+000 +1.2468e+001 +1.0580e+001 +2.0976e+000
1032 +9.576478903e+008 +9.576478903e+008 +9.576472691e+008 +9.576472691e+008 +3.1580e+000 +1.6382e+001 +6.1311e+000 +3.7482e+000 -6.0820e+000 +1.2771e+001 +8.0782e+000 +6.8115e+000 +5.6396e+000 +8.2708e+000 +4.7003e+000 +8.5578e+000 +9.0628e+000 +1.1131e+001 +7.0354e+000 -1.3029e+000 +8.2829e+000 +1.6796e+001 +1.5692e+001 -1.3008e+000
1674 +6.145608831e+008 +6.145608831e+008 +6.145602620e+008 +6.145602620e+008 -3.2325e-001 +1.6612e+001 +7.5254e+000 -2.2061e+000 -1.2190e+000 +5.1867e+000 +2.4289e+000 +6.9777e+000 +7.5597e+000 +6.7865e+000 +4.9144e+000 -3.0104e-001 +9.7119e-001 +3.7179e+000 +3.4487e+000 -1.0553e+001 -3.1577e+000 +1.0575e+001 +9.2162e+000 -7.8838e+000
2378 +3.823744120e+008 +3.823744120e+008 +3.823737908e+008 +3.823737908e+008 +4.7492e+000 +1.3970e+001 +9.6714e+000 +8.7094e+000 -3.8447e+000 +3.8266e+000 +7.5572e+000 +2.4250e+000 +4.9717e+000 +5.8225e+000 +4.9720e+000 +7.6886e+000 +4.0735e-001 +9.2101e+000 -2.9273e+000 -9.8877e+000 -7.2560e+000 +9.8203e+000 +6.1694e+000 -1.3554e+000
3608 +1.582776519e+008 +1.582776519e+008 +1.582770308e+008 +1.582770308e+008 +1.3442e+000 +6.1344e+000 -2.0194e+000 -4.6317e+000 -3.2555e+000 +1.8503e+000 +3.2539e-001 +5.8340e+000 -1.8573e+000 +4.1708e+000 -1.0029e+000 +4.5131e+000 +5.8954e+000 +2.2153e+000 +2.3191e+000 -7.0050e+000 -1.0896e+000 +3.1557e+000 +4.1090e-001 -2.7009e+000
4455 +5.974948977e+007 +5.974948977e+007 +5.974886866e+007 +5.974886866e+007 +3.4673e+000 +6.2023e+000 +1.9383e+000 +1.8974e-001 -4.3466e+000 -7.9700e-001 +7.9832e+000 +3.0406e-002 +4.0510e+000 -4.6071e-002 +1.8272e+000 +7.1353e+000 +2.0303e+000 +9.4429e-001 -3.8345e+000 -4.1425e+000 -1.2948e+000 +6.5074e+000 +5.2956e+000 -1.1972e+000
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.250525575e+010 +7.250525575e+010 +7.250525550e+010 +7.250525550e+010 +5.0108e+000 +6.7853e+000 +8.9453e+000 +1.2512e+001 +1.1795e+001 +8.5417e+000 +1.2714e+001 +1.0610e+001 +1.1047e+001 +1.1446e+001 +1.3868e+001 +1.4029e+001 +1.2970e+001 +8.3781e+000 +1.4385e+001 +8.9183e+000 +5.4614e+000 +1.3381e+001 +1.3941e+001 +1.0868e+001
4 +5.877048041e+010 +5.877048041e+010 +5.877048015e+010 +5.877048015e+010 +1.0023e+001 +1.3495e+001 +1.1107e+001 +1.3969e+001 +1.3145e+001 +5.8883e+000 +1.0732e+001 +8.6466e+000 +6.0182e+000 +9.4888e+000 +7.6840e+000 +6.9373e+000 +7.9097e+000 +8.1680e+000 +1.0672e+001 +8.6528e+000 +1.2608e+001 +1.2410e+001 +1.3499e+001 +1.0880e+001
