% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.054224802e+003 +3.054224802e+003 +3.084194802e+003 +3.084194802e+003 -3.9199e+000 +1.9619e-001 -6.2658e-001 +1.9078e+000 -2.2890e+000 +2.1431e+000 -1.1573e+000 -3.1655e+000 +2.8362e-001 +3.2726e+000 -3.7952e+000 +2.7442e+000 +3.9696e+000 +3.9221e+000 -2.3162e+000 +3.8117e+000 +1.2281e+000 -4.0253e+000 +3.5462e+000 +4.8420e+000
4 +2.109566545e+003 +2.109566545e+003 +2.139536545e+003 +2.139536545e+003 +4.9403e+000 -4.7722e+000 -5.0923e-001 -1.8904e+000 +2.9138e-001 +1.1412e+000 -8.1464e-001 -3.4280e+000 -2.1014e+000 -3.4495e+000 +2.6247e+000 -1.3862e+000 -6.9517e-001 +1.9263e-001 -2.6073e+000 +6.0750e-002 +2.7781e+000 -3.6815e+000 +8.1425e-002 +8.8538e-002
685 +1.223432708e+003 +1.223432708e+003 +1.253402708e+003 +1.253402708e+003 +1.2108e+000 -1.1131e+000 -3.0919e+000 -1.4814e+000 +4.6377e-001 +9.1591e-001 -4.4176e+000 -2.1384e+000 +2.5209e+000 +4.2660e-001 -3.9477e-001 -3.0132e+000 +4.5648e+000 +2.5781e+000 -3.1707e+000 +3.6582e+000 +1.5357e+000 -3.2402e+000 +1.7966e+000 -2.5066e-001
1751 +9.670617771e+002 +9.670617771e+002 +9.970317771e+002 +9.970317771e+002 +5.7752e-001 -2.3414e+000 -4.3571e+000 -2.7456e+000 +2.6071e+000 +2.4103e+000 -5.1064e+000 -2.0635e+000 +1.2839e+000 -1.0489e+000 +1.0768e+000 +1.0721e-001 +4.3600e+000 +1.8537e-001 -1.3316e+000 +1.9798e+000 -2.2042e+000 -3.6816e+000 +2.9344e+000 -7.1587e-001
2698 +6.103138890e+002 +6.103138890e+002 +6.402838890e+002 +6.402838890e+002 +8.6759e-001 -2.6358e+000 -5.1035e+000 -2.9980e+000 +3.3545e+000 +3.5974e+000 -4.4507e+000 -2.9972e+000 +2.0473e+000 -1.8872e+000 +1.7122e+000 -2.1668e+000 +5.2728e+000 +1.5935e+000 -1.7581e+000 +3.1644e+000 -2.8081e+000 -1.9440e+000 +3.0941e-001 -2.0552e+000
4290 +3.975619507e+002 +3.975619507e+002 +4.275319507e+002 +4.275319507e+002 +6.8869e-001 -1.7267e+000 -3.7989e+000 -2.5507e+000 +2.3153e+000 +2.7235e+000 -4.2284e+000 -2.9066e+000 +9.4994e-001 -8.7792e-001 +1.7305e+000 -1.8215e+000 +3.9979e+000 +2.4895e+000 -7.1303e-001 +2.3290e+000 -3.0236e+000 -1.9480e+000 +1.8256e+000 -2.8776e+000
5944 +2.110908774e+002 +2.110908774e+002 +2.410608774e+002 +2.410608774e+002 +1.7976e-001 -1.4236e+000 -3.9580e+000 -1.8963e+000 +3.2135e+000 +3.5520e+000 -3.9882e+000 -3.1540e+000 +6.4412e-001 -1.8380e+000 +7.3933e-001 -1.3386e+000 +3.9367e+000 +2.7962e+000 -1.4014e+000 +2.3855e+000 -2.4603e+000 -7.0486e-001 +1.4785e+000 -3.6851e+000
7217 +1.493205869e+002 +1.493205869e+002 +1.792905869e+002 +1.792905869e+002 +7.9515e-001 -1.2700e+000 -3.6516e+000 -1.9703e+000 +3.2077e+000 +3.6150e+000 -3.5268e+000 -2.8172e+000 +8.3336e-001 -2.0100e+000 +1.7855e+000 -1.5021e+000 +4.0829e+000 +2.2733e+000 -1.5741e+000 +2.5798e+000 -2.6105e+000 -7.4856e-001 +1.4617e+000 -3.4270e+000
9105 +8.270587144e+001 +8.270587144e+001 +1.126758714e+002 +1.126758714e+002 +8.1342e-001 -1.8244e+000 -3.6839e+000 -2.0487e+000 +3.1955e+000 +3.0633e+000 -4.1270e+000 -2.9882e+000 +6.2307e-001 -1.7635e+000 +9.0703e-001 -1.5584e+000 +3.8446e+000 +2.3491e+000 -1.4894e+000 +2.7608e+000 -2.9316e+000 -4.0550e-001 +1.6251e+000 -3.3283e+000
10145 +5.901177361e+001 +5.901177361e+001 +8.898177361e+001 +8.898177361e+001 +8.5440e-001 -1.7724e+000 -3.6933e+000 -1.9310e+000 +3.1551e+000 +3.1285e+000 -3.8477e+000 -2.9175e+000 +7.0538e-001 -1.7852e+000 +9.8295e-001 -1.5751e+000 +3.9717e+000 +2.3259e+000 -1.3955e+000 +2.6211e+000 -2.9021e+000 -6.6470e-001 +1.5713e+000 -3.3623e+000
