% function evaluation | noise-free fitness - Fopt (-1.694000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.042911685e+003 +6.042911685e+003 +6.025971685e+003 +6.025971685e+003 +7.4765e+000 +1.0166e+001 +8.2354e+000 +1.0721e+001 +5.7688e+000 +1.4127e+001 +8.7614e+000 +8.5803e+000 +7.7691e+000 +5.1804e+000 +7.2972e+000 +5.6726e+000 +1.0571e+001 +6.1022e+000 +5.9327e+000 +9.9227e+000 +7.0416e+000 +1.1241e+001 +9.3401e+000 +1.0849e+001
359 +2.658294163e+003 +2.658294163e+003 +2.641354163e+003 +2.641354163e+003 -9.8595e-003 +1.2173e+001 +6.5960e+000 +8.0194e+000 +1.0009e+001 +6.6122e+000 +1.0786e+000 +5.0352e+000 +4.2794e+000 +8.2668e+000 +8.6815e+000 +3.7863e+000 +1.0338e+001 +2.3152e+000 +1.0171e+001 +7.9318e+000 +6.2689e+000 +9.6625e+000 +6.8558e+000 +2.6202e+000
649 +1.805684870e+003 +1.805684870e+003 +1.788744870e+003 +1.788744870e+003 +2.3377e+000 +6.9545e+000 +6.7566e+000 +8.8254e+000 +9.9228e+000 +6.6163e+000 +8.4363e+000 +8.3285e+000 +2.1871e+000 +9.7866e+000 +7.2462e+000 +1.1667e+000 +1.7252e+000 +1.4077e-001 +1.0059e+001 -1.7797e+000 +6.6260e+000 +6.8885e+000 +2.2775e+000 +1.9253e+000
727 +1.506934349e+003 +1.506934349e+003 +1.489994349e+003 +1.489994349e+003 +1.3931e-001 +8.0378e+000 +5.3033e+000 +8.3527e+000 +1.0584e+001 +5.3708e+000 +5.6786e+000 +7.3165e+000 +8.8539e-001 +8.7720e+000 +8.1556e+000 -2.9405e-001 +3.6562e+000 -1.1318e+000 +1.0366e+001 -1.2924e+000 +5.2530e+000 +7.1937e+000 +2.9136e+000 +6.5821e-002
1075 +8.847207521e+002 +8.847207521e+002 +8.677807521e+002 +8.677807521e+002 -1.9049e+000 +5.2589e+000 +5.0907e+000 +8.7282e+000 +6.0015e+000 +3.7753e+000 +3.1144e+000 +5.6148e+000 +1.4340e+000 +3.6692e-001 +8.1406e+000 -1.6273e+000 +2.6043e+000 -3.3716e+000 +1.1046e+001 -6.9898e-001 +4.7747e+000 +7.7318e+000 +3.9962e+000 -3.1980e+000
1211 +5.380395449e+002 +5.380395449e+002 +5.210995449e+002 +5.210995449e+002 -3.2965e+000 +5.0816e+000 +6.6114e+000 +6.0189e+000 +7.2687e+000 +5.2925e+000 -8.9944e-001 +7.3679e+000 -1.5830e+000 -1.0347e+000 +7.2222e+000 -5.3333e+000 +2.4461e+000 -4.1058e+000 +7.6867e+000 +2.0627e+000 +3.7933e+000 +7.2661e+000 +3.6409e+000 -4.0189e-001
1424 +3.485452310e+002 +3.485452310e+002 +3.316052310e+002 +3.316052310e+002 -4.0867e+000 +3.1785e+000 +5.5799e+000 +6.4239e+000 +5.7463e+000 +4.4464e+000 +1.2438e+000 +6.0779e+000 +7.9949e-001 -2.6777e+000 +7.5927e+000 -4.9670e+000 +1.9410e+000 -5.0594e+000 +7.8435e+000 +4.7042e-001 +3.4096e+000 +5.8507e+000 +3.4482e+000 -2.6537e+000
1580 +2.509266682e+002 +2.509266682e+002 +2.339866682e+002 +2.339866682e+002 -3.6674e+000 +2.2155e+000 +5.9615e+000 +5.3592e+000 +6.0560e+000 +4.3032e+000 +2.7161e+000 +6.1873e+000 +2.9022e+000 -2.6843e+000 +6.9316e+000 -4.2718e+000 +3.7667e+000 -3.4050e+000 +6.7020e+000 +1.4296e+000 +2.8037e+000 +3.6497e+000 +3.0367e+000 -2.0441e+000
1827 +1.578281717e+002 +1.578281717e+002 +1.408881717e+002 +1.408881717e+002 -1.3214e+000 +1.7332e+000 +5.1866e+000 +4.3601e+000 +5.1610e+000 +4.1281e+000 +4.8589e+000 +5.9872e+000 +2.3279e+000 -3.1563e+000 +7.2102e+000 -3.2079e+000 +1.2509e+000 -4.1522e+000 +4.2801e+000 +1.0227e+000 +1.4584e+000 +4.4449e+000 +2.8040e+000 -3.5037e+000
2041 +9.396973386e+001 +9.396973386e+001 +7.702973386e+001 +7.702973386e+001 -1.4738e+000 +1.8296e+000 +3.5008e+000 +3.5941e+000 +5.4044e+000 +3.6277e+000 +5.0120e+000 +4.8977e+000 +3.7354e+000 -2.3297e+000 +6.0887e+000 -1.8360e+000 +2.5985e+000 -2.8098e+000 +3.5330e+000 +1.6318e+000 +2.0875e+000 +3.1008e+000 +2.8736e+000 -4.3134e+000
