% function evaluation | noise-free fitness - Fopt (9.294000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.559675165e+004 +2.559675165e+004 +2.568969165e+004 +2.568969165e+004 +6.7813e+000 +1.0590e+001 +9.9814e+000 +9.1448e+000 +1.2950e+001 +9.9123e+000 +8.2420e+000 +1.2868e+001 +6.8716e+000 +5.7493e+000 +1.0151e+001 +5.6013e+000 +9.8395e+000 +6.0168e+000 +1.2877e+001 +1.0708e+001 +6.0706e+000 +9.1313e+000 +1.0384e+001 +1.4180e+001
21 +2.218218678e+004 +2.218218678e+004 +2.227512678e+004 +2.227512678e+004 +5.4506e+000 +1.4043e+001 +1.1175e+001 +1.3234e+001 +1.0809e+001 +9.8547e+000 +7.7758e+000 +9.7930e+000 +8.6585e+000 +6.4375e+000 +1.0812e+001 +8.5732e+000 +1.2066e+001 +9.7167e+000 +7.3420e+000 +7.1121e+000 +8.3975e+000 +7.1444e+000 +1.1611e+001 +7.2367e+000
335 +1.445065556e+004 +1.445065556e+004 +1.454359556e+004 +1.454359556e+004 +5.9590e+000 +9.4490e+000 +4.2011e+000 +1.2610e+001 +1.1532e+001 +8.4414e+000 +8.3575e+000 +9.2857e+000 +6.3649e+000 +1.8940e+000 +1.3250e+001 +9.0086e+000 +7.0101e+000 +5.0737e+000 +5.3436e+000 +5.8460e+000 +8.0603e+000 +6.0609e+000 +9.0128e+000 +5.2550e+000
700 +8.882929336e+003 +8.882929336e+003 +8.975869336e+003 +8.975869336e+003 +6.2930e+000 +1.7435e+001 +7.1489e+000 +1.1362e+001 +1.0297e+001 +8.9546e+000 +9.0188e+000 +1.1007e+001 +1.1474e+001 +1.3424e+000 +1.0056e+001 -2.3257e+000 +8.0894e+000 -5.0967e+000 +1.4037e+000 +6.5594e+000 +6.7627e+000 +1.1345e+000 +7.9090e+000 -1.0811e+000
956 +5.372558247e+003 +5.372558247e+003 +5.465498247e+003 +5.465498247e+003 +6.9959e+000 +1.1778e+001 +9.4730e+000 +1.2483e+001 +2.1297e+000 +6.3802e+000 +5.9135e+000 +8.0649e+000 +6.6899e+000 +4.9393e+000 +1.0318e+001 +5.0978e+000 -9.4428e+000 -5.1394e+000 -3.7753e+000 +7.6963e+000 +1.5710e+001 -4.2108e+000 +1.9875e+001 -4.8685e+000
1039 +3.645560133e+003 +3.645560133e+003 +3.738500133e+003 +3.738500133e+003 +6.9959e+000 +1.2609e+001 +9.4730e+000 +1.4852e+000 +2.1297e+000 +6.3802e+000 +5.9135e+000 +3.9034e+000 +1.4540e+001 +4.9393e+000 +1.0318e+001 +2.3834e+000 -2.0471e+000 -7.2621e-001 -8.8262e-001 +2.1711e+000 +8.3660e+000 -4.2108e+000 +1.2511e+001 -4.4521e-001
1307 +1.724808366e+003 +1.724808366e+003 +1.817748366e+003 +1.817748366e+003 +6.5121e+000 +1.4182e+001 +8.0582e+000 +7.6778e-001 +4.5135e+000 +8.3877e+000 +7.8307e+000 +7.2827e+000 +1.0456e+001 +3.8599e-001 +1.0786e+001 +5.8706e-001 -5.5565e+000 -4.3928e+000 -2.8630e+000 +3.8149e-001 +3.5478e+000 -8.6965e+000 +1.0107e+001 -8.3019e-001
1514 +1.498314754e+003 +1.498314754e+003 +1.591254754e+003 +1.591254754e+003 +6.1907e+000 +1.2254e+001 +8.2568e+000 -3.1674e+000 +4.6601e+000 +7.8297e+000 +6.2195e+000 +4.3212e+000 +1.0941e+001 +3.0951e-001 +1.0359e+001 +1.4303e+000 -7.2716e+000 -4.9580e+000 -2.6523e+000 -4.3149e-001 +4.9485e+000 -7.9184e+000 +1.2087e+001 -3.5606e+000
1885 +9.602508502e+002 +9.602508502e+002 +1.053190850e+003 +1.053190850e+003 +5.8284e+000 +1.0692e+001 +7.7314e+000 -1.5213e+000 +3.8505e+000 +7.8267e+000 +6.6256e+000 +2.1672e+000 +9.0015e+000 +4.2599e-001 +1.1003e+001 +3.2942e-001 -7.0342e+000 -5.8787e+000 +3.1913e+000 -4.2694e-001 +3.1474e+000 -8.4956e+000 +9.5505e+000 -2.9785e+000
2284 +5.801034770e+002 +5.801034770e+002 +6.730434770e+002 +6.730434770e+002 +6.0342e+000 +9.5651e+000 +6.8892e+000 -4.3636e-002 +3.5589e+000 +7.0302e+000 +5.7739e+000 -1.7675e-001 +8.2252e+000 +4.1023e-001 +9.1575e+000 +3.0277e-002 -6.3418e+000 -5.9326e+000 +2.4671e+000 -8.3224e-001 +1.5801e+000 -7.5918e+000 +9.7680e+000 -3.0664e+000
2776 +3.967343577e+002 +3.967343577e+002 +4.896743577e+002 +4.896743577e+002 +6.5771e+000 +8.7403e+000 +5.2953e+000 +7.8276e-001 +3.1567e+000 +5.7927e+000 +5.5850e+000 -2.1506e+000 +7.9346e+000 +1.0861e+000 +9.1802e+000 -8.7293e-001 -6.8346e+000 -6.1693e+000 +3.9851e+000 -1.5976e+000 -3.9282e-001 -6.3065e+000 +6.1658e+000 -2.8922e+000
3677 +2.467304472e+002 +2.467304472e+002 +3.396704472e+002 +3.396704472e+002 +5.7991e+000 +6.8907e+000 +4.7093e+000 +1.2070e+000 +2.8409e+000 +5.7739e+000 +4.4507e+000 -1.2212e+000 +7.0236e+000 +1.1352e+000 +7.5003e+000 -2.3084e+000 -5.7925e+000 -5.4876e+000 +4.7310e+000 -1.9304e+000 -8.2865e-001 -5.5879e+000 +6.2013e+000 -2.0488e+000
5882 +1.579896783e+002 +1.579896783e+002 +2.509296783e+002 +2.509296783e+002 +4.9162e+000 +5.7342e+000 +3.2549e+000 +1.3100e+000 +1.3865e+000 +5.6819e+000 +3.8426e+000 -9.7661e-001 +6.6552e+000 +1.0221e+000 +6.1935e+000 -2.6217e+000 -4.9460e+000 -5.2557e+000 +4.6903e+000 -1.7377e+000 +7.8789e-002 -5.0994e+000 +5.6641e+000 -1.1171e+000
% function evaluation | noise-free fitness - Fopt (3.535000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.157194200e+004 +2.157194200e+004 +2.160729200e+004 +2.160729200e+004 +5.0981e+000 +1.1264e+001 +6.8442e+000 +1.1554e+001 +8.2655e+000 +6.8490e+000 +7.2849e+000 +1.4990e+001 +1.2330e+001 +7.7286e+000 +1.0187e+001 +9.1104e+000 +1.0999e+001 +1.2401e+001 +5.3290e+000 +1.3856e+001 +1.3307e+001 +5.3725e+000 +1.3627e+001 +1.0279e+001
12 +1.393995434e+004 +1.393995434e+004 +1.397530434e+004 +1.397530434e+004 +1.2768e+001 +1.3505e+001 +1.4483e+001 +5.1707e+000 +1.3152e+001 +1.4315e+001 +1.0861e+001 +7.5269e+000 +6.4044e+000 +1.0825e+001 +7.2181e+000 +1.3455e+001 +5.7407e+000 +1.3008e+001 +1.0744e+001 +1.1622e+001 +6.7074e+000 +9.0402e+000 +7.0563e+000 +8.5483e+000
115 +9.671333729e+003 +9.671333729e+003 +9.706683729e+003 +9.706683729e+003 +5.7863e+000 +8.4741e+000 +1.0907e+001 +7.8631e+000 +5.5826e+000 +1.1685e+000 +1.0717e+001 +3.4453e+000 +3.3348e+000 +5.1419e+000 +5.6587e+000 +2.2054e+001 +6.8433e+000 +3.8295e+000 +6.5667e+000 +5.7232e+000 +1.3982e+001 +5.7175e+000 +7.0443e+000 +1.3654e+001
