% function evaluation | noise-free fitness - Fopt (7.135000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.736762558e+001 +5.736762558e+001 +1.287176256e+002 +1.287176256e+002 +2.0492e+000 +5.3973e-001 -4.1239e+000 +2.2750e+000 -8.0117e-002 +3.3952e+000 -3.0875e+000 +4.3093e+000 -3.7297e+000 +1.2851e+000 -2.3455e+000 -1.5083e+000 -4.1020e+000 -3.2967e-001 +2.4162e-001 +2.4467e-001 -4.9067e-001 +3.7842e+000 +2.2509e+000 -3.4011e+000
41 +3.130200540e+001 +3.130200540e+001 +1.026520054e+002 +1.026520054e+002 +9.9834e-001 -3.1676e+000 -2.5704e+000 +2.3654e+000 -2.9560e-002 +4.2876e+000 -4.8113e+000 +4.1730e+000 -1.6114e+000 +2.1700e+000 +4.2511e+000 +2.7888e+000 -2.9273e+000 -3.0233e+000 +2.6976e+000 -4.7842e+000 +1.1017e+000 +2.7342e+000 +2.4385e+000 +5.6537e-001
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.634601057e+001 +5.634601057e+001 -2.988739894e+002 -2.988739894e+002 -2.9354e+000 +4.3090e+000 -3.3968e+000 -1.4935e+000 +3.1363e+000 +3.7088e+000 -1.3961e+000 -3.8256e+000 +4.2322e+000 -2.3738e+000 -3.9413e+000 +2.2288e+000 -5.1297e-001 +3.0117e+000 -1.4014e+000 +3.1025e+000 +3.5094e+000 +4.3099e+000 -3.9655e+000 +3.3522e+000
98 +3.878706534e+001 +3.878706534e+001 -3.164329347e+002 -3.164329347e+002 +3.5496e+000 +3.7241e+000 +1.2852e-001 -2.5827e+000 -4.3568e+000 -1.6271e+000 -8.3875e-001 +3.3706e+000 +3.5682e+000 -9.7456e-001 -1.3772e+000 -2.0293e+000 -4.6089e+000 -4.5647e+000 +4.6907e+000 +1.7355e+000 +4.5645e+000 +3.1706e+000 -4.5050e+000 +2.9022e-001
% function evaluation | noise-free fitness - Fopt (9.917000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.027675191e+001 +5.027675191e+001 +1.494467519e+002 +1.494467519e+002 -4.8277e+000 -3.8486e+000 -4.6107e+000 +4.9475e+000 -3.5857e+000 +1.3587e+000 +2.1031e+000 +2.0061e+000 +2.7834e+000 -4.2009e+000 +4.3051e+000 +2.1843e+000 -1.7724e+000 -3.2856e+000 +4.6663e+000 -3.1920e-001 +3.8768e+000 -2.0852e+000 -2.6700e+000 -1.3554e+000
100 +3.290893711e+001 +3.290893711e+001 +1.320789371e+002 +1.320789371e+002 +1.8379e+000 -4.5611e+000 +4.2831e+000 -1.4884e+000 -2.1672e+000 -1.1794e+000 +3.7140e+000 +1.9938e+000 -4.1670e+000 -1.7757e+000 +2.7298e+000 -3.8416e+000 -2.2043e+000 +3.9353e+000 +9.8186e-002 -3.6317e+000 +8.2428e-001 +2.4584e+000 -3.0541e+000 -3.0559e+000
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.394725605e+001 +5.394725605e+001 -4.639627440e+002 -4.639627440e+002 -1.3604e+000 +2.9219e+000 +2.9740e+000 -1.2466e+000 -3.1061e+000 +2.5667e+000 +4.3426e+000 -2.7310e+000 -1.9661e+000 +7.2142e-001 -3.2687e+000 +1.7717e+000 -4.4690e+000 -2.6462e+000 +4.4712e+000 -2.4068e+000 +4.7146e-001 +5.4101e-001 -1.8973e+000 +1.0781e+000
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.554143066e+001 +8.554143066e+001 +2.833143066e+001 +2.833143066e+001 -1.6477e+000 -4.9668e+000 -4.7673e+000 -1.6019e-001 +3.8502e+000 -1.1040e+000 +1.2947e+000 +3.2286e+000 -3.5180e-001 -4.5171e+000 +1.8411e+000 +2.9256e+000 -2.5492e+000 -1.0535e+000 +5.7132e-001 -2.9851e+000 +4.8177e+000 -8.3032e-001 +4.9695e+000 +1.3191e+000
7 +6.106899742e+001 +6.106899742e+001 +3.858997416e+000 +3.858997416e+000 +4.7466e+000 +4.3393e+000 -4.2633e+000 -3.0950e-001 -4.7625e+000 -1.3225e+000 +1.1965e+000 +6.0329e-001 +2.3921e+000 +3.1574e+000 +4.0154e+000 +3.2606e+000 +3.5814e+000 +2.6212e+000 +4.1880e+000 +2.3783e+000 +3.7468e+000 -5.9789e-001 -1.0693e+000 +1.2559e+000
43 +3.393911323e+001 +3.393911323e+001 -2.327088677e+001 -2.327088677e+001 +4.8506e+000 -1.7251e+000 +4.4518e+000 +1.4721e+000 +4.4238e+000 +3.2325e+000 -3.1596e+000 -4.0575e+000 -2.9315e+000 +7.7923e-002 +3.4548e+000 +4.9834e+000 -3.6086e+000 -4.2815e+000 -3.3852e+000 -1.9577e+000 +1.8524e-001 +2.3519e+000 -1.8529e+000 -4.0029e-002
% function evaluation | noise-free fitness - Fopt (6.770000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.241196366e+001 +8.241196366e+001 +8.918196366e+001 +8.918196366e+001 -1.7683e+000 -2.7489e+000 -4.9400e+000 -1.9093e+000 -3.7548e+000 +2.1972e+000 +6.4516e-001 +2.2149e+000 -6.5559e-001 +7.5518e-001 -1.4177e+000 +4.7339e+000 -5.8018e-002 -2.8643e+000 +4.7500e+000 -2.0028e+000 +3.9353e+000 +1.0941e+000 +1.1209e+000 +3.4066e+000
4 +5.066774023e+001 +5.066774023e+001 +5.743774023e+001 +5.743774023e+001 +2.9009e+000 +4.7501e+000 +3.4629e-002 +9.8351e-001 -4.9864e+000 -8.1807e-001 -2.2396e-001 +1.6268e+000 -1.7185e+000 -4.0302e+000 +4.9912e+000 +2.9965e+000 +4.8718e+000 +1.0685e-001 +3.7128e+000 -1.2970e+000 -4.3793e+000 +3.9240e+000 -7.1641e-001 -3.1532e+000
59 +3.442940283e+001 +3.442940283e+001 +4.119940283e+001 +4.119940283e+001 +3.1774e+000 +2.7641e+000 -3.8863e+000 -1.3944e+000 +4.4511e+000 -3.0897e+000 -1.1630e+000 -3.3621e+000 +2.1020e-001 -4.7708e+000 -2.6762e-001 -3.4543e+000 -4.7158e+000 -5.9015e-001 +2.9903e+000 -2.2392e+000 +1.5324e+000 +3.6142e+000 +2.7881e-001 +4.6543e+000
% function evaluation | noise-free fitness - Fopt (-1.078000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.017460372e+001 +8.017460372e+001 +6.939460372e+001 +6.939460372e+001 -3.5907e+000 -9.3853e-001 -8.6570e-001 +3.2605e+000 +3.2871e+000 -4.6242e+000 -4.4007e+000 +1.8318e+000 -1.3492e+000 -3.7286e+000 +5.7869e-003 -2.7330e+000 +1.6272e+000 +1.6960e+000 +4.3416e+000 -7.7186e-001 -4.0717e+000 -2.2375e+000 -1.8746e+000 +3.7564e+000
3 +5.861779885e+001 +5.861779885e+001 +4.783779885e+001 +4.783779885e+001 -2.2219e+000 -4.7478e+000 -1.1238e+000 -2.1177e+000 +2.8125e+000 +3.2878e+000 -4.3037e+000 -4.6306e+000 -1.9643e+000 +2.7590e+000 +2.3034e+000 -4.6965e+000 +4.0071e+000 +4.3759e+000 +4.4522e+000 -4.7500e+000 +1.1738e+000 -9.7248e-001 -4.1176e+000 +2.8063e+000
% function evaluation | noise-free fitness - Fopt (-1.645900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.802571609e+001 +9.802571609e+001 -6.656428391e+001 -6.656428391e+001 -1.8412e+000 -3.9282e-001 +4.5667e+000 +2.5724e+000 +2.9973e+000 +3.9788e+000 +4.8217e+000 +3.1114e+000 +9.2013e-001 -6.2367e-001 -6.9088e-001 -4.3986e+000 -2.9294e+000 +2.3591e+000 -2.8097e+000 +3.2374e+000 +2.3311e+000 -1.8081e+000 +2.6169e+000 +2.8613e+000
