% function evaluation | noise-free fitness - Fopt (-1.025500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.245019916e+001 +7.245019916e+001 -3.009980084e+001 -3.009980084e+001 +4.2945e+000 +2.0565e+000 -2.9566e+000 -4.2632e+000 -4.7614e+000 -1.9241e+000 +1.8898e+000 -2.5773e+000 -2.5910e+000 +3.0749e+000 +4.0107e+000 +4.0888e+000 +1.9976e+000 -2.6832e+000 +3.9734e+000 +2.6122e+000 +4.7115e+000 +3.0254e+000 -3.5655e+000 -3.2726e+000
2 +5.104946159e+001 +5.104946159e+001 -5.150053841e+001 -5.150053841e+001 +3.8731e+000 -4.8584e+000 -3.8183e+000 +2.6913e+000 +4.8938e+000 -9.3891e-001 -1.8127e+000 -4.1838e+000 +2.1518e+000 -1.4083e+000 +3.1563e+000 +1.2932e+000 +1.2260e+000 +4.3711e+000 +2.5852e-001 -7.4374e-001 -4.5732e+000 +1.5499e+000 +3.0004e+000 -2.8624e+000
6 +3.834057677e+001 +3.834057677e+001 -6.420942323e+001 -6.420942323e+001 -4.0681e+000 -2.4799e-001 -2.0083e+000 +3.1424e+000 -2.6266e+000 +1.0100e+000 +4.2433e+000 -3.1581e+000 +1.7112e-001 +3.1157e+000 +6.2133e-001 +4.2684e+000 +1.9325e+000 +2.0815e+000 -5.9055e-001 -2.5470e+000 +4.0836e+000 -1.2990e+000 -1.6801e+000 +3.2427e+000
76 +2.316394889e+001 +2.316394889e+001 -7.938605111e+001 -7.938605111e+001 -7.9444e-001 +6.2358e-001 -1.5063e+000 +2.7319e-001 +2.0538e+000 -3.0542e-001 +7.9176e-001 +3.3588e+000 -3.2974e+000 +3.9236e+000 +2.2606e+000 -4.9295e-001 +6.2708e-001 -3.9607e+000 +2.0171e+000 +1.0391e+000 +2.4221e+000 +2.6486e+000 +4.3145e-001 -4.1460e-002
% function evaluation | noise-free fitness - Fopt (7.169000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.147842490e+001 +8.147842490e+001 +1.531684249e+002 +1.531684249e+002 +1.6748e+000 -7.4714e-001 -3.4313e+000 -1.9261e+000 -2.6869e+000 -4.5072e+000 -4.8568e+000 +5.6515e-001 +1.8087e+000 +4.1771e+000 +4.2075e+000 -3.0582e+000 -1.9974e+000 +3.1762e+000 +4.4022e+000 -4.6366e+000 +4.6611e-001 -1.9105e+000 +5.2797e-001 -2.1269e+000
2 +5.450744387e+001 +5.450744387e+001 +1.261974439e+002 +1.261974439e+002 -1.9098e+000 -3.3501e+000 +6.1291e-001 -2.4713e+000 -3.4644e+000 +4.4283e+000 -4.5337e+000 +4.4892e+000 +3.6457e-001 -2.0748e+000 -3.8219e-001 +2.9559e+000 -2.1568e+000 -6.0474e-001 -4.0061e+000 -1.3564e+000 +3.6459e+000 -2.4415e+000 +2.2025e+000 +8.1056e-001
14 +3.163465138e+001 +3.163465138e+001 +1.033246514e+002 +1.033246514e+002 +3.8149e+000 -2.7851e+000 -3.5701e+000 -1.8211e+000 +2.1541e+000 -1.8907e+000 -1.1809e+000 -8.0855e-001 -6.3213e-001 -1.5885e+000 +3.3406e+000 +1.2249e+000 +1.2451e+000 -2.4040e+000 +6.3890e-001 -9.5989e-001 -1.9711e+000 -4.2192e+000 +3.5282e+000 -6.1518e-001
% function evaluation | noise-free fitness - Fopt (2.140100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.411965876e+001 +5.411965876e+001 +2.681296588e+002 +2.681296588e+002 -3.6201e+000 -3.4527e+000 -3.6504e+000 +8.3868e-001 -4.5240e+000 +2.5589e+000 -1.1049e+000 +3.8398e+000 +2.1763e+000 +7.7217e-001 +4.2539e+000 -3.6276e-001 -5.3717e-002 -4.3111e+000 +2.3923e+000 -3.8156e+000 +4.5312e+000 +1.7588e+000 -6.8826e-001 -6.8497e-001
4 +3.498506653e+001 +3.498506653e+001 +2.489950665e+002 +2.489950665e+002 +1.5162e+000 -1.9673e+000 +1.3262e+000 +9.3900e-001 +3.8039e+000 -1.4911e+000 -2.4162e-001 +3.8900e+000 -2.0877e+000 -7.2516e-001 -9.0110e-001 -4.0992e+000 +3.3493e+000 -1.8613e+000 +3.1866e+000 +7.5833e-001 +2.4615e+000 -2.6424e+000 -2.7391e+000 +4.0411e+000
30 +2.318447752e+001 +2.318447752e+001 +2.371944775e+002 +2.371944775e+002 +2.2079e+000 +4.9346e-001 -4.5411e+000 -2.0894e+000 -1.3295e+000 -4.3055e-001 -1.0698e+000 +1.9326e+000 -3.9338e+000 +7.1869e-001 -2.2830e+000 +4.3458e+000 +5.4986e-001 -3.0465e+000 +1.8093e+000 +2.1216e+000 +2.8317e+000 -4.6442e-001 -3.1991e-001 -2.1137e+000
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.312178111e+001 +4.312178111e+001 -1.535821889e+001 -1.535821889e+001 -4.8557e-001 -3.1518e+000 +4.1633e+000 +2.1630e+000 +4.8702e+000 -1.7915e+000 +3.3825e+000 +4.0593e+000 +1.7929e+000 +3.6555e+000 -2.5251e+000 +2.2908e+000 -2.9653e+000 -4.4236e-001 -1.2398e+000 +3.5558e+000 +2.5938e+000 +4.5152e+000 -1.3334e+000 -1.7324e-001
5 +3.977760041e+001 +3.977760041e+001 -1.870239959e+001 -1.870239959e+001 -1.2175e+000 -1.0600e+000 +5.6740e-001 -8.7909e-001 -8.1330e-001 -2.3494e+000 +3.5337e+000 +4.5836e+000 -1.9372e+000 -1.1541e+000 +2.8132e+000 -4.3259e+000 -1.6493e+000 +1.5239e+000 -2.0421e-001 -2.7300e+000 +4.9171e+000 -1.8773e+000 +3.3541e+000 +3.7477e+000
100 +2.200542608e+001 +2.200542608e+001 -3.647457392e+001 -3.647457392e+001 -7.2986e-002 -3.1844e+000 -1.2115e+000 +1.5591e+000 +1.3185e+000 -1.8475e+000 +8.0677e-001 -2.1042e+000 +2.2761e+000 +4.5951e+000 +6.1672e-001 +2.5361e+000 +9.6815e-001 -1.3496e-001 -3.4861e+000 -3.9184e+000 -6.7447e-001 +1.8310e+000 +1.6298e+000 +4.0794e+000
% function evaluation | noise-free fitness - Fopt (-6.130800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.099678280e+001 +5.099678280e+001 -5.620832172e+002 -5.620832172e+002 -2.0789e-001 -2.9400e+000 +1.6261e+000 -4.3710e+000 +3.2897e-001 +1.4232e+000 -3.1935e-001 -3.4245e+000 -4.8237e+000 +4.8306e+000 +2.8185e+000 -4.6115e+000 +4.8810e-001 +2.3555e+000 -1.4685e+000 -1.4567e+000 +4.6292e+000 -2.3630e-001 -4.1430e-001 -2.4943e+000
3 +3.279154577e+001 +3.279154577e+001 -5.802884542e+002 -5.802884542e+002 +3.8871e+000 -1.6459e+000 -3.2464e+000 -2.9588e+000 +2.0940e+000 -1.6980e+000 +3.9946e+000 -6.5362e-001 +1.5164e+000 -3.6732e+000 +3.4227e+000 -1.1113e+000 +5.3601e-001 +1.9891e+000 -2.2091e+000 -2.2614e+000 -2.3528e+000 -3.0141e+000 -2.5536e+000 -1.1174e+000
