% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.336682477e+008 +2.336682477e+008 +2.336680378e+008 +2.336680378e+008 +1.2735e+001 +5.3151e+000 +1.0306e+001 +1.2948e+001 +5.9877e+000 +9.3812e+000 +1.3077e+001 +9.7150e+000 +1.3589e+001 +1.1415e+001 +5.5644e+000 +1.0278e+001 +1.4520e+001 +1.3235e+001 +1.3712e+001 +1.1279e+001 +1.3615e+001 +1.2935e+001 +1.4718e+001 +6.8022e+000
4 +7.451247713e+007 +7.451247713e+007 +7.451226725e+007 +7.451226725e+007 +9.2686e+000 +1.2360e+001 +7.6905e+000 +1.2176e+001 +8.9910e+000 +1.4300e+001 +6.4251e+000 +9.5769e+000 +6.0030e+000 +1.2793e+001 +1.1136e+001 +1.2687e+001 +1.4524e+001 +1.1312e+001 +9.0009e+000 +7.2517e+000 +8.0458e+000 +5.3781e+000 +5.6276e+000 +5.9338e+000
175 +4.863802723e+007 +4.863802723e+007 +4.863781735e+007 +4.863781735e+007 +1.5490e+001 +5.4133e+000 +9.3611e+000 +1.1876e+001 +5.4130e+000 +1.1121e+001 +8.4729e+000 +3.0732e+000 +1.4524e+001 +1.0999e+001 +9.0945e+000 +1.1530e+001 +1.2409e+001 +1.2351e+001 +1.1402e+001 +7.0880e+000 +2.8675e+000 +3.9862e+000 +5.1271e+000 +2.4928e+000
294 +3.484346063e+007 +3.484346063e+007 +3.484325075e+007 +3.484325075e+007 +6.7581e+000 +7.8865e+000 +1.7051e+001 +1.0973e+001 +1.4302e+001 +1.1356e+001 +8.1960e+000 +8.6435e+000 +1.2265e+001 +7.8927e+000 +1.3748e+001 +1.0972e+001 +1.0197e+001 +1.4771e+001 +5.1643e+000 +8.0453e+000 +3.2728e-001 +2.0738e+000 +3.4780e+000 +1.9479e-001
430 +2.124654651e+007 +2.124654651e+007 +2.124633663e+007 +2.124633663e+007 +2.3261e+000 +1.0227e+000 +2.7848e+000 +1.0661e+001 +4.1409e+000 +1.5907e+001 +1.5829e+001 +1.3476e+001 +1.2916e+001 +8.9461e+000 +1.0525e+001 +8.5179e+000 +9.5971e+000 +1.1385e+001 -1.9358e+000 +2.0977e+000 +5.7036e+000 +1.8549e-001 +5.2066e-001 +3.6023e+000
631 +1.575626779e+007 +1.575626779e+007 +1.575605791e+007 +1.575605791e+007 +7.8325e+000 -3.1463e-001 +4.2230e+000 +1.4685e+001 +4.5324e+000 +1.6304e+001 +8.7459e+000 +1.2952e+001 +1.0663e+001 +2.9714e+000 +1.1955e+001 +1.3194e+001 +8.6940e+000 +2.6659e+000 -1.1603e+000 -2.4512e-002 +6.4767e+000 +7.3487e+000 -1.9820e+000 +2.8077e+000
722 +7.518112522e+006 +7.518112522e+006 +7.517902642e+006 +7.517902642e+006 +6.8170e+000 +1.3282e+001 +4.5013e+000 +7.4385e+000 +1.4074e+001 +1.3367e+001 +1.0786e+001 -3.1139e+000 +1.2993e+001 +1.5458e+001 +1.0687e+001 +8.6873e+000 -4.4130e+000 +3.0553e+000 -6.1240e+000 +2.6119e+000 -5.2626e-001 +2.1471e+000 -1.8466e+000 +3.5700e+000
828 +5.728313495e+006 +5.728313495e+006 +5.728103615e+006 +5.728103615e+006 +5.4233e+000 +1.0239e+001 +1.4089e+001 +8.2532e+000 +1.8138e+001 +1.8950e+001 +1.8707e+001 +1.6715e+001 +1.0157e+001 +9.3540e+000 +9.1194e+000 +1.5105e+001 +1.2690e+001 +5.8771e+000 +1.4699e-001 -5.8024e+000 +1.5559e+000 +5.0161e+000 -2.0745e+000 +1.6707e+000
871 +3.863024079e+006 +3.863024079e+006 +3.862814199e+006 +3.862814199e+006 +1.5593e+001 +3.4485e+000 +1.1172e+001 +8.3347e+000 +2.9639e+001 +1.1535e+001 +2.7070e+001 +1.7638e+001 +6.1135e+000 +7.4020e+000 +1.1657e+001 +2.0247e+000 +1.3340e+001 +1.0181e+001 +2.4998e-001 -3.7594e-001 -1.5384e+000 +3.1124e+000 -3.3702e+000 +1.8172e+000
1150 +1.908635971e+006 +1.908635971e+006 +1.908426091e+006 +1.908426091e+006 +5.6477e+000 +2.1845e+001 +1.6277e+001 +1.2996e+001 +2.1025e+001 +1.4618e+001 +9.1439e+000 +1.4984e+001 +1.3989e+000 +1.6281e+001 +7.3809e+000 +1.1022e+001 +4.8265e-001 +4.2065e+000 -1.7807e+000 -3.7110e+000 -4.5373e+000 +2.6739e+000 -2.0535e+000 +2.7142e+000
1400 +1.575895092e+006 +1.575895092e+006 +1.575685212e+006 +1.575685212e+006 +5.6477e+000 +2.1845e+001 +1.6277e+001 +7.0895e+000 +4.6323e+000 +1.4618e+001 +1.3414e+001 +1.4984e+001 +1.3989e+000 +5.9187e+000 +7.3809e+000 -4.2495e+000 +4.8265e-001 +2.7110e+000 -5.3486e+000 -6.0261e+000 -4.5373e+000 +2.6739e+000 -2.7419e+000 +1.8220e+000
1572 +8.883897107e+005 +8.883897107e+005 +8.881798307e+005 +8.881798307e+005 +7.3197e+000 +1.3378e+001 +1.8473e+001 +1.0060e+001 -6.6621e-001 +1.1166e+001 +8.3220e+000 -1.4941e+000 +1.3213e+001 +1.2387e+001 +3.5143e+000 +1.1187e+001 +1.8774e+000 +3.7744e-002 -3.6424e+000 -1.7448e+000 -3.0202e+000 +3.3246e+000 -2.7606e+000 +1.8438e+000
1807 +4.918361165e+005 +4.918361165e+005 +4.916262365e+005 +4.916262365e+005 +1.2349e+001 -8.5992e+000 +7.5475e+000 +1.3508e+001 +8.1138e+000 -1.3219e-001 +9.3400e+000 +5.8875e+000 +1.0298e+001 +1.0669e+001 +6.9881e+000 +6.5850e+000 +3.8422e+000 -4.0194e-002 -1.9604e+000 -2.8538e+000 -1.9904e+000 +3.1578e+000 -2.2754e+000 +1.7300e+000
2318 +3.959334055e+005 +3.959334055e+005 +3.957235255e+005 +3.957235255e+005 +3.1481e+001 -1.5707e+001 -1.7694e+000 +2.5397e+001 +5.6272e+000 +1.8305e+001 +4.0670e+000 -6.6317e+000 +1.9329e+001 +6.0769e+000 +8.4958e-001 -8.5681e-001 +8.5069e-001 -3.6016e+000 -9.9108e-001 -4.7938e+000 -3.2261e+000 +3.4312e+000 -2.3705e+000 +2.0347e+000
2474 +2.422038823e+005 +2.422038823e+005 +2.419940023e+005 +2.419940023e+005 +4.7160e+000 +3.6509e+001 +7.1129e+000 +1.6896e+001 +3.1945e+001 +1.8561e+001 +9.7856e+000 -6.3189e+000 +2.4631e-001 +1.7744e+000 -2.4858e+000 -5.1628e-002 +4.8206e+000 -3.2054e-001 -6.0708e-001 -4.7303e+000 -3.6447e+000 +3.3662e+000 -2.2452e+000 +2.0524e+000
2738 +1.515549083e+005 +1.515549083e+005 +1.513450283e+005 +1.513450283e+005 +4.3303e+001 +2.7006e+001 +2.2598e+001 +1.3255e+001 -2.9730e+000 +6.0177e+000 +1.2393e+001 -1.7092e+000 -1.2561e-001 +1.0560e+001 +3.8584e+000 +2.4293e+000 +3.1736e+000 -1.4125e+000 -2.0985e+000 -3.9540e+000 -2.2936e+000 +3.1109e+000 -2.4698e+000 +1.8728e+000
2969 +9.944465925e+004 +9.944465925e+004 +9.923477925e+004 +9.923477925e+004 -3.7427e+001 +1.4538e+001 +4.1987e-001 -7.7574e+000 +3.8264e+001 +3.9277e+000 +1.2184e+001 -7.3079e+000 +1.4396e+000 +3.1928e+000 +3.2571e-001 -7.9602e-001 +2.3683e+000 -1.9925e+000 -1.6398e+000 -4.2503e+000 -3.0150e+000 +3.1379e+000 -2.3034e+000 +1.8706e+000
3575 +4.266168166e+004 +4.266168166e+004 +4.245180166e+004 +4.245180166e+004 -3.3744e+001 +8.4019e+000 +9.9451e+000 +8.7498e+000 +4.4230e+000 +3.6663e+000 +5.0244e+000 +1.4091e-001 +1.7167e+000 +1.0348e+000 +2.1859e-001 +3.3310e+000 +4.2706e+000 -1.5156e+000 -1.0079e+000 -3.7021e+000 -2.6690e+000 +3.0538e+000 -2.3862e+000 +1.8774e+000
3820 +3.698083242e+004 +3.698083242e+004 +3.677095242e+004 +3.677095242e+004 +2.3239e+001 -2.6555e+001 -2.9451e+001 +5.1975e+000 -3.4423e+000 +1.1045e+001 -6.4801e+000 +4.8878e+000 -4.1629e+000 +8.5209e-001 -1.2773e-001 +2.0817e+000 +4.0745e+000 -9.8615e-001 -1.5079e+000 -3.7706e+000 -2.9158e+000 +3.1962e+000 -2.4353e+000 +1.9022e+000
4276 +2.036994957e+004 +2.036994957e+004 +2.016006957e+004 +2.016006957e+004 -2.0903e+000 -2.3578e+001 +2.8844e+000 +1.3751e+000 +1.0865e+001 +1.4843e+000 +2.8083e+000 +1.8530e+000 -5.0448e+000 +5.9875e-002 +1.0460e+000 +9.0396e-001 +4.6112e+000 -1.0573e+000 -1.3896e+000 -3.8110e+000 -3.0445e+000 +3.0127e+000 -2.4197e+000 +1.9306e+000
4793 +1.528613647e+004 +1.528613647e+004 +1.507625647e+004 +1.507625647e+004 -9.0539e+000 -5.0464e+001 -1.3308e+000 +2.5934e+000 -7.0585e+000 +9.6564e+000 -2.9982e+000 +1.4069e-001 -1.4940e+000 +3.0212e+000 +9.8822e-001 +1.7428e+000 +3.9787e+000 -1.3845e+000 -1.4835e+000 -3.7904e+000 -2.9341e+000 +3.0202e+000 -2.3713e+000 +1.9604e+000
4960 +8.748340456e+003 +8.748340456e+003 +8.538460456e+003 +8.538460456e+003 +3.5348e+001 -6.0879e+000 -1.3039e+001 -1.5151e+000 +4.7560e+000 +5.3379e+000 +4.0571e+000 -3.0579e+000 -1.3674e+000 +2.2427e+000 +7.6331e-001 +1.6308e+000 +3.7405e+000 -1.3536e+000 -1.2397e+000 -3.7025e+000 -3.0961e+000 +3.0376e+000 -2.4108e+000 +1.9324e+000
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
