% function evaluation | noise-free fitness - Fopt (4.078000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.183685228e+002 +8.183685228e+002 +8.591485228e+002 +8.591485228e+002 +8.1213e+000 +1.1036e+001 +1.2553e+001 +5.1559e+000 +7.1752e+000 +9.8535e+000 +7.5597e+000 +5.7918e+000 +1.3914e+001 +1.2624e+001 +1.3266e+001 +1.0441e+001 +1.0236e+001 +5.6711e+000 +9.7997e+000 +1.3747e+001 +1.1429e+001 +1.3733e+001 +1.1222e+001 +1.3594e+001
9 +5.021275293e+002 +5.021275293e+002 +5.429075293e+002 +5.429075293e+002 +7.4616e+000 +1.2839e+001 +5.6003e+000 +7.6668e+000 +5.0808e+000 +1.2794e+001 +7.1372e+000 +8.3167e+000 +5.7362e+000 +6.3743e+000 +7.0111e+000 +1.3738e+001 +1.3441e+001 +6.5496e+000 +5.4093e+000 +7.5344e+000 +5.2465e+000 +1.0594e+001 +7.3152e+000 +1.3029e+001
273 +3.053018337e+002 +3.053018337e+002 +3.460818337e+002 +3.460818337e+002 +1.0337e+001 +9.9274e+000 +7.2461e+000 +7.3997e+000 +1.2853e+001 +6.2778e+000 +6.8548e+000 +8.4964e+000 +1.0623e+001 +8.0442e+000 +7.1147e+000 +4.4925e+000 +6.2321e+000 +6.6338e+000 +5.2458e+000 +6.5379e+000 +2.3200e+000 -1.2677e+000 +9.9232e+000 +1.4692e+000
491 +2.430376318e+002 +2.430376318e+002 +2.838176318e+002 +2.838176318e+002 +9.2781e+000 +3.5893e+000 +8.2796e+000 +8.2422e+000 -5.2856e-001 +1.0316e+001 +5.8175e+000 +6.9476e+000 +3.4825e+000 +1.4542e+000 +4.2136e+000 +1.1156e+001 +4.4102e+000 +4.3405e+000 +3.6851e+000 +9.7815e+000 -1.6025e+000 +3.4196e+000 +3.2050e+000 +9.8397e+000
851 +1.189228623e+002 +1.189228623e+002 +1.597028623e+002 +1.597028623e+002 +7.4658e+000 +6.1748e+000 +3.6283e+000 +8.5049e+000 -9.3184e-001 +2.0459e+000 +1.7066e+000 +3.7253e+000 +9.2143e-001 +3.5122e+000 -1.3854e+000 +2.0390e+000 +6.0519e+000 +5.4972e+000 +7.9478e+000 -4.4420e-001 +1.8491e+000 +5.2257e+000 +5.2148e+000 +6.5764e+000
1272 +9.544607728e+001 +9.544607728e+001 +1.362260773e+002 +1.362260773e+002 +3.9627e+000 +6.4624e+000 +2.9519e+000 +1.7458e+000 +4.5110e+000 +3.0126e+000 +7.0929e+000 +5.4275e+000 -1.1980e+000 -5.5088e-002 -1.7045e+000 -1.3892e+000 +1.9647e+000 -1.7389e+000 +1.8683e+000 +6.0180e+000 +6.3676e-001 -1.1634e+000 -6.1170e+000 -5.0914e-001
4571 +6.063616507e+001 +6.063616507e+001 +1.014161651e+002 +1.014161651e+002 -1.8083e+000 -6.5345e-001 +4.4996e+000 -3.9990e+000 -4.5956e+000 +4.0319e+000 -4.6433e+000 -2.1141e+000 +4.4235e+000 -2.0607e+000 +1.6478e+000 -1.6000e+000 +2.8809e+000 +5.1568e+000 -1.1429e+000 +2.0673e+000 +3.9233e+000 -4.7245e-001 -8.4237e-001 +1.1474e+000
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.233648114e+002 +7.233648114e+002 +7.217648114e+002 +7.217648114e+002 +1.2916e+001 +1.1670e+001 +1.0598e+001 +1.1249e+001 +6.9183e+000 +1.0252e+001 +1.0965e+001 +1.2965e+001 +7.9201e+000 +1.1338e+001 +1.1660e+001 +7.1302e+000 +1.1485e+001 +8.5510e+000 +9.7808e+000 +1.4547e+001 +5.2278e+000 +1.1069e+001 +9.3029e+000 +7.7046e+000
4 +5.727353915e+002 +5.727353915e+002 +5.711353915e+002 +5.711353915e+002 +1.3867e+001 +1.0827e+001 +1.0436e+001 +5.7469e+000 +5.6557e+000 +1.2760e+001 +5.3184e+000 +1.1065e+001 +1.1906e+001 +9.8232e+000 +1.0806e+001 +1.0621e+001 +8.2336e+000 +8.3920e+000 +7.9696e+000 +6.9460e+000 +9.6821e+000 +5.2738e+000 +1.2289e+001 +5.0279e+000
30 +3.751327418e+002 +3.751327418e+002 +3.735327418e+002 +3.735327418e+002 +7.0710e+000 +7.6884e+000 +7.9788e+000 +7.5046e+000 +9.3256e+000 +8.2101e+000 +8.9002e+000 +9.5549e+000 +6.8424e+000 +7.5643e+000 +7.0428e+000 +1.1426e+001 +1.4571e+001 +7.2374e+000 +6.3588e+000 +9.0944e+000 +8.4704e+000 +5.6700e+000 +8.3555e+000 +6.5893e+000
323 +2.457067014e+002 +2.457067014e+002 +2.441067014e+002 +2.441067014e+002 +6.7225e+000 +5.5428e+000 +1.0687e+001 +3.9860e+000 +5.9642e+000 +5.5556e+000 +6.4774e+000 -1.7098e+000 +1.2308e+001 +5.6190e+000 +7.9363e+000 +7.8152e+000 +9.0807e+000 +5.2853e+000 +8.5569e+000 +9.1936e+000 +4.1725e+000 +3.6988e+000 +6.6766e+000 +9.5860e-001
718 +1.578485081e+002 +1.578485081e+002 +1.562485081e+002 +1.562485081e+002 +3.9919e+000 +8.3561e+000 +6.5465e+000 -1.7906e+000 -5.0412e+000 +1.3636e+000 +8.4335e+000 +9.5849e+000 +6.6849e+000 +8.3640e+000 -7.1580e+000 +7.1828e+000 +8.2767e-001 +3.9527e+000 +5.0858e+000 +4.5135e+000 +6.0800e+000 +3.4509e+000 +3.7946e+000 +5.2570e+000
