% function evaluation | noise-free fitness - Fopt (-1.694000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.695832736e+004 +2.695832736e+004 +2.694138736e+004 +2.694138736e+004 +1.4538e+001 +7.4770e+000 +1.4505e+001 +9.1356e+000 +1.3225e+001 +5.2918e+000 +7.9606e+000 +1.3926e+001 +5.2632e+000 +7.8570e+000 +7.9618e+000 +9.9677e+000 +7.8976e+000 +1.3954e+001 +5.7030e+000 +1.3102e+001 +1.1126e+001 +6.1389e+000 +1.2576e+001 +1.2597e+001
3 +2.021079854e+004 +2.021079854e+004 +2.019385854e+004 +2.019385854e+004 +1.2072e+001 +6.4847e+000 +8.6851e+000 +1.1326e+001 +1.2284e+001 +1.2057e+001 +1.3537e+001 +8.8167e+000 +6.4011e+000 +1.3130e+001 +9.5817e+000 +9.4419e+000 +5.0954e+000 +1.4495e+001 +7.9245e+000 +1.0202e+001 +8.9267e+000 +1.4250e+001 +1.4021e+001 +9.3099e+000
4 +1.059995426e+004 +1.059995426e+004 +1.058301426e+004 +1.058301426e+004 +1.4255e+001 +7.7742e+000 +6.7883e+000 +1.4209e+001 +1.2356e+001 +5.2258e+000 +1.0471e+001 +8.9876e+000 +1.0506e+001 +8.8833e+000 +6.4954e+000 +9.9305e+000 +8.0684e+000 +5.4366e+000 +1.3960e+001 +1.0072e+001 +1.1925e+001 +1.0590e+001 +1.1221e+001 +1.2412e+001
11 +7.732624109e+003 +7.732624109e+003 +7.715684109e+003 +7.715684109e+003 +8.0963e+000 +1.3010e+001 +7.5714e+000 +8.5061e+000 +6.8315e+000 +5.3114e+000 +1.2050e+001 +6.3236e+000 +5.9912e+000 +1.3394e+001 +1.1398e+001 +5.6124e+000 +9.8539e+000 +1.0055e+001 +1.4726e+001 +1.1877e+001 +1.0758e+001 +8.2589e+000 +7.3252e+000 +6.7919e+000
53 +1.581765120e+002 +1.581765120e+002 +1.412365120e+002 +1.412365120e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
331 +6.817685549e+001 +6.817685549e+001 +5.123685549e+001 +5.123685549e+001 +2.2416e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +2.2564e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +3.6483e+000 +0.0000e+000 +2.0562e+000 +0.0000e+000 +9.1818e-001 +0.0000e+000
375 +4.072471943e+001 +4.072471943e+001 +2.378471943e+001 +2.378471943e+001 +2.2416e+000 -1.8815e-001 +0.0000e+000 +0.0000e+000 +1.0753e+000 +1.5199e+000 +4.1441e-001 +0.0000e+000 -2.4668e+000 -7.8146e-002 +2.2213e+000 +0.0000e+000 +2.6978e+000 +0.0000e+000 +2.5022e+000 +1.9532e+000 +1.9334e+000 +1.4203e+000 -2.4841e+000 +1.6669e+000
430 +3.942743582e+001 +3.942743582e+001 +2.248743582e+001 +2.248743582e+001 +0.0000e+000 +0.0000e+000 -1.0533e-002 -5.0951e-001 +5.9901e+000 +1.5199e+000 +0.0000e+000 +8.3204e-001 -2.4668e+000 -1.7110e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 -7.5489e-001 +0.0000e+000 +0.0000e+000 +2.8948e+000 +0.0000e+000 -2.2603e-001 +2.8719e+000
1806 +2.109748158e+001 +2.109748158e+001 +4.157481583e+000 +4.157481583e+000 +3.3623e+000 +3.3359e+000 -1.6843e+000 +1.0348e-001 +3.0554e+000 -1.3297e+000 +4.5323e+000 -1.6873e+000 -3.7063e-001 +0.0000e+000 +2.7291e+000 +8.5220e-001 +0.0000e+000 -3.4183e-002 +4.8035e+000 +3.2629e+000 +2.7945e+000 -1.1862e+000 -8.1854e-001 +2.2896e+000
6170 +1.490598817e+001 +1.490598817e+001 -2.034011835e+000 -2.034011835e+000 +3.2963e+000 +1.8892e+000 -4.1744e-001 -2.4994e-001 +4.2106e+000 -2.8411e-001 +2.5210e+000 -5.6130e-001 +9.7373e-001 -2.3483e+000 +2.6885e+000 -4.6942e-002 -1.4034e+000 -1.0135e+000 +2.8749e+000 +4.9595e+000 +4.9292e+000 +1.2430e-001 +1.4940e+000 +2.8004e+000
