% function evaluation | noise-free fitness - Fopt (1.026100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.859168569e+006 +8.859168569e+006 +8.859271179e+006 +8.859271179e+006 +1.3245e+001 +1.3485e+001 +1.1033e+001 +1.1427e+001 +1.0380e+001 +6.6805e+000 +1.3861e+001 +1.3231e+001 +1.3037e+001 +1.0964e+001 +1.2978e+001 +8.1218e+000 +8.1388e+000 +1.3299e+001 +1.4948e+001 +1.3201e+001 +9.6271e+000 +7.5269e+000 +1.0141e+001 +9.0721e+000
5 +6.240730324e+006 +6.240730324e+006 +6.240832934e+006 +6.240832934e+006 +7.3420e+000 +6.1261e+000 +6.5768e+000 +5.4056e+000 +9.1325e+000 +9.7899e+000 +8.1429e+000 +1.1296e+001 +1.2091e+001 +1.1347e+001 +9.2810e+000 +1.3893e+001 +1.2530e+001 +5.5407e+000 +1.4975e+001 +9.8280e+000 +1.4243e+001 +1.1861e+001 +8.3529e+000 +8.5839e+000
8 +3.632541853e+006 +3.632541853e+006 +3.632644463e+006 +3.632644463e+006 +6.0594e+000 +7.7478e+000 +6.8744e+000 +8.8529e+000 +1.1167e+001 +6.4419e+000 +8.4173e+000 +8.6565e+000 +8.9878e+000 +5.7855e+000 +6.7356e+000 +5.1568e+000 +7.2310e+000 +8.0387e+000 +1.0736e+001 +9.7669e+000 +1.0091e+001 +1.4942e+001 +9.3870e+000 +1.1091e+001
55 +3.131124616e+002 +3.131124616e+002 +4.157224616e+002 +4.157224616e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
404 +2.402693418e+002 +2.402693418e+002 +3.428793418e+002 +3.428793418e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 -1.6944e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
% function evaluation | noise-free fitness - Fopt (9.330000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.161357776e+006 +3.161357776e+006 +3.161451076e+006 +3.161451076e+006 +7.5175e+000 +5.1614e+000 +9.2845e+000 +7.0953e+000 +1.0726e+001 +6.8261e+000 +8.0443e+000 +1.0743e+001 +8.2240e+000 +1.4567e+001 +1.0038e+001 +5.2774e+000 +8.4645e+000 +8.4858e+000 +5.0202e+000 +6.9407e+000 +8.3508e+000 +7.0913e+000 +9.9122e+000 +8.6179e+000
53 +3.422558314e+002 +3.422558314e+002 +4.355558314e+002 +4.355558314e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
523 +2.483040760e+002 +2.483040760e+002 +3.416040760e+002 +3.416040760e+002 +0.0000e+000 +0.0000e+000 +2.2609e-001 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +1.7526e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +4.5102e-001 +6.1840e-002
% function evaluation | noise-free fitness - Fopt (1.364000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.421834706e+006 +7.421834706e+006 +7.421848346e+006 +7.421848346e+006 +1.4619e+001 +8.8222e+000 +1.0956e+001 +8.8280e+000 +8.7953e+000 +1.3440e+001 +1.2220e+001 +1.0196e+001 +8.3280e+000 +1.0392e+001 +8.7088e+000 +1.4629e+001 +5.7215e+000 +7.8898e+000 +1.1801e+001 +1.3826e+001 +9.4573e+000 +7.4401e+000 +1.2820e+001 +1.2264e+001
4 +5.905271186e+006 +5.905271186e+006 +5.905284826e+006 +5.905284826e+006 +9.5668e+000 +1.0070e+001 +7.2898e+000 +1.0774e+001 +7.1492e+000 +9.8549e+000 +1.2457e+001 +7.5794e+000 +1.3807e+001 +5.0925e+000 +1.0881e+001 +8.2417e+000 +5.3879e+000 +9.6220e+000 +1.1031e+001 +1.3015e+001 +1.4877e+001 +6.4099e+000 +5.2418e+000 +1.3357e+001
61 +3.271130175e+002 +3.271130175e+002 +3.407530175e+002 +3.407530175e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
650 +2.499745761e+002 +2.499745761e+002 +2.636145761e+002 +2.636145761e+002 +0.0000e+000 +0.0000e+000 +1.3086e-001 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 -7.8602e-001 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
% function evaluation | noise-free fitness - Fopt (1.948000000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.255953603e+006 +8.255953603e+006 +8.256148403e+006 +8.256148403e+006 +1.3745e+001 +5.7352e+000 +8.3191e+000 +1.1782e+001 +1.3844e+001 +7.2550e+000 +1.1940e+001 +8.9960e+000 +1.4141e+001 +7.2682e+000 +6.1134e+000 +1.4557e+001 +1.2882e+001 +8.5919e+000 +1.1999e+001 +1.3208e+001 +7.7990e+000 +7.6824e+000 +1.2582e+001 +1.4908e+001
3 +5.622554020e+006 +5.622554020e+006 +5.622748820e+006 +5.622748820e+006 +8.6703e+000 +9.6864e+000 +1.2738e+001 +9.5747e+000 +1.0599e+001 +1.4040e+001 +6.9375e+000 +5.6441e+000 +1.4572e+001 +5.3890e+000 +1.0320e+001 +8.8532e+000 +8.2006e+000 +1.1836e+001 +7.2061e+000 +1.0107e+001 +1.0841e+001 +7.3193e+000 +5.2290e+000 +1.3109e+001
