% function evaluation | noise-free fitness - Fopt (1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.878642005e+003 +1.878642005e+003 +2.878642005e+003 +2.878642005e+003 +2.8708e+000 -2.2750e+000 +1.2718e+000 +1.1033e+000 +9.2606e-001 +3.7387e+000 -2.7405e+000 -3.0676e+000 -2.8273e+000 +3.2699e-002 +3.2360e+000 -2.5245e+000 +4.5009e+000 -4.4855e+000 -2.5172e+000 +2.9541e-001 +7.7990e-001 +2.6037e+000 -2.6820e+000 +2.5237e+000
3 +1.472342938e+003 +1.472342938e+003 +2.472342938e+003 +2.472342938e+003 +2.1919e+000 -1.8955e+000 +1.0930e+000 +4.2931e+000 -3.4320e+000 +1.0423e+000 -3.6573e+000 -8.5946e-001 +1.9161e+000 -3.5174e+000 -3.3320e+000 -1.1339e+000 -2.7133e+000 -1.7432e+000 +2.8884e+000 -4.6716e+000 -1.0254e+000 -1.2949e+000 -5.4506e-001 -3.7995e+000
4 +6.614013510e+002 +6.614013510e+002 +1.661401351e+003 +1.661401351e+003 -6.1831e-001 +1.4972e+000 +2.4834e+000 +4.6380e+000 +4.4013e+000 +4.8573e+000 +2.2861e+000 +2.4495e+000 +2.0807e-002 -2.8809e+000 +2.8946e+000 -1.7107e+000 -3.9768e+000 -2.0436e+000 +3.5889e+000 +9.5141e-001 -7.3551e-001 -1.0583e+000 -1.1711e-002 -1.2679e+000
73 +6.244761447e+002 +6.244761447e+002 +1.624476145e+003 +1.624476145e+003 -2.3383e+000 +5.7125e-001 +3.8070e+000 +1.4844e+000 +1.3583e+000 +7.8075e-001 +2.0325e+000 -2.7727e+000 -2.1561e-001 +7.9461e-001 -1.0777e+000 -8.1911e-001 -1.0268e+000 -1.7866e+000 +6.6567e+000 +1.0929e+000 -1.9486e+000 +3.4605e-001 -8.1376e-001 -4.4825e-001
470 +3.979136465e+002 +3.979136465e+002 +1.397913646e+003 +1.397913646e+003 -2.5258e+000 -5.6216e-001 +3.3114e+000 +2.6766e+000 +2.8900e+000 -2.4174e+000 -4.9773e-001 -1.1786e+000 +1.7682e-002 -1.3581e+000 -2.0474e-002 +7.1491e-001 -1.0363e+000 -2.8708e+000 +4.8371e+000 +2.5991e+000 +2.8637e-001 -3.7394e+000 +1.3618e+000 -3.0175e-001
1223 +2.491029887e+002 +2.491029887e+002 +1.249102989e+003 +1.249102989e+003 -4.2078e+000 +2.0908e+000 +4.2356e+000 +4.7656e+000 +4.4180e+000 -4.1974e+000 -3.1273e-001 -2.1334e+000 -1.9090e+000 -1.3594e+000 +5.3476e-001 -3.8262e-001 -9.1522e-001 -7.4631e+000 +5.3971e+000 +3.8616e+000 +3.1654e+000 -2.9866e-001 +4.5648e-001 +2.7079e-002
2577 +1.561136540e+002 +1.561136540e+002 +1.156113654e+003 +1.156113654e+003 -3.8809e+000 +2.4498e+000 +5.3344e+000 +4.4632e+000 +3.0126e+000 -4.3066e+000 -2.6477e+000 -1.7991e+000 -2.0050e+000 -1.6320e+000 -2.0381e+000 -3.8240e-001 -3.1718e-001 -4.1777e+000 +4.8159e+000 +4.9422e+000 +3.2252e+000 -1.1545e+000 -9.0264e-001 -5.1256e-001
5073 +9.969335724e+001 +9.969335724e+001 +1.099693357e+003 +1.099693357e+003 -3.8480e+000 +2.4682e+000 +5.3063e+000 +4.3956e+000 +2.8031e+000 -4.2655e+000 -2.7742e+000 -1.8650e+000 -2.0377e+000 -1.6395e+000 -2.0864e+000 -3.3530e-001 -2.4409e-001 -3.9384e+000 +4.8908e+000 +4.9871e+000 +3.2806e+000 -1.2251e+000 -9.5157e-001 -5.4179e-001
5828 +6.150250277e+001 +6.150250277e+001 +1.061502503e+003 +1.061502503e+003 -3.8006e+000 +2.4756e+000 +5.1471e+000 +4.4078e+000 +2.9617e+000 -4.1894e+000 -2.9105e+000 -2.0598e+000 -2.0086e+000 -1.6648e+000 -2.1980e+000 -1.7716e-001 -2.2771e-001 -3.9002e+000 +4.8132e+000 +5.0521e+000 +3.2670e+000 -1.1919e+000 -8.9707e-001 -6.9258e-001
7701 +3.934900655e+001 +3.934900655e+001 +1.039349007e+003 +1.039349007e+003 -3.7988e+000 +2.5582e+000 +5.1125e+000 +4.4266e+000 +2.9295e+000 -4.2035e+000 -2.8236e+000 -2.0913e+000 -2.0604e+000 -1.6772e+000 -2.2366e+000 -2.7975e-001 -2.6929e-001 -3.8992e+000 +4.7764e+000 +5.0131e+000 +3.2920e+000 -1.2252e+000 -9.5381e-001 -7.1173e-001
