% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.820046315e+005 +3.820046315e+005 +3.821537815e+005 +3.821537815e+005 -4.5889e+000 +3.8458e+000 -7.1390e-001 -3.0922e-001 +2.3846e+000 -1.1769e+000 -3.5663e+000 +2.5162e+000 -2.0249e+000 +3.1844e-001 +1.2754e+000 +2.9415e+000 -3.3178e+000 +4.1387e-001 -8.0043e-001 -1.5155e+000 -4.1601e+000 -2.2936e+000 -3.7611e+000 +2.2677e+000
8 +2.459976153e+005 +2.459976153e+005 +2.461467653e+005 +2.461467653e+005 +2.2031e+000 -1.4740e+000 -3.5747e+000 +3.0753e+000 -3.8337e+000 -8.0115e-001 -2.2095e+000 -3.3251e+000 +2.0909e+000 -4.0729e-001 -2.4256e+000 -7.8372e-001 -3.0879e+000 -4.4587e+000 -3.1570e+000 -2.4459e+000 +4.5454e+000 -1.0310e-001 +2.6525e+000 +3.6906e+000
20 +8.223040105e+004 +8.223040105e+004 +8.237955105e+004 +8.237955105e+004 -3.0550e+000 -1.3711e-001 +3.1933e-001 -2.9447e+000 -4.7264e+000 -4.4047e-001 -1.5622e+000 -9.7094e-001 -4.0239e+000 +3.1348e+000 -6.7516e-001 +1.0316e+000 +1.6911e+000 -5.2353e-001 -7.5219e-001 -1.5349e+000 +3.4411e+000 +2.3122e+000 -1.6607e+000 +3.8594e+000
228 +5.548140635e+004 +5.548140635e+004 +5.563055635e+004 +5.563055635e+004 -2.5944e+000 -1.7828e-001 -3.4087e+000 +1.1195e+000 -4.0096e+000 -4.4572e+000 -5.8996e-001 -2.8212e+000 -4.1752e+000 +2.8796e+000 +1.1040e+000 +5.8110e-001 +2.9143e+000 -8.3409e-001 -2.2162e+000 +1.3058e-002 +3.9875e-002 +3.0831e+000 -2.6281e+000 +1.0621e+000
304 +3.713713160e+004 +3.713713160e+004 +3.728628160e+004 +3.728628160e+004 +1.7091e-002 +4.6675e-001 -4.2853e+000 +9.5766e-001 -6.6997e+000 -1.1593e+000 -8.7847e-001 -1.4406e+000 -5.7032e-001 +2.4669e+000 -1.3389e+000 +3.3137e-001 +3.4043e+000 +1.1844e+000 -3.1206e-001 +2.5779e-001 +6.1544e-001 +1.7130e+000 -2.4740e+000 +4.0824e-001
401 +2.455948370e+004 +2.455948370e+004 +2.470863370e+004 +2.470863370e+004 +1.5669e-002 +2.3774e-002 +1.1084e+000 +1.0488e+000 -1.5008e+000 -2.8301e+000 -1.1673e+000 -2.3996e+000 -1.6339e+000 +5.6885e-001 -5.8554e-001 -1.7484e+000 +2.4179e+000 -2.7663e+000 -7.4447e-001 +8.7051e-001 -3.1990e+000 -1.1308e+000 +6.5510e-001 +1.9926e+000
652 +1.330407443e+004 +1.330407443e+004 +1.345322443e+004 +1.345322443e+004 -2.1614e+000 +1.0475e+000 +9.8454e-002 +8.5087e-001 -5.6199e+000 -1.4497e+000 -4.0296e-001 -1.8244e+000 -8.4121e-001 -2.0460e-001 -2.2489e+000 +6.3772e-001 +1.2295e+000 +5.1532e-001 -2.6915e+000 +1.3607e-001 +1.1408e+000 -2.5024e+000 -8.2182e-001 +3.7276e+000
891 +7.440423047e+003 +7.440423047e+003 +7.589573047e+003 +7.589573047e+003 +2.3440e-001 +1.1143e+000 -1.8663e-001 +1.8342e+000 -4.6414e+000 -1.6713e+000 -2.8661e+000 -4.8273e-001 -2.1609e+000 -4.3109e-001 -1.6029e+000 -1.3706e+000 +2.3167e+000 -6.7568e-001 -7.3617e-002 -1.6220e-001 -1.3635e+000 -2.2111e+000 -8.1066e-001 +1.2042e+000
1264 +5.136057958e+003 +5.136057958e+003 +5.285207958e+003 +5.285207958e+003 +2.1942e-001 +6.4071e-001 -4.0972e-001 -5.7891e-001 -4.7482e+000 -1.0833e+000 -5.2346e-001 -5.2286e-001 -9.2686e-001 -2.5737e-001 -1.7810e+000 -1.4848e+000 +1.8160e+000 -2.1688e+000 -7.9058e-001 -9.2625e-001 +4.2357e-001 -2.0593e+000 -6.2018e-001 +7.4333e-001
1575 +3.358938104e+003 +3.358938104e+003 +3.508088104e+003 +3.508088104e+003 +7.3343e-001 +7.3318e-001 -5.6790e-001 +3.0643e-001 -4.1090e+000 -8.2316e-001 -6.0034e-001 -1.3253e+000 -7.7804e-001 -6.2400e-001 -1.7485e+000 -1.1687e+000 +1.6926e+000 -2.4818e+000 -5.1817e-001 -7.9913e-001 +4.0229e-001 -1.1057e-001 -9.4824e-001 +2.8403e-001
1734 +2.335019945e+003 +2.335019945e+003 +2.484169945e+003 +2.484169945e+003 +9.9606e-002 +4.2182e-001 -7.4651e-001 +3.6802e-001 -3.7152e+000 -1.2056e+000 -5.1394e-001 -1.9065e+000 -1.3206e+000 +1.1134e-001 -1.7709e+000 -9.6438e-001 +1.7930e+000 -2.2602e+000 -2.3565e-001 -5.9300e-001 +5.5935e-001 +4.2034e-001 -1.0747e+000 +1.3470e-001
2212 +1.216890827e+003 +1.216890827e+003 +1.366040827e+003 +1.366040827e+003 -9.5146e-001 -8.2140e-002 -9.9430e-001 +1.1630e+000 -3.7004e+000 -1.3059e+000 -6.5185e-001 -1.7393e+000 -9.7541e-001 -5.6478e-001 -1.7137e+000 -5.6448e-001 +1.4119e+000 -1.8968e+000 -5.0853e-001 -2.4905e-001 +5.1665e-001 +1.1688e+000 -1.1697e+000 -2.9619e-001
2297 +8.185877033e+002 +8.185877033e+002 +9.677377033e+002 +9.677377033e+002 -2.3416e+000 -2.2035e-001 -8.1968e-001 +5.3240e-001 -3.6546e+000 -1.4609e+000 -1.3350e+000 -1.3570e+000 -8.8462e-001 -7.0666e-001 -1.7927e+000 -1.5339e-001 +9.4145e-001 -1.1891e+000 -2.8331e-001 +4.0933e-002 +4.9199e-001 +1.1813e+000 -1.0144e+000 -2.6829e-001
