% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.392755804e+005 +5.392755804e+005 +5.394247304e+005 +5.394247304e+005 -1.7520e+000 -3.3804e+000 -4.2320e+000 -4.2348e+000 -2.4875e+000 -2.7586e+000 -2.2405e+000 +4.1053e+000 +4.4021e+000 -1.1982e+000 -4.2937e+000 +4.6882e+000 -3.7918e-001 +4.1777e+000 +3.5301e+000 -1.0205e+000 +8.9657e-001 +3.4135e+000 +1.5999e+000 +1.0214e-001
16 +3.433790505e+005 +3.433790505e+005 +3.435282005e+005 +3.435282005e+005 +2.9380e+000 -2.9720e+000 -1.5505e+000 -4.4927e+000 -1.9014e+000 -3.4307e+000 +1.8312e+000 +2.7598e+000 -3.5131e+000 +4.9755e+000 +1.2348e-001 +4.1047e+000 +2.7226e+000 +1.5948e+000 +6.6650e-001 -1.8752e-001 +3.6205e+000 -1.4477e+000 -1.9337e-001 +3.5449e+000
19 +1.459779543e+005 +1.459779543e+005 +1.461271043e+005 +1.461271043e+005 +1.6629e+000 -2.7149e+000 -6.7165e-001 +2.9683e+000 -2.6938e+000 -4.3071e+000 -3.3073e+000 -2.8522e+000 -3.9807e+000 +4.2802e+000 -6.1633e-001 -3.5748e+000 -2.1556e+000 +2.0209e+000 -4.5206e+000 -3.0797e+000 +1.2012e+000 -2.7356e+000 -3.5432e+000 -4.7412e+000
81 +5.307637439e+004 +5.307637439e+004 +5.322552439e+004 +5.322552439e+004 -1.7731e+000 +1.9763e+000 +2.3388e+000 +3.7419e+000 -3.7457e+000 -1.0385e+000 +1.0108e-001 -1.4818e+000 +2.1671e+000 +1.0056e-001 -7.6788e-001 +6.6661e-001 +4.6523e+000 +1.8459e+000 -1.8364e+000 -8.8561e-001 +1.8620e-001 +1.4872e+000 -2.4094e+000 +2.4893e+000
337 +2.994609401e+004 +2.994609401e+004 +3.009524401e+004 +3.009524401e+004 -3.2577e+000 +6.1688e-001 +3.2309e-001 +4.1917e+000 -2.7143e+000 -1.3165e+000 -5.8341e-001 -2.4356e+000 -1.6799e+000 -1.3829e+000 -7.2193e-001 -1.6271e+000 +4.5829e+000 +7.8992e-001 +1.1025e+000 -2.8930e+000 -1.8910e+000 +1.3514e+000 -1.2206e+000 +9.4587e-001
570 +2.146149909e+004 +2.146149909e+004 +2.161064909e+004 +2.161064909e+004 -2.1093e+000 -4.1538e-001 +2.7189e-001 +3.6006e+000 -4.9361e+000 -2.1839e-001 -1.0506e+000 -1.0335e+000 +6.7700e-001 +7.2115e-002 -2.3687e+000 +6.3261e-001 +4.1355e+000 -5.7284e-001 -5.2862e-001 -1.5926e+000 -2.1303e+000 +2.9337e+000 -1.1424e+000 +8.6164e-001
628 +1.432183893e+004 +1.432183893e+004 +1.447098893e+004 +1.447098893e+004 +1.4610e+000 +9.1499e-001 -1.1221e+000 +2.8894e+000 -3.7745e+000 -4.4917e+000 -2.6635e+000 -2.5231e+000 -2.0649e-001 -1.6178e+000 -3.4197e+000 +2.2013e-001 +1.9085e+000 +4.5599e-001 -7.3753e-001 -1.0433e+000 -2.0223e-001 +9.0116e-001 -4.2708e+000 -1.7889e+000
791 +9.496024604e+003 +9.496024604e+003 +9.645174604e+003 +9.645174604e+003 -1.2201e+000 +9.4709e-001 -1.3830e+000 +1.7587e+000 -3.5516e+000 -3.4247e+000 -2.9164e+000 -3.2470e+000 +5.6338e-001 -1.6696e+000 -2.0123e+000 -6.8545e-001 +9.6056e-001 +8.1969e-002 -2.9548e+000 -7.8576e-001 -6.6512e-001 -7.4248e-001 -4.8500e+000 -1.7655e+000
1007 +4.650785471e+003 +4.650785471e+003 +4.799935471e+003 +4.799935471e+003 -1.3124e+000 +2.0742e-001 -5.2280e-001 +2.0542e+000 -4.8258e+000 -3.9648e+000 -2.3755e+000 -1.6996e+000 +2.0355e-001 -3.0203e-001 -2.1530e+000 -4.4192e-001 +2.3230e+000 -5.8387e-001 -1.0761e+000 -2.9816e-001 -7.7844e-001 +3.5181e-001 -4.0999e+000 -1.6680e+000
1371 +3.964927523e+003 +3.964927523e+003 +4.114077523e+003 +4.114077523e+003 -1.5970e+000 +3.4007e-001 -4.8102e-001 +1.2570e+000 -4.8440e+000 -3.7240e+000 -2.5293e+000 -1.8401e+000 +1.1811e-001 -3.8212e-001 -1.8837e+000 -9.2994e-001 +2.8725e+000 -4.5902e-001 -1.5950e+000 -4.8624e-001 -4.9932e-001 -1.4838e-002 -3.2667e+000 -1.3976e+000
1593 +2.166155598e+003 +2.166155598e+003 +2.315305598e+003 +2.315305598e+003 -1.9939e+000 +1.8259e-001 -4.7432e-001 +1.1818e+000 -4.4974e+000 -3.0112e+000 -1.5661e+000 -1.5809e+000 -5.3502e-001 +8.5065e-001 -1.6968e+000 -7.1931e-001 +3.3815e+000 -3.9840e-001 -1.2470e+000 -1.0118e+000 -1.0847e+000 -1.8090e-001 -3.1870e+000 -1.5828e+000
2295 +1.498286092e+003 +1.498286092e+003 +1.647436092e+003 +1.647436092e+003 -2.4452e-001 +3.8829e-001 +5.3052e-002 +2.1634e+000 -3.0491e+000 -2.9901e+000 -1.8283e+000 -1.9946e+000 -4.6614e-001 +1.2501e-001 -2.4553e+000 -9.4829e-002 +2.6682e+000 -1.0058e+000 -2.3415e+000 -3.5332e-001 -2.9357e-001 -3.8703e-003 -4.3153e+000 -1.0859e+000
