% function evaluation | noise-free fitness - Fopt (7.135000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.781286447e+001 +8.781286447e+001 +1.591628645e+002 +1.591628645e+002 -1.9732e+000 +2.3600e+000 +2.5704e+000 +3.2630e+000 +3.9697e+000 -1.6869e+000 -3.8933e+000 +2.9020e-001 -4.1577e+000 -2.9361e+000 +2.4062e+000 +4.1260e+000 -3.6416e-001 -2.4390e+000 +4.1506e+000 -3.7079e+000 -1.7188e+000 +3.4391e+000 -3.4412e+000 -2.2363e+000
7 +4.455145244e+001 +4.455145244e+001 +1.159014524e+002 +1.159014524e+002 -8.9222e-003 +7.5500e-001 +2.4750e+000 -3.0728e+000 -1.9063e+000 -3.0477e+000 -4.9492e+000 +2.1002e+000 +2.8511e+000 +2.9816e+000 -4.3504e+000 +2.8007e+000 +7.9154e-001 +1.4909e-001 -3.1957e+000 -4.9800e+000 -2.7233e+000 -4.2406e-002 -1.6356e+000 -6.7324e-001
8 +3.967354252e+001 +3.967354252e+001 +1.110235425e+002 +1.110235425e+002 +1.4023e+000 +3.1023e+000 +1.9940e+000 -3.5047e+000 -2.5252e+000 +2.6839e+000 -4.7379e+000 -9.8179e-001 +4.8566e+000 -2.8654e+000 +1.0676e+000 +2.6471e+000 -3.5077e+000 -2.0810e+000 +2.3886e+000 +1.4404e+000 +1.3928e+000 -4.3807e+000 -2.5602e+000 -4.0597e+000
4437 +2.461923501e+001 +2.461923501e+001 +9.596923501e+001 +9.596923501e+001 +1.6464e+000 +1.8266e+000 -5.4094e+000 -3.2460e-001 +5.7091e+000 -3.0759e+000 -5.2849e+000 -3.4174e+000 +6.5813e+000 -3.1281e+000 -4.9556e-001 +2.4536e-002 -4.0451e+000 -2.2261e+000 +2.4676e+000 -2.2946e+000 +1.3556e+000 +3.2438e+000 +1.8354e+000 +5.2079e+000
15645 +1.537230786e+001 +1.537230786e+001 +8.672230786e+001 +8.672230786e+001 +1.7239e+000 +2.0239e+000 -1.5930e+000 +2.6190e+000 +5.4123e-001 -2.2142e+000 -5.1390e+000 -5.0418e+000 +2.1177e+000 +1.7523e+000 -5.0891e-001 -1.8815e-001 -1.2305e+000 -2.2050e+000 -4.9100e+000 +1.4177e+000 +1.4127e+000 +3.0002e+000 +1.8000e+000 +5.2540e+000
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.074445454e+002 +1.074445454e+002 -2.477754546e+002 -2.477754546e+002 +1.6931e+000 +3.8445e-001 +5.0582e-001 -1.9580e+000 -2.3687e+000 -2.3764e+000 -1.9315e+000 +3.9256e+000 -3.7546e+000 -3.0761e+000 -2.0658e+000 -3.7195e+000 +3.5126e+000 -5.4299e-002 +4.6142e+000 -8.7506e-001 +3.4429e+000 -4.1858e+000 -4.7891e+000 -4.5636e+000
4 +8.337753588e+001 +8.337753588e+001 -2.718424641e+002 -2.718424641e+002 +2.1705e+000 -4.3484e-001 -4.8096e+000 +2.9369e+000 +2.9099e+000 -3.9334e+000 +4.2833e+000 +3.5013e+000 -3.7816e+000 -4.1053e+000 -8.6024e-001 +3.7198e+000 +3.1141e+000 -4.2217e+000 +2.7033e+000 +3.5064e+000 +3.8412e+000 -2.4554e+000 +1.8351e-001 +4.0965e+000
6 +5.875268488e+001 +5.875268488e+001 -2.964673151e+002 -2.964673151e+002 +3.0894e+000 -2.4254e+000 +2.7455e+000 +3.3771e+000 +2.8925e+000 -3.2246e+000 +9.8862e-001 +2.1127e+000 -3.5638e+000 -7.8479e-001 +2.1102e+000 -3.8423e-001 -1.5312e+000 +4.0664e+000 +1.2942e+000 +6.4541e-001 -4.7385e+000 +2.8819e+000 +7.8479e-001 -3.7645e+000
16 +3.879379911e+001 +3.879379911e+001 -3.164262009e+002 -3.164262009e+002 -1.0000e+000 -1.9762e+000 +2.9575e+000 +4.7350e+000 +1.7342e+000 +4.6460e+000 +2.2029e+000 +1.2941e+000 +4.6018e+000 -4.3135e+000 -3.3413e+000 -2.4929e+000 -4.0825e+000 -2.0804e+000 +2.0911e+000 +3.3422e+000 +4.3855e+000 -1.6657e-001 +1.3646e+000 +2.7967e+000
2221 +2.507200534e+001 +2.507200534e+001 -3.301479947e+002 -3.301479947e+002 -6.6781e+000 -1.2111e+000 -6.4883e+000 -4.0441e+000 -1.7055e+000 +4.7898e+000 -4.4611e+000 -1.5104e+000 -1.9852e-001 +2.6887e+000 +1.1597e+000 -4.4607e-001 +4.3502e+000 +6.5747e+000 +3.9990e+000 +9.7803e-001 -2.6706e-001 +5.6121e+000 -3.5265e+000 +6.5019e+000
6318 +1.581334075e+001 +1.581334075e+001 -3.394066592e+002 -3.394066592e+002 -6.6654e+000 -1.1227e+000 -6.4442e+000 -3.9962e+000 -1.8671e+000 +4.8275e+000 -4.5822e+000 -1.7414e+000 -1.8356e-001 +2.6760e+000 +1.1318e+000 -5.5822e-001 +4.2617e+000 +6.5069e+000 +4.2210e+000 +1.1267e+000 -1.2738e-001 +5.4610e+000 -3.5768e+000 +6.5668e+000
% function evaluation | noise-free fitness - Fopt (9.917000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.288289056e+001 +7.288289056e+001 +1.720528906e+002 +1.720528906e+002 -2.8194e+000 -2.5506e+000 +2.8344e-001 -4.6911e+000 -2.6642e+000 -2.6822e+000 +1.9077e+000 +2.4264e+000 -4.9427e+000 +1.2132e+000 +2.7222e+000 +1.3361e+000 -4.2120e+000 +9.4008e-001 +2.6839e+000 +9.2327e-001 +1.1160e+000 -3.5439e-001 +1.9267e-001 +4.6895e-001
5 +5.895788915e+001 +5.895788915e+001 +1.581278892e+002 +1.581278892e+002 +4.7802e+000 +3.5529e+000 +4.2028e+000 +4.8203e+000 +1.1643e+000 -3.7249e+000 -1.4475e+000 -1.3927e+000 -4.0774e+000 -4.9405e+000 +1.1147e+000 -1.2978e+000 -1.9918e+000 +1.6457e+000 +2.1228e+000 +4.2781e+000 +1.4657e+000 -3.9924e+000 +1.9896e+000 -1.6784e+000
115 +3.375880370e+001 +3.375880370e+001 +1.329288037e+002 +1.329288037e+002 -1.6681e+000 +4.4896e+000 -2.2694e-001 -2.7695e+000 -3.2283e+000 -4.1683e+000 -4.0629e+000 +2.8683e+000 -4.9467e-001 +1.1331e+000 +2.9493e+000 -4.2238e+000 -1.6843e-001 +5.4663e-001 -7.1789e+000 -4.0864e+000 +1.0720e+000 +1.4409e+000 +2.9167e+000 -2.9892e+000
890 +2.034475195e+001 +2.034475195e+001 +1.195147520e+002 +1.195147520e+002 +7.9718e-001 -1.5803e-001 +1.7993e+000 -3.6269e+000 -2.2828e+000 -1.1489e-001 -4.6710e+000 -7.0441e-001 +4.2427e+000 +5.7359e+000 +3.0090e+000 +1.2045e+000 +6.3802e+000 -1.1339e+000 -1.9141e+000 -8.9999e-001 +2.2390e+000 +3.0203e+000 -1.6152e+000 -3.0735e+000
3767 +1.391037761e+001 +1.391037761e+001 +1.130803776e+002 +1.130803776e+002 +6.5446e-001 +1.1483e-001 +1.6470e+000 -3.8047e+000 -2.3087e+000 -1.5836e-001 -5.1348e+000 -7.1519e-001 +4.2559e+000 +5.8144e+000 +3.3338e+000 +1.1314e+000 +6.3861e+000 -1.1514e+000 -1.8308e+000 -9.1173e-001 +2.1464e+000 +3.0722e+000 -1.6791e+000 -2.6512e+000
