% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.515093422e+003 +4.515093422e+003 +4.053003422e+003 +4.053003422e+003 +2.0498e+000 -4.9016e+000 +3.1056e+000 +4.7878e+000 -8.2485e-001 -3.7017e+000 +2.5619e+000 +2.5127e+000 -6.9617e-001 -4.3899e+000 +1.0909e+000 +1.1750e+000 -2.5706e+000 +5.5482e-001 +4.6036e+000 +4.0432e+000 -1.3454e-001 +2.9862e+000 +6.6008e-002 -2.2894e+000
3 +1.124308525e+003 +1.124308525e+003 +6.622185250e+002 +6.622185250e+002 +1.1300e+000 +6.6896e-001 +1.6212e+000 -2.2684e+000 -2.1456e+000 -1.6335e+000 +2.4133e+000 -1.5778e+000 +3.4226e+000 +1.1578e+000 -1.4172e+000 -2.0113e+000 -4.6485e+000 +5.0001e-001 -6.4955e-001 -2.9134e+000 +2.1044e+000 +1.8360e-001 +9.4762e-001 +3.8024e+000
57 +7.554595868e+002 +7.554595868e+002 +2.933695868e+002 +2.933695868e+002 +1.1810e+000 -4.9136e-001 -1.7111e-001 +5.3394e-001 -2.1863e+000 +1.2527e+000 +3.5611e+000 -1.7924e+000 +1.4566e+000 +5.6521e-001 +3.3035e-001 +7.6558e-002 -6.6450e+000 -1.1378e+000 -2.3395e+000 -5.2639e+000 -2.8810e-001 +1.2126e+000 -8.1171e-001 +3.2236e+000
404 +6.109397361e+002 +6.109397361e+002 +1.488497361e+002 +1.488497361e+002 +3.8597e-001 +3.0814e+000 -1.3908e+000 -2.4172e-001 -2.7374e+000 +2.7978e+000 +1.7353e+000 +4.6758e-001 +3.4943e+000 -1.0823e-001 -1.3364e+000 -1.8006e+000 -6.1881e-001 -3.0816e-001 -3.3328e+000 -2.6004e+000 -7.5482e-001 -1.1047e+000 -6.1668e-001 +6.9465e-001
584 +3.499199681e+002 +3.499199681e+002 -1.121700319e+002 -1.121700319e+002 -2.5759e+000 +6.3052e+000 +4.0096e+000 +4.1233e+000 +3.0530e+000 +2.7602e+000 +1.9564e+000 +3.5575e+000 +1.1742e+000 -3.7854e-001 -1.1803e-001 -2.4464e+000 +2.5658e+000 -2.8506e+000 -2.0319e+000 -5.1673e+000 -2.5009e+000 +4.2004e+000 -2.8281e+000 +1.8765e+000
1120 +2.433188765e+002 +2.433188765e+002 -2.187711235e+002 -2.187711235e+002 -7.6518e-001 +4.8500e+000 +1.3269e+000 -2.0652e-001 -7.3786e-001 +2.0959e+000 +3.8664e+000 +4.5194e+000 +1.8526e+000 -1.9769e+000 -2.0884e+000 -2.8215e+000 +8.8165e-001 -2.7153e+000 -1.3716e+000 -3.7153e+000 -2.1208e+000 +2.6584e+000 -3.8358e+000 +1.0066e+000
2407 +1.547597999e+002 +1.547597999e+002 -3.073302001e+002 -3.073302001e+002 -4.2200e+000 +4.2098e+000 +1.9177e-001 +2.5798e+000 +8.3945e-001 +2.7735e+000 +3.4311e+000 +1.9043e+000 +3.2698e+000 -4.5281e-001 -2.6957e+000 -2.2655e+000 +2.4612e-001 -3.0303e+000 -1.2939e+000 -4.4066e+000 +1.0097e+000 +2.6246e+000 -2.2263e+000 +1.0941e+000
5701 +9.183730698e+001 +9.183730698e+001 -3.702526930e+002 -3.702526930e+002 -2.2699e+000 +3.3296e+000 +1.2565e+000 -1.9564e-001 +2.1560e+000 +2.9175e+000 +3.6215e+000 +3.1751e+000 +2.3669e+000 -4.9266e-001 -1.7649e+000 -4.4826e+000 +2.9912e-001 -3.3938e+000 -1.7360e+000 -4.3316e+000 +8.8336e-003 +3.3755e+000 -2.0554e+000 +1.8537e+000
10217 +5.072761670e+001 +5.072761670e+001 -4.113623833e+002 -4.113623833e+002 -2.4124e+000 +4.1922e+000 +1.2847e+000 -2.2182e-001 +2.1593e+000 +2.9674e+000 +3.2187e+000 +3.1972e+000 +2.4004e+000 -4.0300e-001 -2.7584e+000 -3.2631e+000 +3.9564e-001 -3.4705e+000 -1.3612e+000 -4.3189e+000 +2.4619e-002 +3.3256e+000 -2.4412e+000 +1.8915e+000
12244 +3.661493824e+001 +3.661493824e+001 -4.254750618e+002 -4.254750618e+002 -2.3677e+000 +3.3213e+000 +1.3415e+000 -2.1250e-001 +2.2304e+000 +2.9111e+000 +3.2286e+000 +3.2434e+000 +1.8702e+000 -6.4412e-001 -2.7166e+000 -3.3239e+000 +3.1520e-001 -3.3905e+000 -1.3809e+000 -4.3210e+000 -3.3832e-001 +3.3715e+000 -2.4490e+000 +1.8032e+000
14233 +2.317205979e+001 +2.317205979e+001 -4.389179402e+002 -4.389179402e+002 -2.4464e+000 +3.2797e+000 +2.1773e+000 -1.6550e-001 +2.2424e+000 +2.9969e+000 +3.2763e+000 +3.1547e+000 +1.7893e+000 -4.8840e-001 -2.7324e+000 -3.2549e+000 +3.5760e-001 -3.4006e+000 -1.3892e+000 -4.3083e+000 -3.7950e-001 +3.3576e+000 -2.4204e+000 +1.8329e+000
15700 +1.582537300e+001 +1.582537300e+001 -4.462646270e+002 -4.462646270e+002 -2.2567e+000 +2.2972e+000 +2.2475e+000 -1.8111e-001 +2.2493e+000 +3.0008e+000 +3.3270e+000 +3.2132e+000 +1.7809e+000 -5.3532e-001 -2.7395e+000 -3.2502e+000 +3.5901e-001 -3.3789e+000 -1.3877e+000 -4.3070e+000 -3.4137e-001 +3.3678e+000 -2.4541e+000 +1.8216e+000
% function evaluation | noise-free fitness - Fopt (7.766000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.357734704e+003 +6.357734704e+003 +6.435394704e+003 +6.435394704e+003 -1.6953e-001 +6.6783e-001 -9.2813e-001 +1.5045e+000 -6.0276e-001 -6.9455e-001 +3.2215e+000 +2.3089e+000 -3.6535e+000 -3.2680e+000 -4.8580e+000 -3.2149e+000 +4.1290e+000 -1.1372e+000 +4.8949e+000 +3.6082e+000 +1.3734e+000 +1.5321e+000 -1.6829e+000 +2.9821e+000
3 +4.849170404e+003 +4.849170404e+003 +4.926830404e+003 +4.926830404e+003 -6.5865e-001 -4.1923e+000 -8.8511e-001 -1.8960e+000 +4.4320e+000 +2.1846e+000 +2.9915e-001 +3.5372e+000 -4.6275e+000 -2.5215e-001 -3.0377e-001 +1.1568e+000 -1.3186e+000 +1.7857e+000 -4.5613e+000 +3.4680e+000 -3.0747e+000 +4.6301e+000 +2.6254e+000 +5.9701e-001
4 +1.200191703e+003 +1.200191703e+003 +1.277851703e+003 +1.277851703e+003 -1.3138e+000 +4.6748e+000 -3.1574e+000 +3.5350e+000 -2.0136e+000 +3.4055e+000 -1.3809e+000 -1.3266e+000 -2.2773e+000 +7.2933e-001 -8.4390e-001 +3.9334e+000 -3.0195e+000 +2.8487e-001 -2.6241e+000 -2.0915e+000 -3.3225e+000 -1.9610e+000 -4.4323e+000 -2.0413e+000
17 +7.097235135e+002 +7.097235135e+002 +7.873835135e+002 +7.873835135e+002 +1.9555e-001 +3.7897e+000 -4.2886e+000 +4.0021e+000 -3.2862e+000 -4.7052e-001 -2.9040e+000 -1.2158e+000 +2.0292e+000 +9.3522e-001 +4.5036e+000 -1.5391e+000 +4.0084e+000 -7.4392e-001 -1.6249e+000 -1.4155e+000 -2.9440e+000 -3.1787e+000 +4.9438e+000 -2.9496e+000
76 +6.232110943e+002 +6.232110943e+002 +7.008710943e+002 +7.008710943e+002 -2.7194e+000 +2.4407e+000 -2.0951e+000 +4.8551e+000 -1.5237e+000 -2.5065e+000 -1.8825e+000 +3.2937e-001 +2.2747e+000 -6.4493e-001 +5.6894e+000 -4.8569e-002 +3.4943e+000 -1.6599e+000 -2.5622e+000 -2.6742e+000 -2.3968e+000 -3.2740e+000 +4.1429e+000 -1.9222e+000
569 +3.940891686e+002 +3.940891686e+002 +4.717491686e+002 +4.717491686e+002 -4.9883e+000 +8.3373e-001 -1.7916e+000 +3.9535e+000 -6.0248e+000 -3.1402e+000 -5.3010e-001 +1.4306e+000 +7.7097e-001 -3.8403e+000 +5.6680e+000 -1.8895e+000 -3.5804e-001 -3.3072e+000 -2.3682e+000 -6.6140e-001 -2.8462e+000 -3.1350e+000 +3.4239e+000 -3.2627e+000
1330 +2.017491107e+002 +2.017491107e+002 +2.794091107e+002 +2.794091107e+002 +6.9272e-001 +4.9189e-002 -2.5149e+000 +3.8921e+000 -2.3520e+000 +6.2361e-001 +1.4354e+000 +4.6742e-001 +1.0009e+000 -4.5428e+000 +2.8725e+000 -8.3666e-001 -2.0825e-003 -2.5170e+000 -2.3599e+000 +1.9285e+000 -1.6581e+000 -2.3231e+000 +3.9038e+000 -3.3285e+000
2879 +1.583629324e+002 +1.583629324e+002 +2.360229324e+002 +2.360229324e+002 +4.5270e-001 -6.6466e-001 -2.1414e+000 +3.9315e+000 -1.5511e+000 +8.7823e-001 +2.5186e+000 +1.2643e-001 +1.2634e+000 -3.1780e+000 +2.8846e+000 +2.2193e-001 -6.0743e-001 -2.5837e+000 -3.5974e+000 +2.2752e+000 -5.0355e-001 -4.1073e+000 +2.4519e+000 -2.5121e+000
6813 +9.821869780e+001 +9.821869780e+001 +1.758786978e+002 +1.758786978e+002 +2.6619e+000 +1.0821e+000 -1.4198e+000 +3.0031e+000 -3.2256e+000 +7.7716e-001 -9.1724e-003 +8.2938e-001 +8.4650e-001 -4.0565e+000 +2.9579e+000 -3.5151e-001 -1.8210e-001 -1.5958e+000 -3.1537e+000 +1.3606e+000 -2.8921e-001 -3.5184e+000 +3.5927e+000 -3.0510e+000
9172 +6.110358960e+001 +6.110358960e+001 +1.387635896e+002 +1.387635896e+002 +3.4235e+000 -1.7432e+000 -1.3442e+000 +3.4257e+000 -3.2450e+000 +1.1351e+000 +5.5171e-001 +8.4124e-001 +8.3437e-001 -3.7837e+000 +3.0251e+000 -3.8262e-001 -1.7004e-001 -1.1009e+000 -3.1317e+000 +1.4363e+000 +1.3363e-001 -1.9837e+000 +3.1169e+000 -3.7907e+000
14717 +3.909771948e+001 +3.909771948e+001 +1.167577195e+002 +1.167577195e+002 +1.4528e+000 -1.7437e+000 -1.3442e+000 +4.2455e+000 -3.2702e+000 +7.9575e-001 -1.1173e-001 +7.5879e-001 +7.6355e-001 -4.4100e+000 +3.4874e+000 -3.5294e-001 -1.9975e-001 -1.1115e+000 -2.8430e+000 +1.8376e+000 -2.9062e-001 -3.1144e+000 +3.3672e+000 -3.0874e+000
21875 +2.371419058e+001 +2.371419058e+001 +1.013741906e+002 +1.013741906e+002 +1.4085e+000 -1.7428e+000 -1.3689e+000 +3.3651e+000 -3.2871e+000 +2.0807e-001 +5.5455e-001 +7.5306e-001 +7.7289e-001 -3.8429e+000 +3.4973e+000 -3.4274e-001 -1.8424e-001 -1.1035e+000 -2.8170e+000 +1.7995e+000 -2.5897e-001 -2.3000e+000 +3.1390e+000 -3.0799e+000
