% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.214736341e+008 +2.214736341e+008 +2.214734242e+008 +2.214734242e+008 +5.6580e+000 +6.4017e+000 +6.7951e+000 +1.3600e+001 +1.1374e+001 +6.9463e+000 +1.0094e+001 +1.3845e+001 +7.5897e+000 +1.1188e+001 +7.3799e+000 +1.0643e+001 +7.4455e+000 +6.0495e+000 +1.0119e+001 +1.0740e+001 +1.4444e+001 +1.0191e+001 +1.4533e+001 +6.9675e+000
3 +1.049320319e+008 +1.049320319e+008 +1.049318221e+008 +1.049318221e+008 +1.0320e+001 +1.1964e+001 +5.2387e+000 +8.9140e+000 +7.9314e+000 +1.3106e+001 +6.0506e+000 +5.4001e+000 +8.2848e+000 +1.3467e+001 +9.4252e+000 +1.0178e+001 +9.0361e+000 +1.0397e+001 +5.3951e+000 +5.0109e+000 +1.3110e+001 +7.0423e+000 +8.4420e+000 +5.3933e+000
11 +9.088591180e+007 +9.088591180e+007 +9.088570192e+007 +9.088570192e+007 +1.2508e+001 +7.9139e+000 +1.4266e+001 +1.4131e+001 +1.1211e+001 +7.6733e+000 +1.2639e+001 +1.3039e+001 +1.1506e+001 +1.3686e+001 +1.3580e+001 +6.3609e+000 +1.4766e+001 +1.2608e+001 +1.4081e+001 +5.6471e+000 +5.1649e+000 +9.3470e+000 +7.6084e+000 +5.9670e+000
359 +4.745180043e+007 +4.745180043e+007 +4.745159055e+007 +4.745159055e+007 +5.6539e+000 +1.2203e+001 +1.1689e+001 +1.3600e+001 +1.3895e+001 +6.7391e+000 +8.8252e+000 +2.2112e-001 +1.7844e+001 +8.3512e+000 +1.3364e+001 +1.0543e+001 +7.4455e+000 +1.0576e+001 +1.0194e+001 +1.0874e+001 +8.8307e-001 +3.9776e+000 +3.9635e+000 +4.0745e+000
442 +3.583644584e+007 +3.583644584e+007 +3.583623596e+007 +3.583623596e+007 +8.5613e+000 +1.1851e+001 +1.1668e+001 +1.1649e+001 +1.3209e+001 +1.0008e+001 +7.6614e+000 +2.3847e+000 +1.6342e+001 +7.4643e+000 +1.6047e+001 +1.0395e+001 +9.5105e+000 +1.0115e+001 +9.6343e+000 +9.8790e+000 -1.6859e+000 +5.7957e+000 +2.0610e+000 +4.3145e+000
533 +2.456315863e+007 +2.456315863e+007 +2.456294875e+007 +2.456294875e+007 +9.3313e+000 +1.0084e+001 +1.0777e+001 +8.8395e+000 +1.4441e+001 +6.8944e+000 +1.0988e+001 +5.9311e+000 +8.6761e+000 +7.2458e+000 +1.6631e+001 +8.1743e+000 +1.3751e+001 +9.9669e+000 +1.3518e+001 +7.5312e+000 +1.7434e+000 +7.5777e+000 -2.9139e+000 +9.6298e-001
598 +1.307360465e+007 +1.307360465e+007 +1.307339477e+007 +1.307339477e+007 +1.0440e+001 +1.1812e+001 +7.8322e+000 +1.2036e+001 +1.2897e+001 +1.3999e+001 +5.8202e+000 +5.9008e+000 +1.4918e+001 +3.1385e+000 +2.1407e+001 +1.0839e+001 +6.1449e+000 +9.2802e+000 +9.1077e+000 +4.9174e+000 -5.0591e-001 +5.1690e+000 -2.1591e-001 +1.8242e+000
690 +8.828009320e+006 +8.828009320e+006 +8.827799440e+006 +8.827799440e+006 +9.3734e+000 +2.9682e+000 +1.1153e+001 +1.0168e+001 +1.2520e+001 +1.0133e+001 +6.5790e+000 +4.5038e+000 +1.3494e+001 +3.1537e+000 +1.6553e+001 +6.2205e+000 +7.0723e+000 +6.3266e+000 +6.5930e+000 -4.0542e-001 +9.6732e-001 +6.3787e+000 -1.2060e+000 +2.0525e+000
763 +5.218376484e+006 +5.218376484e+006 +5.218166604e+006 +5.218166604e+006 +8.6365e+000 +2.9682e+000 +1.1153e+001 +6.0347e+000 +2.1266e+001 +1.0133e+001 +5.9562e+000 +4.5038e+000 +1.3494e+001 +4.5506e+000 +1.6585e+001 +6.2205e+000 +7.0723e+000 +6.3266e+000 +6.4456e+000 +5.4915e-001 -1.6929e+000 +2.9024e+000 -1.2060e+000 +2.0525e+000
943 +3.946917047e+006 +3.946917047e+006 +3.946707167e+006 +3.946707167e+006 +9.1139e+000 +3.5485e+000 +1.1805e+001 +6.3946e+000 +1.7211e+001 +9.1051e+000 +4.0485e+000 +1.9061e+000 +1.3215e+001 +2.2533e+000 +1.9232e+001 +8.3882e+000 +5.9895e+000 +7.1114e+000 +7.8296e+000 -1.7973e+000 -2.9606e+000 +3.0935e+000 -2.8887e+000 +2.0145e+000
1161 +2.312809065e+006 +2.312809065e+006 +2.312599185e+006 +2.312599185e+006 +8.1537e+000 +5.3513e-001 +1.5365e+001 +8.6077e+000 +1.3382e+001 +1.1320e+001 +5.8452e+000 -2.4729e+000 +1.2705e+001 +3.6068e+000 +1.9526e+001 +5.3169e+000 +1.9821e+000 +4.8727e+000 +3.4346e+000 -6.1886e+000 -3.7927e+000 +2.1266e+000 -2.1437e+000 +1.8961e+000
1416 +1.516718383e+006 +1.516718383e+006 +1.516508503e+006 +1.516508503e+006 +1.2334e+001 +2.8274e-001 +9.2204e+000 +8.7022e+000 +1.1311e+001 +1.0235e+001 +6.0706e+000 -1.3802e+000 +1.2443e+001 +1.5888e+000 +1.8906e+001 +5.5231e+000 +2.8065e+000 +5.2168e+000 +1.1707e+000 -3.2464e+000 -3.5650e+000 +3.4605e+000 -2.1258e+000 +2.1561e+000
1555 +9.613062400e+005 +9.613062400e+005 +9.610963600e+005 +9.610963600e+005 +6.9657e+000 +1.7113e+000 +1.1881e+001 +7.1774e+000 +1.1860e+001 +1.0895e+001 +7.4432e+000 -3.4161e+000 +1.2748e+001 +1.9920e+000 +1.8616e+001 +4.2091e+000 +2.1092e+000 +3.0418e+000 +2.9889e-001 -4.5419e+000 -3.1074e+000 +2.6188e+000 -2.5551e+000 +1.8931e+000
1900 +6.076177383e+005 +6.076177383e+005 +6.074078583e+005 +6.074078583e+005 +1.0269e+001 +2.4674e-001 +1.0180e+001 +5.9205e+000 +8.9395e+000 +1.2174e+001 +6.5469e+000 -4.3309e+000 +1.0915e+001 +2.5704e+000 +1.8454e+001 +1.4290e+000 +2.5560e+000 +1.3043e+000 -7.5648e-001 -3.7929e+000 -3.1141e+000 +2.9525e+000 -2.4339e+000 +2.0267e+000
4319 +3.973598060e+005 +3.973598060e+005 +3.971499260e+005 +3.971499260e+005 +6.4310e+000 -4.5823e-001 +1.0241e+001 +5.5134e+000 +3.0138e+000 +1.2515e+001 +1.3630e+000 -2.7505e+000 +2.2755e-001 +2.4396e+000 +1.6945e+001 +1.4898e+000 +3.9089e+000 -1.3720e+000 -1.5475e+000 -3.8086e+000 -3.0415e+000 +3.0595e+000 -2.3738e+000 +1.9028e+000
5677 +2.486435186e+005 +2.486435186e+005 +2.484336386e+005 +2.484336386e+005 +6.6347e+000 +5.7010e-002 +1.0373e+001 +5.2211e+000 +3.1993e+000 +1.1470e+001 +2.3376e+000 -2.7285e+000 -8.4132e-001 +2.5446e+000 +1.3310e+001 +1.4938e+000 +3.9122e+000 -1.4107e+000 -1.6413e+000 -3.7631e+000 -3.0323e+000 +3.0748e+000 -2.3555e+000 +1.9065e+000
