% function evaluation | noise-free fitness - Fopt (9.294000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.190310820e+003 +1.190310820e+003 +1.283250820e+003 +1.283250820e+003 +4.5672e+000 -1.9463e+000 -2.8301e-001 -3.9213e+000 -2.2698e+000 +4.3214e+000 +3.8965e+000 -1.0782e+000 -4.6400e+000 +3.6769e+000 -1.1751e+000 -3.4138e+000 -2.3579e+000 +2.9859e-001 +4.6945e+000 -2.8421e-001 +3.1378e+000 +7.5303e-001 +3.7689e-001 -3.9216e+000
70 +8.816580092e+002 +8.816580092e+002 +9.745980092e+002 +9.745980092e+002 +1.6378e+000 +2.8940e+000 +4.2441e+000 +5.0856e-001 -1.6334e+000 +4.2552e+000 +5.9249e-001 +2.8117e+000 +6.8595e+000 +5.0610e+000 -1.4727e+000 -1.6540e+000 -2.4158e+000 -4.5984e+000 -7.9603e-001 +4.9939e+000 +6.9759e-001 -4.3954e-001 +3.8572e+000 +9.2233e-001
77 +5.242403861e+002 +5.242403861e+002 +6.171803861e+002 +6.171803861e+002 +1.5556e+000 +2.6054e-001 -3.7879e+000 +2.1133e+000 +1.1590e-001 +4.2206e+000 +5.6580e+000 -1.1205e+000 +2.6240e+000 +1.7515e-001 -3.3587e+000 +9.9412e-002 +4.4832e-002 +1.0254e+000 +2.5310e+000 -4.5049e+000 +2.0073e+000 -9.2480e-001 +9.4061e-001 -1.1392e+000
207 +3.913819815e+002 +3.913819815e+002 +4.843219815e+002 +4.843219815e+002 +2.7086e+000 +2.8803e+000 +1.3117e+000 +2.6386e+000 -1.8005e+000 +7.2230e+000 +6.3863e+000 +8.4567e-001 +1.3159e+000 +1.2872e+000 -2.1011e+000 +1.7431e-001 -5.6359e+000 -3.0085e+000 +4.2663e+000 +7.8693e-001 +3.5427e+000 -5.7726e+000 +3.2072e+000 +5.3972e-001
601 +2.337833861e+002 +2.337833861e+002 +3.267233861e+002 +3.267233861e+002 +1.9618e+000 +3.4257e+000 +1.0577e+000 +9.4995e-001 +1.5592e+000 +7.7711e+000 +5.1790e+000 +6.3963e-001 +2.5921e+000 +2.1678e+000 -2.5019e+000 -7.2588e-002 -2.4659e+000 -9.4912e-001 +3.8087e+000 -2.9449e+000 +2.0122e+000 -5.8175e+000 +2.2655e+000 -8.5968e-002
1172 +1.570905339e+002 +1.570905339e+002 +2.500305339e+002 +2.500305339e+002 +5.2225e+000 +5.5209e+000 +7.5843e-001 -2.4944e+000 +2.5415e+000 +4.8923e+000 +2.0682e+000 +1.0577e+000 +2.8284e+000 +5.4686e+000 -4.2102e-001 -4.2853e+000 -5.7799e-001 +1.2859e+000 +4.5734e+000 -5.2400e+000 +2.2795e+000 -4.4132e+000 -1.2033e+000 -6.5920e-001
1638 +9.271214143e+001 +9.271214143e+001 +1.856521414e+002 +1.856521414e+002 +3.6206e+000 +4.2677e+000 +1.7482e+000 +6.3259e-001 +1.2074e+000 +4.4766e+000 +1.7984e+000 +1.4103e-001 +1.7122e+000 +5.2958e+000 +6.3871e-001 -5.7514e+000 -7.6526e-001 +1.3767e+000 +3.0392e+000 -3.7067e+000 +3.1893e+000 -4.5554e+000 -1.2116e-002 -5.1166e-002
2151 +5.983359189e+001 +5.983359189e+001 +1.527735919e+002 +1.527735919e+002 +2.5646e+000 +4.6201e+000 +6.3453e-001 +7.4345e-001 +1.5117e+000 +4.3773e+000 +2.4232e+000 +6.0211e-001 +1.1513e+000 +4.4981e+000 +8.1019e-001 -5.3116e+000 -1.0596e+000 +1.1515e+000 +2.6617e+000 -1.4859e+000 +3.7780e+000 -4.1060e+000 -5.0205e-001 -3.9101e-001
2332 +3.909731065e+001 +3.909731065e+001 +1.320373107e+002 +1.320373107e+002 +2.1557e+000 +4.4444e+000 +5.4645e-001 +8.1312e-001 +1.0557e+000 +4.2971e+000 +2.9688e+000 +5.3622e-001 +1.5646e+000 +4.2492e+000 +1.4283e+000 -4.6164e+000 -8.5922e-001 +5.2669e-001 +1.9649e+000 -1.0549e+000 +3.6602e+000 -4.2722e+000 -2.4364e-001 -2.5647e-001
3359 +2.153357820e+001 +2.153357820e+001 +1.144735782e+002 +1.144735782e+002 +1.7401e+000 +3.5560e+000 +9.1085e-001 +1.4144e+000 +1.7246e+000 +4.7424e+000 +2.8903e+000 -2.3283e-001 +1.2109e+000 +4.1849e+000 +1.3592e+000 -4.7728e+000 -1.2976e+000 +6.7544e-001 +1.5545e+000 -5.1815e-001 +3.7303e+000 -4.1777e+000 -5.0712e-001 -2.7311e-001
4110 +1.574892490e+001 +1.574892490e+001 +1.086889249e+002 +1.086889249e+002 +1.5354e+000 +3.0622e+000 +6.8107e-001 +2.0843e+000 +1.0742e+000 +4.6380e+000 +2.7051e+000 -5.1398e-001 +1.5093e+000 +3.8873e+000 +1.3152e+000 -4.8940e+000 -8.8549e-001 +8.9629e-001 +1.5178e+000 -1.6342e-001 +3.5650e+000 -4.5334e+000 -4.7871e-001 -2.2147e-001
% function evaluation | noise-free fitness - Fopt (3.535000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.413523311e+003 +4.413523311e+003 +4.448873311e+003 +4.448873311e+003 +3.2863e+000 -1.4581e+000 +2.2007e+000 -3.2594e+000 +9.9741e-001 -3.8044e+000 +2.0023e+000 +2.0071e+000 -1.0922e+000 -4.8789e+000 +1.3908e+000 +4.9105e-001 -3.0507e+000 -2.8635e+000 +3.1682e+000 +4.8165e+000 -4.6706e+000 -1.3140e+000 +3.3663e+000 -3.2203e+000
3 +2.273540282e+003 +2.273540282e+003 +2.308890282e+003 +2.308890282e+003 +4.7828e+000 +3.1515e+000 -3.5653e-001 -8.6013e-002 -4.4325e+000 -4.3110e+000 +1.2506e+000 -2.0991e+000 -2.8557e+000 -6.2125e-001 +3.1670e+000 -1.9311e+000 +1.8207e+000 -3.2086e+000 +4.3586e+000 -1.4275e+000 +3.5679e+000 +3.1850e+000 -7.1853e-001 -4.7674e-001
17 +1.427903432e+003 +1.427903432e+003 +1.463253432e+003 +1.463253432e+003 +1.0655e+000 -4.6891e+000 +2.5416e+000 +3.6988e+000 -4.6123e+000 +4.5223e+000 -3.2779e+000 +4.7384e+000 -3.1489e+000 +2.6373e+000 +1.0403e-001 -3.9720e+000 +4.2455e+000 +4.4017e+000 -6.0235e-002 -1.5133e+000 +1.7689e+000 +4.1962e-001 +1.0921e+000 -2.0673e+000
113 +6.948372544e+002 +6.948372544e+002 +7.301872544e+002 +7.301872544e+002 +1.4858e-001 -3.3271e+000 -6.5053e-001 +5.3665e-001 +1.0134e+000 -9.3757e-001 +1.9029e+000 +1.4937e+000 -2.4489e+000 -3.2377e+000 +1.3142e+000 +1.7937e+000 +8.0774e+000 +4.5601e+000 -1.8159e+000 +4.6170e+000 +8.5587e-001 +2.6664e+000 +3.8924e+000 +8.7424e-001
278 +5.945291734e+002 +5.945291734e+002 +6.298791734e+002 +6.298791734e+002 -2.0597e+000 -5.3888e+000 -1.7501e+000 +7.8707e-001 -1.4089e+000 -5.9166e+000 +5.4181e+000 +1.0918e+000 +4.6905e+000 -5.3614e+000 -4.9715e-001 -5.2552e+000 +8.4209e+000 +4.0473e+000 +1.7762e-001 +6.9040e+000 -1.3456e+000 +1.2940e+000 +4.4907e+000 +2.1974e+000
537 +3.946960066e+002 +3.946960066e+002 +4.300460066e+002 +4.300460066e+002 -4.9585e-001 +2.2562e+000 +5.4143e-001 -6.1383e-001 +2.8460e-001 +5.8430e-001 +5.3136e+000 +1.2757e+000 -2.5857e+000 -2.2870e+000 -1.5501e+000 -7.0477e+000 +4.7964e+000 +2.5996e+000 -2.5728e+000 +3.4141e+000 +1.5206e-001 +3.0464e+000 +2.3190e+000 +2.9192e+000
843 +2.277143679e+002 +2.277143679e+002 +2.630643679e+002 +2.630643679e+002 -4.0764e-001 -2.6382e+000 +3.3321e+000 +4.6730e-001 -3.9461e+000 +1.5848e-002 +3.8150e+000 +2.3965e+000 +2.0115e+000 -5.3249e+000 +2.7534e+000 -7.6179e-001 +2.9330e+000 +3.1958e+000 -4.1023e+000 +1.1230e+000 +3.3056e+000 +1.9027e+000 +2.9083e-001 +1.6471e+000
1012 +1.576809939e+002 +1.576809939e+002 +1.930309939e+002 +1.930309939e+002 -4.2908e-001 -2.2037e+000 +5.1980e+000 +1.1621e+000 -3.3572e+000 -5.4584e-001 +4.0224e+000 +1.9187e+000 +3.0550e+000 -5.3379e+000 +3.3841e+000 -2.7928e+000 +2.5295e+000 +3.0156e+000 -2.3922e+000 +1.0454e+000 +3.8017e+000 +1.6080e+000 +1.2863e+000 +2.2120e+000
1491 +9.443694792e+001 +9.443694792e+001 +1.297869479e+002 +1.297869479e+002 -1.1335e+000 -1.8379e+000 +5.2102e+000 +7.2150e-001 -1.8982e+000 -6.2013e-001 +2.7076e+000 +3.0239e+000 +7.4302e-001 -3.7896e+000 +3.8520e+000 -2.1180e+000 +2.2403e+000 +3.6234e+000 -7.4869e-001 +2.9303e+000 +2.8385e+000 +1.8471e+000 +2.0565e+000 +4.3541e+000
1807 +6.216706449e+001 +6.216706449e+001 +9.751706449e+001 +9.751706449e+001 -1.0725e+000 -1.0861e+000 +4.3210e+000 +1.2780e+000 -1.9684e+000 +8.5134e-001 +3.3341e+000 +3.1217e+000 +2.3745e+000 -4.8278e+000 +2.8745e+000 -5.9090e-001 +1.5219e+000 +3.0408e+000 -1.4466e+000 +2.6823e+000 +3.0886e+000 +5.1552e-001 +2.1744e+000 +3.3007e+000
2092 +3.548078770e+001 +3.548078770e+001 +7.083078770e+001 +7.083078770e+001 +8.3648e-001 +1.3052e-001 +4.0319e+000 +1.7114e+000 -2.3887e+000 +6.5642e-001 +3.0417e+000 +3.5088e+000 +2.1724e+000 -3.5251e+000 +2.3936e+000 -2.0958e+000 +9.1228e-001 +2.7433e+000 -1.4503e+000 +2.2644e+000 +3.4938e+000 +8.5214e-002 +3.5881e+000 +4.2886e+000
2249 +2.487945243e+001 +2.487945243e+001 +6.022945243e+001 +6.022945243e+001 +5.6955e-001 -3.1042e-001 +4.3556e+000 +1.8673e+000 -2.4991e+000 +2.9011e-001 +3.1093e+000 +3.3576e+000 +2.0145e+000 -3.2461e+000 +2.3118e+000 -1.6807e+000 +1.2683e+000 +2.9491e+000 -1.3326e+000 +2.3994e+000 +3.4000e+000 +6.2830e-001 +3.7190e+000 +4.7940e+000
3205 +1.575132831e+001 +1.575132831e+001 +5.110132831e+001 +5.110132831e+001 +2.0787e-003 -5.9757e-001 +4.5245e+000 +9.9737e-001 -2.1622e+000 +3.1855e-001 +3.0052e+000 +3.2302e+000 +1.4724e+000 -3.3724e+000 +2.2855e+000 -1.7966e+000 +2.2181e+000 +3.4301e+000 -9.6641e-001 +2.6843e+000 +3.1953e+000 +8.2912e-001 +3.0715e+000 +3.6192e+000
% function evaluation | noise-free fitness - Fopt (3.820000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.286424127e+003 +4.286424127e+003 +4.290244127e+003 +4.290244127e+003 -4.5880e+000 -4.9907e+000 -3.3877e+000 -1.3573e+000 -3.4779e+000 +3.5671e+000 -4.3657e+000 -3.9298e+000 +1.3135e+000 -8.9933e-001 +6.2093e-001 +7.6144e-001 +3.9077e-001 +2.3902e+000 -1.4549e+000 +4.5238e+000 +1.3406e+000 -4.8280e+000 -4.4717e+000 +8.8681e-001
3 +2.505353312e+003 +2.505353312e+003 +2.509173312e+003 +2.509173312e+003 -1.3505e+000 +2.7808e+000 +4.8045e-001 -3.1185e+000 -4.9418e+000 +4.7354e+000 +9.2312e-001 +6.6633e-001 -3.6206e+000 -3.5185e+000 -3.3255e+000 +4.7000e+000 +1.9845e+000 +6.7087e-001 -1.4089e+000 +2.2545e+000 -1.2957e+000 +4.9111e-001 -4.4060e+000 -7.4500e-001
