% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.486991231e+004 +1.486991231e+004 +1.440782231e+004 +1.440782231e+004 -4.9952e-001 -6.1221e-001 -3.1177e+000 +1.2592e+000 +4.4797e+000 -3.6999e+000 -1.9908e+000 +2.5151e+000 -4.4888e+000 +1.0821e+000 -7.4605e-001 +4.3454e+000 -3.3080e+000 +1.5534e+000 +2.3589e+000 +1.2026e+000 +4.5419e+000 -1.9131e-001 +1.5107e+000 +4.8040e+000
4 +3.137885210e+003 +3.137885210e+003 +2.675795210e+003 +2.675795210e+003 +3.4466e+000 -3.6165e+000 +9.0121e-001 +2.6858e+000 -3.8935e-001 -3.0936e+000 +2.0079e+000 -8.0095e-001 +3.4542e-001 -4.1428e+000 -3.7787e+000 -3.9104e+000 -4.4628e+000 -4.9640e+000 +1.0422e+000 -1.8479e+000 -1.3235e+000 -4.4944e+000 +4.2145e+000 -2.2646e+000
8 +2.079069876e+003 +2.079069876e+003 +1.616979876e+003 +1.616979876e+003 -3.0380e+000 -3.1849e+000 +2.8170e+000 -2.3179e+000 +2.7567e+000 -3.9809e-001 +4.1087e+000 +4.5798e+000 -2.1823e+000 +4.1488e+000 +3.6514e+000 -3.6852e+000 +1.4430e-001 +2.2589e+000 -9.0178e-002 +3.0895e+000 -3.9262e+000 -2.8917e+000 +1.4623e+000 +3.8217e+000
16 +1.504302632e+003 +1.504302632e+003 +1.042212632e+003 +1.042212632e+003 +3.8953e-001 -8.9362e-001 +3.4756e+000 -2.6106e+000 -1.9800e+000 -4.9760e+000 -4.0859e+000 -2.4225e+000 -4.4218e+000 +3.9855e+000 -1.9954e+000 -3.6444e+000 -3.8943e+000 -3.5601e+000 -3.3377e+000 -1.4511e-001 -1.0749e+000 +3.3650e-001 -1.5106e+000 +4.6801e+000
85 +7.968115281e+002 +7.968115281e+002 +3.347215281e+002 +3.347215281e+002 -6.6346e-001 -2.2749e+000 +1.6070e+000 -7.4786e-001 -1.5528e+000 +1.5860e+000 -2.9717e+000 -1.4368e+000 -1.5599e+000 +4.2247e+000 -9.8785e-001 -4.6920e+000 +1.0243e-001 -5.6625e+000 -9.2751e-001 -3.6299e+000 +4.8471e-002 -1.6906e+000 -1.7356e-001 +1.7647e+000
162 +5.884968289e+002 +5.884968289e+002 +1.264068289e+002 +1.264068289e+002 -3.2690e+000 -1.6867e+000 -4.8439e+000 -7.3034e-002 +2.3685e+000 +2.2059e+000 +6.8486e-001 +9.2705e-001 +9.6448e-001 +1.1419e+000 +1.1973e+000 -3.7649e+000 +5.8645e-001 -5.7476e+000 +1.3137e+000 -3.6611e+000 -1.8020e-001 +5.0391e-001 +9.2589e-001 +1.7956e-001
1884 +3.277659065e+002 +3.277659065e+002 -1.343240935e+002 -1.343240935e+002 +4.1282e-001 -9.5482e-001 +1.1672e+000 +2.6201e+000 -7.5847e-001 -2.3065e-002 +2.8180e+000 +3.8153e+000 -2.2542e+000 +1.1640e-001 +2.5969e+000 -4.2343e+000 -9.3291e-001 -1.4348e+000 -4.6627e-001 -2.0640e+000 +3.6523e-001 +3.9633e+000 +2.1689e+000 +1.4844e+000
2928 +2.488204236e+002 +2.488204236e+002 -2.132695764e+002 -2.132695764e+002 +1.1722e+000 +1.7186e+000 +1.6832e+000 +1.4256e+000 +1.9064e+000 +6.5650e-001 +1.2448e+000 +3.7701e+000 -1.4057e+000 +7.4696e-001 +2.6509e+000 -2.1446e+000 -2.1700e-001 -2.1223e+000 -7.9051e-001 -3.4655e+000 -3.1070e-001 +3.5997e+000 +2.5153e+000 +6.4036e-001
21084 +1.405467343e+002 +1.405467343e+002 -3.215432657e+002 -3.215432657e+002 +2.2855e+000 +2.1418e+000 +1.4050e+000 -6.7961e-001 -1.8468e-001 +1.9516e+000 +1.1395e+000 +2.6588e+000 +6.1075e-001 -5.4263e-001 +2.2511e+000 -4.3355e+000 +1.2131e-001 -2.8738e+000 +2.5741e-001 -3.3536e+000 -3.2033e-002 +3.2647e+000 +2.1019e+000 +1.6726e+000
113016 +9.766032728e+001 +9.766032728e+001 -3.644296727e+002 -3.644296727e+002 +1.3149e+000 +3.2757e+000 +5.2015e-001 +1.1385e+000 +9.3254e-001 +2.8002e+000 +2.5048e+000 +3.0885e+000 +1.1801e+000 +1.7305e-002 +1.6480e+000 -3.7827e+000 +2.2592e-001 -2.9665e+000 +1.3932e+000 -3.6399e+000 -1.7444e-002 +3.2975e+000 +2.9270e+000 +1.5097e+000
113549 +6.109216597e+001 +6.109216597e+001 -4.009978340e+002 -4.009978340e+002 +6.8079e-001 +3.3614e+000 +5.4298e-001 +7.3384e-001 +8.6698e-001 +2.9317e+000 +2.4725e+000 +3.0863e+000 +1.1739e+000 -4.8724e-003 +1.6583e+000 -3.7860e+000 +1.2537e-001 -2.9684e+000 +1.3238e+000 -3.5296e+000 -4.4168e-002 +3.3249e+000 +2.8258e+000 +1.5369e+000
% function evaluation | noise-free fitness - Fopt (7.766000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.473530736e+003 +3.473530736e+003 +3.551190736e+003 +3.551190736e+003 +2.0404e+000 -2.6938e+000 +1.4078e+000 -2.1241e+000 +2.9918e+000 +4.1371e-001 +2.5588e-001 +9.5985e-002 -1.7681e+000 -2.3592e+000 -1.0577e+000 +8.5886e-001 +1.1994e+000 -4.2697e+000 -4.4014e+000 +2.7955e+000 -4.6034e+000 -5.6697e-001 +4.0712e+000 +3.5911e+000
5 +1.062101892e+003 +1.062101892e+003 +1.139761892e+003 +1.139761892e+003 +7.5763e-001 -4.6862e-001 -9.2273e-001 -4.0526e+000 -8.0068e-001 +3.8359e+000 -1.4997e+000 +7.5498e-001 -4.3920e+000 +2.4854e+000 +7.5752e-002 -4.8714e+000 -2.5461e+000 +8.6936e-001 -2.2122e+000 +2.2943e+000 -4.1552e-004 -3.7311e+000 -2.3417e+000 -3.4689e+000
16 +9.082758224e+002 +9.082758224e+002 +9.859358224e+002 +9.859358224e+002 -2.0253e+000 -3.2927e+000 -3.1207e+000 -3.3583e+000 -1.9997e-001 +2.5661e+000 +1.0349e-002 +1.1932e+000 +9.2881e-001 -1.5621e+000 +1.6812e+000 -1.8734e+000 -3.8773e+000 +3.5908e+000 -8.7273e-001 +6.5042e-001 -1.6662e+000 -4.0075e+000 +2.5108e+000 -1.6023e+000
208 +6.205083972e+002 +6.205083972e+002 +6.981683972e+002 +6.981683972e+002 -2.8912e+000 -2.1681e+000 -3.0679e+000 -1.7161e+000 -2.6740e-001 +5.5530e-001 -1.5700e+000 -2.2992e+000 -1.9369e+000 -5.0332e+000 +1.0950e+000 -6.0025e-001 -3.8318e+000 +2.4013e+000 +9.4961e-001 +2.6822e+000 -1.6705e+000 -1.2130e+000 +2.4816e+000 -2.2884e+000
663 +3.979418188e+002 +3.979418188e+002 +4.756018188e+002 +4.756018188e+002 -3.8030e+000 +9.8972e-001 -2.3904e+000 -3.3718e-001 -1.1777e+000 -7.1293e-001 -2.4205e-001 -2.6127e+000 +3.6032e-001 -2.7380e+000 +2.4272e+000 -1.1605e+000 -1.8138e+000 +1.4236e+000 +2.5422e+000 +1.6263e+000 -1.1412e+000 -3.4991e+000 +1.7147e+000 -3.6238e+000
1868 +2.499893331e+002 +2.499893331e+002 +3.276493331e+002 +3.276493331e+002 -5.4539e-001 -2.8728e+000 -2.9791e+000 +5.2044e+000 +1.7168e+000 +2.2934e+000 -1.1802e+000 +2.9118e-001 +9.2577e-002 -2.5455e+000 +1.4620e+000 -8.8538e-001 -9.4470e-001 -3.6047e-001 +2.4494e+000 +7.8441e-001 +3.4655e-001 -3.3968e+000 +2.4710e+000 -3.4837e+000
10130 +1.582996814e+002 +1.582996814e+002 +2.359596814e+002 +2.359596814e+002 +4.5860e-001 +9.5808e-002 -1.2233e+000 +9.6547e-001 -7.2819e-001 -1.4157e+000 +5.0051e-002 +8.1837e-002 -4.5462e-001 -3.1242e+000 +1.8027e+000 -4.7574e-001 -1.3206e-001 -1.2133e+000 +2.3518e+000 +9.7540e-001 -4.5482e-001 -1.3490e+000 +2.8028e+000 -3.6569e+000
155281 +9.952097046e+001 +9.952097046e+001 +1.771809705e+002 +1.771809705e+002 +2.3427e+000 -2.7298e+000 +3.7014e-001 +3.3029e+000 +1.7726e+000 -5.7606e-001 +6.0321e-002 -5.9490e-001 -8.2603e-001 -3.7134e+000 +2.3681e+000 -2.5738e-001 +2.2543e-001 -1.5376e+000 +2.8091e+000 +2.2020e+000 -9.0997e-002 -1.7045e+000 +2.1265e+000 -3.4549e+000
156588 +6.272388330e+001 +6.272388330e+001 +1.403838833e+002 +1.403838833e+002 +2.3912e+000 -2.6821e+000 +3.9724e-001 +3.2404e+000 +1.6847e+000 -6.3345e-001 -7.5436e-002 -4.2696e-001 +1.6599e-001 -3.2425e+000 +2.3919e+000 -8.5299e-001 +2.5217e-001 -2.0777e+000 +2.7879e+000 +1.4366e+000 -9.7342e-002 -1.7219e+000 +2.4056e+000 -3.1672e+000
% function evaluation | noise-free fitness - Fopt (1.156800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
