% function evaluation | noise-free fitness - Fopt (9.294000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.236104274e+003 +3.236104274e+003 +3.329044274e+003 +3.329044274e+003 +9.3535e-001 +2.8289e+000 +4.1163e+000 +4.9028e+000 -4.5118e+000 +2.6054e+000 -4.5236e+000 +2.5336e+000 -3.7839e+000 -2.3605e+000 +2.5064e+000 +3.6646e-001 -3.8779e+000 +1.6931e+000 -6.9627e-001 -1.4347e+000 -1.2009e-001 +1.4290e+000 +2.9995e-002 +6.4229e-003
4 +2.009464949e+003 +2.009464949e+003 +2.102404949e+003 +2.102404949e+003 -4.3233e+000 +1.9591e+000 +2.7168e-001 +3.7621e+000 -1.9572e+000 +1.6224e+000 +4.2168e+000 -1.0248e+000 -1.6524e+000 +4.4661e+000 -5.7713e-001 -7.8547e-001 -3.7848e+000 -2.3879e+000 +4.5216e+000 -4.1576e+000 -7.5559e-001 -3.0889e-001 -2.9952e+000 +1.9305e+000
15 +1.493726012e+003 +1.493726012e+003 +1.586666012e+003 +1.586666012e+003 +4.4598e-001 -2.4207e+000 -2.0957e+000 -1.0103e-001 -4.8054e+000 -5.3777e-001 -6.3169e-001 +3.4433e+000 +3.0249e+000 -4.9238e-001 -1.3595e+000 -3.0251e+000 -1.6663e-001 -4.2100e-001 -5.1543e-003 -5.3248e-002 +2.5249e+000 +4.2983e+000 +2.7292e+000 -2.8971e+000
23 +7.738064350e+002 +7.738064350e+002 +8.667464350e+002 +8.667464350e+002 -1.4866e+000 -7.8019e-002 -2.1041e+000 +3.8926e+000 +2.4888e+000 -2.9589e-001 -1.7041e+000 -1.7774e+000 +6.6245e-001 +3.8057e+000 +3.2867e-002 -4.4957e+000 -4.4483e+000 +3.1052e+000 +3.9824e+000 -1.2885e+000 +3.9220e+000 -4.4689e+000 +3.8603e+000 -4.0605e+000
225 +5.600264705e+002 +5.600264705e+002 +6.529664705e+002 +6.529664705e+002 -1.3701e+000 +6.7945e-001 -5.4293e+000 +3.5314e+000 +1.0068e+000 +4.0321e-001 -8.7803e-001 -1.9765e+000 -1.2941e-001 +3.6758e+000 +8.4797e-001 -3.5469e+000 -3.6172e+000 +1.5421e+000 +7.2948e+000 -2.3630e-001 +5.6414e+000 -3.0870e+000 +5.0812e+000 +9.7943e-001
421 +3.665341445e+002 +3.665341445e+002 +4.594741445e+002 +4.594741445e+002 +2.8238e+000 -1.7107e-001 -1.2020e+000 +2.7534e+000 +3.3149e+000 +4.8330e+000 -1.6579e+000 -8.7166e-001 +4.2941e-001 +3.7032e+000 -8.9930e-002 -1.7551e+000 -2.1597e+000 +1.3078e+000 +7.0512e+000 -3.3842e+000 +9.1900e-001 -1.5145e+000 +8.1714e+000 -8.1732e-001
832 +2.052409789e+002 +2.052409789e+002 +2.981809789e+002 +2.981809789e+002 +7.1215e-001 +9.5580e-001 -2.1316e-001 +3.5516e+000 +1.0829e-002 +3.1783e+000 -7.4522e-001 -2.9259e+000 -1.6117e+000 +5.9526e+000 +3.3984e+000 -7.0797e+000 -2.2677e+000 +6.6626e-001 +3.3145e+000 +1.0788e+000 +3.1019e+000 -3.6287e+000 +5.2262e-001 -6.7044e-001
890 +1.361444371e+002 +1.361444371e+002 +2.290844371e+002 +2.290844371e+002 +2.2130e+000 +2.6348e+000 +2.2276e+000 +2.8490e+000 +1.8536e+000 +3.3793e+000 +1.4955e-001 -2.8198e+000 +1.7942e+000 +5.3811e+000 +7.1220e-001 -4.0607e+000 -1.7671e+000 +5.1390e-001 +2.4340e+000 -4.8291e-001 +1.2839e+000 -2.7747e+000 +9.7018e-001 -3.1224e+000
1765 +9.845737144e+001 +9.845737144e+001 +1.913973714e+002 +1.913973714e+002 +2.4869e+000 +3.9194e+000 +3.7981e+000 +2.9674e+000 +4.9361e-001 +2.1096e+000 +6.9524e-001 -2.6248e+000 +2.9459e+000 +5.2524e+000 +3.8224e+000 -6.3361e+000 -2.3399e+000 -7.5424e-001 +1.1149e+000 +2.4321e+000 +2.0747e+000 -2.7235e+000 +2.5281e+000 -2.5465e+000
2468 +5.774302637e+001 +5.774302637e+001 +1.506830264e+002 +1.506830264e+002 +1.5716e+000 +1.8190e+000 +2.5730e+000 +1.9475e+000 +2.5149e+000 +4.6297e+000 -1.1915e+000 -9.5517e-001 +2.9656e+000 +4.6956e+000 +1.8624e+000 -4.7157e+000 -1.8596e+000 -6.6857e-002 +1.3994e+000 -9.1339e-002 +1.8182e+000 -2.4134e+000 +5.0447e+000 -1.5873e+000
2799 +3.467061037e+001 +3.467061037e+001 +1.276106104e+002 +1.276106104e+002 +1.5148e+000 +1.6935e+000 +3.0239e+000 +1.9193e+000 +2.0315e+000 +3.6769e+000 -8.7923e-001 -1.0760e-001 +3.0052e+000 +4.6903e+000 +1.9857e+000 -5.2251e+000 -1.9702e+000 +7.6513e-002 +1.4204e+000 +1.3944e+000 +2.3079e+000 -2.9219e+000 +4.1680e+000 -1.5821e+000
3576 +2.415380618e+001 +2.415380618e+001 +1.170938062e+002 +1.170938062e+002 +1.3438e+000 +2.0547e+000 +2.3927e+000 +1.8753e+000 +2.0658e+000 +4.5301e+000 -4.4795e-001 -3.5686e-001 +3.3599e+000 +4.5076e+000 +1.9727e+000 -4.9347e+000 -1.7167e+000 +6.5176e-001 +1.3608e+000 +1.4399e+000 +2.3696e+000 -3.0609e+000 +3.8044e+000 -6.3482e-001
4761 +1.581825959e+001 +1.581825959e+001 +1.087582596e+002 +1.087582596e+002 +1.2170e+000 +1.6162e+000 +2.1084e+000 +1.8290e+000 +2.4343e+000 +4.7454e+000 +8.0990e-002 -5.2201e-001 +3.4208e+000 +4.2473e+000 +2.0385e+000 -4.6888e+000 -1.7274e+000 +5.5554e-001 +1.4805e+000 +1.0683e+000 +2.5458e+000 -2.9181e+000 +3.7904e+000 -7.0152e-001
20861 +9.819747157e+000 +9.819747157e+000 +1.027597472e+002 +1.027597472e+002 -3.3698e-001 +1.6352e+000 +2.2868e+000 +2.7796e+000 +3.0173e+000 +3.5079e+000 +8.7885e-001 -3.0820e+000 +4.6753e+000 +2.1293e+000 +2.0424e+000 -4.3924e+000 -1.3516e+000 +4.0742e-001 +3.1268e-001 +4.6396e+000 +2.7500e+000 -2.3764e+000 +3.8601e+000 -1.1441e-001
