% function evaluation | noise-free fitness - Fopt (-5.465000000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.556684123e+005 +2.556684123e+005 +2.551219123e+005 +2.551219123e+005 -3.6684e+000 -2.1212e+000 -3.4450e+000 -2.0017e+000 -4.3203e+000 -1.1358e+000 -3.3667e+000 +4.8242e+000 +4.9412e+000 -4.4316e+000 +4.9502e+000 +4.8063e+000 +1.2031e+000 -2.1008e+000 -1.8724e+000 +1.2299e+000 -4.3554e+000 -3.4683e+000 -3.8735e+000 -3.2526e+000
3 +2.215752258e+005 +2.215752258e+005 +2.210287258e+005 +2.210287258e+005 -4.5286e+000 -1.9185e+000 +1.6236e+000 +2.6480e+000 -6.0619e-001 -2.8788e+000 +5.5465e-001 +4.3710e+000 -8.5926e-001 -1.0426e+000 +2.8803e+000 -4.6815e-001 -6.5460e-001 -3.4402e+000 +2.8592e+000 +3.0354e+000 -3.8785e+000 -2.1637e+000 -3.1447e+000 -4.6307e+000
8 +1.156300548e+005 +1.156300548e+005 +1.150835548e+005 +1.150835548e+005 +1.7494e+000 +4.8508e+000 +4.1963e+000 -4.5540e+000 +1.0208e+000 -1.5325e+000 -1.5139e+000 +2.5555e-001 -4.5728e+000 -4.0620e+000 +2.6311e+000 -4.5397e+000 -3.5278e-001 -1.6693e+000 +4.4749e+000 +2.2466e+000 -1.3683e-001 +2.1950e+000 -6.4185e-001 +3.0720e+000
10 +9.185379838e+004 +9.185379838e+004 +9.130729838e+004 +9.130729838e+004 -6.0549e-001 +1.4705e+000 +3.5455e+000 -3.9545e+000 -3.1635e+000 -1.2843e+000 +4.4011e+000 -2.2016e+000 -3.7273e+000 +1.3027e+000 +6.8183e-001 +1.4225e+000 +2.0397e+000 +2.2204e+000 +8.3101e-001 +3.1041e+000 +1.7933e+000 -4.6315e+000 -3.9643e-001 -5.1951e-001
16 +6.147702538e+004 +6.147702538e+004 +6.093052538e+004 +6.093052538e+004 -1.0826e+000 +4.0083e-001 +1.3513e+000 +3.4675e+000 +2.4760e+000 -3.1264e+000 +4.3693e+000 +1.7450e+000 +9.2743e-001 +1.9895e+000 -1.0268e+000 -4.3869e+000 +4.6767e+000 +6.9947e-001 +8.9262e-001 +8.7559e-001 +1.5140e+000 -1.7437e+000 +8.6181e-001 +2.8593e+000
125 +3.616680239e+004 +3.616680239e+004 +3.562030239e+004 +3.562030239e+004 -3.1815e+000 +1.9217e+000 +3.2699e-002 -4.3089e+000 +3.1083e+000 -1.1401e+000 +2.3355e+000 +2.0597e+000 -6.2875e-001 +6.1397e-001 +4.4199e+000 -3.7054e+000 +2.0967e+000 -8.1616e-001 -6.8797e-001 -2.6562e+000 -1.5072e+000 -8.3577e-001 -3.5611e+000 +2.5351e-001
159 +2.260631760e+004 +2.260631760e+004 +2.205981760e+004 +2.205981760e+004 -4.8918e+000 +1.1212e+000 +8.9737e-001 -4.2658e+000 +1.0097e+000 -4.0854e-001 +7.6510e-001 +1.7935e+000 -3.1577e+000 -6.2839e-002 +4.7178e+000 -3.8467e+000 +1.8539e+000 -4.5361e-001 +3.2614e-001 -2.6220e+000 +9.0314e-001 -6.9617e-001 -2.9989e+000 +1.0576e+000
459 +1.272850211e+004 +1.272850211e+004 +1.218200211e+004 +1.218200211e+004 -2.8560e+000 +3.4470e-001 +6.6791e-001 -2.3214e+000 +4.0413e+000 +2.4776e+000 +9.6820e-001 +2.0935e+000 +8.3330e-001 +4.0929e+000 +1.3705e+000 +2.2567e+000 +8.1307e-001 -3.1464e+000 +3.6531e+000 +6.2953e-002 +2.7447e-001 -9.2929e-001 -2.8275e+000 +2.4159e+000
632 +9.890497493e+003 +9.890497493e+003 +9.343997493e+003 +9.343997493e+003 -3.0152e+000 +1.6026e+000 -2.0686e-001 -2.2966e+000 +4.1551e+000 +3.0477e-001 -2.1114e+000 +2.4183e+000 +4.7461e-001 +4.3530e+000 +3.0316e+000 +2.0305e+000 +4.6592e-002 -1.8388e+000 +1.7602e+000 -1.1918e+000 -3.0377e-001 -4.7989e-001 -1.4349e+000 +1.1067e+000
722 +5.001818022e+003 +5.001818022e+003 +4.455318022e+003 +4.455318022e+003 -9.5266e-001 +2.5352e-002 +1.7745e+000 -1.9684e+000 +6.6363e-001 -1.0550e+000 +6.2860e-001 +2.5949e+000 +9.1107e-001 -6.2602e-001 +2.7915e+000 +1.6669e+000 +1.6858e+000 -7.3021e-001 +1.5123e+000 -3.5041e+000 +6.8627e-001 -3.0818e-001 -2.9328e+000 +2.2693e+000
960 +2.054661324e+003 +2.054661324e+003 +1.508161324e+003 +1.508161324e+003 -7.6561e-001 +1.8018e+000 +2.2996e-001 -1.8742e+000 +5.4723e-001 -1.1737e+000 -1.4595e+000 +2.8978e+000 -1.2313e+000 -3.2760e-001 +1.5281e+000 +1.2941e+000 -6.1635e-001 -1.8460e+000 +2.4901e+000 -1.0862e+000 +1.5934e+000 -1.4701e-002 -1.6375e+000 +1.0475e+000
1330 +2.785139293e+002 +2.785139293e+002 -2.679860707e+002 -2.679860707e+002 -3.1539e-001 +1.9735e+000 -4.6089e-001 -3.4696e+000 +7.6684e-001 +1.0556e+000 -6.0130e-001 +1.1769e+000 -2.0583e+000 +7.7293e-002 +9.5952e-001 +2.6595e+000 -5.4660e-001 -2.9483e+000 +1.6208e+000 -1.3311e+000 +1.4551e+000 -2.5066e+000 -1.9740e+000 +2.1768e+000
