% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.438853990e+001 +1.438853990e+001 +2.125853990e+001 +2.125853990e+001 -4.9754e+000 +1.6614e+000 +4.5067e+000 +3.6952e+000 -1.9920e+000 -2.1584e+000 +4.2124e+000 +3.4020e+000 +2.5571e+000 +2.6653e+000 -4.9399e+000 +4.6450e-001 +4.9238e+000 -4.7157e+000 +3.3026e-001 +2.6557e+000 -3.5362e+000 -3.8439e+000 -3.4015e+000 -4.6833e+000
6 +7.496677972e+000 +7.496677972e+000 +1.436667797e+001 +1.436667797e+001 +3.8578e+000 +2.1628e+000 +2.9915e+000 +8.9320e-002 +2.8775e+000 +1.1438e+000 +2.0927e-001 -3.8054e-001 +4.7878e+000 -4.4569e+000 +2.8647e+000 -1.9978e+000 +9.6575e-003 +3.8332e+000 +7.9956e-001 +4.1238e+000 +4.6129e-001 -2.0757e+000 +3.5201e+000 +4.0484e+000
39 +4.151785555e+000 +4.151785555e+000 +1.102178555e+001 +1.102178555e+001 +2.7979e+000 +3.0236e+000 -1.1559e+000 -3.3461e-001 +4.2241e+000 +1.8299e+000 +4.7309e+000 -1.8936e+000 -2.9652e+000 -2.3467e+000 -4.4340e-001 -3.3985e+000 -1.9496e+000 -2.9095e+000 -4.0295e+000 +2.7675e+000 +4.7402e+000 +4.7638e+000 -4.1025e+000 -1.8111e+000
1406 +3.681432573e+000 +3.681432573e+000 +1.055143257e+001 +1.055143257e+001 -3.3668e+000 +2.4259e+000 -3.1900e+000 +2.7151e+000 +2.8632e-001 -4.4845e-002 -1.8868e+000 +3.0624e+000 +1.5833e+000 -4.6088e+000 -3.2772e+000 +3.6799e+000 -3.7775e+000 +4.0907e+000 -1.6193e+000 +3.0098e+000 -1.2934e+000 +3.8627e+000 +1.0155e+000 +4.6780e+000
31845 +1.634111051e+000 +1.634111051e+000 +8.504111051e+000 +8.504111051e+000 +3.6454e+000 +2.2849e+000 -1.6895e+000 -2.3181e+000 +4.8152e-001 +2.9997e+000 -3.3382e+000 -3.2826e+000 -2.5355e+000 -2.7196e+000 -1.8990e+000 +1.0288e+000 -7.8530e-001 +1.5281e+000 +3.8794e+000 -2.5545e-001 +1.8160e+000 +3.9315e-001 -4.4720e+000 +4.1981e+000
2778886 +1.519435605e+000 +1.519435605e+000 +8.389435605e+000 +8.389435605e+000 -4.3721e+000 +8.3041e-001 +9.5388e-001 -5.8134e-001 +4.9184e-001 +3.7881e+000 -3.6584e-001 +3.2478e+000 +2.3389e+000 +4.7070e+000 +1.6139e+000 -5.3601e-001 +3.2974e+000 +9.2447e-002 +4.8229e+000 +2.7921e+000 +3.5555e+000 +2.0785e+000 +2.7489e+000 -2.7038e+000
% function evaluation | noise-free fitness - Fopt (1.000000000000e-002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.632156113e+001 +1.632156113e+001 +1.633156113e+001 +1.633156113e+001 +8.8330e-001 +7.8241e-001 +4.5029e+000 -1.2696e+000 -2.5148e+000 -4.5585e+000 +4.3718e-001 +1.1891e+000 +1.6982e+000 -1.4503e+000 -4.4768e+000 +4.5649e+000 -2.4461e+000 +3.0752e+000 +2.5457e+000 +1.5055e+000 -4.0748e+000 +2.2543e+000 -9.7362e-001 +1.7269e-001
5 +7.064021370e+000 +7.064021370e+000 +7.074021370e+000 +7.074021370e+000 +3.0696e-001 -1.6144e+000 +2.5303e+000 +6.7197e-001 -1.3383e+000 +2.2442e+000 +2.3295e+000 -3.9102e-001 -7.0734e-001 +3.8124e+000 +1.9816e+000 -6.7820e-001 +3.8025e+000 -2.4583e+000 -6.2266e-001 +1.3475e+000 -4.5210e+000 -4.6192e-001 +2.4802e+000 +2.5853e+000
58 +4.803471349e+000 +4.803471349e+000 +4.813471349e+000 +4.813471349e+000 -2.6891e+000 -1.6144e+000 +2.5303e+000 +6.7197e-001 -1.3383e+000 +2.2442e+000 +2.3295e+000 -3.9102e-001 -7.0734e-001 +3.8124e+000 +1.9816e+000 -6.7820e-001 +3.8025e+000 -1.7083e+000 -6.2266e-001 +4.4399e-002 -4.5210e+000 -4.6192e-001 +3.1195e+000 -2.3625e-001
917 +3.848405778e+000 +3.848405778e+000 +3.858405778e+000 +3.858405778e+000 -2.6045e+000 +3.2427e+000 +2.3645e+000 -1.9045e+000 +3.7821e+000 -3.6029e+000 -1.7548e+000 -1.7405e+000 +3.0780e-001 -4.1678e+000 +4.6366e+000 -4.3053e+000 -2.2288e+000 +2.1278e+000 -2.6610e+000 -4.3458e+000 -1.8204e+000 -1.5516e+000 +4.6861e+000 -4.5046e+000
78215 +2.238563061e+000 +2.238563061e+000 +2.248563061e+000 +2.248563061e+000 -3.8066e+000 +8.6340e-001 -3.3459e+000 -1.3463e+000 -4.8039e+000 +4.9394e+000 -2.0025e+000 -1.6471e+000 -2.7061e+000 -3.2927e+000 -4.1242e+000 -4.7294e+000 +9.5474e-001 +2.0063e+000 +3.0315e-001 -1.8216e+000 -1.5994e+000 +4.6521e+000 -3.4661e+000 -1.1175e-001
3631040 +1.377443891e+000 +1.377443891e+000 +1.387443891e+000 +1.387443891e+000 +7.4838e-001 -9.6180e-001 -2.1615e+000 +1.9665e+000 +3.6102e+000 +7.3953e-001 -9.4761e-002 +1.7784e+000 -3.2501e+000 +3.8823e+000 -2.9059e+000 -2.5360e+000 +4.3541e-001 -2.8641e+000 +3.1508e-001 -2.5369e-001 -2.2198e+000 -2.1537e+000 +3.8674e+000 +1.1171e+000
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.610170689e+001 +1.610170689e+001 -1.145082931e+002 -1.145082931e+002 -2.4022e+000 -1.0670e+000 +2.2635e+000 +1.4505e+000 -1.6760e+000 +2.6918e+000 -1.1564e+000 +2.5613e-002 -4.1112e+000 -1.2818e+000 -1.2764e+000 -3.4006e+000 +3.9300e+000 +1.3851e+000 -7.8151e-001 +4.9636e+000 +1.0762e+000 -4.0093e+000 -1.2298e+000 +1.6985e+000
3 +1.258942796e+001 +1.258942796e+001 -1.180205720e+002 -1.180205720e+002 +4.3707e+000 +3.1736e+000 +1.0392e+000 +3.6672e+000 +3.3406e+000 -1.7570e+000 +2.7037e+000 +1.5792e+000 +1.9165e+000 +9.6648e-001 +3.0111e+000 -4.0461e+000 +3.2075e+000 +3.1574e-001 -1.4721e+000 -4.0534e+000 +4.1679e+000 -3.3166e+000 +1.0936e+000 -3.0635e+000
15 +5.515485222e+000 +5.515485222e+000 -1.250945148e+002 -1.250945148e+002 -3.8687e+000 +1.0242e+000 -2.3561e+000 -3.9900e+000 +4.2483e+000 -3.3780e+000 -3.0948e+000 +2.9762e+000 +4.1485e+000 +8.3275e-001 -1.9176e+000 -4.4676e+000 +9.7709e-002 +2.8754e+000 +2.6700e-001 +2.7288e+000 -4.5574e+000 +1.6779e+000 +1.0291e+000 -3.2217e+000
1957 +3.731209904e+000 +3.731209904e+000 -1.268787901e+002 -1.268787901e+002 -1.0978e+000 -4.9254e+000 -4.5722e+000 -4.7189e+000 -2.0534e-001 +3.0670e+000 +9.0094e-001 -4.1367e+000 -3.3781e+000 +2.8626e+000 +4.4315e-002 +4.5291e-001 +1.2087e-001 +3.4622e+000 +1.2675e+000 -1.9511e+000 -4.1329e-001 +1.4061e+000 -4.2760e-001 -3.3824e+000
202040 +2.153017535e+000 +2.153017535e+000 -1.284569825e+002 -1.284569825e+002 -1.9970e+000 -5.8612e-001 +1.6474e+000 -3.5499e+000 -4.6898e-001 -3.2678e+000 +1.7648e+000 +1.4075e+000 +2.1281e+000 +8.9895e-001 +1.0360e-001 -1.9794e+000 -9.3008e-001 -4.6473e+000 +3.3104e+000 -4.5010e-001 -1.2376e-001 +2.6777e+000 -3.2871e+000 -4.0806e+000
% function evaluation | noise-free fitness - Fopt (-2.231200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.219292835e+001 +1.219292835e+001 -2.109270716e+002 -2.109270716e+002 -3.1415e+000 -4.8790e+000 -1.0271e+000 -2.1840e+000 -2.6716e+000 -2.0685e+000 +1.7276e+000 -3.8243e+000 -1.4780e+000 +3.4384e+000 +2.4822e+000 -4.9664e+000 +3.0305e+000 +3.9609e+000 -1.7542e+000 -3.4780e-001 +3.7464e+000 -2.0723e+000 -9.4089e-001 +3.9382e+000
4 +7.307746431e+000 +7.307746431e+000 -2.158122536e+002 -2.158122536e+002 -2.5649e+000 +3.4714e+000 +9.5728e-001 +3.7760e+000 +4.2519e+000 +4.8214e+000 +2.0510e+000 +3.0503e+000 +3.6766e+000 -3.8063e+000 -9.4979e-001 -1.2337e+000 -5.0065e-001 +6.9405e-001 +8.0207e-001 +4.8413e+000 -9.3197e-001 +4.0514e+000 -4.9092e+000 -1.8381e+000
18 +6.270147780e+000 +6.270147780e+000 -2.168498522e+002 -2.168498522e+002 -1.8954e+000 +1.2788e+000 +3.2536e-001 +1.5391e+000 +1.4241e+000 -2.7175e+000 +4.6130e+000 -3.7063e+000 -2.9405e-001 +4.0566e-001 +3.7127e+000 +2.0149e-001 -3.1932e-001 +7.3954e-001 -1.3207e+000 -2.8632e+000 -3.3140e+000 +3.2468e-001 -2.5818e+000 -2.8019e+000
717 +2.903185149e+000 +2.903185149e+000 -2.202168149e+002 -2.202168149e+002 +2.9070e+000 -1.8568e+000 -1.5427e-001 +1.6091e+000 +2.3116e+000 +1.1531e-001 +2.0729e+000 -1.1892e+000 -2.4592e+000 +3.4655e+000 +5.3869e-002 +2.9209e+000 -1.9782e+000 -2.1318e+000 -2.2150e+000 +4.7472e+000 +2.3269e+000 -1.4489e+000 -3.6498e+000 +3.6976e+000
