% function evaluation | noise-free fitness - Fopt (7.948000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.464247436e+002 +2.464247436e+002 +3.259047436e+002 +3.259047436e+002 +1.8980e+000 +8.2560e-001 -4.1049e+000 -1.6519e+000 -2.2023e+000 +4.0564e+000 +2.7194e+000 +3.0454e+000 -2.9432e+000 +2.3032e+000 -6.5972e-001 +7.0173e-001 +3.4387e+000 +1.8573e+000 -3.2442e+000 +3.5782e+000 +4.6181e+000 -2.4880e+000 -4.7705e+000 +4.6200e+000
17 +1.509699022e+002 +1.509699022e+002 +2.304499022e+002 +2.304499022e+002 +1.3087e-001 +3.3960e+000 -6.5857e-002 +4.6034e-001 +1.0318e+000 +3.6333e+000 -3.3001e-001 -2.2642e+000 -2.2125e+000 -3.2525e+000 +3.2140e+000 -3.2550e-001 +4.2258e-001 -4.2905e+000 +3.4335e+000 +3.7843e+000 -2.4936e+000 -4.1349e+000 +2.5524e-001 +4.9782e+000
61 +8.239903861e+001 +8.239903861e+001 +1.618790386e+002 +1.618790386e+002 -7.4612e-001 -3.6405e+000 -1.1635e+000 +1.5918e+000 -6.4270e+000 +2.9322e+000 +1.8123e+000 +7.7228e-001 +1.2433e+000 -2.3348e+000 -2.7322e+000 +2.3019e+000 +6.7510e-001 +1.0538e+000 +8.8114e-001 +2.5869e+000 -3.3425e+000 -2.8200e+000 +5.2319e+000 +4.7260e+000
362 +6.118499699e+001 +6.118499699e+001 +1.406649970e+002 +1.406649970e+002 +3.0445e-001 -1.5747e+000 -1.2079e+000 +3.6402e+000 -3.6001e+000 -1.1458e+000 +1.8385e+000 +2.6106e+000 -1.7517e+000 -2.6580e+000 -4.2899e-001 +2.2248e+000 +1.5057e+000 +3.8799e+000 +4.1632e+000 +1.6269e+000 -1.3426e+000 -1.0400e+000 +1.8975e+000 +3.5164e+000
576 +3.418044729e+001 +3.418044729e+001 +1.136604473e+002 +1.136604473e+002 -1.3074e+000 -3.4046e+000 -5.2767e-001 +9.2852e-001 -3.1139e+000 +9.7426e-001 +1.4044e+000 +1.0094e+000 -2.3189e+000 -2.6271e+000 -3.2372e+000 +2.7665e+000 +1.0746e+000 +2.3427e+000 +3.7386e+000 +1.6424e+000 -3.4103e+000 -4.4125e+000 +2.8327e+000 +4.3040e-002
982 +2.437129344e+001 +2.437129344e+001 +1.038512934e+002 +1.038512934e+002 -8.5944e-001 -2.5509e+000 -2.3912e+000 -3.8594e-001 -4.3201e+000 +1.0191e-001 +3.2134e-001 -9.2630e-001 -2.1220e+000 -2.8147e+000 -2.1610e+000 +1.7507e+000 +1.6417e+000 +1.4452e+000 +4.5415e+000 +1.9021e+000 +7.4830e-002 -4.4788e+000 +1.9503e+000 +4.8103e-001
1219 +1.518370334e+001 +1.518370334e+001 +9.466370334e+001 +9.466370334e+001 -1.1035e-001 -3.4463e+000 -5.3854e-001 +2.1399e+000 -3.4237e+000 +1.7235e+000 +5.6523e-001 +2.2255e-001 -9.7682e-001 -2.1808e+000 -4.6515e+000 +1.6429e+000 +1.0555e+000 -1.6204e-001 +2.7393e+000 +2.3857e+000 -1.2699e+000 -4.6979e+000 +1.5247e+000 +1.8669e-001
1256 +8.765042920e+000 +8.765042920e+000 +8.824504292e+001 +8.824504292e+001 +4.2248e-002 -2.3497e+000 -1.1886e+000 +1.1189e+000 -3.1175e+000 +1.3388e+000 +3.7138e-001 -3.7946e-001 -1.1194e+000 -2.2609e+000 -3.3031e+000 +8.2987e-001 +1.2758e+000 +3.0045e-001 +3.5062e+000 +2.2681e+000 +6.2042e-001 -4.0365e+000 +1.2960e+000 +1.4953e+000
1839 +5.594837658e+000 +5.594837658e+000 +8.507483766e+001 +8.507483766e+001 +5.4894e-001 -2.1041e+000 -9.3480e-001 +1.9366e+000 -3.0510e+000 +1.2978e+000 +2.4171e-001 -6.1511e-001 -1.0145e+000 -2.4270e+000 -3.9352e+000 +1.6945e+000 +6.9263e-001 +1.6136e-001 +3.0720e+000 +2.1454e+000 -3.1994e-001 -3.4812e+000 +1.7591e+000 +1.9928e+000
2078 +2.822628941e+000 +2.822628941e+000 +8.230262894e+001 +8.230262894e+001 +5.5820e-001 -9.5943e-001 -1.4035e+000 +1.3760e+000 -3.3937e+000 +4.5432e-001 +3.1338e-001 -3.3491e-001 -2.0274e+000 -2.5633e+000 -3.4979e+000 +1.9691e+000 +8.9988e-001 -2.5689e-001 +3.3889e+000 +2.5896e+000 -2.5268e-001 -3.4538e+000 +2.2182e+000 +1.4680e+000
2407 +2.081991492e+000 +2.081991492e+000 +8.156199149e+001 +8.156199149e+001 +3.0617e-001 -1.1680e+000 -9.9186e-001 +1.5726e+000 -3.4387e+000 +3.7131e-001 +1.2931e-001 -2.8036e-001 -1.7487e+000 -2.4292e+000 -3.9037e+000 +2.3813e+000 +8.4664e-001 -5.3913e-002 +3.4167e+000 +2.7689e+000 -5.7366e-001 -3.5973e+000 +2.0692e+000 +1.4962e+000
2673 +1.379417637e+000 +1.379417637e+000 +8.085941764e+001 +8.085941764e+001 +1.0399e-001 -1.0760e+000 -7.7794e-001 +1.9721e+000 -2.9071e+000 +4.1347e-001 -1.8182e-001 -2.4771e-001 -1.7949e+000 -2.3076e+000 -3.6447e+000 +2.3530e+000 +1.2826e+000 -1.0565e-001 +3.5949e+000 +2.9961e+000 -5.3040e-001 -3.6543e+000 +2.0706e+000 +1.1447e+000
2851 +8.876910359e-001 +8.876910359e-001 +8.036769104e+001 +8.036769104e+001 +9.5202e-002 -1.0037e+000 -4.5505e-001 +2.2194e+000 -2.7283e+000 +4.1089e-001 -2.9768e-001 -1.3223e-001 -1.8346e+000 -2.7972e+000 -3.9105e+000 +2.2907e+000 +1.1907e+000 -3.5692e-001 +3.7621e+000 +3.0122e+000 -4.7401e-001 -3.6564e+000 +2.3399e+000 +1.0491e+000
3168 +5.726258117e-001 +5.726258117e-001 +8.005262581e+001 +8.005262581e+001 +1.5154e-001 -1.0141e+000 -4.0333e-001 +2.0810e+000 -2.6692e+000 +5.0076e-001 -2.8840e-001 -1.4482e-001 -1.9397e+000 -2.9057e+000 -3.9367e+000 +2.0549e+000 +1.0850e+000 -1.5034e-001 +3.6739e+000 +2.9460e+000 -3.6472e-001 -3.6939e+000 +2.6283e+000 +1.3172e+000
3614 +3.433159587e-001 +3.433159587e-001 +7.982331596e+001 +7.982331596e+001 +3.2788e-001 -1.0397e+000 -6.9271e-001 +1.7278e+000 -2.7634e+000 +6.1100e-001 -5.6879e-002 -2.0391e-001 -1.6657e+000 -2.9239e+000 -3.8475e+000 +2.0555e+000 +1.3545e+000 -1.2516e-001 +3.7112e+000 +2.7855e+000 -2.8212e-001 -3.9789e+000 +2.3574e+000 +1.3494e+000
3679 +2.461342064e-001 +2.461342064e-001 +7.972613421e+001 +7.972613421e+001 +1.9043e-001 -1.1267e+000 -6.5034e-001 +1.8954e+000 -2.6498e+000 +7.0760e-001 +3.2762e-002 +1.0642e-001 -1.6921e+000 -2.8311e+000 -3.9799e+000 +1.9611e+000 +1.0393e+000 +3.8092e-003 +3.6510e+000 +2.8132e+000 -3.2009e-001 -3.8379e+000 +2.4160e+000 +1.3389e+000
4099 +1.558871267e-001 +1.558871267e-001 +7.963588713e+001 +7.963588713e+001 +2.3190e-001 -1.1361e+000 -6.6100e-001 +1.8260e+000 -2.6823e+000 +5.4736e-001 -1.2781e-001 +1.7559e-001 -1.5940e+000 -2.7961e+000 -3.9058e+000 +1.9219e+000 +1.0656e+000 -1.4201e-001 +3.7237e+000 +2.8006e+000 -1.4226e-001 -3.8076e+000 +2.3063e+000 +1.2666e+000
4270 +9.650973944e-002 +9.650973944e-002 +7.957650974e+001 +7.957650974e+001 +3.1113e-001 -1.0947e+000 -5.6213e-001 +1.9811e+000 -2.7071e+000 +5.3696e-001 -7.5375e-002 +1.8003e-001 -1.6641e+000 -3.0376e+000 -3.8328e+000 +1.9545e+000 +1.0675e+000 -1.5704e-001 +3.7408e+000 +2.8434e+000 -1.2735e-001 -3.8035e+000 +2.4338e+000 +1.3783e+000
4560 +5.939528887e-002 +5.939528887e-002 +7.953939529e+001 +7.953939529e+001 +2.7467e-001 -1.0281e+000 -7.0501e-001 +1.9231e+000 -2.6053e+000 +4.1865e-001 -8.5562e-002 +7.9991e-003 -1.6589e+000 -3.0116e+000 -3.8903e+000 +1.9987e+000 +1.0684e+000 -1.3794e-001 +3.6932e+000 +2.9110e+000 -1.4366e-001 -3.8792e+000 +2.2592e+000 +1.3455e+000
5000 +3.741820689e-002 +3.741820689e-002 +7.951741821e+001 +7.951741821e+001 +2.8592e-001 -1.0759e+000 -7.3324e-001 +1.9905e+000 -2.6883e+000 +4.1397e-001 -8.0443e-002 +6.6147e-002 -1.6316e+000 -3.0481e+000 -3.8639e+000 +1.9808e+000 +1.1332e+000 -1.0612e-002 +3.6814e+000 +2.8883e+000 -8.0183e-002 -3.9095e+000 +2.2763e+000 +1.3613e+000
5093 +2.492432305e-002 +2.492432305e-002 +7.950492432e+001 +7.950492432e+001 +2.4186e-001 -1.1883e+000 -7.0010e-001 +1.9520e+000 -2.5893e+000 +4.6474e-001 -8.5297e-002 +1.0537e-001 -1.6805e+000 -3.0765e+000 -3.8520e+000 +2.0169e+000 +1.0571e+000 -1.1138e-001 +3.6627e+000 +2.8887e+000 -9.1642e-002 -3.8544e+000 +2.3941e+000 +1.3731e+000
5416 +1.516198749e-002 +1.516198749e-002 +7.949516199e+001 +7.949516199e+001 +2.7102e-001 -1.1747e+000 -7.4815e-001 +1.9017e+000 -2.6393e+000 +4.9833e-001 -1.3708e-001 +1.2884e-001 -1.6234e+000 -3.1118e+000 -3.8664e+000 +2.0066e+000 +1.1159e+000 -7.4606e-002 +3.6433e+000 +2.8869e+000 -8.7194e-002 -3.9128e+000 +2.3475e+000 +1.3685e+000
5857 +9.241816468e-003 +9.241816468e-003 +7.948924182e+001 +7.948924182e+001 +2.8983e-001 -1.1370e+000 -7.3874e-001 +1.9067e+000 -2.6561e+000 +4.1097e-001 -9.7156e-002 +1.2185e-001 -1.6185e+000 -3.0634e+000 -3.8560e+000 +2.0441e+000 +1.0846e+000 -1.2265e-001 +3.6605e+000 +2.9122e+000 -9.4447e-002 -3.9094e+000 +2.3749e+000 +1.3294e+000
6029 +5.232222510e-003 +5.232222510e-003 +7.948523222e+001 +7.948523222e+001 +2.6193e-001 -1.1760e+000 -7.1535e-001 +1.9168e+000 -2.6939e+000 +4.1305e-001 -1.1196e-001 +1.1544e-001 -1.6379e+000 -3.0834e+000 -3.8700e+000 +2.0010e+000 +1.1047e+000 -1.1456e-001 +3.6180e+000 +2.9138e+000 -1.2589e-001 -3.9174e+000 +2.3678e+000 +1.3524e+000
20875 +3.647328835e-003 +3.647328835e-003 +7.948364733e+001 +7.948364733e+001 +2.7793e-001 -1.1729e+000 -7.1645e-001 +1.9347e+000 -2.6697e+000 +4.3928e-001 -1.2813e-001 +1.2942e-001 -1.6513e+000 -3.0510e+000 -3.8445e+000 +2.0281e+000 +1.0865e+000 -1.1749e-001 +3.6698e+000 +2.9049e+000 -1.2994e-001 -3.9127e+000 +2.3655e+000 +1.3479e+000
21119 +1.762937327e-003 +1.762937327e-003 +7.948176294e+001 +7.948176294e+001 +2.7314e-001 -1.1604e+000 -7.1644e-001 +1.9161e+000 -2.6813e+000 +4.5419e-001 -1.2401e-001 +1.2614e-001 -1.6297e+000 -3.0436e+000 -3.8524e+000 +2.0223e+000 +1.0814e+000 -9.3141e-002 +3.6493e+000 +2.9115e+000 -1.3660e-001 -3.9075e+000 +2.3573e+000 +1.3527e+000
21196 +1.578777438e-003 +1.578777438e-003 +7.948157878e+001 +7.948157878e+001 +2.5440e-001 -1.1604e+000 -7.2411e-001 +1.9239e+000 -2.6813e+000 +4.5419e-001 -1.2401e-001 +1.2187e-001 -1.6407e+000 -3.0436e+000 -3.8568e+000 +2.0223e+000 +1.0778e+000 -9.3141e-002 +3.6377e+000 +2.9149e+000 -1.3660e-001 -3.9091e+000 +2.3428e+000 +1.3527e+000
21613 +8.881633732e-004 +8.881633732e-004 +7.948088816e+001 +7.948088816e+001 +2.6513e-001 -1.1564e+000 -7.2497e-001 +1.9191e+000 -2.6702e+000 +4.4163e-001 -1.2553e-001 +1.2376e-001 -1.6350e+000 -3.0467e+000 -3.8615e+000 +2.0170e+000 +1.0828e+000 -9.1811e-002 +3.6418e+000 +2.9031e+000 -1.3001e-001 -3.9242e+000 +2.3474e+000 +1.3549e+000
21848 +5.941251781e-004 +5.941251781e-004 +7.948059413e+001 +7.948059413e+001 +2.5892e-001 -1.1559e+000 -7.2202e-001 +1.9220e+000 -2.6740e+000 +4.4165e-001 -1.2273e-001 +1.2313e-001 -1.6352e+000 -3.0435e+000 -3.8610e+000 +2.0156e+000 +1.0820e+000 -8.6770e-002 +3.6384e+000 +2.9108e+000 -1.3061e-001 -3.9296e+000 +2.3492e+000 +1.3564e+000
22070 +3.708049840e-004 +3.708049840e-004 +7.948037080e+001 +7.948037080e+001 +2.5692e-001 -1.1550e+000 -7.2218e-001 +1.9325e+000 -2.6800e+000 +4.3851e-001 -1.1649e-001 +1.1713e-001 -1.6353e+000 -3.0485e+000 -3.8591e+000 +2.0199e+000 +1.0830e+000 -9.3045e-002 +3.6421e+000 +2.9074e+000 -1.2992e-001 -3.9290e+000 +2.3510e+000 +1.3579e+000
22153 +2.452322898e-004 +2.452322898e-004 +7.948024523e+001 +7.948024523e+001 +2.5256e-001 -1.1555e+000 -7.2090e-001 +1.9235e+000 -2.6815e+000 +4.4192e-001 -1.2006e-001 +1.2137e-001 -1.6378e+000 -3.0463e+000 -3.8589e+000 +2.0150e+000 +1.0833e+000 -9.5446e-002 +3.6423e+000 +2.9120e+000 -1.2508e-001 -3.9291e+000 +2.3574e+000 +1.3576e+000
22438 +1.580314571e-004 +1.580314571e-004 +7.948015803e+001 +7.948015803e+001 +2.4945e-001 -1.1526e+000 -7.2127e-001 +1.9265e+000 -2.6849e+000 +4.3683e-001 -1.1471e-001 +1.2046e-001 -1.6390e+000 -3.0490e+000 -3.8562e+000 +2.0186e+000 +1.0898e+000 -8.6411e-002 +3.6469e+000 +2.9140e+000 -1.2205e-001 -3.9279e+000 +2.3583e+000 +1.3617e+000
