% function evaluation | noise-free fitness - Fopt (-6.211100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.455483633e+009 +3.455483633e+009 +3.455483012e+009 +3.455483012e+009 -4.5854e+000 +1.3048e+000 +1.1008e-002 -4.9360e+000 -9.8697e-001 +4.5384e+000 -1.6751e+000 -6.8323e-001 +1.4172e-001 -4.3354e+000 -1.7451e+000 +2.0152e-001 -1.8131e+000 -2.1032e-001 +4.5351e+000 -3.6710e+000 +3.5512e+000 -3.6946e+000 -3.9915e+000 +3.3217e+000
4 +9.117511568e+008 +9.117511568e+008 +9.117505356e+008 +9.117505356e+008 -1.3396e-001 -1.7867e+000 -4.8505e+000 +6.7894e-002 -3.1109e+000 -3.1368e+000 -1.9449e+000 -1.7188e-002 +2.4894e+000 -1.4736e+000 +1.8832e+000 -2.3189e+000 +4.0670e+000 -8.6850e-001 -2.2111e+000 -3.9620e+000 +1.0394e+000 +3.4769e+000 -3.2389e+000 -3.1187e-002
5 +5.889752857e+008 +5.889752857e+008 +5.889746646e+008 +5.889746646e+008 -1.8965e+000 +3.0793e+000 -4.1587e+000 +1.7325e+000 -3.2461e+000 -2.4889e+000 +4.2827e+000 -4.5233e+000 +1.6084e+000 -2.3503e-001 -4.0626e+000 -9.9495e-001 -3.4457e+000 +2.5794e+000 -2.4671e-001 +1.1723e+000 -3.8115e-001 +2.2558e+000 -1.0599e-001 +3.0574e+000
15 +3.582667263e+008 +3.582667263e+008 +3.582661052e+008 +3.582661052e+008 +1.8718e+000 +3.1652e+000 +4.7292e+000 -4.6391e+000 -3.5313e+000 -8.2262e-001 -2.2238e+000 +4.0164e-001 -3.3549e-001 -2.0411e+000 +4.4107e+000 +8.3744e-001 +4.1299e+000 +2.5328e+000 +3.9870e+000 -4.6223e+000 -2.4828e+000 +1.3219e+000 +4.9861e+000 -4.6767e+000
77 +1.657463054e+008 +1.657463054e+008 +1.657456843e+008 +1.657456843e+008 -1.7311e+000 +6.1554e+000 +2.1924e+000 +1.3199e+000 -1.3992e+000 -5.5351e+000 +2.3651e+000 -1.1685e+000 +3.3935e+000 +1.2991e+000 -1.9876e+000 +3.2741e+000 -1.1143e+000 +3.6137e+000 +3.0599e+000 -3.7858e+000 -3.8259e+000 +1.4932e+000 +1.2576e+000 -1.3359e+000
140 +1.342565736e+008 +1.342565736e+008 +1.342559524e+008 +1.342559524e+008 -3.6748e+000 +2.3083e+000 +4.5516e+000 -3.0846e-001 -1.7404e+000 -3.1168e+000 +4.3514e+000 -2.2374e+000 +3.1142e-003 +3.4868e+000 -1.4628e+000 +1.1930e+000 +4.7230e-002 +1.4750e+000 +3.1366e+000 -1.0048e+000 +3.7039e-001 -5.4910e-002 +1.1520e+000 +8.0330e-001
562 +9.924416947e+007 +9.924416947e+007 +9.924354836e+007 +9.924354836e+007 -5.1588e+000 +5.7300e+000 +1.9739e+000 +1.7840e+000 -2.0174e+000 -2.3547e+000 +3.7377e+000 -1.2104e+000 +3.8079e-001 +3.1316e+000 -1.7390e+000 +1.8862e+000 +1.6826e+000 +3.1369e+000 +8.4225e-001 -1.2152e+000 +3.2068e+000 +3.0221e+000 +3.1795e+000 +3.6289e-001
824 +6.255348513e+007 +6.255348513e+007 +6.255286402e+007 +6.255286402e+007 -4.7360e+000 +5.2583e+000 +8.4187e-001 -2.4411e+000 -2.9642e+000 -1.2917e+000 +2.9448e+000 -3.8151e-001 +3.0496e+000 +2.2720e+000 -5.2734e-001 +2.1993e+000 +3.0491e+000 +3.2004e+000 +2.3933e+000 -1.4847e+000 +1.5709e+000 +2.1978e+000 +1.8263e+000 -2.6733e+000
1141 +2.756051728e+007 +2.756051728e+007 +2.755989617e+007 +2.755989617e+007 -2.2144e+000 +3.5756e+000 +2.0642e+000 -2.2182e+000 -2.0191e+000 -1.8568e+000 +1.8942e+000 -1.4353e-001 -8.3965e-001 -1.0293e+000 -1.3089e-001 +2.2074e+000 +2.3869e+000 +7.5910e-001 +2.3305e+000 -4.6246e+000 +1.1106e+000 +2.5784e+000 +4.1425e-001 +2.7619e-001
1303 +2.023901751e+007 +2.023901751e+007 +2.023839640e+007 +2.023839640e+007 -2.1717e+000 +5.7914e+000 +1.0066e+000 -1.7165e+000 -2.0659e+000 -3.0196e+000 +2.6587e+000 -1.4496e-001 +8.0364e-001 +3.6041e-001 -4.1159e-001 +1.8276e+000 +3.1933e+000 +2.5881e+000 +2.8161e+000 -3.1433e+000 +1.4511e+000 +1.9944e+000 +6.3656e-001 -1.5037e+000
