% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.962598219e+003 +3.962598219e+003 +3.500508219e+003 +3.500508219e+003 -3.7353e+000 +2.3184e+000 -3.2401e+000 +4.8109e+000 -1.6688e+000 +4.3007e+000 -3.4297e+000 -2.1416e+000 -1.3302e+000 +3.0145e+000 +4.9663e+000 +1.6324e+000 -2.4826e+000 +6.7827e-001 +2.4843e+000 -2.7095e+000 -3.2812e+000 +1.4773e+000 -2.3155e+000 -4.8855e+000
8 +1.076288479e+003 +1.076288479e+003 +6.141984790e+002 +6.141984790e+002 -2.9486e+000 +3.6517e+000 +1.5719e+000 +1.1593e+000 +1.4009e+000 -7.4539e-001 +4.5799e-001 -4.5569e+000 -4.1635e-001 +1.4783e+000 -3.6621e+000 -1.3384e+000 -1.3313e+000 -4.8366e-001 -3.3519e+000 +2.5948e-001 -5.9771e-001 +1.1665e-001 -6.0777e-001 -1.2659e+000
105 +8.640930299e+002 +8.640930299e+002 +4.020030299e+002 +4.020030299e+002 -2.2576e+000 +2.1242e+000 -4.4847e+000 -2.6890e+000 +2.3010e+000 +3.3280e+000 +9.0233e-001 +4.5271e+000 +1.4120e+000 +3.5887e+000 +2.8513e+000 +1.0447e+000 -3.3574e+000 +3.8200e+000 -2.0006e+000 -2.5532e+000 +3.3305e-003 +5.6545e-001 +4.2301e-001 +1.1549e+000
651 +5.603957727e+002 +5.603957727e+002 +9.830577273e+001 +9.830577273e+001 +1.8152e+000 +4.3548e+000 -1.2384e+000 -7.3434e-001 +2.1872e+000 +3.6674e+000 -1.3159e+000 +4.6749e+000 +4.6830e-001 -3.2428e+000 -2.2995e-001 -2.7232e+000 -1.7416e+000 -2.1354e-001 -4.6872e+000 -4.7481e+000 -5.3492e-001 +2.5216e+000 +1.5888e+000 +1.1274e+000
1552 +3.795253172e+002 +3.795253172e+002 -8.256468276e+001 -8.256468276e+001 +1.1364e+000 +4.2182e-001 +1.9959e+000 +1.8255e+000 +2.3222e+000 -7.8938e-001 +1.9125e+000 +3.4807e+000 +1.5009e+000 -1.8725e+000 +2.1752e+000 -5.6633e-001 -6.3335e-001 -3.3874e+000 -2.3017e+000 -2.2074e+000 -9.4719e-001 +2.5284e+000 +1.9716e+000 +2.1046e+000
2944 +2.486589954e+002 +2.486589954e+002 -2.134310046e+002 -2.134310046e+002 +1.2400e+000 +3.7128e+000 -2.6790e-001 +5.5594e-001 +1.7903e+000 -4.7703e-001 +2.1336e+000 +1.9572e+000 +5.6683e-001 -3.6198e-001 +2.4169e+000 -2.7433e+000 -3.3167e-001 -1.4586e+000 +9.5897e-001 -4.6896e+000 -6.6529e-001 +2.9481e+000 +1.6119e+000 +8.4480e-001
% function evaluation | noise-free fitness - Fopt (7.766000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.333043203e+003 +7.333043203e+003 +7.410703203e+003 +7.410703203e+003 +3.2279e+000 +1.0666e+000 -1.7493e+000 +1.8233e+000 +2.0329e+000 -1.9298e+000 -1.7060e+000 +1.0421e+000 -4.2551e+000 -2.7530e+000 -4.4988e+000 -6.2086e-001 +3.7651e+000 -2.2536e+000 -4.4958e+000 -2.6121e+000 -2.9925e+000 +2.9650e+000 +3.7877e+000 +2.2940e+000
3 +4.420479026e+003 +4.420479026e+003 +4.498139026e+003 +4.498139026e+003 +3.9046e+000 +4.3208e+000 -1.5188e+000 -1.5369e+000 +1.1267e+000 -2.1047e+000 -4.2032e+000 -1.3603e+000 +2.7949e-002 +1.6376e+000 +3.6811e+000 +4.4969e+000 -4.4180e+000 -2.1961e-001 +4.5307e+000 +4.7720e+000 +1.8877e+000 +4.1345e+000 -3.2910e-001 -1.9381e+000
5 +3.973020198e+003 +3.973020198e+003 +4.050680198e+003 +4.050680198e+003 -7.0844e-001 +4.2132e+000 +1.4888e+000 +2.4807e+000 -4.2675e+000 -6.4414e-001 +4.2334e+000 -3.9415e+000 -2.8833e+000 +3.0715e-001 -2.4241e+000 +3.8650e+000 -3.8386e+000 -1.1726e+000 +2.9042e+000 -1.4699e+000 -3.6640e+000 +2.9751e+000 +3.3080e+000 -2.5571e+000
9 +2.384583756e+003 +2.384583756e+003 +2.462243756e+003 +2.462243756e+003 -2.6435e+000 +2.3532e+000 +1.7509e+000 +4.7042e+000 -4.8572e+000 +1.0435e-001 +1.8426e+000 -2.1717e-001 -3.9921e+000 +1.6571e+000 -2.8644e+000 -2.7015e+000 -3.3016e+000 +1.1955e+000 -3.2786e+000 -2.0426e+000 -4.4335e+000 +8.0060e-001 -4.1153e-001 +4.6815e+000
32 +1.449459085e+003 +1.449459085e+003 +1.527119085e+003 +1.527119085e+003 -1.4111e+000 +1.4877e+000 -2.5992e+000 -6.8982e-002 +2.7370e+000 +2.6011e+000 -3.2705e-001 +3.6200e+000 -3.7741e+000 -4.4174e+000 -4.9425e+000 -3.9288e+000 -5.3486e-001 -4.9973e+000 +1.0495e+000 -1.3570e+000 -3.2601e+000 +1.6954e+000 -4.5116e+000 -4.3352e+000
489 +9.428699197e+002 +9.428699197e+002 +1.020529920e+003 +1.020529920e+003 +2.6004e+000 -2.8329e+000 +4.3314e-002 +3.5214e+000 -2.4683e+000 +3.3571e+000 -2.8017e+000 +3.0841e+000 +8.1386e-001 +2.2859e+000 +1.8303e+000 +2.1308e+000 -3.5309e+000 -4.1360e+000 -4.4765e+000 +1.5239e+000 -1.2045e+000 -1.7723e+000 +2.4024e+000 -2.9385e+000
939 +6.188698104e+002 +6.188698104e+002 +6.965298104e+002 +6.965298104e+002 -4.3041e+000 -2.8583e-003 +4.3314e-002 +3.5214e+000 -2.4683e+000 +3.3571e+000 -2.8017e+000 +3.0841e+000 +8.1386e-001 +2.0095e+000 +1.8303e+000 +2.1308e+000 -4.6792e-002 -2.9368e+000 +2.5106e+000 +1.6505e+000 -1.0415e+000 -1.7723e+000 +2.4024e+000 -2.9385e+000
2161 +3.835700353e+002 +3.835700353e+002 +4.612300353e+002 +4.612300353e+002 +3.2100e+000 -2.7244e+000 -1.3051e+000 +1.6585e+000 -1.3417e+000 +1.0250e+000 -1.0762e+000 -1.5215e+000 -3.3461e+000 -2.4823e+000 +1.6021e+000 +1.6803e+000 -6.8128e-001 -2.9101e-001 +6.1981e-001 +1.5926e+000 -1.0022e-001 -1.7594e+000 +2.7044e+000 -3.8541e+000
3057 +2.294163982e+002 +2.294163982e+002 +3.070763982e+002 +3.070763982e+002 +1.3150e+000 -5.8430e-001 -2.5223e+000 +1.3075e+000 +1.4640e+000 -1.4388e+000 -7.8100e-001 +1.2685e-001 +4.8194e-001 -3.3948e+000 +2.7494e+000 -1.8201e+000 +1.7297e-001 -2.0020e+000 +2.8576e+000 +2.4744e+000 -8.3654e-001 -2.7415e+000 +2.7437e+000 -3.8037e+000
% function evaluation | noise-free fitness - Fopt (1.156800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.310084814e+003 +2.310084814e+003 +2.425764814e+003 +2.425764814e+003 -3.5519e+000 -3.8595e+000 -2.1914e+000 -1.1592e-001 -1.0994e+000 +3.3502e+000 +3.6694e+000 -2.7379e+000 -4.5284e+000 +6.3349e-001 +1.7416e+000 +4.4796e+000 +5.1679e-001 -2.4569e+000 +3.5336e+000 +1.8835e+000 -2.2575e+000 +4.5735e+000 +3.3327e+000 +3.4618e+000
6 +1.236309504e+003 +1.236309504e+003 +1.351989504e+003 +1.351989504e+003 +2.7398e+000 -3.1059e+000 -4.2364e+000 -3.3717e+000 -8.8299e-001 -1.8750e+000 +2.4166e+000 -2.4104e+000 +2.6742e+000 +1.9743e+000 -1.8490e+000 -3.8918e+000 +1.9969e+000 -4.6403e+000 -8.2458e-001 +2.0921e+000 -4.3455e+000 +1.2658e+000 +6.9766e-001 +3.8390e+000
125 +9.594349550e+002 +9.594349550e+002 +1.075114955e+003 +1.075114955e+003 -1.6543e+000 +4.4271e+000 -2.7561e+000 +1.9953e+000 +1.7083e+000 -3.5179e+000 -4.6954e+000 +3.5255e+000 +2.3922e+000 -3.0618e+000 -3.3753e+000 +1.4138e+000 +1.1409e+000 -4.0547e+000 -9.3549e-002 +2.1471e+000 +6.9194e-001 +1.6302e+000 +2.3213e+000 +1.0691e+000
269 +4.650871529e+002 +4.650871529e+002 +5.807671529e+002 +5.807671529e+002 +2.2648e+000 +1.7368e+000 -1.1380e+000 -5.6850e-001 -2.8836e-001 +2.7462e-002 +2.1396e+000 -2.7825e-001 -3.7414e-001 +1.5746e+000 +2.5291e+000 -5.0072e+000 +2.6164e+000 -1.7213e-001 -1.2449e+000 +1.9246e+000 -8.3356e-001 +4.4529e+000 +3.4721e+000 -1.6038e+000
1169 +3.903138006e+002 +3.903138006e+002 +5.059938006e+002 +5.059938006e+002 +2.2648e+000 +2.3007e+000 -4.0988e+000 -5.6850e-001 -2.8836e-001 -3.4010e+000 +2.1396e+000 +3.7284e+000 -1.6720e+000 -3.5537e+000 +2.5291e+000 +6.5972e-002 +2.6164e+000 +2.1282e+000 +8.5506e-001 -1.8512e+000 -8.3356e-001 +4.4529e+000 +3.4721e+000 -1.6038e+000
2555 +2.473331673e+002 +2.473331673e+002 +3.630131673e+002 +3.630131673e+002 +1.1544e+000 -1.3603e-001 -1.3162e+000 +2.0603e+000 +2.3318e+000 -1.9819e+000 +2.9006e+000 +3.7057e+000 +3.8805e+000 -2.5721e+000 +1.9591e+000 -3.4035e+000 +2.0582e+000 +2.1462e+000 +1.9984e+000 +2.1956e+000 -6.9993e-001 +3.9750e+000 +2.5808e+000 -1.6017e+000
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.838013195e+003 +1.838013195e+003 +1.834303195e+003 +1.834303195e+003 -2.3666e+000 +8.6043e-001 -4.1746e+000 +1.1308e+000 +9.6919e-001 +3.9119e+000 -2.6661e+000 -1.5812e+000 -4.5672e+000 -1.2636e-001 -3.0699e+000 +3.9258e+000 +2.6288e+000 +8.3269e-001 -4.1886e+000 +4.5730e+000 +9.8227e-001 -2.5099e+000 -4.3228e+000 -8.2239e-001
4 +1.420230413e+003 +1.420230413e+003 +1.416520413e+003 +1.416520413e+003 +1.1558e+000 +2.8661e+000 -2.9704e+000 +3.5475e+000 +3.6946e+000 +2.7600e+000 +8.0120e-001 -3.9347e+000 -4.6510e+000 +3.6904e-001 -1.6779e+000 +3.7827e-001 -3.5912e+000 -9.6610e-001 -9.4653e-001 +3.4930e+000 -2.5500e+000 +4.6277e-001 -1.2611e-001 -2.2361e+000
10 +8.793530227e+002 +8.793530227e+002 +8.756430227e+002 +8.756430227e+002 +3.6498e+000 -1.4822e+000 -3.0275e+000 +4.9236e+000 +4.0525e-001 -4.8722e+000 -1.7113e+000 -1.8096e+000 +1.5771e+000 -2.5016e+000 -2.8501e+000 -1.8981e+000 -7.1703e-001 +2.0458e-001 -4.7351e-002 +4.7661e-002 +1.4149e+000 +4.2345e+000 +2.5193e+000 -1.3024e+000
349 +4.822186760e+002 +4.822186760e+002 +4.785086760e+002 +4.785086760e+002 +1.3451e+000 +2.8685e+000 +6.0829e-003 +3.8897e+000 -6.6137e-001 +2.0545e+000 -2.4782e+000 -5.7945e-001 +5.4444e-001 +8.8456e-001 +7.5406e-001 -1.3183e-001 +2.4446e+000 +2.7485e-001 -9.9827e-001 -2.9044e+000 -1.6805e+000 -1.0368e-001 +2.4288e+000 -3.8517e+000
1701 +3.904309644e+002 +3.904309644e+002 +3.867209644e+002 +3.867209644e+002 +1.5546e+000 -5.2891e+000 +2.0399e+000 +2.6680e+000 +1.4850e+000 +5.3168e+000 -8.3469e-001 -5.6381e-001 -4.9982e-001 +6.4302e-001 +3.2522e+000 +7.4502e-001 +2.5956e+000 -1.8473e+000 -7.7822e-001 -4.6825e+000 -1.6574e-001 +4.1516e+000 +2.7586e+000 -3.7778e+000
2383 +2.510404805e+002 +2.510404805e+002 +2.473304805e+002 +2.473304805e+002 +2.1597e+000 -4.2251e+000 +1.7880e+000 +3.0397e+000 +9.5637e-001 +2.6673e+000 -1.1718e+000 -2.6706e+000 +2.4079e+000 +1.0517e+000 +2.5862e+000 -4.9909e-001 +3.8359e+000 -3.8109e+000 -7.9590e-001 -4.1470e+000 +6.0821e-001 +2.0796e-001 +2.8893e+000 -2.6361e+000
3907 +1.569544099e+002 +1.569544099e+002 +1.532444099e+002 +1.532444099e+002 +2.0864e+000 -3.8568e+000 +9.5703e-001 +4.0355e+000 -1.1741e-002 +2.4038e+000 -2.9071e-001 -1.8787e+000 +2.3328e+000 +1.3826e+000 +3.3629e+000 +2.1400e+000 +3.5983e+000 -1.9075e+000 -4.1345e-001 -4.4173e+000 +7.4344e-001 +2.1736e+000 +3.6902e+000 -3.2313e+000
% function evaluation | noise-free fitness - Fopt (1.321800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.137450305e+003 +3.137450305e+003 +3.269630305e+003 +3.269630305e+003 +2.6808e+000 +2.9799e+000 -2.4565e+000 -1.4054e+000 +3.9735e+000 +5.4983e-001 -1.7274e+000 -4.4892e+000 -4.1494e+000 +8.5993e-001 -3.0384e+000 +4.0516e+000 +3.0181e+000 +2.3175e+000 +1.6730e-001 +3.3657e+000 -3.9285e-001 -4.2806e+000 +1.2193e+000 -1.8575e+000
9 +2.176710614e+003 +2.176710614e+003 +2.308890614e+003 +2.308890614e+003 -2.5098e+000 +1.4739e+000 -4.7771e+000 -3.7859e+000 +1.6414e+000 +2.2207e+000 +3.6764e+000 -3.4652e+000 -9.6902e-001 +7.2716e-001 -1.7578e+000 -2.3345e-002 +1.6347e+000 -4.1001e+000 +3.4592e+000 -2.4032e+000 +2.2461e+000 +1.3749e+000 +2.0288e+000 +3.3964e-001
10 +1.360400903e+003 +1.360400903e+003 +1.492580903e+003 +1.492580903e+003 -4.3537e+000 -1.9541e-001 +1.0116e+000 -1.0086e+000 -1.1075e+000 -1.6215e+000 -3.6026e+000 +1.3388e+000 +1.6601e+000 -1.6779e+000 -1.8092e-003 -1.8900e+000 +5.5324e-001 -1.1368e+000 +7.4601e-001 -1.5750e+000 -2.9118e+000 -7.9038e-001 -1.5744e+000 +4.9477e+000
76 +9.166769438e+002 +9.166769438e+002 +1.048856944e+003 +1.048856944e+003 +4.6700e+000 +1.5498e+000 +1.2644e+000 -8.5746e-001 +3.0629e+000 -2.6407e+000 -2.5843e+000 +6.8134e-001 -6.8077e-001 +1.1934e+000 +4.2823e-001 -2.6944e+000 +1.4251e-001 +8.9523e-001 +8.7127e-001 +4.5578e+000 +2.3085e+000 +2.4520e+000 +9.8901e-001 +1.7966e+000
