% function evaluation | noise-free fitness - Fopt (9.294000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.869822498e+003 +3.869822498e+003 +3.962762498e+003 +3.962762498e+003 -6.1666e-001 -2.3339e+000 +4.7254e+000 +6.2420e-001 +3.8452e+000 -1.7189e+000 +2.1354e-001 +1.6803e-002 -2.2462e+000 -4.6496e-001 -2.6798e+000 +1.3207e-001 +6.8919e-001 +7.6382e-001 -1.9796e+000 +7.1200e-001 +2.3864e+000 +2.9391e+000 -3.5975e+000 +4.9776e+000
3 +1.644520559e+003 +1.644520559e+003 +1.737460559e+003 +1.737460559e+003 -2.1518e+000 +4.7091e+000 +4.0334e+000 +1.0579e-001 -4.5322e+000 +3.0276e+000 +4.0301e+000 -1.2422e+000 -3.4323e+000 +4.0342e+000 +2.8697e+000 -4.0421e+000 +4.8433e+000 +4.0752e+000 -2.0329e+000 -4.9921e+000 +4.6061e+000 -2.2033e+000 +3.3539e+000 +3.3182e+000
22 +7.897594193e+002 +7.897594193e+002 +8.826994193e+002 +8.826994193e+002 -9.9393e-001 -1.9270e+000 -3.5498e-001 +3.6371e+000 +3.0445e+000 +3.1732e-002 +7.3542e-001 -2.2384e+000 -1.6469e+000 +3.1007e+000 -3.5136e-001 -3.4181e+000 -4.4884e-001 +1.1337e-001 -2.5796e+000 +4.3145e+000 +2.7544e+000 -1.9995e+000 +4.9821e+000 -3.8677e+000
112 +5.776541919e+002 +5.776541919e+002 +6.705941919e+002 +6.705941919e+002 +9.6709e-001 +2.7742e+000 -1.9948e+000 +1.1588e-001 +3.9031e+000 +6.6769e+000 +2.6135e+000 +8.4427e-001 +4.1300e+000 +5.0827e+000 +6.3673e-001 -1.1616e+000 +3.8785e-001 +4.6281e+000 +7.3279e-002 +8.9462e-001 +6.0021e+000 -3.4187e+000 +7.0370e-001 +5.7525e-001
730 +3.484984449e+002 +3.484984449e+002 +4.414384449e+002 +4.414384449e+002 -3.3075e+000 -4.4778e+000 -3.3368e+000 +5.7750e+000 +4.9396e-001 +2.6636e+000 +3.9020e+000 -5.8800e+000 +4.4800e+000 -9.8055e-001 +6.5208e+000 -1.4364e+000 -1.4181e+000 -4.7941e-001 +9.1990e-001 +6.8362e+000 +4.6903e+000 -4.4785e+000 +7.2911e-001 -2.8233e+000
1682 +2.478169789e+002 +2.478169789e+002 +3.407569789e+002 +3.407569789e+002 -6.6932e-001 +4.2239e+000 +4.3125e+000 +1.3280e+000 +1.6649e+000 +2.3245e+000 +4.1558e+000 -7.6030e+000 +3.7275e+000 +2.8636e+000 +2.3294e+000 -3.1343e+000 -1.3527e+000 +1.1841e+000 -2.1449e+000 +7.0374e+000 +5.5782e+000 -4.7808e+000 +2.9604e+000 -2.8171e+000
2871 +1.420127805e+002 +1.420127805e+002 +2.349527805e+002 +2.349527805e+002 -1.0015e-001 -1.0645e+000 +3.2557e-001 +5.4906e+000 +2.6045e+000 +4.3527e+000 +2.3479e+000 -4.2063e+000 -7.8944e-001 +2.5705e+000 +3.2553e+000 -3.1130e+000 -2.9694e+000 +6.3037e-001 +1.6896e+000 +3.3399e+000 +4.1540e+000 -2.4024e+000 +1.3130e-001 +3.2003e-001
% function evaluation | noise-free fitness - Fopt (3.535000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.802751350e+003 +1.802751350e+003 +1.838101350e+003 +1.838101350e+003 -2.8470e+000 -2.2510e+000 -1.3746e+000 +2.9947e+000 +4.8427e+000 -2.3642e+000 +3.9126e+000 -4.4868e-001 +1.2413e+000 -1.8259e+000 +1.7084e+000 -1.9263e+000 +2.2108e+000 +1.3750e-001 -1.3573e-001 +4.6892e+000 +1.5570e+000 +4.1244e+000 +1.4866e+000 +2.4023e+000
25 +8.110133482e+002 +8.110133482e+002 +8.463633482e+002 +8.463633482e+002 -4.7626e+000 +4.8644e+000 +2.7736e+000 +2.2344e+000 -3.4558e+000 -4.4711e-001 +3.4625e+000 -1.4913e+000 -4.3402e+000 -3.7189e+000 -3.9965e+000 -3.7593e+000 +4.9468e+000 +2.7882e+000 -2.8755e+000 +2.5885e+000 +4.6570e+000 -3.7233e-001 -1.1903e+000 +1.7700e+000
259 +5.561989156e+002 +5.561989156e+002 +5.915489156e+002 +5.915489156e+002 +7.5580e-002 -3.4598e-001 +1.4385e+000 -1.1250e+000 -3.0264e+000 +7.8227e-001 +6.4352e+000 +9.8005e-001 +5.2681e+000 -3.2455e+000 -1.9362e+000 -3.1740e+000 +4.7800e+000 +5.4367e+000 -4.2022e-001 +4.7589e+000 +4.1610e+000 +1.6638e+000 +4.8317e+000 +1.8482e-001
705 +3.238252135e+002 +3.238252135e+002 +3.591752135e+002 +3.591752135e+002 +1.5837e+000 +2.6030e+000 +1.5553e+000 +1.1250e+000 -2.4748e+000 -6.2739e+000 +3.5108e+000 -2.0192e+000 +3.6339e+000 -3.6085e+000 -1.5717e+000 -3.4056e+000 +7.3148e+000 +7.2957e-001 -4.1612e+000 +3.1056e+000 -1.8549e+000 +6.1606e+000 +9.4491e-002 -1.3657e-001
2188 +2.228153984e+002 +2.228153984e+002 +2.581653984e+002 +2.581653984e+002 +1.9501e+000 -5.0488e-001 +2.0311e+000 +1.9039e+000 -1.8783e+000 -3.1258e+000 +2.6650e+000 +3.3453e-001 +1.9133e+000 -2.5692e+000 +1.5696e+000 -4.4264e+000 +7.7611e+000 +4.6109e+000 -1.4669e+000 +2.8386e+000 +3.7888e-001 -7.1557e-002 -2.4493e+000 -3.0658e-001
% function evaluation | noise-free fitness - Fopt (3.820000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.431551112e+003 +3.431551112e+003 +3.435371112e+003 +3.435371112e+003 -3.5064e+000 -3.4916e+000 -1.0593e+000 +5.9074e-001 +1.9960e+000 -4.1750e+000 +7.1938e-001 +4.6340e+000 -3.0404e+000 +1.9086e+000 -4.5128e+000 +4.1469e-001 +2.0914e+000 +3.7864e+000 +4.8644e+000 +2.4561e+000 +4.3095e+000 -2.6215e+000 -3.2601e+000 +4.0356e+000
5 +1.664943279e+003 +1.664943279e+003 +1.668763279e+003 +1.668763279e+003 -3.8681e+000 -1.6500e+000 -4.0193e-001 -4.5843e-001 +3.5246e+000 -4.1928e+000 +3.8378e-001 +4.9974e+000 -3.6391e+000 -4.9520e-001 +4.7836e+000 -3.7618e+000 +1.1330e+000 +2.6755e+000 -1.0158e+000 +5.1788e-001 -1.5098e+000 -8.6124e-001 +1.6209e+000 +1.1999e+000
7 +6.080513281e+002 +6.080513281e+002 +6.118713281e+002 +6.118713281e+002 +2.5355e+000 -1.5311e+000 -6.6647e-001 -4.6565e+000 -3.3832e+000 +2.5571e+000 +1.1404e+000 +1.5729e+000 -2.0163e+000 -4.1369e+000 -1.5565e+000 -3.9349e+000 -4.6567e+000 -9.2438e-001 +1.0952e+000 +4.7066e+000 -2.6186e+000 -2.0137e+000 -3.7506e+000 +1.5230e+000
100 +3.681262976e+002 +3.681262976e+002 +3.719462976e+002 +3.719462976e+002 -1.7101e+000 -6.1746e-001 +2.7602e+000 -4.5753e+000 +1.0959e+000 +1.6995e+000 +4.8319e-001 +1.2279e+000 +3.9753e-001 -1.6600e+000 +2.7199e+000 +1.5607e+000 +4.3347e+000 -2.4981e+000 -9.7877e-001 +1.1472e+000 -2.0940e+000 +2.5321e+000 +1.0226e+000 +1.9723e+000
1879 +1.517870414e+002 +1.517870414e+002 +1.556070414e+002 +1.556070414e+002 +4.2198e+000 +1.2882e+000 +4.0739e+000 +9.1615e-001 +2.9439e+000 +1.9822e-001 -7.7488e-001 -2.4542e+000 +2.8205e+000 -3.5185e-001 +2.3598e+000 +4.9128e+000 +1.9604e+000 -6.1675e+000 +1.2600e+000 -3.3071e-001 +3.4307e+000 +1.3015e+000 -1.1555e+000 +3.3106e+000
% function evaluation | noise-free fitness - Fopt (2.175000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
