% function evaluation | noise-free fitness - Fopt (-6.211100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.328720499e+013 +1.328720499e+013 +1.328720499e+013 +1.328720499e+013 +1.0838e+001 +1.2978e+001 +6.9717e+000 +9.8717e+000 +5.9499e+000 +7.7879e+000 +1.4360e+001 +8.7063e+000 +1.1896e+001 +1.3839e+001 +8.5014e+000 +1.1010e+001 +7.1484e+000 +1.1596e+001 +1.4704e+001 +1.3467e+001 +1.2018e+001 +9.5865e+000 +6.5771e+000 +7.3060e+000
6 +3.507498968e+011 +3.507498968e+011 +3.507498962e+011 +3.507498962e+011 +1.2660e+001 +5.7411e+000 +1.3990e+001 +6.9440e+000 +8.4002e+000 +6.3882e+000 +8.4334e+000 +1.1405e+001 +1.3695e+001 +1.2353e+001 +1.0149e+001 +1.1681e+001 +1.3991e+001 +6.4693e+000 +5.5006e+000 +9.1456e+000 +5.1477e+000 +1.1695e+001 +1.3590e+001 +6.5338e+000
179 +1.234882594e+011 +1.234882594e+011 +1.234882588e+011 +1.234882588e+011 +7.9056e+000 +1.6136e+001 +7.2210e+000 +6.2770e+000 +8.5098e+000 +1.8968e+001 +3.0995e+000 +7.0454e+000 +1.3711e+001 +9.8865e+000 +1.0454e+001 +6.0188e+000 +1.0860e+001 +9.0830e+000 +7.0443e+000 +8.0797e+000 +1.0762e+001 +1.2305e+001 +1.3490e+001 +8.7717e+000
180 +6.873049534e+010 +6.873049534e+010 +6.873049471e+010 +6.873049471e+010 +1.3052e+001 +1.2832e+001 +7.0388e+000 +7.8076e+000 +7.5458e+000 +1.0040e+001 +8.2882e+000 +7.6424e+000 +1.1120e+001 +8.9939e+000 +3.0996e+000 +9.4457e+000 +6.9351e+000 +3.9221e+000 +1.1590e+001 +5.9291e+000 +8.4689e+000 +1.4708e+001 +8.5984e+000 +8.4744e+000
305 +5.014546984e+010 +5.014546984e+010 +5.014546922e+010 +5.014546922e+010 +1.3968e+001 +1.2405e+001 +1.2162e+001 +9.4861e+000 +5.9985e+000 +9.3849e+000 +8.7946e+000 +7.1684e+000 +2.1746e+000 +1.2061e+001 +7.8280e+000 +1.0875e+001 +1.0690e+001 -1.5919e+000 +6.4112e+000 +1.1573e+001 +4.2800e+000 +1.6642e+001 +9.6852e+000 +7.4933e+000
432 +1.785951549e+010 +1.785951549e+010 +1.785951486e+010 +1.785951486e+010 +7.7686e+000 +1.6610e+001 +5.3248e+000 +8.3428e+000 -1.4356e+000 +1.3258e+001 +3.2052e+000 +1.0046e+001 +1.4654e+001 +1.3589e+001 +1.0894e+001 +1.4141e+001 +1.2600e+001 +4.2893e+000 +6.2076e+000 +4.8584e+000 +1.2062e+001 +1.5588e+001 +1.2152e+001 +8.7629e+000
531 +1.168112864e+010 +1.168112864e+010 +1.168112802e+010 +1.168112802e+010 -1.8812e+000 +1.6098e+001 +1.1933e+001 +1.1836e+001 -2.9091e+000 +1.1031e+001 +5.2648e+000 +1.0193e+001 +6.3245e+000 +1.9000e+001 +1.1349e+001 +1.1950e+001 +9.4712e+000 -9.2378e+000 +5.6922e+000 +9.2421e+000 +1.0232e+001 +1.0063e+001 +1.0286e+001 -9.9811e-001
566 +3.821775995e+009 +3.821775995e+009 +3.821775374e+009 +3.821775374e+009 -1.2057e+000 +2.2047e+001 +5.6789e+000 +8.5572e+000 +1.1858e+001 +1.4304e+001 +1.8712e+000 +1.1653e+001 +1.3063e+000 +1.1480e+001 +5.4073e+000 +1.3159e+001 +7.5825e+000 -7.3796e+000 +1.1757e+001 +6.2760e+000 +7.7917e+000 +1.2642e+001 +8.8152e+000 +4.8906e+000
727 +2.164287602e+009 +2.164287602e+009 +2.164286981e+009 +2.164286981e+009 -1.0936e+000 +2.1221e+001 +6.6168e+000 +9.6089e+000 +1.0341e+001 +1.3693e+001 +2.3787e+000 +1.2722e+001 +4.1218e+000 +1.1486e+001 +6.6239e+000 +1.3762e+001 +1.0032e+001 -6.5763e+000 +1.0323e+001 +2.4150e+000 +7.9733e+000 +1.3398e+001 +1.1072e+001 +3.4858e+000
1098 +1.430584501e+009 +1.430584501e+009 +1.430583880e+009 +1.430583880e+009 -2.5732e+000 +2.1168e+001 +4.1238e+000 +9.4414e+000 +1.3440e+000 +1.3927e+001 +4.7882e+000 +1.1777e+001 +1.1912e+001 +1.1395e+001 +3.5891e+000 +1.1483e+001 +1.0235e+001 -2.0224e+000 +7.3745e+000 -3.5385e-001 +4.9912e+000 +6.4395e+000 +1.4229e+001 +2.7425e+000
1433 +9.527453013e+008 +9.527453013e+008 +9.527446802e+008 +9.527446802e+008 -7.1197e-001 +1.6080e+001 +6.8475e+000 +7.9406e+000 +3.2798e+000 +6.3475e+000 +4.3003e+000 +6.9090e+000 +8.1715e+000 +1.0120e+001 +9.1184e+000 +1.2735e+001 +7.3719e+000 -2.8562e+000 +6.8299e+000 -5.6983e+000 +5.3803e+000 +1.0101e+001 +1.0849e+001 +3.9134e+000
1767 +6.287110033e+008 +6.287110033e+008 +6.287103821e+008 +6.287103821e+008 -7.0708e-001 +1.2217e+001 +6.8853e+000 +5.5349e+000 +8.5987e-001 +2.7486e+000 +6.2754e+000 +4.1422e+000 +5.1340e+000 +8.6260e+000 +9.5874e+000 +1.2722e+001 +4.0275e+000 -1.4651e+000 +7.1697e+000 -6.8815e+000 +3.2886e+000 +1.0666e+001 +9.0772e+000 +3.7687e+000
2125 +3.638870723e+008 +3.638870723e+008 +3.638864512e+008 +3.638864512e+008 +3.5721e+000 +1.3062e+001 +6.8999e+000 +6.2133e+000 -1.5231e+000 -4.0985e-001 +7.2533e+000 +1.3322e+000 +4.9861e+000 +6.1559e+000 +9.3474e+000 +1.1362e+001 +4.4573e+000 +2.4107e+000 +3.0607e+000 -7.3041e+000 +7.9872e-001 +5.7833e+000 +8.5227e+000 +2.3663e+000
