% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.227217992e+002 +7.227217992e+002 +7.295917992e+002 +7.295917992e+002 +1.3806e+001 +1.1935e+001 +5.6193e+000 +8.0593e+000 +1.2828e+001 +5.3247e+000 +1.4633e+001 +9.2046e+000 +5.7829e+000 +5.4615e+000 +8.0880e+000 +1.4241e+001 +7.3334e+000 +1.1724e+001 +1.4168e+001 +1.3802e+001 +7.9500e+000 +1.1953e+001 +5.7557e+000 +1.0574e+001
3 +6.149493010e+002 +6.149493010e+002 +6.218193010e+002 +6.218193010e+002 +1.3818e+001 +1.1908e+001 +1.2360e+001 +9.7168e+000 +7.5858e+000 +7.8971e+000 +6.1641e+000 +5.6908e+000 +1.1646e+001 +6.3646e+000 +1.0983e+001 +1.0477e+001 +8.3361e+000 +9.7938e+000 +1.2963e+001 +1.0107e+001 +8.6840e+000 +1.2127e+001 +9.6720e+000 +1.1796e+001
15 +3.551200833e+002 +3.551200833e+002 +3.619900833e+002 +3.619900833e+002 +6.6077e+000 +8.1716e+000 +8.6667e+000 +5.5609e+000 +6.9065e+000 +1.1080e+001 +6.3424e+000 +9.2784e+000 +1.3357e+001 +7.2250e+000 +1.4259e+001 +6.0001e+000 +6.3777e+000 +6.4277e+000 +5.2096e+000 +5.6051e+000 +8.5303e+000 +5.2309e+000 +1.2913e+001 +7.6964e+000
442 +2.423339735e+002 +2.423339735e+002 +2.492039735e+002 +2.492039735e+002 +1.1304e+001 +3.4000e+000 +4.5210e+000 +3.4068e+000 +5.0163e+000 +6.6454e+000 +1.1678e+001 +7.1473e+000 +1.0714e+001 +9.4395e+000 +7.4403e+000 +1.0381e+001 +6.3636e+000 +5.0874e+000 +4.8419e+000 +1.0965e+001 +3.8398e+000 +5.2762e+000 +2.6016e+000 +7.9933e+000
781 +1.160482645e+002 +1.160482645e+002 +1.229182645e+002 +1.229182645e+002 +8.3216e+000 +5.1648e+000 +7.6060e+000 +7.3904e+000 +5.8240e+000 +5.4067e+000 +7.2677e+000 +7.8334e+000 +8.0641e+000 +7.9478e+000 +5.5590e+000 +8.3743e+000 +6.3430e+000 +4.6480e+000 +2.2916e-002 +7.3459e+000 +8.2708e+000 +8.2161e+000 +7.3841e+000 +6.5815e+000
907 +9.584128334e+001 +9.584128334e+001 +1.027112833e+002 +1.027112833e+002 +7.0367e+000 +3.9340e+000 +5.1463e+000 +6.2930e+000 +4.1168e+000 +6.3755e+000 +6.8262e+000 +8.2565e+000 +3.3084e+000 +7.5727e+000 +4.7215e+000 +4.8372e+000 +7.0869e+000 -4.7346e+000 -5.6855e+000 +3.3835e+000 +6.3893e+000 +8.9429e+000 +1.0562e+001 +6.7577e+000
1246 +5.462865947e+001 +5.462865947e+001 +6.149865947e+001 +6.149865947e+001 +6.3234e+000 +3.6577e+000 +6.5815e+000 +6.4071e+000 +3.8875e+000 +4.3421e+000 +5.4465e+000 +7.2668e+000 +3.4815e+000 +7.0244e+000 +5.1149e+000 +5.6172e+000 +6.7814e+000 -3.9206e+000 -6.8141e+000 +3.8466e+000 +7.2695e+000 +7.9214e+000 +7.8348e+000 +6.5265e+000
1503 +3.286139469e+001 +3.286139469e+001 +3.973139469e+001 +3.973139469e+001 +6.0142e+000 +4.8758e+000 +7.0788e+000 +6.2147e+000 +1.3367e+000 +5.1757e+000 +6.8759e+000 +5.3395e+000 +5.7238e+000 +6.6636e+000 +4.7141e+000 +6.7037e+000 +3.8227e+000 -3.9168e+000 -4.9272e+000 +3.9581e+000 +4.8903e+000 +5.3491e+000 +5.3853e+000 +7.3900e+000
1618 +2.281982667e+001 +2.281982667e+001 +2.968982667e+001 +2.968982667e+001 +6.9067e+000 +2.8768e+000 +6.5826e+000 +5.2942e+000 +1.0001e+000 +4.4737e+000 +4.8480e+000 +6.0828e+000 +3.3212e+000 +5.7843e+000 +4.1934e+000 +5.4420e+000 +5.0378e+000 -6.5227e-001 -3.1075e+000 +4.2874e+000 +5.3734e+000 +6.3628e+000 +6.2546e+000 +6.5876e+000
1939 +1.406847567e+001 +1.406847567e+001 +2.093847567e+001 +2.093847567e+001 +6.4071e+000 +3.0737e+000 +5.1413e+000 +5.5412e+000 -1.0072e+000 +4.8788e+000 +4.3750e+000 +6.0848e+000 +2.9374e+000 +5.4617e+000 +4.0189e+000 +5.3790e+000 +4.3789e+000 -4.2375e+000 -1.1875e+000 +5.1543e+000 +3.2089e+000 +5.4343e+000 +6.0989e+000 +6.3101e+000
