% function evaluation | noise-free fitness - Fopt (-5.235000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.806372707e+003 +1.806372707e+003 +1.754022707e+003 +1.754022707e+003 +8.8885e+000 +7.3254e+000 +1.4509e+001 +1.2038e+001 +5.0057e+000 +1.1417e+001 +6.6015e+000 +5.6992e+000 +6.7521e+000 +5.1227e+000 +9.1661e+000 +7.3066e+000 +6.9058e+000 +1.1098e+001 +1.0097e+001 +1.2700e+001 +9.6222e+000 +7.6175e+000 +1.1181e+001 +5.0190e+000
17 +8.205317091e+002 +8.205317091e+002 +7.681817091e+002 +7.681817091e+002 +1.2110e+001 +1.0452e+001 +1.1167e+001 +5.3573e+000 +1.4164e+001 +1.2760e+001 +5.5887e+000 +1.2838e+001 +1.3773e+001 +8.1010e+000 +1.2251e+001 +6.8600e+000 +6.7577e+000 +8.7947e+000 +6.0235e+000 +5.4401e+000 +9.5901e+000 +9.5268e+000 +8.5227e+000 +5.9188e+000
174 +5.491908630e+002 +5.491908630e+002 +4.968408630e+002 +4.968408630e+002 +5.8280e+000 +6.6486e+000 +1.1749e+001 +4.1663e+000 +3.4968e+000 +1.8559e+001 +1.7231e+000 +8.4777e+000 +1.0734e+001 +1.0925e+001 +7.6538e+000 +1.6387e+001 +1.1322e+001 +1.4612e+001 +9.4093e+000 +3.6945e+000 +9.7206e+000 +9.4191e+000 +5.6329e+000 +5.5647e+000
440 +3.675602707e+002 +3.675602707e+002 +3.152102707e+002 +3.152102707e+002 +5.9426e+000 +6.5102e+000 +5.9795e+000 +5.9604e+000 +7.3439e+000 +1.2987e+001 -3.6606e+000 +6.8285e+000 +3.8316e+000 +1.7833e+000 +1.0525e+001 -5.6957e-001 +6.7876e+000 +1.6768e+001 +5.5400e+000 +3.7257e+000 +1.2172e+001 +1.7232e+001 +9.4100e+000 +4.7074e+000
641 +1.813824963e+002 +1.813824963e+002 +1.290324963e+002 +1.290324963e+002 +9.6158e+000 +6.0511e+000 +1.1348e+001 -9.6658e-001 -1.8317e+000 +1.4156e+001 -2.0615e+000 +7.2175e+000 -1.2520e+000 +5.1060e+000 +3.6158e+000 +6.1176e+000 +6.2139e+000 +1.4392e+000 +3.0121e+000 +5.5877e+000 +7.4606e+000 +2.0757e+000 +1.1330e+001 -1.1145e+001
1213 +1.429236904e+002 +1.429236904e+002 +9.057369037e+001 +9.057369037e+001 +5.0858e+000 +4.6976e+000 -1.1326e-001 +2.0330e+000 +2.7014e+000 +2.0130e+001 -3.2436e+000 +9.1511e+000 +6.6510e+000 -4.9873e+000 +8.5712e+000 -4.0882e-001 +5.8767e+000 +1.0190e+001 +4.3308e+000 +4.7468e+000 +2.2611e+000 +3.6075e+000 +4.9833e+000 -9.7504e-001
1483 +6.930154965e+001 +6.930154965e+001 +1.695154965e+001 +1.695154965e+001 +3.9869e+000 +4.9360e+000 +4.4857e+000 -4.1815e+000 +4.7059e+000 +1.8948e+000 +3.2610e+000 +2.5450e+000 +2.5155e+000 +3.9713e+000 +1.6245e+000 +1.3025e+000 +1.1208e+001 +3.1858e+000 -3.2313e+000 +1.6916e+000 +4.6462e+000 +1.0084e+001 +7.4456e+000 -7.4049e+000
2067 +6.138602837e+001 +6.138602837e+001 +9.036028366e+000 +9.036028366e+000 +1.3597e+001 +1.6680e+000 +8.7410e+000 -1.9704e+000 +1.7198e+000 +6.1975e+000 +2.1868e-001 +1.5464e+000 +3.4555e+000 +1.2882e+000 +3.5181e+000 +5.0772e-001 +7.6388e+000 +6.4691e+000 -1.7054e+000 +3.2331e+000 +5.0964e+000 +1.3564e+001 +1.3474e+001 -5.2464e+000
2987 +3.698996560e+001 +3.698996560e+001 -1.536003440e+001 -1.536003440e+001 -6.8313e-001 +1.0713e+000 +4.7170e+000 -4.7377e+000 -4.9167e+000 +4.5859e+000 -1.3201e+000 -1.2958e+000 +4.2043e+000 +1.7090e-001 +1.8988e+000 -4.1616e+000 +5.2503e+000 +3.7399e+000 -3.2662e+000 +3.2427e+000 +9.9670e-001 +4.6419e+000 +5.8112e+000 -8.9500e+000
4579 +2.140890762e+001 +2.140890762e+001 -3.094109238e+001 -3.094109238e+001 +1.8121e+000 +3.0629e+000 +3.2224e+000 -4.3908e+000 -1.1939e+000 +5.9085e+000 -3.9292e+000 +3.4073e+000 +2.9676e+000 -1.7416e+000 +4.5340e+000 +1.8475e+000 +5.9256e+000 +2.8966e+000 -9.6893e-001 +2.3779e+000 -1.4187e+000 +9.7241e+000 +6.1627e+000 -4.0941e+000
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.409328015e+003 +3.409328015e+003 +3.229788015e+003 +3.229788015e+003 +9.8968e+000 +1.0006e+001 +1.0266e+001 +1.2150e+001 +5.6090e+000 +5.1382e+000 +1.0123e+001 +6.8224e+000 +7.0620e+000 +7.2327e+000 +1.2819e+001 +1.2585e+001 +1.2709e+001 +1.0024e+001 +8.8093e+000 +1.4303e+001 +1.1099e+001 +6.8563e+000 +5.8834e+000 +5.8131e+000
11 +2.367323572e+003 +2.367323572e+003 +2.187783572e+003 +2.187783572e+003 +6.6668e+000 +1.2150e+001 +6.1171e+000 +5.5954e+000 +9.0585e+000 +7.5574e+000 +1.4322e+001 +5.2808e+000 +5.3608e+000 +8.3902e+000 +7.8891e+000 +7.6490e+000 +8.7192e+000 +5.9590e+000 +1.4535e+001 +6.7156e+000 +1.2217e+001 +8.2287e+000 +5.6234e+000 +9.7748e+000
78 +1.266078145e+003 +1.266078145e+003 +1.086538145e+003 +1.086538145e+003 +2.5000e+000 +1.0390e+001 +1.4151e+001 +3.3009e+000 +9.7462e+000 +7.1333e+000 +7.6325e+000 +5.6326e+000 +1.2692e+001 +8.0859e+000 +5.6520e+000 +1.3357e+001 +1.1904e+001 +1.1974e+001 +5.2647e+000 +8.5731e+000 +8.9595e+000 +1.0022e+001 +9.9866e+000 +9.4458e+000
211 +9.634398584e+002 +9.634398584e+002 +7.838998584e+002 +7.838998584e+002 +9.9444e+000 +1.3318e+001 +1.1290e+001 +9.9021e+000 +8.0563e+000 +7.0242e+000 +1.3074e+001 +5.2808e+000 +1.2343e+001 +4.2611e+000 -7.1776e-002 +7.6905e+000 +1.4141e+001 +5.9590e+000 +9.0200e-001 +5.7008e+000 +1.0361e+001 +8.2287e+000 +6.7143e+000 +6.1140e+000
225 +5.583731741e+002 +5.583731741e+002 +3.788331741e+002 +3.788331741e+002 -6.5370e-001 +8.6376e+000 +1.0940e+001 +8.5464e+000 +7.2493e+000 +9.0694e+000 +9.8258e+000 +2.8834e+000 +1.6208e+001 +4.9495e+000 +2.9312e+000 +5.2066e+000 +7.0192e+000 +5.5927e+000 +3.6718e+000 +1.7676e+001 +1.0540e+001 +1.0469e+001 +6.4692e+000 +6.9976e+000
538 +3.878469915e+002 +3.878469915e+002 +2.083069915e+002 +2.083069915e+002 +7.7933e-001 +7.0341e+000 +1.4962e+001 +5.9260e+000 +4.8976e+000 +5.6914e+000 +7.2342e+000 +9.0523e-001 +1.3279e+001 +5.5326e+000 +3.1753e+000 +8.6539e+000 +3.4796e+000 +8.1247e+000 +7.3960e+000 +5.1027e+000 +1.2239e+001 +1.2230e+001 +7.3209e+000 +5.9295e+000
817 +2.483115914e+002 +2.483115914e+002 +6.877159142e+001 +6.877159142e+001 -7.1673e+000 +8.7084e+000 +9.2626e+000 +5.5263e+000 +3.7034e+000 +9.8927e+000 +1.2895e+001 -3.7254e-001 +1.3455e+001 +1.1407e+000 +8.7567e+000 +3.9390e+000 +8.3559e+000 +6.1088e+000 +2.0552e+000 -2.0340e+000 +1.0882e+001 +1.0370e+001 +1.1909e+000 +6.3728e+000
834 +1.377743596e+002 +1.377743596e+002 -4.176564043e+001 -4.176564043e+001 -6.0771e+000 +7.4873e+000 +9.4213e+000 +9.6624e+000 +5.7365e+000 +3.9966e+000 +1.3279e+001 -1.8619e+000 +6.7274e+000 +6.4432e+000 +2.1661e+000 +7.3699e-001 +3.3280e+000 +1.2132e+000 -3.5081e+000 -1.9262e+000 +1.5651e+000 +5.3088e+000 +1.0473e+001 -1.5486e+000
1826 +9.192816681e+001 +9.192816681e+001 -8.761183319e+001 -8.761183319e+001 +1.0654e+000 +3.0450e+000 +4.4377e+000 +6.9875e+000 +8.3786e+000 +6.4453e+000 +7.3517e+000 +1.1924e+000 +9.1531e+000 +7.6432e+000 +1.0248e+000 -1.3821e+000 +1.9378e+000 +1.6163e+000 +7.3591e+000 +2.4228e+000 -5.9077e+000 +6.4570e+000 +1.0209e+001 -3.7189e+000
2502 +6.070410307e+001 +6.070410307e+001 -1.188358969e+002 -1.188358969e+002 -2.6305e-001 +9.1323e+000 -3.5802e-001 +5.1095e-001 +8.9351e+000 +1.4225e-001 +6.4393e+000 -2.2534e+000 +6.1003e+000 +4.4516e+000 -2.8834e+000 -1.4907e+000 +1.4398e+000 +1.6095e+000 +3.6287e+000 -1.4140e-001 -2.5724e+000 +4.2013e+000 +9.3332e+000 +3.2920e+000
3442 +2.846157530e+001 +2.846157530e+001 -1.510784247e+002 -1.510784247e+002 -2.5364e+000 +4.6532e+000 -4.4221e+000 +1.4990e+000 +7.0945e+000 +3.2006e+000 +4.4943e+000 +2.6749e+000 +3.6072e+000 +3.5078e+000 -1.5634e+000 -9.8343e-001 +6.4333e+000 +4.9827e-001 +3.9783e+000 -4.2997e+000 -4.1672e+000 +5.0710e+000 +3.8453e+000 +3.1847e+000
3583 +2.374024592e+001 +2.374024592e+001 -1.557997541e+002 -1.557997541e+002 +2.7510e+000 -5.8748e-001 -2.9262e+000 +2.9254e-001 +8.5313e+000 +1.2836e+000 +3.7492e+000 +2.3959e+000 +4.9299e+000 +4.7550e-001 +2.0373e+000 +1.9732e+000 +5.6840e+000 +1.7892e+000 +3.0194e+000 +1.4585e+000 -5.4217e+000 +5.9618e+000 +3.7786e+000 -1.3493e+000
% function evaluation | noise-free fitness - Fopt (7.731000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.139160597e+003 +3.139160597e+003 +3.216470597e+003 +3.216470597e+003 +9.4017e+000 +1.0384e+001 +1.0512e+001 +5.2646e+000 +7.1134e+000 +7.2834e+000 +8.7607e+000 +8.9528e+000 +7.2086e+000 +8.5775e+000 +7.8205e+000 +1.2678e+001 +1.1256e+001 +6.6833e+000 +1.0286e+001 +5.4434e+000 +9.8822e+000 +1.1927e+001 +6.8110e+000 +1.0503e+001
40 +2.312323578e+003 +2.312323578e+003 +2.389633578e+003 +2.389633578e+003 +1.3006e+001 +8.7223e+000 +5.5426e+000 +6.6825e+000 +7.6003e+000 +8.5939e+000 +7.4345e+000 +8.0114e+000 +1.2225e+001 +6.5164e+000 +5.5102e+000 +6.6358e+000 +9.6879e+000 +1.0571e+001 +7.6952e+000 +1.0469e+001 +1.2762e+001 +1.2173e+001 +9.0569e+000 +6.9996e+000
201 +1.311376430e+003 +1.311376430e+003 +1.388686430e+003 +1.388686430e+003 +5.5562e+000 +1.4674e+001 +1.0530e+001 +7.3419e+000 +1.4251e+001 +8.5051e+000 +3.5550e+000 +9.3443e+000 +1.0850e+001 +1.0428e+001 +4.5795e+000 +7.9551e+000 +6.3411e+000 +9.1122e-001 +5.7669e+000 +9.8487e+000 +1.1735e+001 +1.1510e+001 +5.1078e+000 +8.2266e+000
274 +9.559339866e+002 +9.559339866e+002 +1.033243987e+003 +1.033243987e+003 +4.8672e+000 +1.6585e+001 +1.5669e+001 +7.7264e+000 +1.1760e+001 +1.1533e+001 +5.7444e+000 +3.3744e+000 +4.1372e+000 -2.0263e+000 +7.6620e+000 +6.4480e+000 +1.9468e+000 +2.6480e+000 +5.7862e+000 +1.0058e+001 +1.3419e+001 +1.9372e+001 +2.8015e+000 +8.9416e+000
418 +5.489279944e+002 +5.489279944e+002 +6.262379944e+002 +6.262379944e+002 +5.3072e+000 +1.8833e+001 +1.5253e+001 +6.2598e+000 +1.0244e+001 -3.4125e+000 +5.9159e+000 -3.4238e+000 +2.3386e+000 -4.9443e+000 +1.3669e+001 +7.7868e+000 -1.1697e+000 +6.2895e+000 +1.1963e+000 +6.6901e+000 +6.0075e+000 +1.2961e+001 -1.5050e+000 +7.2506e+000
850 +3.420961675e+002 +3.420961675e+002 +4.194061675e+002 +4.194061675e+002 -4.5096e+000 +6.0817e+000 +1.5846e+001 -7.3676e-001 +1.7947e+001 +1.0765e+001 +3.9056e+000 -5.2389e+000 +4.2362e+000 -4.1155e+000 +9.1923e+000 +7.1168e+000 -1.3404e+000 +5.9072e+000 +7.1893e-001 +2.1797e+000 +4.5858e+000 +1.4239e+001 +1.0259e+000 +6.7527e+000
952 +2.171727823e+002 +2.171727823e+002 +2.944827823e+002 +2.944827823e+002 +7.7423e+000 +6.6116e+000 +1.3452e+000 -2.0085e+000 +1.4528e+001 +2.4806e+000 +1.3724e-001 -1.1451e+001 +2.6019e+000 -3.2916e+000 +3.9519e+000 +4.0079e+000 -5.1543e+000 +5.0349e+000 +1.6990e+000 +4.1718e+000 +7.9313e+000 +3.5858e+000 -1.0094e+000 +5.2682e+000
1334 +9.594017508e+001 +9.594017508e+001 +1.732501751e+002 +1.732501751e+002 +5.3956e+000 +1.1951e+001 +6.7911e+000 +5.2876e+000 +1.1285e+001 +3.0493e+000 +6.2890e+000 -6.5134e-001 -1.1128e+000 +3.7368e-001 -1.0690e-001 +5.7251e+000 +5.4521e-001 -1.2107e+000 +3.4541e+000 +3.2445e+000 +1.6008e+000 +1.1757e+001 -1.1928e+000 +2.9852e+000
2234 +5.529966488e+001 +5.529966488e+001 +1.326096649e+002 +1.326096649e+002 +5.3956e+000 -1.3313e+001 +8.6638e+000 -2.8644e+000 +1.1285e+001 +3.0493e+000 -9.4588e-002 -6.5134e-001 -1.1128e+000 -4.7850e-001 -1.0690e-001 -6.8377e-001 -2.9970e+000 -1.2107e+000 +3.4541e+000 -6.5584e-002 -3.7328e+000 +1.1757e+001 -1.1928e+000 +2.9852e+000
