% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.621065264e+006 +9.621065264e+006 +9.621101164e+006 +9.621101164e+006 +9.6516e+000 +7.4482e+000 +9.4040e+000 +1.1017e+001 +6.7548e+000 +6.1989e+000 +7.1409e+000 +1.1932e+001 +8.3681e+000 +9.5999e+000 +5.1797e+000 +8.5708e+000 +1.1546e+001 +1.1216e+001 +7.0614e+000 +1.2463e+001 +7.8498e+000 +7.9052e+000 +6.3212e+000 +9.9252e+000
106 +6.075324899e+006 +6.075324899e+006 +6.075360799e+006 +6.075360799e+006 +1.3230e+001 +8.5757e+000 +5.6757e+000 +4.4402e+000 +1.0986e+001 +6.8007e+000 +1.1412e+001 +6.0769e+000 +1.2139e+001 +1.3510e+001 +1.6002e+000 +8.4637e+000 +5.1377e+000 +5.3840e+000 +5.1872e+000 +7.6753e+000 +9.7665e+000 +1.1170e+001 +6.5054e+000 +7.3676e+000
241 +3.958635760e+006 +3.958635760e+006 +3.958671660e+006 +3.958671660e+006 +9.1870e+000 +1.3224e+001 +9.2923e+000 +7.1910e+000 +7.3115e+000 +7.9443e+000 +1.4952e+001 +3.1301e+000 +6.4217e+000 +2.8699e+000 -5.7698e+000 +6.3275e+000 +2.9364e+000 +5.6424e+000 +1.0003e+001 +9.8111e-001 +5.3634e+000 +9.2171e+000 +8.8287e+000 +9.2236e+000
497 +2.457343330e+006 +2.457343330e+006 +2.457379230e+006 +2.457379230e+006 +6.6705e+000 +2.6407e+000 +7.9247e+000 +8.7855e+000 +1.1449e+001 +7.2001e+000 +7.4959e+000 +3.4360e+000 +1.7301e+000 -5.5132e+000 -1.5517e+001 +7.8864e+000 +6.3527e+000 +1.2266e+001 +3.3974e+000 -3.3738e+000 +1.1103e+001 +1.4322e+001 +1.2583e+000 +5.7391e+000
642 +1.461537466e+006 +1.461537466e+006 +1.461573366e+006 +1.461573366e+006 +1.2251e+001 +6.8678e+000 +7.1246e+000 +5.9383e+000 +4.5605e+000 +4.9700e-001 +6.2062e+000 -8.9163e-001 +3.6069e+000 +1.9445e+000 -5.3958e+000 +6.1979e+000 -8.2294e-001 -4.3515e-001 +8.7340e+000 -1.0066e+000 +1.1829e+001 +1.5667e+001 -2.5595e-001 +9.8995e+000
769 +7.955530681e+005 +7.955530681e+005 +7.955889681e+005 +7.955889681e+005 +5.8672e+000 +1.5801e+001 +8.0342e+000 +9.9389e+000 +2.7759e+000 -1.2444e+001 +1.3430e+001 -3.7750e+000 +1.2431e+001 -6.2904e-001 -7.0962e+000 +8.2478e-001 +2.3938e+000 +6.4145e+000 +2.2008e+001 -5.3782e+000 +6.1866e+000 +2.1058e+001 +6.9535e+000 -2.3998e+000
926 +6.238603111e+005 +6.238603111e+005 +6.238962111e+005 +6.238962111e+005 +9.3960e+000 +4.7574e-001 +5.3856e+000 +1.1767e+001 -2.0495e+000 -7.6713e+000 +1.3886e+001 -8.3119e+000 +1.3481e+001 +6.5902e+000 -9.1701e+000 +2.3818e-001 -4.4804e+000 -4.2092e-001 +4.3473e+000 -1.2112e+001 +9.6791e-001 +2.6261e+001 -1.6719e+000 -8.1860e-001
1077 +3.188050730e+005 +3.188050730e+005 +3.188409730e+005 +3.188409730e+005 +9.6257e+000 +4.0493e+000 +1.0793e+001 +5.5552e+000 -2.4856e+000 +7.9417e+000 +2.0361e+001 -2.0507e+000 +5.6040e+000 -7.4310e+000 -1.0112e+001 +4.7123e-002 -8.9251e+000 +4.3266e+000 +3.8348e+000 -2.8244e+000 +1.2223e+001 +2.4022e+001 -1.6624e+000 +2.4733e+000
1207 +2.255376510e+005 +2.255376510e+005 +2.255735510e+005 +2.255735510e+005 +9.9292e+000 +6.1466e+000 +2.9429e+000 +9.7928e+000 -3.2988e-002 -6.1615e+000 +2.7628e+000 -6.2418e+000 +1.3414e+001 -5.0839e+000 +9.9360e-001 +2.2380e+000 -6.1506e+000 -1.5871e+000 +1.1397e+001 -4.5773e-001 +4.3377e+000 +1.9315e+001 -5.4212e+000 -1.4886e+000
1273 +1.258078614e+005 +1.258078614e+005 +1.258437614e+005 +1.258437614e+005 +1.0103e+001 +9.1013e+000 +3.3299e+000 +1.3098e+001 -3.3391e+000 -1.2939e+001 +7.4255e+000 -9.5688e+000 +1.0135e+001 +6.3171e+000 -5.0104e+000 +5.1168e+000 -1.2680e+001 +7.8731e-002 +7.7769e+000 -3.6007e+000 +3.5984e+000 +2.3849e+001 -5.9291e+000 -4.6605e+000
