% function evaluation | noise-free fitness - Fopt (-9.210000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.011386293e+002 +4.011386293e+002 +3.919286293e+002 +3.919286293e+002 +1.0474e+001 +7.1426e+000 +1.1741e+001 +6.9495e+000 +7.7057e+000 +6.8325e+000 +8.9089e+000 +1.0545e+001 +7.7458e+000 +5.6740e+000 +1.1650e+001 +1.1838e+001 +7.2801e+000 +6.9233e+000 +7.5497e+000 +6.6338e+000 +5.7783e+000 +5.9892e+000 +5.0264e+000 +1.2922e+001
6 +3.917537435e+002 +3.917537435e+002 +3.825437435e+002 +3.825437435e+002 +1.4670e+001 +1.3043e+001 +9.1520e+000 +1.4255e+001 +1.0814e+001 +9.0113e+000 +1.3462e+001 +1.0345e+001 +1.1162e+001 +5.6519e+000 +5.8394e+000 +1.2003e+001 +1.1071e+001 +6.7078e+000 +6.0460e+000 +8.1610e+000 +1.2456e+001 +1.1717e+001 +5.4024e+000 +1.2777e+001
145 +2.495358499e+002 +2.495358499e+002 +2.403258499e+002 +2.403258499e+002 +1.6442e+001 +3.1593e+000 +9.6642e+000 +1.7518e+000 +9.2139e+000 +1.4978e+001 +8.9208e+000 +1.4897e+001 +6.7005e-001 +5.0766e+000 -2.9197e+000 -6.0016e+000 -5.5353e+000 -3.3539e+000 -3.0230e+000 +2.4497e-002 +2.3476e+000 +9.6708e+000 -2.1033e+000 +1.1355e+001
447 +1.580914934e+002 +1.580914934e+002 +1.488814934e+002 +1.488814934e+002 +1.6900e+001 +4.5307e+000 -7.5113e+000 -9.8565e-001 +7.2824e+000 +8.5843e+000 +2.2983e+000 +2.0707e+001 -5.8953e+000 -1.1850e+001 -7.3961e-001 -1.3602e+001 +6.9511e+000 +7.0375e+000 -4.8869e+000 -2.1098e+000 +7.9973e+000 +2.6997e+000 -1.8432e+000 +1.0682e+001
716 +9.057506450e+001 +9.057506450e+001 +8.136506450e+001 +8.136506450e+001 +8.2208e+000 +6.4197e+000 +6.2665e+000 +0.0000e+000 +6.8238e-001 -5.4059e+000 +7.2985e+000 +4.2044e+000 +2.0933e+001 -2.0029e+000 -3.2114e+000 -7.2255e+000 +1.0956e+001 +3.5032e+000 -8.9100e+000 -1.4173e+000 +1.0338e+001 +8.3128e+000 -3.9845e+000 +7.0869e+000
796 +5.909903700e+001 +5.909903700e+001 +4.988903700e+001 +4.988903700e+001 +1.9733e+000 +1.4059e+001 +3.2931e+000 +6.6684e+000 -8.5799e-001 +1.6316e+001 +6.2744e+000 +2.2500e+001 -1.5990e+000 -1.8611e+001 -5.2438e+000 -1.0579e+001 -3.2271e-001 +1.5577e+001 -3.7199e+000 -6.5098e+000 +6.3302e+000 +5.1424e+000 -8.8787e+000 +6.7315e+000
1212 +3.757874410e+001 +3.757874410e+001 +2.836874410e+001 +2.836874410e+001 +3.0276e+000 +1.4372e+001 +8.7945e+000 +2.0324e+001 -1.9620e+001 +1.1801e+001 +1.9875e+001 +8.7772e-001 +8.0136e+000 -1.2295e+001 -5.8082e+000 -1.3018e+001 +8.1326e+000 +1.1696e+001 -1.5291e+001 -9.1615e+000 +7.8373e+000 +1.6897e+000 -6.0027e+000 +6.8191e+000
1292 +1.746147517e+001 +1.746147517e+001 +8.251475174e+000 +8.251475174e+000 -1.6668e+000 +1.4372e+001 +8.7945e+000 +8.0534e+000 -1.2567e+000 +1.9494e+001 +1.9875e+001 +1.9733e+001 +8.0136e+000 -1.1245e+001 -9.1242e+000 -1.3018e+001 +3.8984e+000 +8.4500e+000 -1.5291e+001 -9.1615e+000 +7.8373e+000 +1.0041e+001 -6.0027e+000 +6.8191e+000
1562 +8.491275960e+000 +8.491275960e+000 -7.187240400e-001 -7.187240400e-001 +1.6900e+001 -1.6092e+000 +4.1913e+000 +6.2598e+000 -6.8643e+000 +1.5379e+001 +5.8019e+000 +5.8593e+000 +2.1673e+001 -1.6344e+001 -5.0127e+000 -3.5528e+001 +1.4238e+001 +1.3006e+001 -1.7740e+001 -1.5433e+001 +9.1891e+000 +1.6216e+001 -6.9272e+000 +9.6493e+000
1723 +5.646587925e+000 +5.646587925e+000 -3.563412075e+000 -3.563412075e+000 +1.0828e+001 +1.8792e+001 +1.8535e+001 +6.4228e+000 -1.5226e+000 +2.2682e+001 +7.8522e+000 +2.4193e+001 +1.7454e+001 -2.2030e+001 -6.8924e+000 -3.1756e+001 +1.0010e+001 +6.0389e+000 -2.1891e+001 -1.4273e+001 +5.5163e+000 +1.4394e+001 -5.7221e+000 +7.5579e+000
