% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.673813344e+006 +9.673813344e+006 +9.673849244e+006 +9.673849244e+006 +1.1309e+001 +7.3851e+000 +5.9254e+000 +6.0144e+000 +1.1759e+001 +1.1780e+001 +1.4752e+001 +8.1594e+000 +5.3277e+000 +1.2190e+001 +7.1233e+000 +9.3868e+000 +1.4062e+001 +8.7570e+000 +1.0061e+001 +6.8427e+000 +1.2879e+001 +1.1847e+001 +1.3538e+001 +1.0815e+001
53 +7.743465359e+005 +7.743465359e+005 +7.743824359e+005 +7.743824359e+005 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
137 +6.024922054e+005 +6.024922054e+005 +6.025281054e+005 +6.025281054e+005 +0.0000e+000 +0.0000e+000 +1.1656e+000 -2.7565e+000 +0.0000e+000 -5.1190e+000 -2.5791e+000 +0.0000e+000 +0.0000e+000 -3.7798e+000 -4.0310e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 -4.1478e+000 -2.6757e-001 +0.0000e+000 +0.0000e+000 +0.0000e+000
737 +3.390905902e+005 +3.390905902e+005 +3.391264902e+005 +3.391264902e+005 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 -1.9196e+000 +1.2703e-001 -2.9755e+000 +0.0000e+000 +0.0000e+000 -4.5060e-001 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +3.5972e+000 -5.6650e-001 -3.0188e+000
963 +2.436373106e+005 +2.436373106e+005 +2.436732106e+005 +2.436732106e+005 +0.0000e+000 +6.9003e-001 +2.6073e-002 +0.0000e+000 +1.3591e-001 -2.4774e+000 +1.3159e-001 -3.8434e+000 -2.1840e-001 +0.0000e+000 -3.0335e-002 +0.0000e+000 -7.4774e-001 +1.0383e+000 +0.0000e+000 -4.1478e+000 +0.0000e+000 +5.3958e+000 -1.6995e+000 -1.5094e+000
1031 +1.114186051e+005 +1.114186051e+005 +1.114545051e+005 +1.114545051e+005 +0.0000e+000 +1.8751e+000 +5.2451e+000 +0.0000e+000 +0.0000e+000 -5.1043e+000 +8.9670e-002 -3.2446e+000 -1.6380e-001 +0.0000e+000 -6.9791e-001 +0.0000e+000 +0.0000e+000 +6.8218e-001 +0.0000e+000 -3.8912e+000 +7.4381e-002 +4.8383e+000 -1.4871e+000 -2.0125e+000
1335 +9.030994881e+004 +9.030994881e+004 +9.034584881e+004 +9.034584881e+004 +2.0624e+000 +1.8945e+000 +1.0372e+000 +0.0000e+000 -3.7376e-001 -5.2955e+000 +2.9636e-001 -5.3293e+000 -2.7641e-001 +3.8411e-002 -1.8291e+000 +0.0000e+000 -7.4774e-001 +1.4921e+000 +0.0000e+000 -2.9982e+000 -2.5226e-001 +6.1452e+000 -1.6054e+000 -2.5157e+000
1582 +5.514755786e+004 +5.514755786e+004 +5.518345786e+004 +5.518345786e+004 -2.5780e-001 +2.7995e+000 +3.4251e+000 +0.0000e+000 -7.9425e-001 -4.6809e+000 +1.3242e-001 -4.6509e+000 -6.8250e-002 -6.1156e-001 -1.8713e+000 +0.0000e+000 +3.9176e-001 +5.8824e-001 +0.0000e+000 -4.2686e+000 -2.2598e-001 +5.7215e+000 -2.9996e+000 -4.2671e+000
1630 +3.250635606e+004 +3.250635606e+004 +3.254225606e+004 +3.254225606e+004 +5.0832e-001 +2.9831e+000 +2.5077e+000 +0.0000e+000 +4.2473e-002 -7.2722e+000 -1.5728e-001 -6.4278e+000 -1.6423e-001 -2.3973e-001 -1.1757e+000 +0.0000e+000 -2.2016e-001 +3.0476e-001 +0.0000e+000 -4.3679e+000 -1.6104e-001 +7.3925e+000 -3.4300e-002 -4.6733e+000
1967 +1.897611771e+004 +1.897611771e+004 +1.901201771e+004 +1.901201771e+004 +1.5361e+000 +3.5176e+000 +2.2828e+000 +0.0000e+000 -3.6208e-001 -7.3865e+000 -3.5876e-001 -6.0401e+000 +3.6812e-001 -1.5506e-001 -2.2015e+000 +0.0000e+000 -1.3363e-001 -4.6596e-001 +0.0000e+000 -4.2472e+000 -2.9768e-001 +7.6930e+000 -3.5671e+000 -5.6306e+000
2453 +1.202702735e+004 +1.202702735e+004 +1.206292735e+004 +1.206292735e+004 +3.4478e+000 +4.2771e+000 +2.7619e+000 +0.0000e+000 -2.2351e-001 -8.8604e+000 -6.0026e-001 -8.3811e+000 +1.4474e-001 +4.5526e-001 -3.7676e+000 +0.0000e+000 +8.2805e-001 -1.0324e+000 +0.0000e+000 -5.7953e+000 +9.3562e-002 +8.7853e+000 -2.8474e+000 -3.9088e+000
2681 +7.553859739e+003 +7.553859739e+003 +7.589759739e+003 +7.589759739e+003 -1.5272e+000 +5.2388e+000 +4.6626e+000 +0.0000e+000 -7.0044e-001 -8.6762e+000 -1.7681e-001 -9.2372e+000 +2.9231e-001 -2.2600e-001 -4.3994e-001 +0.0000e+000 +1.0818e+000 -1.4859e+000 +0.0000e+000 -4.5724e+000 -6.9812e-001 +1.0199e+001 -2.2244e+000 -7.9810e+000
3292 +2.799437438e+003 +2.799437438e+003 +2.835337438e+003 +2.835337438e+003 +3.1699e+000 +5.6351e+000 +3.1320e+000 +0.0000e+000 -8.3007e-001 -8.2456e+000 -2.2766e-001 -6.0912e+000 +5.6478e-001 -4.0767e-001 -2.0374e+000 +0.0000e+000 +8.2193e-001 -2.3988e+000 +0.0000e+000 -4.5238e+000 -3.5042e-001 +1.1400e+001 -2.0981e+000 -5.7807e+000
3675 +1.314745875e+003 +1.314745875e+003 +1.350645875e+003 +1.350645875e+003 +7.2640e-001 +5.1255e+000 +4.1083e+000 +0.0000e+000 -3.4067e-001 -7.1106e+000 +1.9961e-002 -7.4951e+000 +2.9962e-001 -6.3563e-001 -2.8288e+000 +0.0000e+000 +1.6871e-001 -4.4216e-001 +0.0000e+000 -4.7093e+000 -1.1970e-002 +8.5674e+000 -5.6229e-001 -4.8722e+000
3757 +4.129815252e+002 +4.129815252e+002 +4.488815252e+002 +4.488815252e+002 +8.8796e-001 +5.6351e+000 +3.5180e+000 +0.0000e+000 -8.3007e-001 -8.4832e+000 -2.2766e-001 -6.7099e+000 +6.0926e-001 -3.7033e-001 -2.0374e+000 +0.0000e+000 -7.8902e-002 -7.5156e-001 +0.0000e+000 -4.5077e+000 -3.5042e-001 +1.1400e+001 -2.4824e+000 -5.7807e+000
4360 +2.811464305e+002 +2.811464305e+002 +3.170464305e+002 +3.170464305e+002 +5.1003e-001 +5.9485e+000 +2.8049e+000 +0.0000e+000 -5.9214e-001 -8.4351e+000 -4.9175e-001 -6.6369e+000 -8.4070e-001 -7.5964e-001 -2.9435e+000 +0.0000e+000 +1.0147e-001 -3.5588e+000 +0.0000e+000 -5.1333e+000 -1.8275e-001 +9.3419e+000 +2.8255e-004 -6.1433e+000
5030 +2.187084228e+002 +2.187084228e+002 +2.546084228e+002 +2.546084228e+002 -1.9234e-001 +5.1719e+000 +5.0064e+000 +0.0000e+000 -3.2689e+000 -7.4994e+000 +1.0690e-001 -6.4727e+000 +5.1492e-001 -2.1533e+000 -2.1600e+000 +0.0000e+000 +6.1097e-001 -2.7903e+000 +0.0000e+000 -4.7665e+000 -2.8732e-001 +8.0255e+000 -8.1523e-001 -5.5182e+000
% function evaluation | noise-free fitness - Fopt (3.137000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
