% function evaluation | noise-free fitness - Fopt (-5.494000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.850936743e+006 +9.850936743e+006 +9.850881803e+006 +9.850881803e+006 +1.0514e+000 -1.1295e+000 -1.0500e+000 +1.0898e+000 +3.7234e+000 -4.7683e+000 +2.4546e+000 +2.6442e+000 -2.1678e+000 +2.3743e+000 +4.1327e+000 +3.8961e+000 +2.8823e+000 +2.1981e+000 +4.6243e+000 +1.2043e+000 +1.3429e+000 +4.9026e+000 -4.0087e+000 -3.1522e+000
10 +4.588675625e+006 +4.588675625e+006 +4.588620685e+006 +4.588620685e+006 -1.2389e+000 -2.6690e+000 -4.2902e+000 -2.8480e-001 +3.7815e+000 +4.4077e+000 +3.4459e+000 +3.2935e+000 -8.9375e-001 +9.5803e-001 +4.5828e+000 -4.7542e-001 -3.8959e+000 -4.5980e+000 +2.5711e+000 -2.1405e+000 -8.6761e-001 -2.0907e+000 -4.5402e+000 +2.7050e-001
68 +2.779592251e+006 +2.779592251e+006 +2.779537311e+006 +2.779537311e+006 +2.3524e+000 -1.5522e+000 +2.0906e+000 -4.7690e+000 -5.5679e-001 -6.4247e-002 +2.1957e+000 +3.5160e+000 -1.3064e+000 +4.4011e+000 +7.4990e-001 +2.1029e+000 -4.1341e+000 -3.1853e+000 -3.4901e+000 +2.7269e+000 -1.9217e+000 +3.0166e+000 -2.4898e-001 -1.7680e+000
126 +1.530634471e+006 +1.530634471e+006 +1.530579531e+006 +1.530579531e+006 -2.3280e+000 -2.7256e+000 +1.9750e+000 -2.1329e+000 +2.0295e+000 +1.1382e+000 -1.5854e+000 +4.8276e+000 +2.6536e-001 +2.7576e+000 +9.6862e-001 +2.7353e+000 +2.0882e+000 +1.3728e+000 +1.8612e+000 +3.1517e+000 +3.1204e+000 +6.0891e-001 -3.0110e+000 +2.7692e+000
335 +8.682833119e+005 +8.682833119e+005 +8.682283719e+005 +8.682283719e+005 -2.3783e+000 -2.8374e+000 +1.6754e+000 -4.1563e-001 +3.3527e+000 +1.1180e+000 +5.7777e-001 +5.3932e+000 +2.6256e+000 +3.5526e+000 +2.9829e+000 +2.8462e+000 +2.6519e+000 -5.4065e+000 +3.0564e-001 +8.7808e+000 +3.1115e+000 -3.2708e-001 -4.2824e+000 +1.6689e+000
453 +5.368542660e+005 +5.368542660e+005 +5.367993260e+005 +5.367993260e+005 -5.4277e-001 -4.7894e+000 -1.7492e+000 -8.7210e-002 +9.7894e-001 +1.8667e-001 -1.0147e+000 +6.7655e+000 +1.4970e+000 +6.2848e+000 -1.3763e+000 +4.8067e+000 +5.7192e+000 -4.3153e+000 -1.3268e+000 +9.3600e+000 +4.4129e-002 -2.0859e+000 -6.1331e+000 +3.1479e+000
832 +3.187545195e+005 +3.187545195e+005 +3.186995795e+005 +3.186995795e+005 +3.7555e-001 -4.6915e+000 -2.1931e+000 +3.4445e-001 +1.3085e+000 -3.4325e-001 -3.0302e+000 +5.0278e+000 +6.7073e-001 +8.1809e+000 +1.7477e+000 +4.3026e+000 +7.2636e+000 -6.0321e+000 -7.4943e-001 +1.0049e+001 -1.2169e+000 -3.2485e+000 -5.1725e+000 +7.5911e-001
1715 +2.366100942e+005 +2.366100942e+005 +2.365551542e+005 +2.365551542e+005 +1.3623e+000 -5.6072e+000 -2.1672e+000 +1.7031e+000 +1.4128e+000 +7.8909e-001 -3.9928e-001 +6.6611e+000 +5.5392e-001 +8.5913e+000 -1.1535e+000 +5.9727e+000 +6.8655e+000 -4.8652e+000 -2.3542e+000 +8.9714e+000 -1.2301e+000 -2.9447e+000 -5.6702e+000 +2.7199e+000
2074 +1.517985957e+005 +1.517985957e+005 +1.517436557e+005 +1.517436557e+005 +2.6944e+000 -4.2541e+000 -3.0318e+000 +1.7764e+000 +2.2794e+000 -3.6424e-001 +1.1501e+000 +4.0722e+000 -6.2913e-001 +7.9543e+000 -3.4825e+000 +5.7729e+000 +7.4844e+000 -4.9610e+000 -1.8072e+000 +8.1162e+000 -1.9975e+000 -2.4433e+000 -3.6251e+000 +3.5745e+000
2564 +9.975458865e+004 +9.975458865e+004 +9.969964865e+004 +9.969964865e+004 +2.9082e+000 -4.2245e+000 -2.7964e+000 +7.2697e-001 +2.4059e+000 -6.9504e-001 +1.9605e+000 +4.2358e+000 -6.4518e-001 +7.2145e+000 -3.3119e+000 +6.2677e+000 +5.9265e+000 -4.9031e+000 -3.2125e+000 +7.3556e+000 -1.5801e+000 -1.6256e+000 -2.3551e+000 +3.4620e+000
