% function evaluation | noise-free fitness - Fopt (1.026100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.005162411e+002 +7.005162411e+002 +8.031262411e+002 +8.031262411e+002 -1.0619e+000 -4.6961e+000 -3.5928e+000 +3.1602e+000 +2.0015e+000 -1.8357e+000 +8.3162e-001 +2.2891e+000 -2.1444e+000 +2.4451e+000 -2.6049e+000 +2.8810e+000 +2.8254e+000 +2.3882e+000 -9.9496e-001 -9.4510e-001 -3.2280e-001 -1.4788e+000 +3.7933e+000 -4.6570e+000
43 +4.785441676e+002 +4.785441676e+002 +5.811541676e+002 +5.811541676e+002 +4.1443e+000 -9.4995e-001 -3.6658e+000 +1.7590e+000 -3.1020e-001 -2.6851e+000 -1.2246e+000 -3.2464e+000 -1.5157e+000 +1.3378e+000 +3.7079e+000 -3.9333e+000 +7.8953e-001 +1.7286e-001 -4.2261e+000 -2.8838e+000 +7.3712e-001 -5.3475e-001 +2.8384e+000 -3.5169e+000
148 +3.468292234e+002 +3.468292234e+002 +4.494392234e+002 +4.494392234e+002 +3.7124e+000 -2.4822e-001 -2.5470e+000 +2.0331e+000 -1.7094e+000 -4.8325e-001 +6.4081e-001 -2.4143e+000 -1.9732e+000 +7.5441e-001 +1.0250e+000 -2.9090e+000 -9.3403e-001 +2.0676e-001 -3.7247e+000 -1.7691e+000 -1.3136e+000 -1.1048e+000 +4.2966e+000 -7.4463e-001
1327 +2.449839131e+002 +2.449839131e+002 +3.475939131e+002 +3.475939131e+002 +2.4141e+000 +1.2183e+000 +7.8744e-001 +6.6393e-001 +1.6057e-001 -5.4215e-001 +7.5100e-001 -1.0026e+000 -1.8051e+000 +2.0585e+000 -1.4774e+000 -2.6556e+000 -2.0433e+000 +1.1289e+000 -3.4234e+000 -1.8744e+000 -2.1106e+000 -1.2751e+000 +2.6886e+000 +1.1485e+000
6544 +1.289926236e+002 +1.289926236e+002 +2.316026236e+002 +2.316026236e+002 +1.6257e+000 +9.1936e-001 -6.4586e-001 +8.9080e-002 -1.2416e-001 -1.6014e+000 -1.8566e-001 -8.4259e-001 -1.5329e+000 +1.1045e+000 -1.5473e+000 -1.9897e+000 -1.3691e+000 +1.1798e+000 -2.0033e+000 -8.2946e-001 -2.0668e+000 -6.8957e-001 +6.0943e-001 +1.2808e+000
8923 +9.948873827e+001 +9.948873827e+001 +2.020987383e+002 +2.020987383e+002 +1.6471e+000 +9.3286e-001 -6.4937e-001 +1.1656e-001 -1.4531e-001 -1.6022e+000 -1.9259e-001 -8.5348e-001 -1.5283e+000 +1.1153e+000 -1.5537e+000 -1.9828e+000 -1.3564e+000 +1.1714e+000 -2.0193e+000 -8.2821e-001 -2.0556e+000 -6.8703e-001 +6.2816e-001 +1.2780e+000
15367 +6.299505481e+001 +6.299505481e+001 +1.656050548e+002 +1.656050548e+002 +1.6277e+000 +9.2159e-001 -6.4559e-001 +1.2102e-001 -1.7335e-001 -1.6488e+000 -1.9021e-001 -8.5123e-001 -1.5253e+000 +1.0769e+000 -1.5481e+000 -1.9898e+000 -1.3572e+000 +1.1898e+000 -2.0046e+000 -8.3944e-001 -2.0565e+000 -6.8601e-001 +6.4221e-001 +1.3040e+000
% function evaluation | noise-free fitness - Fopt (9.330000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.580542909e+002 +9.580542909e+002 +1.051354291e+003 +1.051354291e+003 -4.5835e+000 +1.6953e+000 -4.1445e+000 +4.3564e+000 -3.0645e+000 +3.3490e+000 -4.0373e-001 +3.3019e+000 +4.1114e+000 -7.4482e-001 +3.4955e+000 +3.3425e+000 -5.4246e-001 -1.2810e+000 -1.8472e+000 +4.0419e+000 +2.8001e+000 -4.6042e+000 -3.0638e+000 -4.8119e+000
8 +6.306432613e+002 +6.306432613e+002 +7.239432613e+002 +7.239432613e+002 -2.1033e+000 -2.4968e+000 -1.7194e+000 +8.9857e-001 -4.9088e+000 +3.1521e+000 -4.7918e+000 +2.6534e+000 -2.9652e+000 +1.7795e+000 -4.6344e+000 -7.5430e-001 -2.1054e+000 +2.3405e+000 +9.6765e-001 -1.7890e+000 -6.7577e-001 +2.9816e+000 +1.9503e+000 -1.1142e+000
378 +3.847207732e+002 +3.847207732e+002 +4.780207732e+002 +4.780207732e+002 +1.6661e+000 +2.8317e-001 -1.9620e+000 -3.6476e+000 -6.5431e-001 -8.0482e-001 -4.3954e+000 -8.8753e-001 +1.7818e+000 -2.7744e+000 -1.0216e+000 +2.3877e+000 +2.1627e+000 -1.5418e+000 -1.2331e+000 -1.0996e+000 -2.4118e+000 +1.8876e+000 -5.3324e-001 -3.8499e+000
1390 +2.257864296e+002 +2.257864296e+002 +3.190864296e+002 +3.190864296e+002 +1.3798e+000 -3.0933e+000 -2.0168e+000 -3.8710e+000 -2.8427e+000 +8.4530e-001 -3.6616e+000 +7.0960e-001 -1.3915e+000 -1.9517e+000 +1.8359e+000 +8.8553e-001 +4.3647e-001 +1.7532e+000 -4.7716e-001 -1.8532e+000 -3.4560e+000 +1.2521e-002 -1.2682e+000 -1.5275e+000
6130 +1.577108817e+002 +1.577108817e+002 +2.510108817e+002 +2.510108817e+002 +2.6425e+000 -1.9411e+000 -1.6091e+000 -2.4971e+000 -3.2447e+000 -3.1960e-001 -2.0112e+000 -3.2610e-001 -2.0341e+000 -1.4996e+000 +1.0814e+000 +7.2926e-001 +9.7813e-001 +1.3320e+000 -1.2404e+000 -1.3056e+000 -2.4228e+000 +3.5336e-001 -2.2178e+000 -5.5807e-001
17554 +9.993717109e+001 +9.993717109e+001 +1.932371711e+002 +1.932371711e+002 +2.6206e+000 -1.9338e+000 -1.5780e+000 -2.5376e+000 -3.2268e+000 -3.0840e-001 -2.0197e+000 -2.7671e-001 -2.0921e+000 -1.4923e+000 +1.0779e+000 +7.2012e-001 +9.3862e-001 +1.3310e+000 -1.2332e+000 -1.3016e+000 -2.4400e+000 +3.3216e-001 -2.2437e+000 -5.6004e-001
% function evaluation | noise-free fitness - Fopt (1.364000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.024384044e+003 +1.024384044e+003 +1.038024044e+003 +1.038024044e+003 +3.5585e+000 +1.6101e+000 -2.4557e+000 +3.3192e+000 -4.4504e+000 +3.5576e+000 -1.1761e+000 -3.3826e+000 +3.9762e+000 +4.0126e+000 -7.6579e-001 -4.8178e+000 +3.7187e+000 -4.5734e+000 +1.5268e+000 +2.3783e+000 +2.5723e+000 +8.4977e-001 +4.2854e+000 +1.7533e+000
