% function evaluation | noise-free fitness - Fopt (4.078000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.599267763e+001 +8.599267763e+001 +1.267726776e+002 +1.267726776e+002 +2.8521e+000 -3.9104e-001 -3.7314e+000 +4.5814e+000 -3.9170e+000 +1.9712e+000 +1.3820e+000 -4.6327e+000 -8.3082e-001 +4.7086e+000 -1.7228e+000 -6.9573e-001 -4.8151e+000 +1.4176e+000 -2.1923e+000 -4.9108e+000 -5.2804e-001 -3.8281e+000 -7.2481e-001 +3.7220e-001
595 +5.838916514e+001 +5.838916514e+001 +9.916916514e+001 +9.916916514e+001 -2.9105e+000 -3.7201e+000 +4.7392e-001 +6.5313e-001 +5.7481e-001 -4.5430e+000 +3.3105e-001 -1.2543e-001 -1.3659e+000 +3.6289e+000 +1.8281e-001 +1.9658e+000 +9.7844e-002 +3.3013e+000 +1.3769e+000 -2.7984e-001 +3.6816e+000 +3.1407e+000 +1.3609e+000 -8.9372e-001
707 +3.842283979e+001 +3.842283979e+001 +7.920283979e+001 +7.920283979e+001 -3.4522e+000 -3.7097e+000 +1.1883e-001 +1.0299e+000 +9.9262e-001 -5.2309e+000 +4.1782e-002 -1.7315e+000 -7.9062e-001 +3.6629e+000 +3.8608e+000 +2.3953e+000 -5.1872e-001 +3.3754e+000 +1.6591e+000 +1.3959e+000 +2.4228e-001 +5.5879e+000 +3.7207e+000 -1.8167e+000
826 +2.137498278e+001 +2.137498278e+001 +6.215498278e+001 +6.215498278e+001 -2.5946e+000 -4.0594e+000 +7.8700e-001 +2.2488e+000 +2.0761e+000 -4.7510e+000 +2.3105e+000 -2.9696e+000 -9.3712e-001 +5.7321e+000 +2.7291e+000 +2.8124e+000 +1.9618e+000 +4.4668e+000 +5.8085e-001 +1.5729e+000 +2.4147e+000 +4.5097e+000 +4.5427e+000 -2.1357e+000
950 +1.151573930e+001 +1.151573930e+001 +5.229573930e+001 +5.229573930e+001 -2.9865e+000 -4.0044e+000 +7.3254e-001 +1.6541e+000 +1.4582e+000 -4.9695e+000 +9.8635e-001 -2.4474e+000 -8.0944e-001 +4.8187e+000 +3.4720e+000 +2.6480e+000 +8.9125e-001 +3.2433e+000 +8.1324e-001 +6.0385e-001 +2.5091e+000 +4.3979e+000 +2.9057e+000 -1.3304e+000
1001 +8.047922169e+000 +8.047922169e+000 +4.882792217e+001 +4.882792217e+001 -2.6813e+000 -4.3801e+000 +5.8627e-001 +2.1409e+000 +1.5512e+000 -4.7702e+000 +1.1350e+000 -1.9315e+000 -7.2845e-001 +4.6980e+000 +3.0981e+000 +2.7839e+000 +1.3418e+000 +3.4061e+000 -5.4201e-002 +6.2447e-001 +1.5146e+000 +3.4584e+000 +3.2874e+000 -2.1010e+000
1243 +6.170882773e+000 +6.170882773e+000 +4.695088277e+001 +4.695088277e+001 -2.8450e+000 -3.8744e+000 +4.9090e-001 +3.1501e+000 +5.3225e-001 -4.7927e+000 +8.9928e-001 -2.1407e+000 +1.6260e-001 +4.2619e+000 +4.1886e+000 +2.7683e+000 +1.2674e+000 +2.9548e+000 -2.2320e-001 +7.1768e-001 +1.1598e+000 +2.6237e+000 +3.1623e+000 -2.8542e+000
1596 +3.599697396e+000 +3.599697396e+000 +4.437969740e+001 +4.437969740e+001 -3.0712e+000 -4.0880e+000 +8.0833e-001 +3.2633e+000 +1.0218e+000 -4.8012e+000 +1.6762e+000 -2.0763e+000 -8.1753e-001 +4.5298e+000 +4.3289e+000 +2.8621e+000 +5.5804e-001 +3.2641e+000 -2.1817e-001 +4.9391e-001 +1.7107e+000 +3.1618e+000 +3.2127e+000 -3.1024e+000
2032 +2.477721694e+000 +2.477721694e+000 +4.325772169e+001 +4.325772169e+001 -3.6212e+000 -3.6041e+000 +4.3821e-001 +3.4015e+000 +1.3349e+000 -4.6347e+000 +1.3573e+000 -2.1109e+000 -3.0616e-001 +4.7246e+000 +4.6009e+000 +2.5798e+000 +9.1684e-001 +3.4229e+000 +2.5880e-001 +3.6122e-001 +1.9958e+000 +2.8479e+000 +3.3302e+000 -2.7138e+000
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
