% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.644724648e+005 +2.644724648e+005 +2.640103748e+005 +2.640103748e+005 +1.4610e+001 +1.0598e+001 +5.7902e+000 +1.4449e+001 +6.5865e+000 +7.5944e+000 +1.1919e+001 +8.8490e+000 +1.2477e+001 +7.2567e+000 +1.3347e+001 +9.6821e+000 +8.6599e+000 +1.1841e+001 +1.0665e+001 +1.2739e+001 +1.3972e+001 +7.5572e+000 +1.0157e+001 +7.6139e+000
3 +2.356302384e+005 +2.356302384e+005 +2.351681484e+005 +2.351681484e+005 +1.0341e+001 +1.0653e+001 +1.0422e+001 +5.0219e+000 +1.2043e+001 +1.2033e+001 +9.3992e+000 +7.0311e+000 +5.8278e+000 +6.3580e+000 +9.1855e+000 +1.3095e+001 +9.6345e+000 +5.5241e+000 +8.1929e+000 +1.0852e+001 +8.3964e+000 +8.5267e+000 +9.8249e+000 +1.4696e+001
4 +1.568417930e+005 +1.568417930e+005 +1.563797030e+005 +1.563797030e+005 +1.3747e+001 +1.3972e+001 +8.2425e+000 +1.1849e+001 +1.2344e+001 +6.9007e+000 +1.1157e+001 +6.9248e+000 +1.3624e+001 +1.3734e+001 +1.0147e+001 +1.1956e+001 +1.0730e+001 +8.4423e+000 +1.3704e+001 +7.9848e+000 +6.5508e+000 +6.5946e+000 +6.9573e+000 +1.3984e+001
8 +8.180337895e+004 +8.180337895e+004 +8.134128895e+004 +8.134128895e+004 +9.3049e+000 +5.5067e+000 +5.6544e+000 +7.2440e+000 +7.5861e+000 +5.1655e+000 +1.2904e+001 +5.7848e+000 +9.0060e+000 +5.9365e+000 +1.0408e+001 +6.4913e+000 +9.6673e+000 +8.7603e+000 +8.9231e+000 +1.0417e+001 +8.0906e+000 +8.6301e+000 +6.2333e+000 +6.4808e+000
150 +2.612692551e+004 +2.612692551e+004 +2.566483551e+004 +2.566483551e+004 +1.1790e+001 +1.2596e+001 -1.9890e+000 +6.5384e+000 +5.4009e+000 +4.2619e+000 +1.3036e+001 +2.6920e+000 +2.4535e+000 +9.0525e+000 +8.7349e+000 +5.5432e+000 +5.2847e+000 +6.1074e+000 +7.3676e+000 +4.6565e+000 +7.0078e+000 +1.2527e+001 +3.8266e+000 +6.1500e+000
631 +2.352588594e+004 +2.352588594e+004 +2.306379594e+004 +2.306379594e+004 +1.2725e+001 +1.0944e+001 +6.7110e+000 +7.6866e+000 +3.5210e+000 +4.1438e+000 +1.6451e+001 +6.0235e+000 +1.6904e+000 +7.5397e+000 +1.0841e+001 +6.6029e+000 +4.2570e+000 +7.3158e+000 +7.0178e+000 +4.6336e+000 +4.5254e+000 +7.7776e+000 +2.4273e+000 +7.2526e+000
732 +1.546850393e+004 +1.546850393e+004 +1.500641393e+004 +1.500641393e+004 +1.4085e+001 +8.4706e+000 -7.5147e+000 +4.5226e+000 +7.1263e+000 +6.9720e+000 +1.7209e+001 +2.6064e+000 +3.6042e+000 +1.0296e+001 +8.7110e+000 -2.7477e-002 +8.2983e+000 +3.7434e+000 +2.1130e+000 +5.2432e+000 +1.8809e+000 +9.4871e+000 -1.8642e+000 +6.7958e+000
829 +9.517621353e+003 +9.517621353e+003 +9.055531353e+003 +9.055531353e+003 +1.2156e+001 +1.6362e+001 -9.8441e+000 +1.5504e+001 +7.3605e+000 +6.1714e+000 +5.9818e+000 -3.2918e-001 +1.7179e+000 +9.8966e+000 +7.2015e+000 +8.6688e-001 +4.5259e+000 -2.2640e+000 +4.7967e+000 +4.1450e+000 +3.8605e+000 +4.1435e+000 -1.2962e+000 +7.1063e+000
903 +5.431955230e+003 +5.431955230e+003 +4.969865230e+003 +4.969865230e+003 +1.0319e+001 +1.0677e+001 -4.3535e+000 +4.0464e+000 +6.8160e+000 +3.8047e+000 +1.3914e+001 +1.4059e+000 +2.2618e+000 +6.6627e+000 +6.1475e+000 -4.5007e+000 +4.9668e+000 -1.0852e+000 +4.8993e+000 +1.9268e-001 +3.0725e+000 +8.3304e+000 +1.0063e+000 +2.2898e+000
994 +3.916011881e+003 +3.916011881e+003 +3.453921881e+003 +3.453921881e+003 +1.2422e+001 +1.0753e+001 -9.5683e+000 +5.4082e+000 +8.8859e+000 +2.9442e+000 +1.2083e+001 +1.2728e+000 +1.5604e+000 +6.9952e+000 +5.6426e+000 -4.0564e+000 +5.1225e+000 +1.3929e+000 +3.9353e+000 -9.5587e-002 +1.5423e+000 +5.5057e+000 -1.6966e+000 +3.4087e+000
1170 +2.386179688e+003 +2.386179688e+003 +1.924089688e+003 +1.924089688e+003 +1.2903e+001 +9.3448e+000 -1.2648e+001 +5.1508e+000 +7.7770e+000 +1.9796e+000 +1.1669e+001 +5.8308e-001 -9.3684e-002 +3.7947e+000 +4.4092e+000 -4.5732e+000 +3.8717e+000 -1.3491e+000 +2.1562e+000 -8.3149e-001 -8.4965e-003 +3.2990e+000 -2.7106e+000 +6.0723e-001
1378 +1.485397707e+003 +1.485397707e+003 +1.023307707e+003 +1.023307707e+003 +1.1313e+001 +7.6222e+000 -1.1020e+001 +3.5471e+000 +6.5396e+000 +1.7554e+000 +1.1322e+001 +9.9245e-001 -6.7375e-001 +2.0728e+000 +2.7958e+000 -7.6236e+000 +2.4533e+000 -3.3625e+000 +3.1307e-001 -2.3772e+000 -1.1241e+000 +3.7169e+000 -3.1415e+000 +9.8243e-001
1648 +9.708011334e+002 +9.708011334e+002 +5.087111334e+002 +5.087111334e+002 +1.1352e+001 +5.2079e+000 -4.0341e+000 +2.4878e+000 +6.4472e+000 +2.2935e+000 +1.1442e+001 +5.3231e-001 -4.3479e-001 +1.0612e+000 -6.1993e-001 -7.6417e+000 -8.3985e-001 -4.7819e+000 -6.1133e-002 -3.9113e+000 -1.4742e+000 +2.1962e+000 -3.7876e+000 +8.7136e-001
2091 +6.298493276e+002 +6.298493276e+002 +1.677593276e+002 +1.677593276e+002 +8.2126e+000 +6.9480e+000 -1.5412e+000 -4.9654e-001 +4.0960e+000 +1.4050e+000 +9.6030e+000 +1.5930e+000 -3.5360e-002 -1.7509e+000 -3.2131e+000 -4.8534e+000 +4.2394e-001 -5.1960e+000 -1.4829e+000 -3.4249e+000 -2.3219e+000 +2.1333e+000 -3.9202e+000 +5.8854e-001
3188 +3.971662630e+002 +3.971662630e+002 -6.492373705e+001 -6.492373705e+001 +6.5933e+000 +4.9434e+000 +5.9510e-001 +7.2200e-001 +2.8412e+000 +1.9074e+000 +7.6206e+000 +2.6069e+000 -6.4015e-001 +2.6815e-001 -3.0243e+000 -4.3628e+000 -1.2317e+000 -4.8993e+000 -2.2380e+000 -3.4569e+000 -2.0356e+000 +2.1886e+000 -3.4647e+000 +8.5007e-001
5558 +2.460831240e+002 +2.460831240e+002 -2.160068760e+002 -2.160068760e+002 +7.3410e+000 +5.0095e+000 +1.1924e+000 +7.8282e-001 +3.0294e+000 +2.8270e+000 +6.1337e+000 +2.0138e+000 +1.1711e-001 +6.5193e-001 -2.7562e+000 -4.3955e+000 -6.5860e-001 -3.8231e+000 -1.8737e+000 -3.1737e+000 -2.1941e+000 +3.3080e+000 -3.4417e+000 +1.1704e+000
7788 +1.575109827e+002 +1.575109827e+002 -3.045790173e+002 -3.045790173e+002 +1.7021e+000 +4.8116e+000 +2.3119e+000 +9.5408e-001 +3.5513e+000 +2.1999e+000 +4.0127e+000 +2.0346e+000 +7.4342e-003 +3.7934e-002 -2.7541e+000 -4.4057e+000 -6.1627e-001 -3.4678e+000 -1.7680e+000 -3.3001e+000 -2.1510e+000 +2.8334e+000 -3.5556e+000 +1.1620e+000
% function evaluation | noise-free fitness - Fopt (7.766000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.805672180e+005 +3.805672180e+005 +3.806448780e+005 +3.806448780e+005 +7.1919e+000 +1.4398e+001 +1.2921e+001 +1.0388e+001 +1.1870e+001 +1.4245e+001 +1.2145e+001 +9.3171e+000 +9.4737e+000 +9.0134e+000 +6.3531e+000 +6.5018e+000 +1.3707e+001 +5.1953e+000 +5.4975e+000 +1.2838e+001 +1.4969e+001 +7.7954e+000 +9.8781e+000 +1.2189e+001
7 +1.775932651e+005 +1.775932651e+005 +1.776709251e+005 +1.776709251e+005 +5.8216e+000 +1.1641e+001 +1.3793e+001 +6.5831e+000 +6.8262e+000 +8.0920e+000 +9.4963e+000 +8.0753e+000 +1.0424e+001 +1.1543e+001 +1.4100e+001 +8.9345e+000 +1.2186e+001 +1.2892e+001 +6.1956e+000 +1.0913e+001 +6.6568e+000 +1.2472e+001 +8.6400e+000 +5.5771e+000
9 +1.335093801e+005 +1.335093801e+005 +1.335870401e+005 +1.335870401e+005 +1.0295e+001 +9.3685e+000 +1.3721e+001 +8.8843e+000 +1.4242e+001 +6.9353e+000 +6.5978e+000 +5.6915e+000 +1.4875e+001 +1.0099e+001 +1.0153e+001 +1.1154e+001 +7.8339e+000 +6.8830e+000 +5.0656e+000 +8.8533e+000 +1.0788e+001 +1.1475e+001 +6.6487e+000 +5.0722e+000
30 +8.579401280e+004 +8.579401280e+004 +8.587167280e+004 +8.587167280e+004 +1.1513e+001 +1.2224e+001 +1.2058e+001 +7.8715e+000 +1.1138e+001 +5.5402e+000 +1.0773e+001 +6.1777e+000 +6.6030e+000 +8.4133e+000 +6.8846e+000 +6.0231e+000 +1.1010e+001 +6.2825e+000 +6.5792e+000 +8.7660e+000 +1.2612e+001 +6.7288e+000 +1.2818e+001 +7.1128e+000
77 +5.301912019e+004 +5.301912019e+004 +5.309678019e+004 +5.309678019e+004 +1.2658e+001 +9.5410e+000 +1.2437e+001 +8.0245e+000 +1.0717e+001 +1.0845e+001 +9.6679e+000 +1.2143e+001 +7.6327e+000 +6.9810e+000 +1.2094e+001 +7.5245e+000 +6.4234e+000 +4.5304e+000 +5.2809e+000 +1.2859e+001 +1.0015e+001 +6.1573e+000 +1.0887e+001 +6.6310e+000
187 +3.476380749e+004 +3.476380749e+004 +3.484146749e+004 +3.484146749e+004 +8.1423e+000 +1.2617e+001 +1.4420e+001 +6.6360e+000 +6.9664e+000 +1.1674e+001 +1.2020e+001 +1.1332e+001 +8.2230e+000 +5.5504e+000 +5.0726e+000 +1.1117e+001 +6.0894e+000 +7.6326e+000 +7.8818e+000 +1.0531e+001 +5.5494e+000 +4.9422e+000 +9.4738e+000 +5.2426e+000
518 +1.465048109e+004 +1.465048109e+004 +1.472814109e+004 +1.472814109e+004 +1.0728e+001 +5.1129e+000 +1.0679e+001 +7.3625e+000 +6.2096e+000 +9.0140e+000 +1.8470e+001 +7.2424e+000 +9.3397e+000 +4.0159e+000 +1.2474e+001 +1.0496e+001 +8.2003e+000 +7.9466e+000 +4.7923e+000 +4.6439e+000 +5.6980e+000 -7.2016e-001 +2.3155e+000 -1.7001e+000
