% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.309835402e+003 +3.309835402e+003 +3.339805402e+003 +3.339805402e+003 -4.9760e+000 -1.5866e+000 +1.2716e+000 +4.0693e+000 -3.2360e+000 +1.3635e+000 +2.5214e+000 -1.4382e+000 +4.0470e+000 +9.4140e-001 +1.0265e+000 -3.9421e+000 -3.9901e+000 +3.9929e+000 -1.3017e+000 -1.6319e+000 +3.6574e+000 +4.9719e+000 +2.8716e-001 -3.4589e+000
7 +2.507888041e+003 +2.507888041e+003 +2.537858041e+003 +2.537858041e+003 -2.8579e-001 +2.5897e+000 -3.3230e+000 -4.7468e+000 +4.1826e+000 -5.7978e-001 -7.2210e-001 +2.4515e+000 -3.5922e+000 +3.5927e+000 -3.6536e+000 +1.1050e+000 -1.1390e-001 -4.1210e+000 +1.1028e+000 -2.0940e+000 -1.9187e+000 +3.9875e-001 +3.6189e+000 -2.4402e-002
444 +1.574728286e+003 +1.574728286e+003 +1.604698286e+003 +1.604698286e+003 -1.0516e+000 -4.3849e+000 +4.2105e-002 -6.5110e-001 +4.6838e+000 +2.4101e+000 -5.0602e+000 -4.4597e+000 +1.9444e-001 -2.7078e+000 +2.4681e+000 +3.9288e-001 +5.5210e+000 +3.2970e+000 +1.5187e+000 -9.3572e-001 -8.5764e-001 -1.6094e-002 +5.6354e+000 -1.8763e+000
1473 +9.316530577e+002 +9.316530577e+002 +9.616230577e+002 +9.616230577e+002 +9.0980e-001 -1.0252e+000 -3.3950e+000 -1.1566e+000 +3.0347e+000 +2.1016e+000 -4.5991e+000 -3.7988e+000 +1.7300e+000 +4.7738e-001 +1.9543e+000 -1.8377e+000 +4.1811e+000 +1.3957e+000 +1.4533e+000 +6.8955e-001 -1.2769e+000 -1.7432e+000 +3.6910e+000 -1.8403e+000
2174 +5.531893933e+002 +5.531893933e+002 +5.831593933e+002 +5.831593933e+002 +1.3776e+000 -2.5276e+000 -2.3794e+000 -2.0883e+000 +2.0790e+000 +2.9055e+000 -4.1886e+000 -2.6343e+000 +6.0858e-001 -5.6417e-001 +1.3922e+000 -5.1885e-001 +4.5471e+000 +1.2233e+000 -3.8731e-001 +1.6845e+000 -2.3948e+000 -1.6293e+000 +1.9239e+000 -3.7206e+000
2669 +3.842317679e+002 +3.842317679e+002 +4.142017679e+002 +4.142017679e+002 +1.4837e+000 -2.2836e+000 -3.1356e+000 -2.5150e+000 +2.3412e+000 +3.0452e+000 -4.5688e+000 -3.7924e+000 +4.5021e-001 -1.1532e+000 +1.7914e+000 -7.2805e-001 +4.4738e+000 +1.6322e+000 -8.0042e-001 +1.8235e+000 -2.3830e+000 -9.0510e-001 +1.1670e+000 -3.0044e+000
3195 +2.484375871e+002 +2.484375871e+002 +2.784075871e+002 +2.784075871e+002 +1.0722e+000 -1.8816e+000 -3.6086e+000 -2.5599e+000 +2.6870e+000 +3.2669e+000 -4.5297e+000 -3.7385e+000 +7.6263e-001 -1.1076e+000 +1.5185e+000 -1.2052e+000 +4.7922e+000 +1.6700e+000 -1.5473e+000 +2.3848e+000 -2.7586e+000 -1.2425e+000 +1.3446e+000 -3.4904e+000
3847 +1.530358867e+002 +1.530358867e+002 +1.830058867e+002 +1.830058867e+002 +1.0473e+000 -1.8461e+000 -3.5477e+000 -2.1969e+000 +2.6935e+000 +3.5177e+000 -4.3789e+000 -3.2106e+000 +7.6746e-001 -1.5292e+000 +1.3753e+000 -1.5981e+000 +4.4761e+000 +2.2355e+000 -1.4965e+000 +2.5651e+000 -2.2312e+000 -1.1452e+000 +1.6337e+000 -3.4400e+000
4422 +9.910010805e+001 +9.910010805e+001 +1.290701081e+002 +1.290701081e+002 +6.8672e-001 -1.6179e+000 -3.6206e+000 -1.9463e+000 +3.1108e+000 +3.2681e+000 -4.2199e+000 -2.8864e+000 +8.6699e-001 -1.6288e+000 +1.3549e+000 -1.8197e+000 +4.1665e+000 +2.4844e+000 -1.2269e+000 +2.6833e+000 -2.5345e+000 -1.0180e+000 +1.4245e+000 -3.1107e+000
5106 +6.284785667e+001 +6.284785667e+001 +9.281785667e+001 +9.281785667e+001 +8.5461e-001 -1.7704e+000 -3.5603e+000 -2.0778e+000 +3.1885e+000 +3.1667e+000 -4.0702e+000 -2.9946e+000 +8.2410e-001 -1.6588e+000 +1.2225e+000 -1.6294e+000 +4.0055e+000 +2.3178e+000 -1.4632e+000 +2.7489e+000 -2.7731e+000 -8.3549e-001 +1.6084e+000 -3.2280e+000
5759 +3.922598818e+001 +3.922598818e+001 +6.919598818e+001 +6.919598818e+001 +8.6248e-001 -1.7823e+000 -3.6871e+000 -2.0174e+000 +3.2144e+000 +3.3261e+000 -4.0264e+000 -2.8377e+000 +8.3385e-001 -1.7262e+000 +1.2035e+000 -1.7884e+000 +4.0050e+000 +2.3276e+000 -1.5383e+000 +2.7700e+000 -2.6223e+000 -9.7918e-001 +1.5533e+000 -3.3020e+000
6056 +2.440679884e+001 +2.440679884e+001 +5.437679884e+001 +5.437679884e+001 +8.1843e-001 -1.6914e+000 -3.6902e+000 -1.9480e+000 +3.1435e+000 +3.4206e+000 -3.9641e+000 -2.8222e+000 +8.4309e-001 -1.7375e+000 +1.2202e+000 -1.7673e+000 +4.0082e+000 +2.3542e+000 -1.5509e+000 +2.6920e+000 -2.6037e+000 -9.9360e-001 +1.5736e+000 -3.3516e+000
6869 +1.517210229e+001 +1.517210229e+001 +4.514210229e+001 +4.514210229e+001 +8.5329e-001 -1.7140e+000 -3.6907e+000 -1.9415e+000 +3.1205e+000 +3.4051e+000 -3.9620e+000 -2.8459e+000 +8.3938e-001 -1.7661e+000 +1.2977e+000 -1.7331e+000 +4.0113e+000 +2.3507e+000 -1.5138e+000 +2.6785e+000 -2.5970e+000 -9.7627e-001 +1.5498e+000 -3.3732e+000
7378 +9.247271646e+000 +9.247271646e+000 +3.921727165e+001 +3.921727165e+001 +8.5840e-001 -1.7182e+000 -3.6732e+000 -1.9558e+000 +3.1210e+000 +3.3502e+000 -3.9786e+000 -2.8877e+000 +8.1500e-001 -1.7715e+000 +1.2678e+000 -1.6849e+000 +4.0098e+000 +2.3476e+000 -1.5225e+000 +2.6825e+000 -2.6231e+000 -9.1987e-001 +1.5335e+000 -3.3465e+000
7991 +6.167070331e+000 +6.167070331e+000 +3.613707033e+001 +3.613707033e+001 +8.6255e-001 -1.7053e+000 -3.6601e+000 -1.9569e+000 +3.1103e+000 +3.3501e+000 -3.9589e+000 -2.9018e+000 +8.1604e-001 -1.7773e+000 +1.2589e+000 -1.6793e+000 +4.0042e+000 +2.3622e+000 -1.4994e+000 +2.6787e+000 -2.6235e+000 -9.3462e-001 +1.5248e+000 -3.3507e+000
8535 +3.843557178e+000 +3.843557178e+000 +3.381355718e+001 +3.381355718e+001 +8.6470e-001 -1.7177e+000 -3.6584e+000 -1.9510e+000 +3.1112e+000 +3.3392e+000 -3.9488e+000 -2.8995e+000 +8.1538e-001 -1.7884e+000 +1.2570e+000 -1.6781e+000 +4.0015e+000 +2.3602e+000 -1.5080e+000 +2.6777e+000 -2.6364e+000 -9.1110e-001 +1.5269e+000 -3.3447e+000
9233 +2.459202717e+000 +2.459202717e+000 +3.242920272e+001 +3.242920272e+001 +8.6659e-001 -1.7090e+000 -3.6638e+000 -1.9425e+000 +3.1104e+000 +3.3387e+000 -3.9452e+000 -2.9051e+000 +8.1580e-001 -1.7838e+000 +1.2572e+000 -1.6812e+000 +3.9982e+000 +2.3629e+000 -1.5118e+000 +2.6807e+000 -2.6240e+000 -9.1487e-001 +1.5270e+000 -3.3423e+000
9502 +1.579789413e+000 +1.579789413e+000 +3.154978941e+001 +3.154978941e+001 +8.6922e-001 -1.7020e+000 -3.6651e+000 -1.9433e+000 +3.1115e+000 +3.3393e+000 -3.9466e+000 -2.9006e+000 +8.1527e-001 -1.7867e+000 +1.2571e+000 -1.6805e+000 +3.9961e+000 +2.3639e+000 -1.5124e+000 +2.6813e+000 -2.6230e+000 -9.1351e-001 +1.5259e+000 -3.3393e+000
10159 +9.794110319e-001 +9.794110319e-001 +3.094941103e+001 +3.094941103e+001 +8.6896e-001 -1.7024e+000 -3.6657e+000 -1.9396e+000 +3.1114e+000 +3.3395e+000 -3.9448e+000 -2.9001e+000 +8.1446e-001 -1.7884e+000 +1.2544e+000 -1.6770e+000 +3.9960e+000 +2.3625e+000 -1.5134e+000 +2.6799e+000 -2.6261e+000 -9.1339e-001 +1.5230e+000 -3.3399e+000
10493 +6.060808842e-001 +6.060808842e-001 +3.057608088e+001 +3.057608088e+001 +8.6784e-001 -1.7030e+000 -3.6653e+000 -1.9389e+000 +3.1138e+000 +3.3392e+000 -3.9426e+000 -2.8982e+000 +8.1392e-001 -1.7873e+000 +1.2543e+000 -1.6792e+000 +3.9943e+000 +2.3629e+000 -1.5135e+000 +2.6800e+000 -2.6246e+000 -9.1614e-001 +1.5217e+000 -3.3382e+000
