% function evaluation | noise-free fitness - Fopt (-1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.453815829e+001 +8.453815829e+001 -9.154618417e+002 -9.154618417e+002 -3.7626e-001 -4.2332e+000 -4.0928e+000 +3.8470e+000 +1.2154e+000 -1.1590e-001 -2.0001e+000 +2.6475e+000 +1.5429e+000 +2.8946e+000 -4.3421e+000 +2.0883e+000 -7.6084e-001 -2.3188e+000 +3.1466e+000 -1.4684e+000 +2.7415e+000 +2.4959e+000 +7.0210e-002 +1.2557e+000
763 +4.947005448e+001 +4.947005448e+001 -9.505299455e+002 -9.505299455e+002 -2.3803e+000 -1.9823e+000 +1.9078e+000 -4.8207e+000 +3.0247e-001 -3.3841e+000 -2.3426e+000 -5.9470e+000 -1.4045e-001 +9.7155e-001 +7.7221e-001 -1.8069e+000 +1.8917e+000 -1.2954e+000 +5.4080e-001 -2.8967e+000 +2.9007e-001 -2.0488e+000 -1.7818e+000 -2.2888e+000
944 +2.861992656e+001 +2.861992656e+001 -9.713800734e+002 -9.713800734e+002 -2.6715e+000 -3.5166e+000 +2.6135e+000 -4.8332e+000 +8.8994e-001 -2.5865e+000 -2.5484e+000 -5.6310e+000 +5.2624e-001 -2.2154e-001 +3.7209e+000 -2.4795e+000 +1.8434e+000 -7.3760e-001 -1.0374e+000 -3.1002e+000 -7.8487e-002 -1.1835e+000 +1.7626e+000 -2.7967e+000
1089 +1.312618652e+001 +1.312618652e+001 -9.868738135e+002 -9.868738135e+002 -3.1717e+000 -2.8844e+000 +2.9149e+000 -5.3587e+000 +1.9023e+000 -3.3260e+000 -1.6459e+000 -3.7848e+000 +2.0121e+000 +2.7104e+000 +2.6753e+000 -1.7786e+000 +7.6385e-001 +4.8773e-001 -3.7544e-001 -3.1919e+000 +7.6512e-001 +2.4330e-001 +1.5728e+000 -2.6939e+000
1625 +8.540345764e+000 +8.540345764e+000 -9.914596542e+002 -9.914596542e+002 -3.7647e+000 -2.6136e+000 +3.5185e+000 -5.8911e+000 +2.2335e+000 -4.1194e+000 -1.3063e+000 -5.2684e+000 +1.4251e+000 +2.8577e+000 +3.3551e+000 -1.7149e+000 +1.0267e+000 -3.2487e-001 -1.7132e+000 -3.0270e+000 +1.7650e+000 -4.2012e-002 +7.8178e-001 -2.5616e+000
2039 +6.191248535e+000 +6.191248535e+000 -9.938087515e+002 -9.938087515e+002 -3.9901e+000 -2.8295e+000 +2.6054e+000 -4.8793e+000 +1.9963e+000 -4.1865e+000 -1.1862e+000 -5.2409e+000 +1.7033e+000 +2.8768e+000 +3.0537e+000 -1.7370e+000 +5.9549e-001 -4.9703e-002 -2.3070e+000 -3.0829e+000 +1.8169e+000 -6.7804e-001 +7.2480e-001 -2.4851e+000
2186 +3.859677679e+000 +3.859677679e+000 -9.961403223e+002 -9.961403223e+002 -4.2429e+000 -2.2286e+000 +2.6189e+000 -4.4224e+000 +1.6444e+000 -3.6202e+000 -1.2365e+000 -5.5924e+000 +1.5255e+000 +2.0347e+000 +3.9280e+000 -1.2951e+000 +1.3524e+000 -5.6335e-001 -1.9424e+000 -2.5613e+000 +1.9859e+000 -2.3563e-001 +6.5520e-001 -2.2817e+000
2766 +2.409009332e+000 +2.409009332e+000 -9.975909907e+002 -9.975909907e+002 -3.4524e+000 -1.7505e+000 +1.9328e+000 -3.9323e+000 +1.3783e+000 -3.5266e+000 -1.1425e+000 -4.9000e+000 +2.2055e+000 +2.3794e+000 +3.8070e+000 -1.9138e+000 +1.0299e+000 -7.4615e-001 -1.6976e+000 -3.0922e+000 +2.0637e+000 -7.5565e-001 +6.1432e-001 -2.1281e+000
87378 +1.502850583e+000 +1.502850583e+000 -9.984971494e+002 -9.984971494e+002 +2.2054e+000 -2.1250e+000 +1.7302e+000 +3.8078e+000 -4.6388e+000 +5.1722e-001 -1.8220e+000 +3.6545e+000 +3.7828e+000 -1.0391e+000 -2.9306e+000 +2.3561e+000 -3.2477e+000 -2.1470e+000 -6.3113e-001 -6.6750e-001 +3.5721e+000 +3.3066e+000 +4.1511e+000 +2.6400e+000
88266 +9.908049698e-001 +9.908049698e-001 -9.990091950e+002 -9.990091950e+002 +2.0056e+000 -2.0020e+000 +1.1900e+000 +4.0108e+000 -4.6092e+000 +8.1199e-001 -1.8981e+000 +3.6436e+000 +4.1729e+000 -1.1470e+000 -3.0043e+000 +2.2945e+000 -3.1225e+000 -2.3464e+000 -8.5900e-001 -5.8919e-001 +3.1733e+000 +3.5231e+000 +4.0222e+000 +2.5545e+000
1220828 +5.919374125e-001 +5.919374125e-001 -9.994080626e+002 -9.994080626e+002 +1.6002e+000 +1.0775e+000 +2.6943e+000 +6.7846e-001 -2.4685e-001 -4.1023e-001 -1.9227e+000 -4.1759e-002 +4.2845e+000 -7.4155e-001 -1.0392e+000 +1.4933e+000 -2.4792e+000 -7.6843e-001 +2.7263e+000 +2.1314e+000 +3.2472e+000 -3.1167e+000 +2.1816e+000 -1.6745e+000
1220910 +3.883063860e-001 +3.883063860e-001 -9.996116936e+002 -9.996116936e+002 +1.8454e+000 +1.3167e+000 +2.9043e+000 +5.7084e-001 -4.0049e-001 -6.0238e-001 -1.9898e+000 +1.5127e-001 +4.3845e+000 -1.1556e-001 -5.1668e-001 +1.3176e+000 -2.5197e+000 -9.5866e-001 +2.7732e+000 +2.0615e+000 +2.9748e+000 -3.2355e+000 +2.2866e+000 -1.8202e+000
1220939 +2.448204672e-001 +2.448204672e-001 -9.997551795e+002 -9.997551795e+002 +1.9549e+000 +1.3914e+000 +2.7720e+000 +6.3955e-001 -4.5392e-001 -5.8616e-001 -2.0897e+000 +5.8155e-002 +4.3141e+000 +3.0906e-001 -3.0304e-001 +1.2028e+000 -2.5386e+000 -1.0459e+000 +2.7999e+000 +2.0665e+000 +2.9587e+000 -3.2038e+000 +2.4347e+000 -1.8670e+000
1221043 +1.321426631e-001 +1.321426631e-001 -9.998678573e+002 -9.998678573e+002 +1.8516e+000 +1.4733e+000 +2.7034e+000 +5.1495e-001 -4.4762e-001 -5.6340e-001 -1.9678e+000 +4.5947e-002 +4.4089e+000 +1.0872e+000 +1.2635e-002 +1.2781e+000 -2.5727e+000 -1.1279e+000 +2.6479e+000 +2.0686e+000 +3.1008e+000 -3.1578e+000 +2.6230e+000 -1.6797e+000
1221689 +9.685650931e-002 +9.685650931e-002 -9.999031435e+002 -9.999031435e+002 +1.9850e+000 +1.5628e+000 +2.5365e+000 +5.9395e-001 -2.3017e-001 -7.4107e-001 -1.9831e+000 +1.7403e-001 +4.1532e+000 +1.2982e+000 +1.5587e-001 +1.1724e+000 -2.6548e+000 -1.1306e+000 +2.7517e+000 +1.9448e+000 +3.0537e+000 -3.0025e+000 +2.8025e+000 -1.8676e+000
1222091 +6.274864707e-002 +6.274864707e-002 -9.999372514e+002 -9.999372514e+002 +2.0536e+000 +1.5648e+000 +2.5937e+000 +2.3435e-001 -5.8718e-001 -6.8389e-001 -2.0284e+000 +3.9766e-001 +4.2454e+000 +9.9168e-001 +6.7263e-002 +1.1772e+000 -2.7973e+000 -1.1611e+000 +2.6980e+000 +2.0880e+000 +2.9604e+000 -2.9991e+000 +2.6996e+000 -1.7674e+000
1223226 +3.859335714e-002 +3.859335714e-002 -9.999614066e+002 -9.999614066e+002 +2.1813e+000 +1.5034e+000 +2.7066e+000 +1.7873e-001 -8.8149e-001 -8.3144e-001 -2.0449e+000 +4.2672e-001 +4.2594e+000 +1.4787e+000 +2.8518e-001 +1.2401e+000 -2.9822e+000 -8.3702e-001 +2.5572e+000 +2.1123e+000 +2.6744e+000 -2.9264e+000 +2.6919e+000 -1.7754e+000
1224242 +2.510518739e-002 +2.510518739e-002 -9.999748948e+002 -9.999748948e+002 +2.2413e+000 +1.4894e+000 +2.7846e+000 -1.1571e-001 -1.2229e+000 -9.3112e-001 -2.0275e+000 +5.4228e-001 +4.0630e+000 +1.1831e+000 +2.0310e-001 +1.3163e+000 -3.2459e+000 -7.6028e-001 +2.5159e+000 +2.3141e+000 +2.4244e+000 -2.9194e+000 +2.5145e+000 -1.7407e+000
