% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.449712577e+003 +4.449712577e+003 +3.987622577e+003 +3.987622577e+003 -2.4284e+000 +2.9579e+000 -2.2523e+000 +2.5604e+000 +4.0547e+000 -3.3278e+000 +4.0301e+000 -4.2484e+000 +4.5121e-001 +3.2765e+000 -1.0857e+000 -5.2133e-001 +2.3435e+000 +1.9134e+000 -6.9352e-001 +4.1696e+000 -4.6707e+000 -3.7919e+000 +1.3125e+000 +3.3720e+000
4 +3.328941187e+003 +3.328941187e+003 +2.866851187e+003 +2.866851187e+003 -4.2479e+000 -1.0234e+000 -2.4774e+000 +8.4568e-001 +1.5612e+000 +3.4076e+000 -1.5112e+000 -3.4894e+000 +4.9024e+000 +3.5395e+000 +2.2894e-001 +3.4036e+000 -4.6257e+000 +2.1645e+000 +8.2574e-002 +1.7443e+000 -2.5701e+000 +1.7349e+000 +1.9248e+000 +4.5440e+000
11 +2.390852013e+003 +2.390852013e+003 +1.928762013e+003 +1.928762013e+003 -2.7653e+000 -9.0523e-001 -1.0143e+000 -1.4297e-001 -2.2850e+000 -3.1838e+000 -2.4414e+000 -2.4024e+000 +5.4702e-001 +4.5771e+000 +2.0807e-003 -2.4372e+000 +1.5103e+000 -2.7454e+000 -3.7784e-001 -1.9379e-002 -1.0314e-001 -1.5460e+000 +2.4221e+000 -4.7470e+000
24 +1.445657923e+003 +1.445657923e+003 +9.835679226e+002 +9.835679226e+002 -1.2847e+000 +1.5615e+000 -2.8378e+000 +3.1090e+000 +3.5455e-001 +3.8070e+000 -2.4237e+000 +3.3168e+000 +2.1737e+000 -5.6591e-001 -4.7821e+000 +2.2323e+000 -1.4078e+000 +6.4181e-001 +2.5413e+000 -3.6666e+000 +2.2444e+000 +2.1955e+000 +9.8250e-001 +8.1299e-001
44 +7.846358542e+002 +7.846358542e+002 +3.225458542e+002 +3.225458542e+002 +2.2155e+000 +2.6155e+000 +4.1748e-001 +3.2142e+000 -1.9187e-001 -1.5053e-001 -4.3347e+000 +2.7721e+000 -2.1292e-001 -4.3784e+000 -1.1420e+000 +4.0882e-001 -1.0476e+000 -2.1539e+000 -9.3500e-001 -3.3825e+000 -2.8595e-001 +2.0557e+000 -3.7307e+000 -2.6504e+000
240 +5.885619401e+002 +5.885619401e+002 +1.264719401e+002 +1.264719401e+002 +3.9024e+000 -1.7075e+000 -2.2438e+000 +3.3093e+000 +1.0442e+000 -6.1015e-001 -1.9146e-001 +2.1935e+000 -1.2608e+000 +1.7263e+000 -5.9098e-001 -4.9337e-001 +6.3157e-002 -4.4832e+000 -4.5650e-001 -4.6003e+000 -3.3126e+000 +8.3166e-001 -1.1681e+000 +2.6238e+000
957 +3.338011651e+002 +3.338011651e+002 -1.282888349e+002 -1.282888349e+002 -3.4385e+000 -1.3628e+000 -4.3540e-001 -2.6768e+000 +3.1759e+000 +3.7350e+000 +5.2643e+000 +4.6151e-002 +1.6623e+000 -2.8912e+000 -2.1824e+000 -1.9333e+000 +2.5343e+000 -2.5219e+000 -5.7210e-001 -5.4285e+000 +5.4281e-001 +3.3491e+000 -4.2625e+000 +1.3008e+000
2065 +2.506266151e+002 +2.506266151e+002 -2.114633849e+002 -2.114633849e+002 -3.4526e+000 +7.6647e-001 +2.3210e+000 +1.9806e+000 +4.0019e+000 +3.7679e+000 +3.6537e+000 +1.7931e+000 +2.5571e+000 +2.3558e+000 -1.9956e+000 -1.8998e+000 +5.7890e-001 -1.7721e+000 -1.7638e+000 -1.9876e+000 +1.9385e-002 +2.5361e+000 -2.8616e+000 +9.9809e-001
3479 +1.580791763e+002 +1.580791763e+002 -3.040108237e+002 -3.040108237e+002 -2.4266e+000 +1.3708e+000 +3.1600e+000 +2.3114e+000 +2.4224e+000 +3.0979e+000 +2.4668e+000 +1.2571e+000 +2.8105e+000 +1.1433e+000 -3.5387e+000 -3.4149e+000 -6.1706e-001 -2.4899e+000 -8.5259e-001 -3.5895e+000 -1.8985e-001 +2.8027e+000 -3.1778e+000 +2.1340e+000
7937 +9.540613354e+001 +9.540613354e+001 -3.666838665e+002 -3.666838665e+002 -2.3790e+000 +1.0288e+000 +2.2642e+000 +1.9049e+000 +3.1364e+000 +2.0813e+000 +2.5401e+000 +2.0054e+000 +1.8302e+000 +5.1330e-001 -2.8136e+000 -4.2388e+000 +4.1831e-001 -2.4732e+000 -1.7552e+000 -3.5439e+000 -2.6610e-001 +2.5846e+000 -2.4262e+000 +1.8197e+000
