% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.912819070e+005 +3.912819070e+005 +3.914310570e+005 +3.914310570e+005 -2.0114e+000 +4.2888e+000 +2.6959e+000 -1.9056e+000 -2.9863e+000 +3.2451e+000 +4.3591e+000 +2.0630e+000 -4.0860e+000 +3.9883e+000 -1.2915e+000 -1.8178e+000 +1.8164e+000 -3.1072e+000 +7.7672e-001 +1.3899e+000 +2.5861e+000 -2.4406e-001 -2.2254e+000 +4.9304e+000
9 +1.994818010e+005 +1.994818010e+005 +1.996309510e+005 +1.996309510e+005 -1.8631e+000 -1.1084e+000 -4.1763e+000 -1.9250e+000 +1.5945e+000 -1.2148e+000 +2.4510e+000 -1.7363e+000 +3.3722e+000 -8.0863e-001 +4.0668e-002 +3.3856e+000 +2.6768e+000 -4.4794e+000 -3.3895e+000 -3.1127e+000 -1.4844e+000 -2.8137e+000 -1.5511e+000 +1.5586e+000
22 +1.319248340e+005 +1.319248340e+005 +1.320739840e+005 +1.320739840e+005 -1.6239e+000 -4.4733e+000 -1.3013e-001 -3.2385e+000 -2.6726e+000 -3.2118e+000 -3.2090e+000 -3.6470e+000 +3.3085e+000 +3.0262e+000 -3.6868e+000 -7.3626e-001 +2.1269e+000 +1.1279e-001 +7.6466e-001 -9.4331e-001 -2.4064e+000 -6.7536e-002 +2.6555e+000 +4.0052e+000
343 +9.342364964e+004 +9.342364964e+004 +9.357279964e+004 +9.357279964e+004 +1.2924e-001 -3.1897e+000 -8.4458e-001 -1.5284e-001 -2.0212e+000 -6.1595e-001 -3.2624e+000 -4.3435e+000 +5.2002e-001 +1.1634e+000 -1.6652e+000 +3.0196e+000 +3.3937e+000 -4.6810e-001 +1.8349e+000 +1.4474e+000 -5.1303e+000 -1.1581e-001 +1.1825e+000 -1.0727e+000
500 +5.245786479e+004 +5.245786479e+004 +5.260701479e+004 +5.260701479e+004 +3.4172e+000 +1.1815e+000 +1.3787e-002 -3.9035e-001 -3.3244e+000 -1.4370e+000 -2.2642e+000 -4.5801e+000 -5.7071e-001 -1.0966e+000 -3.2479e+000 -5.0272e-002 +4.2543e+000 -1.1032e+000 -1.1823e+000 -1.2986e+000 -2.3553e+000 -9.3166e-001 -3.0476e+000 +5.4878e+000
821 +3.203927444e+004 +3.203927444e+004 +3.218842444e+004 +3.218842444e+004 +1.3412e+000 -1.7366e+000 +9.8880e-001 +3.9701e+000 -1.2132e+000 -1.5822e+000 -1.5312e+000 -4.0698e+000 -1.0970e+000 +1.0644e+000 -1.5641e+000 -4.2340e-001 +6.3830e-001 +9.7325e-001 +4.3361e-001 -1.9421e+000 +8.1782e-001 +7.6170e-001 -5.7693e+000 +1.4764e+001
871 +2.119917909e+004 +2.119917909e+004 +2.134832909e+004 +2.134832909e+004 -2.7475e+000 -2.9529e+000 -1.5132e+000 +3.9701e+000 -1.2132e+000 -1.5822e+000 -1.5312e+000 -2.2413e+000 -7.8091e-001 +3.2030e-001 -1.5641e+000 -4.2340e-001 +4.0536e+000 +9.7325e-001 +4.3361e-001 +1.0960e+000 -3.0113e-002 +7.6170e-001 -4.5249e+000 +2.0369e+000
1302 +1.291525732e+004 +1.291525732e+004 +1.306440732e+004 +1.306440732e+004 -2.7310e+000 +4.8368e-001 -1.4347e+000 +1.3478e+000 -4.1977e+000 -1.9372e+000 -8.4267e-001 +1.6398e-001 +4.2884e-001 -1.8862e+000 -1.5577e+000 +8.3534e-001 +2.0847e-001 -6.7889e-003 -1.0618e+000 -4.1101e+000 -7.2531e-001 -1.7896e+000 -1.8520e+000 +9.9472e-001
1777 +8.792295268e+003 +8.792295268e+003 +8.941445268e+003 +8.941445268e+003 -9.1311e-002 -9.9905e-001 -9.3036e-001 +2.7144e+000 -2.0214e+000 -4.6011e-001 -1.6367e+000 +1.3042e-001 +9.0765e-001 +1.0252e+000 -2.3734e+000 -1.0995e+000 -1.8906e-001 +3.8062e-001 +8.2913e-001 +5.9926e-001 -5.3043e-002 -1.3133e+000 +9.9034e-002 +4.9919e+000
1799 +6.133819936e+003 +6.133819936e+003 +6.282969936e+003 +6.282969936e+003 -1.2315e+000 -2.3002e+000 -5.8626e-001 +2.2216e+000 -2.9916e+000 -3.1042e+000 -4.0219e-001 -2.6278e+000 -6.0478e-001 -6.5243e-001 -1.3631e+000 -2.3951e+000 +1.4791e+000 -8.3244e-001 -4.7286e-001 +2.3266e-001 -1.5238e-001 -2.2224e-001 -2.4309e+000 -4.4355e+000
