% function evaluation | noise-free fitness - Fopt (-1.025500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.786884733e+001 +4.786884733e+001 -5.468115267e+001 -5.468115267e+001 +2.8533e+000 -3.7921e+000 -3.6131e+000 -1.7342e+000 -4.3871e+000 -1.0227e+000 -3.2999e+000 -4.1646e-001 +3.1387e+000 +4.9107e+000 +1.5900e+000 -4.5973e-001 -1.9723e+000 +3.3852e-002 -2.2727e+000 +3.4306e+000 -1.7137e+000 +1.1713e+000 +3.7131e+000 +2.0863e+000
9 +3.157198413e+001 +3.157198413e+001 -7.097801587e+001 -7.097801587e+001 +1.4329e+000 -3.5423e+000 +3.4441e+000 +3.2423e+000 -7.1744e-001 +3.8711e-001 -2.9263e+000 -1.2013e-001 +1.6574e+000 -2.0145e+000 -1.1182e+000 -1.7326e+000 +4.8665e+000 +4.1186e+000 +2.4978e-001 -3.1069e+000 +2.7036e+000 +2.0602e+000 +6.0395e-001 +1.7122e+000
36 +2.279758458e+001 +2.279758458e+001 -7.975241542e+001 -7.975241542e+001 +1.4359e+000 -1.6047e+000 -2.5001e+000 +1.7283e+000 +3.2159e+000 -4.4378e+000 -1.8735e+000 +4.9439e-001 -1.2219e+000 -2.4983e+000 +2.4662e+000 +1.6111e-002 -1.2322e+000 +4.3194e+000 -3.8763e-001 +4.8173e-001 -3.8986e+000 +7.9249e-001 -8.0775e-001 +4.2261e+000
70 +1.507807609e+001 +1.507807609e+001 -8.747192391e+001 -8.747192391e+001 +2.8298e+000 -2.6826e-001 -3.8936e+000 +1.1759e+000 -2.7158e+000 +8.7282e-001 -1.9585e+000 +3.3968e+000 -3.4132e-001 -2.5070e+000 +1.4727e+000 +1.4646e+000 +2.6405e+000 +1.3871e+000 -2.1487e-001 +7.9219e-001 +9.0313e-002 +2.8726e-001 -2.4306e+000 +6.2967e-002
986 +9.679365061e+000 +9.679365061e+000 -9.287063494e+001 -9.287063494e+001 -2.2394e+000 +2.5491e+000 -1.4117e+000 -2.8518e-001 -1.1070e-001 -7.8082e-001 -1.0835e+000 +1.1641e-001 -2.6116e-001 +4.6592e-001 -2.8027e-001 +5.7368e-001 -8.3068e-001 +1.3221e+000 +2.5465e+000 -2.8632e+000 +5.6930e-001 +1.0177e+000 +2.2605e+000 +3.0173e-001
2905 +6.139639617e+000 +6.139639617e+000 -9.641036038e+001 -9.641036038e+001 +5.7754e-001 +1.7612e+000 -7.5087e-001 -2.8192e-001 -1.1414e+000 -5.8441e-001 -4.9941e-001 -6.7038e-001 +1.1959e-002 +6.0175e-002 -5.9650e-001 -4.1928e-001 +8.7588e-001 -3.8331e-001 +2.0298e+000 -3.3689e-001 +8.5275e-001 +2.1675e-001 +1.5156e+000 -1.9263e-001
14460 +3.951654938e+000 +3.951654938e+000 -9.859834506e+001 -9.859834506e+001 +2.7843e+000 +3.2788e-001 -6.7594e-001 +1.5899e+000 +1.3228e-002 +7.9406e-001 -2.7732e-001 -5.0956e-001 -1.3755e-001 -5.7499e-001 -1.0152e+000 +8.2796e-001 +8.4427e-001 +1.4554e-001 +2.0193e+000 -9.5715e-002 -1.2340e+000 -1.8035e-001 -4.5453e-001 -1.4744e+000
108196 +2.510568835e+000 +2.510568835e+000 -1.000394312e+002 -1.000394312e+002 +2.7849e+000 +3.2757e-001 -6.7590e-001 +1.5906e+000 +1.3188e-002 +7.9690e-001 -2.7803e-001 -5.1162e-001 -1.3945e-001 -5.7526e-001 -1.0100e+000 +8.2738e-001 +8.4139e-001 +1.4636e-001 +2.0172e+000 -9.5633e-002 -1.2345e+000 -1.7815e-001 -4.5270e-001 -1.4767e+000
137598 +1.584285981e+000 +1.584285981e+000 -1.009657140e+002 -1.009657140e+002 +2.7847e+000 +3.2763e-001 -6.7823e-001 +1.5900e+000 +1.1875e-002 +7.9872e-001 -2.7662e-001 -5.1427e-001 -1.3937e-001 -5.7420e-001 -1.0032e+000 +8.2711e-001 +8.3681e-001 +1.4401e-001 +2.0167e+000 -9.6551e-002 -1.2349e+000 -1.7386e-001 -4.5186e-001 -1.4764e+000
174864 +9.986652780e-001 +9.986652780e-001 -1.015513347e+002 -1.015513347e+002 +2.7854e+000 +3.3166e-001 -6.7911e-001 +1.5926e+000 +8.3650e-003 +7.9958e-001 -2.7420e-001 -5.1421e-001 -1.3946e-001 -5.7800e-001 -9.9662e-001 +8.2707e-001 +8.2901e-001 +1.4080e-001 +2.0167e+000 -9.7283e-002 -1.2339e+000 -1.7359e-001 -4.5246e-001 -1.4782e+000
