% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.540721023e+005 +4.540721023e+005 +4.541080023e+005 +4.541080023e+005 -4.1720e+000 -1.4498e+000 +3.9881e+000 +1.5825e+000 -4.5558e+000 -1.6721e+000 +4.1649e+000 -2.5129e+000 -1.3828e+000 +2.0315e+000 +2.4940e-001 -7.8460e-002 -1.0510e+000 -9.4307e-001 +4.3956e+000 -3.4486e+000 -1.2280e+000 +2.6207e+000 +3.2263e-001 -3.8294e+000
142 +3.848173136e+005 +3.848173136e+005 +3.848532136e+005 +3.848532136e+005 -4.8454e+000 -1.8312e+000 +3.9745e+000 +1.7178e+000 -7.2650e+000 +7.0754e-002 +2.1016e+000 -5.1557e+000 +3.8242e+000 -1.5147e+000 -2.1633e-001 -2.9354e-001 +1.3425e+000 +2.1201e+000 +7.8708e+000 -5.2942e+000 -9.0799e-001 +6.2071e+000 -9.7248e-001 -2.6425e+000
203 +2.234059765e+005 +2.234059765e+005 +2.234418765e+005 +2.234418765e+005 -5.3283e+000 +2.3258e+000 +6.4905e+000 +1.4528e+000 -6.0159e+000 -6.7634e-001 -2.3646e+000 -5.4597e+000 +7.3040e-001 -5.6157e+000 -2.9189e+000 +5.3128e-001 +4.0454e+000 +7.5878e-001 +7.5062e+000 -7.0262e+000 -1.7376e+000 +4.8307e+000 +9.2269e-001 +3.8834e-001
400 +1.121448775e+005 +1.121448775e+005 +1.121807775e+005 +1.121807775e+005 -6.7040e+000 +3.3236e+000 +8.7604e+000 -1.0970e+000 -9.1137e+000 -3.5737e+000 +4.7367e+000 -2.2386e+000 +4.4842e+000 -1.8580e+000 +1.7181e-001 -7.9864e+000 -4.0250e-001 -1.4896e+000 +9.3244e+000 -5.0588e+000 -1.1629e+000 +7.7087e+000 +1.1353e+000 -4.3295e+000
422 +5.920480146e+004 +5.920480146e+004 +5.924070146e+004 +5.924070146e+004 -7.8576e+000 +3.5041e+000 +1.1003e+001 +7.8141e-001 -9.9913e+000 -4.0389e+000 +2.8014e+000 -2.3255e+000 +6.4191e+000 -2.7484e+000 -2.1914e+000 -6.9943e+000 -1.1028e+000 -1.1736e+000 +1.0381e+001 -5.4165e+000 -1.4857e+000 +8.2404e+000 +9.2208e-001 -4.5938e+000
469 +2.966793564e+004 +2.966793564e+004 +2.970383564e+004 +2.970383564e+004 -9.1266e+000 +3.7357e+000 +1.1661e+001 +3.4715e-001 -9.4855e+000 -3.5459e+000 +2.6933e+000 -2.4230e+000 +9.0339e+000 -3.4210e+000 -2.5336e+000 -8.2318e+000 -1.6330e+000 -2.7095e+000 +1.1547e+001 -5.7093e+000 -2.9914e+000 +1.0713e+001 +2.1002e+000 -4.7364e+000
520 +1.340364043e+004 +1.340364043e+004 +1.343954043e+004 +1.343954043e+004 -1.0688e+001 +5.1631e+000 +1.5844e+001 -3.7285e-001 -1.2537e+001 -5.0665e+000 +3.8562e+000 -1.5099e+000 +1.1190e+001 -4.6305e+000 -3.9243e+000 -1.0427e+001 -3.7455e+000 -2.6665e+000 +1.5361e+001 -7.0119e+000 -4.7288e+000 +1.3745e+001 +2.9698e+000 -6.8092e+000
568 +4.776232590e+003 +4.776232590e+003 +4.812132590e+003 +4.812132590e+003 -1.0209e+001 +7.3917e+000 +1.4414e+001 +1.2809e+000 -1.4129e+001 -4.3983e+000 +3.4806e+000 -1.9488e+000 +8.4156e+000 -4.0644e+000 -6.2981e+000 -1.0313e+001 -4.8407e+000 -6.0427e+000 +1.1645e+001 -7.6252e+000 -1.3608e+000 +1.2498e+001 +1.2705e+000 -4.8794e+000
581 +3.651601495e+003 +3.651601495e+003 +3.687501495e+003 +3.687501495e+003 -1.0246e+001 +9.2120e+000 +1.6089e+001 +1.0932e+000 -1.5561e+001 -4.4619e+000 +1.7959e+000 -2.6181e+000 +9.8744e+000 -5.5272e+000 -7.9886e+000 -1.2635e+001 -5.7215e+000 -7.0326e+000 +1.3547e+001 -8.0595e+000 -2.2979e+000 +1.4686e+001 +1.5079e+000 -6.3972e+000
597 +1.712004495e+003 +1.712004495e+003 +1.747904495e+003 +1.747904495e+003 -6.9624e+000 +5.8230e+000 +1.6096e+001 +1.9457e+000 -1.1437e+001 -3.2414e+000 +2.3243e+000 -5.2158e+000 +6.1572e+000 -5.1482e+000 -6.4614e+000 -6.3896e+000 -2.7233e+000 -5.1595e+000 +7.3928e+000 -6.4976e+000 -1.4764e+000 +1.0595e+001 +3.4320e+000 -3.7772e+000
