% function evaluation | noise-free fitness - Fopt (-5.494000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.886313774e+007 +2.886313774e+007 +2.886308280e+007 +2.886308280e+007 -2.6161e+000 +4.7245e+000 -7.0315e-001 -2.6939e+000 -3.7178e+000 -7.7690e-001 +2.2374e+000 -4.6536e-001 +2.5475e+000 +1.8431e+000 +1.1673e+000 -4.8302e+000 -2.6882e+000 +1.8911e+000 +2.3307e+000 +4.9786e+000 +3.0615e+000 +6.1587e-001 -2.8321e+000 +2.2743e+000
6 +1.603177561e+007 +1.603177561e+007 +1.603172067e+007 +1.603172067e+007 +2.6012e+000 -4.2337e+000 -1.9859e-001 -3.6959e+000 +1.9648e+000 -4.8451e+000 -1.8163e+000 +3.3494e+000 -4.6031e+000 -4.5500e+000 +4.2748e+000 -2.4232e+000 -3.9220e+000 -4.4230e+000 -2.6835e+000 -3.5281e+000 -1.5546e+000 +1.7147e+000 +2.1256e+000 -4.9690e+000
8 +1.518113545e+007 +1.518113545e+007 +1.518108051e+007 +1.518108051e+007 -4.6991e+000 +4.6836e+000 +4.7991e+000 -2.6853e+000 +3.1476e+000 +2.9006e+000 +4.1245e+000 -2.9239e+000 -3.3688e+000 +3.3774e+000 -1.6659e+000 -6.3900e-001 -9.7456e-001 +3.1282e+000 -1.9831e+000 -3.8431e+000 +8.0910e-001 -3.2837e+000 +4.3118e+000 +1.6824e+000
12 +4.982658076e+006 +4.982658076e+006 +4.982603136e+006 +4.982603136e+006 +1.8981e+000 -3.3271e+000 -4.9141e+000 -3.8018e+000 -7.0588e-001 +4.0137e+000 -1.8088e+000 +3.4542e+000 +6.2829e-001 -2.4970e+000 +1.9125e+000 -1.7987e+000 -1.3883e-002 -1.5136e+000 -4.9809e-001 -2.4526e+000 +1.4759e-001 -5.1707e-001 -1.5592e+000 +1.5644e+000
17 +2.682161886e+006 +2.682161886e+006 +2.682106946e+006 +2.682106946e+006 +8.7795e-001 -2.9932e+000 -3.5502e+000 +3.6511e-001 -1.1445e+000 +2.5621e+000 +1.9243e+000 -4.3995e+000 -1.1657e+000 +1.2711e+000 +4.2877e+000 +1.9539e+000 -8.4125e-001 +1.0100e+000 -1.2776e+000 -3.7614e+000 -4.4760e-001 +4.6754e+000 -4.5810e+000 +4.2048e+000
65 +1.805846959e+006 +1.805846959e+006 +1.805792019e+006 +1.805792019e+006 +7.8329e-001 -3.2612e+000 -4.1237e+000 -5.7925e-001 -1.0650e+000 +3.5600e+000 +2.0249e+000 -2.8034e+000 +3.3552e-001 -2.5302e+000 +4.6696e+000 +1.0394e+000 -4.3556e-001 -2.4941e+000 +1.9528e+000 -9.3333e-001 +6.8531e-001 +2.4043e+000 -2.8650e+000 +3.6499e+000
115 +1.522597764e+006 +1.522597764e+006 +1.522542824e+006 +1.522542824e+006 +1.9433e+000 -6.1729e+000 -4.2266e+000 +4.3670e+000 +1.1999e+000 -4.7425e+000 +1.3518e+000 +1.0069e+000 -2.1371e+000 +3.5420e+000 +4.5282e+000 +4.3551e+000 +1.0996e+000 -3.2460e+000 -1.4300e-001 +3.1001e+000 -4.7851e-002 -2.6139e-001 -3.8640e+000 +2.8980e-001
173 +7.463318931e+005 +7.463318931e+005 +7.462769531e+005 +7.462769531e+005 +8.2217e-001 -2.4750e+000 -4.8819e+000 +2.2075e+000 -7.7577e-002 -2.7316e+000 +5.6220e+000 -3.0042e+000 +1.9552e+000 +3.4424e+000 +5.8953e+000 +1.8323e+000 -2.5535e-001 -7.8748e+000 -9.2189e-001 +9.2567e-001 +3.0620e+000 -1.0036e-001 -6.3886e+000 +5.1608e+000
516 +5.771841665e+005 +5.771841665e+005 +5.771292265e+005 +5.771292265e+005 -6.1984e-002 -3.5164e+000 -3.8765e+000 +2.9953e+000 -6.2386e-002 -1.1656e+000 +6.7529e+000 -1.7827e+000 +1.1932e+000 +4.9989e+000 +6.8966e+000 +3.3988e+000 +1.8648e+000 -9.5621e+000 -5.4891e-001 +6.0078e+000 +4.1035e+000 -1.1190e+000 -6.5573e+000 +7.1045e+000
585 +3.476116838e+005 +3.476116838e+005 +3.475567438e+005 +3.475567438e+005 -1.3686e-001 -1.1524e+000 -1.8519e+000 +4.8001e-001 -9.2445e-002 -1.1445e+000 +6.2369e+000 -6.3556e-001 -4.3111e-001 +3.6888e+000 +4.9731e+000 +2.1343e+000 +1.1977e+000 -8.0680e+000 -9.0014e-001 +5.2982e+000 +4.5438e+000 -1.3980e+000 -4.4544e+000 +6.2581e+000
