% function evaluation | noise-free fitness - Fopt (1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.134507761e+002 +9.134507761e+002 +1.913450776e+003 +1.913450776e+003 -1.2452e+000 +6.0224e-002 -1.3752e+000 +4.2083e+000 -1.0350e+000 -4.3118e+000 -3.6583e-001 +7.1824e-001 -6.4586e-001 +1.2339e+000 +2.7738e+000 +3.9890e+000 -3.0016e-001 -1.5250e+000 -1.1795e+000 -2.0810e+000 +2.4465e+000 -4.2077e+000 +1.1342e-001 -9.2130e-001
315 +5.896139610e+002 +5.896139610e+002 +1.589613961e+003 +1.589613961e+003 -4.0054e+000 +3.7926e+000 +3.5428e+000 +1.2675e+000 +2.4299e+000 -2.7666e+000 +1.9258e+000 -2.8027e+000 -1.8164e+000 -3.3749e+000 -2.3299e+000 -3.1509e+000 +1.9376e+000 -3.7633e+000 -3.1116e+000 +4.1939e+000 +1.2632e+000 -3.8777e+000 +2.8981e+000 -2.7146e+000
414 +3.554370591e+002 +3.554370591e+002 +1.355437059e+003 +1.355437059e+003 -6.1124e-001 +2.1398e+000 +2.1190e+000 +1.0309e+000 +4.6049e+000 -8.8988e-001 +1.2538e+000 +3.4225e-001 -1.0620e+000 -2.6219e+000 -1.7356e+000 -2.4281e+000 -1.4882e+000 -3.5765e+000 +5.9655e-001 +3.0692e+000 +8.0999e-002 +4.3949e-001 -1.6833e+000 -2.5446e+000
716 +2.492095726e+002 +2.492095726e+002 +1.249209573e+003 +1.249209573e+003 -3.4566e-001 +3.9410e+000 +3.4715e+000 +3.0363e+000 +2.7834e+000 -1.7865e+000 -1.7126e+000 +4.9324e-001 -1.9083e+000 -2.2555e+000 -4.9221e+000 -4.7859e+000 -1.1493e+000 -3.6753e+000 +2.6365e-001 +4.6689e+000 +2.4796e+000 -6.3588e-001 -9.0686e-001 -1.6511e+000
2383 +1.496707219e+002 +1.496707219e+002 +1.149670722e+003 +1.149670722e+003 -7.9909e-001 +2.7449e+000 +2.5375e+000 +3.4871e+000 +2.7792e+000 -2.2717e+000 -1.4846e+000 +1.9700e-001 -1.7076e+000 -1.4539e+000 -2.8477e+000 -2.8771e+000 -1.0958e+000 -3.0664e+000 +1.5693e+000 +3.9923e+000 +1.8215e+000 -1.1164e+000 -1.2162e+000 -1.1919e+000
4864 +9.860941991e+001 +9.860941991e+001 +1.098609420e+003 +1.098609420e+003 -7.7123e-001 +2.7575e+000 +2.5396e+000 +3.5350e+000 +2.8524e+000 -2.2052e+000 -1.4485e+000 +2.4860e-001 -1.6817e+000 -1.4367e+000 -2.9233e+000 -2.9222e+000 -1.1190e+000 -3.0293e+000 +1.4923e+000 +3.6947e+000 +1.7777e+000 -1.0273e+000 -1.2195e+000 -1.2787e+000
6431 +6.292710047e+001 +6.292710047e+001 +1.062927100e+003 +1.062927100e+003 -8.8176e-001 +2.9047e+000 +2.5539e+000 +3.5726e+000 +2.7908e+000 -2.2039e+000 -1.4414e+000 +1.4637e-001 -1.6634e+000 -1.4727e+000 -2.8483e+000 -2.8247e+000 -1.2440e+000 -3.1799e+000 +1.5286e+000 +3.6381e+000 +1.8878e+000 -8.9975e-001 -1.0878e+000 -1.3079e+000
% function evaluation | noise-free fitness - Fopt (7.003000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.692227055e+003 +2.692227055e+003 +2.762257055e+003 +2.762257055e+003 +4.7901e+000 +3.3603e-001 +2.8614e+000 -3.4174e+000 +1.4767e+000 -1.0423e+000 +2.2840e+000 +3.6941e+000 -3.9544e+000 -4.8434e+000 -4.3486e+000 -3.3136e+000 +3.0883e+000 +3.2193e-001 -1.0629e+000 -9.8098e-001 +1.7753e+000 +4.5423e+000 -5.7858e-001 -2.6520e+000
3 +9.615323183e+002 +9.615323183e+002 +1.031562318e+003 +1.031562318e+003 -1.0891e+000 -4.3464e+000 -3.5971e+000 +3.3185e+000 -1.1331e+000 -4.3429e+000 +2.0719e+000 -2.7720e-001 -1.1399e+000 -3.4496e+000 -7.9022e-001 -3.8403e+000 +7.0672e-001 +1.4996e+000 +1.4469e+000 +3.9509e+000 -2.5827e+000 +2.2375e+000 -1.3682e+000 -3.8216e+000
151 +5.066709214e+002 +5.066709214e+002 +5.767009214e+002 +5.767009214e+002 -2.7312e+000 +1.2356e+000 -4.8573e+000 -3.3918e+000 -1.4745e+000 -5.7962e+000 +3.3636e-001 +3.6978e+000 -5.8151e+000 +1.8608e+000 +8.6298e-001 +1.9408e+000 +3.1748e+000 +1.3779e-001 -2.5501e+000 -5.4181e-001 +7.1833e-001 +3.3422e+000 -3.6471e+000 +3.7298e+000
477 +2.564624447e+002 +2.564624447e+002 +3.264924447e+002 +3.264924447e+002 -1.3743e+000 +1.0384e-001 -4.4416e+000 -4.2528e+000 +9.6466e-001 -5.5424e+000 -1.6121e+000 +3.4769e+000 -1.8012e+000 +6.4691e-002 +1.0395e+000 -1.0002e+000 +5.0648e+000 -3.0445e+000 -1.5366e+000 -1.1025e+000 -4.8131e-001 +3.1030e+000 -2.7951e+000 +3.4128e+000
832 +2.481387956e+002 +2.481387956e+002 +3.181687956e+002 +3.181687956e+002 -8.8236e-001 -1.1761e-001 -4.1081e+000 -4.0848e+000 +1.1711e+000 -5.0575e+000 -2.3499e+000 +2.9118e+000 -1.2354e+000 -6.4329e-001 +9.7330e-001 -1.3499e+000 +4.9090e+000 -3.2122e+000 -8.1979e-001 -1.3278e+000 -3.5078e-001 +3.0842e+000 -2.2083e+000 +2.9308e+000
1964 +1.487164908e+002 +1.487164908e+002 +2.187464908e+002 +2.187464908e+002 -2.1424e+000 -2.7605e+000 -3.9850e+000 -2.2687e+000 +5.5913e-001 -4.7720e+000 -7.6572e-001 +2.4529e+000 -2.7132e+000 +3.9242e-001 +4.8309e-001 -8.8840e-001 +4.7919e+000 -2.6256e+000 -2.5837e+000 -1.0670e+000 +2.3487e-001 +2.7027e+000 -1.7223e+000 +2.3485e+000
