% function evaluation | noise-free fitness - Fopt (-6.211100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.883400719e+009 +4.883400719e+009 +4.883400098e+009 +4.883400098e+009 -4.3287e+000 +1.9708e+000 -2.9096e+000 +2.1665e+000 -1.3610e+000 -2.4272e-001 +4.1436e-001 -1.0446e-001 -3.2619e+000 -4.9742e+000 -2.2663e+000 -4.3203e+000 +1.8579e+000 -5.8707e-001 -4.8826e+000 +2.5237e+000 +2.4747e+000 -9.8504e-002 +4.1308e+000 +9.4029e-001
3 +1.605657531e+009 +1.605657531e+009 +1.605656910e+009 +1.605656910e+009 -5.8209e-001 -1.9125e+000 +2.5576e+000 +2.5778e-001 -1.0354e+000 +4.6268e-001 +4.1524e+000 +4.0473e+000 -3.5471e-001 -2.3327e+000 -1.6880e+000 +1.5464e-001 +2.1919e+000 -1.6359e-001 +6.3704e-001 +9.2295e-001 +2.7852e+000 -2.5280e+000 +1.5535e+000 -3.9028e+000
5 +8.768280894e+008 +8.768280894e+008 +8.768274683e+008 +8.768274683e+008 +8.1577e-001 +2.2515e+000 -9.8777e-001 +1.5226e+000 -2.7223e+000 -4.5039e+000 -1.3806e+000 -4.1981e-001 +1.1319e+000 +1.9078e+000 -1.2098e+000 +1.1820e+000 -1.4839e+000 -3.6912e+000 +1.3375e+000 +1.4857e+000 -4.1560e-002 +9.0256e-001 +3.1778e+000 +1.7311e+000
25 +5.032574365e+008 +5.032574365e+008 +5.032568154e+008 +5.032568154e+008 -4.5804e+000 +3.7976e+000 +2.2066e+000 -1.0314e+000 -4.5336e+000 -3.9158e+000 -7.8377e-002 +2.6243e+000 +4.2107e+000 -8.9510e-001 +4.2009e+000 -8.2487e-001 +4.4225e+000 +2.8412e+000 -4.3191e+000 -4.2643e+000 -1.1606e+000 +3.1591e+000 -3.2836e+000 +1.1908e-001
42 +1.120370092e+008 +1.120370092e+008 +1.120363881e+008 +1.120363881e+008 -1.5680e+000 +2.4839e+000 -2.3498e+000 -4.1392e+000 -2.1864e+000 -6.5172e-001 +2.8928e+000 +3.6712e+000 -3.1139e-001 -3.0351e+000 -1.9408e+000 -1.1058e+000 +2.0601e+000 +8.8299e-001 +4.6915e+000 -3.5482e+000 -2.6664e+000 +7.6098e-001 +3.5625e+000 +7.5437e-001
374 +9.693829377e+007 +9.693829377e+007 +9.693767266e+007 +9.693767266e+007 +1.6259e+000 +6.9012e+000 +1.5037e+000 -2.1320e+000 -2.1531e-001 -1.3207e+000 +2.3477e+000 -8.3756e-001 +2.4988e+000 +1.1553e+000 +1.7067e+000 +2.4679e+000 +5.5326e+000 +4.3914e+000 +6.9865e+000 -4.3309e+000 -3.8707e+000 +2.8834e+000 +4.3626e+000 +6.0915e-001
828 +5.140174162e+007 +5.140174162e+007 +5.140112051e+007 +5.140112051e+007 -5.0387e-001 +4.9942e+000 +1.1501e+000 -2.4042e+000 +3.7006e-001 +1.5620e-001 +1.4984e+000 +2.2296e+000 -1.1365e+000 +6.2452e-001 -1.6610e+000 +2.3524e+000 +3.5787e+000 +2.6114e+000 +3.1950e+000 -1.8581e+000 -2.2811e+000 +2.0031e+000 +2.9702e+000 -2.3060e-001
1103 +3.601109596e+007 +3.601109596e+007 +3.601047485e+007 +3.601047485e+007 -1.8671e+000 +5.4426e+000 -6.3758e-002 -1.5168e+000 +8.1179e-001 +5.6282e-001 +2.6180e+000 +1.9129e+000 +1.3732e+000 -1.7186e-001 -1.1901e+000 +2.8092e+000 +3.5288e+000 +3.5895e+000 +2.2171e+000 -1.6912e+000 -7.7324e-001 +1.4497e+000 +2.9624e+000 -7.6931e-001
1238 +2.332049733e+007 +2.332049733e+007 +2.331987622e+007 +2.331987622e+007 -1.7061e+000 +5.8968e+000 +8.0389e-001 -2.6691e+000 +1.3602e+000 -7.4757e-001 +2.9441e+000 +3.5830e-001 +1.8228e+000 +5.6556e-001 -7.1096e-001 +2.9972e+000 +3.1610e+000 +3.3786e+000 +2.0736e+000 -1.4629e+000 -4.6486e-001 +2.6385e+000 +1.7186e+000 -1.0959e+000
1352 +1.537344675e+007 +1.537344675e+007 +1.537282564e+007 +1.537282564e+007 -9.4260e-001 +5.7080e+000 -8.3780e-001 -2.1844e+000 -9.0835e-001 -1.8202e+000 +1.3336e+000 +5.9348e-002 +1.6791e+000 -2.0483e-001 -8.7033e-002 +2.8876e+000 +3.2183e+000 +2.0960e+000 +4.2551e+000 -1.4961e+000 +1.4535e+000 +1.2199e+000 +1.8946e+000 -9.5700e-001
1810 +9.475793231e+006 +9.475793231e+006 +9.475172121e+006 +9.475172121e+006 -4.4491e-001 +4.7238e+000 +2.2468e-001 -2.4457e+000 -9.1388e-001 -1.9786e+000 +6.9643e-001 +3.6360e-002 +6.7023e-001 -8.1654e-001 -5.0006e-001 +2.9344e+000 +2.5215e+000 +1.5819e+000 +3.2850e+000 -2.5209e+000 +1.7675e+000 +1.2928e+000 +5.9636e-001 -2.8205e-001
2054 +6.113210424e+006 +6.113210424e+006 +6.112589314e+006 +6.112589314e+006 -2.1832e-001 +3.8210e+000 +8.4803e-001 -2.8409e+000 -8.8180e-001 -1.2278e+000 +2.1485e+000 -4.2890e-001 +1.5385e+000 +1.0262e+000 +8.1723e-001 +3.1354e+000 +2.7574e+000 +2.3083e+000 +9.3622e-001 -2.1216e+000 +6.9663e-001 +2.7209e+000 +1.9391e+000 +3.7919e-001
2223 +2.883965535e+006 +2.883965535e+006 +2.883344425e+006 +2.883344425e+006 -2.7446e-001 +4.1944e+000 +5.2607e-001 -2.4240e+000 -1.2040e+000 -1.5482e+000 +2.0741e+000 +1.7974e-001 +8.8402e-001 -9.2736e-001 +1.2022e+000 +3.0141e+000 +3.0882e+000 +2.1968e+000 +1.1921e+000 -2.2420e+000 -3.1363e-001 +2.4945e+000 +1.7351e+000 +8.1822e-003
