% function evaluation | noise-free fitness - Fopt (7.135000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.794122403e+001 +6.794122403e+001 +1.392912240e+002 +1.392912240e+002 +4.8743e+000 +2.3623e+000 -2.6617e+000 -1.2356e+000 -3.8801e+000 -2.5649e-001 +4.8613e+000 +2.7494e+000 +3.0128e+000 -3.9959e+000 +1.0712e+000 -3.2943e+000 -1.4358e+000 +3.3123e+000 -4.5130e+000 +4.4506e+000 +4.9622e+000 +2.1597e+000 -8.2483e-001 +3.7214e+000
9 +4.053077160e+001 +4.053077160e+001 +1.118807716e+002 +1.118807716e+002 +3.2551e+000 -1.5375e-001 +4.7226e+000 +1.0702e+000 +2.0324e+000 +7.0976e-001 +1.9092e+000 +3.1465e-002 -3.1931e+000 -4.3198e+000 +4.3552e+000 -4.7574e+000 -5.6260e-001 -4.5864e-001 -4.5129e+000 -7.8223e-001 -1.7273e+000 -3.1738e+000 +1.3298e+000 -1.0857e-001
159 +3.896731189e+001 +3.896731189e+001 +1.103173119e+002 +1.103173119e+002 +1.9225e+000 +2.5465e+000 +6.4636e+000 +6.8616e-002 +3.8859e+000 +1.2563e+000 +1.9388e+000 +2.1075e+000 -6.7683e+000 -3.4164e+000 +5.8867e+000 -5.2538e+000 +1.3437e+000 -1.2997e+000 -3.9476e+000 -2.0018e+000 -1.3453e+000 -4.7987e+000 +4.0300e+000 +7.5423e-001
4081 +2.215813136e+001 +2.215813136e+001 +9.350813136e+001 +9.350813136e+001 +3.7210e+000 -2.0333e+000 +1.7403e-002 -2.7917e+000 -4.1641e-001 +4.7597e+000 +9.7427e-001 -2.8412e+000 +1.3898e-001 +3.7802e+000 -2.0014e+000 -1.1035e+000 +2.2258e+000 -2.9732e+000 -3.4917e+000 +1.0105e+000 -3.7301e+000 -1.7236e-001 +1.0966e+000 -2.6303e+000
124095 +1.561628480e+001 +1.561628480e+001 +8.696628480e+001 +8.696628480e+001 +3.1321e+000 -2.8653e+000 +1.0837e+000 -2.2480e+000 -9.6196e-001 +8.5217e-001 +4.3189e+000 -5.5865e-001 +1.7416e-001 -1.0741e-001 -1.1693e+000 +3.8031e+000 +3.4880e+000 -1.0667e+000 +2.1384e-002 +8.0011e-001 +1.0500e+000 +3.8028e+000 +3.5030e+000 -1.4906e-001
532972 +8.951853409e+000 +8.951853409e+000 +8.030185341e+001 +8.030185341e+001 +5.9689e+000 -6.3891e-001 -4.6966e+000 -3.9333e+000 +1.3432e+000 -4.4101e+000 +2.9215e-002 +3.6264e+000 +1.0120e+000 -5.0736e-001 -2.1044e+000 -5.1493e+000 +1.3186e+000 -1.0787e+000 -4.5509e+000 +4.0458e-001 -1.7570e+000 -2.6053e+000 +6.6878e+000 -3.5759e+000
724090 +5.997941877e+000 +5.997941877e+000 +7.734794188e+001 +7.734794188e+001 +2.9760e+000 +4.0938e+000 +1.5981e-001 +3.9496e+000 -2.4299e-002 +4.7650e-001 -1.2428e+000 -1.6057e+000 +4.0285e+000 +1.1006e+000 +2.2936e+000 -3.5952e+000 -1.8438e+000 -1.5396e+000 -1.3372e+000 -2.5585e-001 +2.5952e+000 +5.3333e+000 -4.4852e+000 -1.6737e+000
725140 +3.793630183e+000 +3.793630183e+000 +7.514363018e+001 +7.514363018e+001 +3.1222e+000 +4.0666e+000 +6.8030e-002 +3.9624e+000 +4.3418e-002 +3.4474e-001 -1.1246e+000 -1.5938e+000 +3.9710e+000 +1.0289e+000 +2.2880e+000 -3.9259e+000 -1.8133e+000 -1.5342e+000 -1.3372e+000 -2.7833e-001 +2.5412e+000 +5.3863e+000 -4.3940e+000 -1.6643e+000
727596 +2.425787610e+000 +2.425787610e+000 +7.377578761e+001 +7.377578761e+001 +3.1771e+000 +4.0796e+000 +1.0402e-003 +4.1504e+000 +8.8006e-002 +3.5863e-001 -1.1926e+000 -1.9025e+000 +3.8584e+000 +1.0479e+000 +2.3104e+000 -3.9520e+000 -1.8074e+000 -1.4380e+000 -1.1895e+000 -2.7465e-001 +2.3472e+000 +5.3211e+000 -4.4524e+000 -1.6371e+000
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
