% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.394890505e+003 +3.394890505e+003 +3.424860505e+003 +3.424860505e+003 -1.7885e+000 -3.1393e+000 -1.7037e+000 +2.2549e+000 -1.6547e+000 -4.1213e+000 +7.6764e-001 +3.3423e+000 +3.3779e-001 +9.8088e-001 +3.6380e+000 +3.2102e+000 -3.8513e+000 -1.8642e+000 -2.8408e+000 -3.1832e-001 +3.6242e+000 -2.4677e+000 -1.4237e+000 +2.9929e+000
28 +2.170105208e+003 +2.170105208e+003 +2.200075208e+003 +2.200075208e+003 -1.4996e+000 +1.7548e+000 -3.9422e-001 +4.3474e+000 +3.1103e+000 +2.7573e+000 -7.3064e-001 +4.0111e+000 -2.5830e+000 +1.4723e+000 -5.7367e-001 -4.9521e-001 -1.9179e+000 +1.1971e+000 -2.0192e+000 +2.5896e+000 -2.1481e+000 -4.3051e+000 +1.8158e+000 -2.8042e+000
182 +1.515138187e+003 +1.515138187e+003 +1.545108187e+003 +1.545108187e+003 -2.6659e+000 -7.2107e-001 -4.2535e+000 -5.8714e-001 +2.0770e+000 +3.0312e-001 -4.2317e+000 -5.2804e+000 +1.3486e-001 +4.9607e-001 -1.1043e+000 +2.0031e+000 +5.1746e+000 +7.7337e-001 +2.6570e-001 -1.5245e+000 +1.8526e-002 +4.5111e+000 -3.7608e-001 -2.4973e+000
907 +9.253157024e+002 +9.253157024e+002 +9.552857024e+002 +9.552857024e+002 -1.8247e+000 -1.0736e+000 -4.3317e+000 +2.7689e-001 +2.1768e+000 +3.8263e+000 -4.2835e+000 -4.3164e+000 -1.3210e+000 -8.6169e-001 +1.3198e+000 +6.6048e-002 +5.1319e+000 +1.0564e+000 -1.2035e+000 -4.8700e-001 -2.6719e+000 -4.3032e-002 -9.1128e-002 -3.8605e+000
1803 +5.895163651e+002 +5.895163651e+002 +6.194863651e+002 +6.194863651e+002 -4.2817e-001 -4.7776e-001 -3.2939e+000 -1.7505e+000 +2.1738e+000 +2.2214e+000 -5.4190e+000 -5.2034e+000 +9.8455e-001 -1.0476e-001 +1.4304e+000 -1.3672e+000 +4.8114e+000 +1.2044e+000 -1.0526e+000 +2.0943e+000 -1.7856e+000 +5.8077e-001 +8.3604e-001 -3.6941e+000
2406 +3.623972139e+002 +3.623972139e+002 +3.923672139e+002 +3.923672139e+002 +7.7628e-001 -1.0370e+000 -3.4466e+000 -1.5328e+000 +2.1340e+000 +2.7890e+000 -4.9223e+000 -4.0105e+000 +8.0174e-001 -1.7448e+000 +1.2334e+000 -1.3842e+000 +3.9385e+000 +1.4033e+000 -1.5446e+000 +2.0243e+000 -2.1884e+000 -3.8221e-001 +1.2476e+000 -3.3102e+000
2748 +2.175905147e+002 +2.175905147e+002 +2.475605147e+002 +2.475605147e+002 +1.4601e+000 -1.3633e+000 -3.4947e+000 -2.1993e+000 +2.3628e+000 +2.9520e+000 -3.9752e+000 -3.3695e+000 +8.4342e-001 -1.6046e+000 +1.4048e+000 -1.4179e+000 +3.9772e+000 +1.8823e+000 -1.2898e+000 +2.9392e+000 -2.3676e+000 -1.4498e-001 +1.2306e+000 -3.3015e+000
3513 +1.536608963e+002 +1.536608963e+002 +1.836308963e+002 +1.836308963e+002 +9.4913e-001 -1.4837e+000 -3.6761e+000 -2.1089e+000 +2.9945e+000 +3.2057e+000 -3.8909e+000 -3.1214e+000 +1.2453e+000 -1.7517e+000 +1.3426e+000 -1.3654e+000 +4.0999e+000 +2.3339e+000 -1.2687e+000 +2.7797e+000 -2.6245e+000 -5.7015e-001 +1.0357e+000 -3.1946e+000
3870 +9.997152761e+001 +9.997152761e+001 +1.299415276e+002 +1.299415276e+002 +8.0250e-001 -1.4383e+000 -3.5851e+000 -1.8933e+000 +3.1480e+000 +3.2465e+000 -3.9828e+000 -2.9988e+000 +8.2698e-001 -1.7399e+000 +1.1907e+000 -1.5406e+000 +4.2019e+000 +2.2843e+000 -1.3069e+000 +2.6032e+000 -2.2866e+000 -8.0213e-001 +1.4257e+000 -3.2574e+000
4378 +6.043639038e+001 +6.043639038e+001 +9.040639038e+001 +9.040639038e+001 +9.1989e-001 -1.7490e+000 -3.6931e+000 -1.9462e+000 +3.0349e+000 +3.3959e+000 -3.9895e+000 -3.0994e+000 +9.1131e-001 -1.7030e+000 +1.4171e+000 -1.5824e+000 +4.1951e+000 +2.3461e+000 -1.4580e+000 +2.7038e+000 -2.4967e+000 -1.0089e+000 +1.3646e+000 -3.3304e+000
