% function evaluation | noise-free fitness - Fopt (-1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.462802530e+001 +8.462802530e+001 -9.153719747e+002 -9.153719747e+002 -3.3379e+000 -1.8753e+000 -1.2504e+000 -3.1500e+000 +2.8526e+000 -3.2476e+000 -2.1644e+000 +3.8487e+000 +5.1546e-001 +1.7593e+000 +4.4175e+000 -3.3608e+000 -2.4091e+000 -5.9221e-001 -2.6230e+000 +1.0754e+000 -2.1932e+000 +2.3894e+000 +2.9167e+000 -2.8640e+000
661 +6.239804336e+001 +6.239804336e+001 -9.376019566e+002 -9.376019566e+002 +1.4043e+000 +3.3593e+000 +1.0305e+000 +3.6375e+000 +6.4060e-001 -3.3310e-002 +3.3345e+000 -2.2549e+000 +1.0104e+000 +6.3917e-001 +4.1488e+000 +2.0420e+000 -9.2040e-001 -4.2062e+000 -1.5265e+000 +4.2082e+000 -1.0381e+000 +1.5691e+000 -8.0034e-002 -9.6635e-001
1260 +3.894712490e+001 +3.894712490e+001 -9.610528751e+002 -9.610528751e+002 +2.5101e+000 +4.7837e+000 -1.0101e+000 +3.7382e+000 +6.4487e-001 +5.1471e-001 +4.1438e+000 -1.5231e+000 +2.5131e+000 +3.0453e+000 +3.9063e+000 +2.6591e+000 -6.9144e-001 -4.6016e+000 -1.4192e+000 +3.7940e+000 -9.5252e-001 -3.2235e-002 -4.9883e-001 -2.3437e+000
1620 +2.510395367e+001 +2.510395367e+001 -9.748960463e+002 -9.748960463e+002 +5.0013e+000 +4.3138e+000 -1.6720e+000 +3.2436e+000 +4.6635e-001 +5.1928e-001 +3.4974e+000 -1.4413e+000 +2.5277e+000 +2.5821e+000 +3.7131e+000 +4.3871e+000 -1.0464e+000 -4.4594e+000 -2.0415e+000 +4.0133e+000 -1.1581e+000 +7.0734e-001 -5.5611e-001 -2.6519e+000
% function evaluation | noise-free fitness - Fopt (1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.652772273e+001 +8.652772273e+001 +1.086527723e+003 +1.086527723e+003 +2.1848e+000 +3.2745e+000 -1.3301e+000 +8.1370e-001 +2.6414e-001 -4.2520e+000 +2.8332e+000 +4.9512e+000 -5.4333e-001 +3.1175e+000 -2.0634e+000 -8.8439e-001 -2.4249e+000 +3.8916e+000 +4.4114e+000 -8.0711e-001 -4.5078e+000 +2.3302e+000 +3.1288e+000 -8.4624e-001
718 +6.210450765e+001 +6.210450765e+001 +1.062104508e+003 +1.062104508e+003 -2.9062e+000 -3.8302e+000 -9.1658e-001 -3.5667e+000 -1.2912e+000 -9.9560e-001 +2.3807e+000 -1.2523e+000 -1.3565e+000 -5.6126e-001 -6.0206e+000 -2.9320e-001 -1.9508e+000 -4.9403e+000 -3.3992e+000 -3.2252e+000 +5.5265e-001 -3.5087e+000 +1.7601e+000 +3.9729e+000
1206 +3.793978592e+001 +3.793978592e+001 +1.037939786e+003 +1.037939786e+003 -2.4890e+000 -2.0376e+000 -3.4527e-001 -3.9614e+000 -1.1170e+000 -2.0693e+000 +1.5889e+000 +5.9186e-002 -2.6406e+000 -1.1643e+000 -6.1085e+000 -3.5746e+000 -4.1213e-001 -5.7960e+000 -3.3458e+000 -2.4387e+000 +2.0241e+000 -3.8776e+000 +2.3533e+000 +1.5159e+000
1303 +2.503570097e+001 +2.503570097e+001 +1.025035701e+003 +1.025035701e+003 -3.3032e+000 -3.4454e+000 +3.2450e-001 -4.6026e+000 -7.1173e-001 -1.2438e+000 +1.4649e+000 +6.6102e-001 -2.7024e+000 -3.3515e+000 -3.1308e+000 -8.1377e-001 -8.2854e-001 -5.3988e+000 -2.0905e+000 -1.8612e+000 +1.1562e+000 -2.7218e+000 +2.4433e+000 +2.1334e+000
1739 +1.004930802e+001 +1.004930802e+001 +1.010049308e+003 +1.010049308e+003 -3.1863e+000 -4.3878e+000 -7.9675e-001 -4.4083e+000 -6.6684e-001 -2.0483e+000 +1.5990e+000 +5.3523e-001 -3.0976e+000 -4.3451e+000 -3.2424e+000 -2.3912e+000 -1.2124e+000 -5.2237e+000 -2.5666e+000 -4.1431e+000 +2.7639e+000 -3.3543e+000 +2.7653e+000 +1.4858e+000
