% function evaluation | noise-free fitness - Fopt (-5.235000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.509011013e+002 +1.509011013e+002 +9.855110134e+001 +9.855110134e+001 +2.9214e-001 +3.6741e+000 -3.4927e+000 +4.6083e+000 +2.2618e+000 +4.4171e+000 +4.0728e+000 +3.4583e+000 +5.3304e-001 +1.3141e+000 +1.1576e+000 -2.7019e+000 -1.3312e+000 +4.3603e+000 +4.0384e+000 -8.5196e-001 +4.1352e+000 -2.3228e+000 -2.1399e+000 -3.8023e+000
3 +6.874216239e+001 +6.874216239e+001 +1.639216239e+001 +1.639216239e+001 -1.3964e+000 +2.5122e+000 +1.0286e+000 -2.3603e+000 +1.2484e+000 +2.4157e+000 -4.1324e+000 -2.0239e+000 -3.7418e+000 +3.6830e+000 -2.9525e-001 +4.8611e+000 -2.3037e-001 -3.1163e+000 -7.2330e-001 +1.1234e+000 -4.6741e+000 -2.2519e+000 -4.9453e-001 -2.9553e+000
33 +4.435415450e+001 +4.435415450e+001 -7.995845501e+000 -7.995845501e+000 +2.4436e+000 -4.8404e+000 -4.5606e+000 +2.8280e+000 +4.2334e+000 +3.1578e+000 -3.0764e+000 -2.7580e+000 +4.2999e+000 -2.7062e+000 -1.2637e+000 +1.2914e+000 +6.7401e-002 -2.2317e+000 -3.4764e+000 -4.8961e+000 -4.6847e+000 -5.5159e-001 +1.0101e+000 -1.4097e+000
230 +3.587779323e+001 +3.587779323e+001 -1.647220677e+001 -1.647220677e+001 +2.3922e-001 -1.1642e+000 -1.5365e+000 +7.2330e-001 +5.1103e+000 +2.9972e+000 -1.1575e+000 -5.2164e-001 +6.2029e-001 -4.3847e+000 +1.0216e+000 +2.9261e+000 +3.7920e-001 -3.4083e-001 -2.5835e+000 -2.2182e+000 -3.5319e+000 +2.6592e+000 +6.8444e-001 -2.9374e+000
387 +2.443146298e+001 +2.443146298e+001 -2.791853702e+001 -2.791853702e+001 -2.5013e+000 -3.7844e+000 -1.8245e+000 +2.1879e+000 -1.0184e+000 +3.7594e-001 -1.9098e+000 -9.3154e-001 +6.5467e-001 -7.6506e+000 +1.3067e+000 -2.0989e+000 -1.4696e+000 +7.9303e-001 +1.7300e+000 -2.4594e+000 -1.6504e+000 +2.1909e+000 +1.7554e+000 -2.9746e+000
643 +1.502493068e+001 +1.502493068e+001 -3.732506932e+001 -3.732506932e+001 -1.6141e+000 -1.2329e+000 +6.1271e-002 +1.3236e+000 +1.6651e-001 +3.1289e+000 -2.9765e+000 -1.1629e+000 +1.2300e-001 -2.3938e+000 +6.8211e-001 -1.6971e+000 +1.4444e+000 -6.6396e-001 +1.4422e+000 -2.1481e+000 +2.2269e-001 +2.9891e+000 +1.7114e+000 -2.8144e+000
1066 +8.471796923e+000 +8.471796923e+000 -4.387820308e+001 -4.387820308e+001 -1.2838e+000 +1.8522e+000 +6.6562e-001 -2.0379e+000 -2.7303e+000 +2.3777e+000 -3.3102e+000 -1.1252e+000 +1.6132e+000 -2.6821e+000 +9.9914e-001 -1.1254e-001 +2.9119e+000 -1.8741e+000 -1.0506e-001 +4.4401e-001 -1.9977e-001 +4.0720e-001 +1.2547e+000 -3.1845e+000
1224 +5.750518061e+000 +5.750518061e+000 -4.659948194e+001 -4.659948194e+001 -1.1273e+000 -2.0324e+000 +1.4947e+000 -2.7940e+000 -2.0109e+000 +1.5288e+000 -3.7170e+000 -1.5899e+000 +2.0966e+000 -3.4556e+000 +2.2512e+000 -1.4494e+000 +2.2176e+000 -1.4979e+000 -3.6939e-001 +5.9180e-001 +8.1745e-001 +1.1838e+000 +2.3394e+000 -3.5535e+000
1618 +3.820173106e+000 +3.820173106e+000 -4.852982689e+001 -4.852982689e+001 -2.6173e-001 -9.3999e-001 +1.9594e+000 -1.3494e+000 -2.0124e+000 +2.7338e+000 -4.6803e+000 -1.3632e+000 +2.2163e+000 -1.7729e+000 +2.8410e+000 +5.1054e-001 +2.6899e+000 -1.5234e+000 -1.1575e+000 +5.5238e-001 +4.2019e-001 +9.6660e-001 +3.5868e+000 -3.3049e+000
1916 +2.267043581e+000 +2.267043581e+000 -5.008295642e+001 -5.008295642e+001 -6.4110e-001 -5.3833e-001 +2.2149e+000 -1.9107e+000 -1.2702e+000 +4.2642e+000 -3.7914e+000 -4.4904e-001 +1.9980e+000 -1.6458e+000 +3.1459e+000 +5.5051e-001 +3.5204e+000 -9.8818e-001 -1.6104e+000 +1.6750e+000 +1.6211e-001 +9.3989e-001 +3.3938e+000 -3.2930e+000
2152 +1.557547126e+000 +1.557547126e+000 -5.079245287e+001 -5.079245287e+001 -5.4496e-001 -1.8318e+000 +2.1737e+000 -2.1895e+000 -6.2734e-001 +3.8804e+000 -3.5830e+000 -3.0473e-001 +2.0956e+000 -2.1621e+000 +2.9786e+000 -3.1095e-001 +3.7902e+000 -9.1884e-001 -1.4545e+000 +1.2074e+000 -5.5618e-001 +9.3982e-001 +2.2197e+000 -3.7296e+000
2506 +9.584826931e-001 +9.584826931e-001 -5.139151731e+001 -5.139151731e+001 -4.0544e-001 -1.6490e+000 +2.6840e+000 -2.2482e+000 -1.7376e+000 +3.5999e+000 -3.9958e+000 -2.8912e-001 +2.4040e+000 -1.4251e+000 +3.3047e+000 -1.3253e-001 +2.8601e+000 -1.1418e+000 -1.7531e+000 +9.2419e-001 -5.7384e-001 +9.3455e-001 +3.1405e+000 -3.6976e+000
2666 +4.944886745e-001 +4.944886745e-001 -5.185551133e+001 -5.185551133e+001 -6.7317e-001 -1.2154e+000 +2.3296e+000 -2.6613e+000 -1.7361e+000 +3.7603e+000 -3.8360e+000 -1.4942e-001 +2.3592e+000 -1.2804e+000 +3.1307e+000 -6.0013e-001 +3.3652e+000 -8.6311e-001 -1.8973e+000 +1.2954e+000 -6.1045e-001 +1.3831e+000 +2.7476e+000 -3.9679e+000
2873 +3.740741712e-001 +3.740741712e-001 -5.197592583e+001 -5.197592583e+001 -8.7748e-001 -1.4209e+000 +2.3366e+000 -2.1997e+000 -1.6765e+000 +3.6772e+000 -3.7804e+000 +1.4049e-003 +2.6342e+000 -1.3909e+000 +3.0036e+000 -2.5409e-001 +3.2141e+000 -5.6882e-001 -1.8929e+000 +1.5534e+000 -6.1229e-001 +1.9160e+000 +2.7624e+000 -3.8093e+000
3177 +2.316189839e-001 +2.316189839e-001 -5.211838102e+001 -5.211838102e+001 -9.2796e-001 -1.3802e+000 +2.6758e+000 -2.7036e+000 -1.5918e+000 +3.6696e+000 -3.8254e+000 +9.5997e-002 +2.4826e+000 -1.5401e+000 +2.9622e+000 -3.3907e-001 +3.1881e+000 -5.2911e-001 -1.8054e+000 +1.4736e+000 -1.0112e+000 +1.8106e+000 +2.9604e+000 -4.2718e+000
