% function evaluation | noise-free fitness - Fopt (7.135000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.597284953e+001 +7.597284953e+001 +1.473228495e+002 +1.473228495e+002 -3.8427e+000 -2.6658e+000 +4.9311e+000 +4.0112e+000 +4.4276e-001 -1.5155e+000 +8.1182e-001 -6.3429e-001 +9.1363e-001 +1.1125e+000 +4.5191e+000 +1.3424e+000 +1.9338e+000 -1.8279e+000 +4.7957e+000 +1.4657e+000 +3.5168e+000 -3.6304e+000 +1.1452e+000 +4.2258e+000
16 +5.424518932e+001 +5.424518932e+001 +1.255951893e+002 +1.255951893e+002 -4.1340e-001 +4.7563e+000 +3.8788e-001 -3.3601e+000 +3.2997e+000 -2.8208e+000 +1.3188e+000 +1.4696e+000 -3.2334e+000 -1.5129e+000 +2.3608e+000 +2.9113e+000 -3.9285e+000 -3.3060e-001 -8.5653e-001 +5.9655e-001 +3.5664e-002 -3.0785e+000 +3.8512e+000 +1.1776e+000
44 +3.774946415e+001 +3.774946415e+001 +1.090994642e+002 +1.090994642e+002 -1.4303e-001 -5.4226e-001 -1.3502e+000 +1.6960e+000 -2.8434e+000 +2.7607e-001 -4.9958e+000 -1.1705e+000 +3.7625e+000 -4.7553e+000 +2.6219e+000 +4.2581e+000 -2.7905e+000 -1.1094e+000 -1.0182e+000 -4.0511e+000 -3.0276e+000 +1.6436e+000 -5.7209e-001 -3.5041e+000
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.087900091e+002 +1.087900091e+002 -2.464299909e+002 -2.464299909e+002 -1.7457e+000 -4.3368e+000 +4.9490e+000 -2.3413e-001 +2.1844e+000 -4.2287e+000 +7.2288e-001 -9.0590e-001 +1.3035e+000 -3.1142e+000 -1.3653e+000 +1.3068e+000 -3.3517e+000 +8.1704e-001 +1.3627e+000 +2.9043e+000 +1.1060e+000 -2.0458e+000 -2.0374e+000 -4.7640e+000
5 +5.376800503e+001 +5.376800503e+001 -3.014519950e+002 -3.014519950e+002 +3.6458e+000 +3.4349e+000 -5.5758e-001 -3.0276e+000 -7.7255e-001 -1.6042e+000 -1.1916e+000 +1.1284e+000 -3.9493e+000 -3.0558e+000 -3.9849e+000 +4.8414e-001 -4.5763e+000 +3.1115e+000 -9.4681e-001 +3.7384e+000 -4.5124e+000 -2.2613e-001 +1.2634e+000 -2.4238e+000
102 +3.793118248e+001 +3.793118248e+001 -3.172888175e+002 -3.172888175e+002 -1.6785e+000 +4.7762e+000 -1.3833e+000 -4.3678e+000 +1.1817e+000 +4.0582e-001 +4.3471e+000 -1.6154e+000 +4.1699e+000 -2.2063e+000 +1.3136e+000 -4.9194e+000 -3.5191e-001 +3.5424e+000 +5.1971e+000 -3.1557e+000 +1.5383e+000 +3.3464e+000 +2.8871e+000 +4.3313e+000
% function evaluation | noise-free fitness - Fopt (9.917000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.534265285e+001 +9.534265285e+001 +1.945126528e+002 +1.945126528e+002 -2.4599e+000 -1.8050e+000 +4.5187e+000 -4.8969e+000 +2.4142e+000 +2.6291e+000 +9.8676e-001 +2.3957e+000 -4.1570e+000 -1.6764e+000 +3.6726e+000 +3.4716e+000 +2.5754e-001 -7.1523e-001 -3.2775e-001 -3.1939e+000 +7.4746e-001 -6.5395e-001 +8.2012e-001 +1.0384e+000
3 +5.192643850e+001 +5.192643850e+001 +1.510964385e+002 +1.510964385e+002 -3.7862e-001 +3.2513e+000 +1.2532e+000 -4.9040e+000 +2.7279e+000 +2.9494e+000 -4.7632e+000 -4.0792e+000 -4.8812e+000 -7.7851e-001 +3.9681e+000 +9.6769e-001 -1.7491e+000 +4.1592e+000 +3.7618e+000 +4.8917e+000 -2.3167e+000 -4.2765e+000 -1.9413e+000 +4.6047e+000
6 +3.719067449e+001 +3.719067449e+001 +1.363606745e+002 +1.363606745e+002 -2.8753e+000 -1.1350e+000 +1.4742e+000 +3.2445e+000 -5.2554e-001 -2.3141e+000 +2.8614e+000 -1.1228e+000 -1.3685e-001 +9.4067e-001 -1.7872e+000 +1.5460e+000 +3.3136e+000 +1.3766e+000 +3.6200e+000 +2.1074e+000 +3.0015e+000 -1.8816e+000 +2.1367e+000 +1.7614e+000
