% function evaluation | noise-free fitness - Fopt (-5.494000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.536439449e+007 +4.536439449e+007 +4.536433955e+007 +4.536433955e+007 -4.6413e+000 +4.8142e+000 +2.7235e+000 +2.7005e+000 +2.1919e+000 -2.9552e+000 -2.6865e+000 +3.4673e+000 -4.4227e+000 -2.0158e+000 -3.7026e+000 +2.4998e+000 -1.9669e+000 +2.4659e+000 +1.4051e+000 -3.4305e+000 -2.1331e+000 -1.5848e+000 +9.6738e-001 +1.7091e+000
3 +2.159750264e+007 +2.159750264e+007 +2.159744770e+007 +2.159744770e+007 -2.5462e+000 +3.7904e-001 -3.6157e+000 +4.8719e+000 -1.4035e+000 -3.4825e+000 -4.1277e+000 -1.7343e+000 +4.2661e+000 +2.7664e+000 +2.3745e+000 -4.7557e+000 -1.6230e+000 +3.3002e+000 +3.9798e+000 +4.8090e+000 -3.1168e+000 +4.5482e+000 -1.7974e+000 -4.8079e+000
4 +8.780831347e+006 +8.780831347e+006 +8.780776407e+006 +8.780776407e+006 -1.3196e+000 -3.2005e+000 +1.2077e+000 -3.4448e+000 -3.6936e+000 -2.9905e+000 +1.9114e+000 +4.2882e-001 -2.8415e+000 -2.0707e+000 -1.2388e+000 +3.8870e+000 +3.8514e+000 -4.8577e+000 -4.5636e+000 -3.5682e+000 -1.5602e+000 +3.0880e+000 -3.7772e-002 +3.7861e+000
11 +4.025795927e+006 +4.025795927e+006 +4.025740987e+006 +4.025740987e+006 -2.4028e+000 +4.6044e+000 +3.3259e-001 -2.5462e+000 -2.9166e+000 +3.6186e+000 +7.9968e-001 -3.9537e+000 -4.2004e-002 +4.6053e-001 -1.9098e-001 -4.4144e+000 -2.2940e+000 -1.4451e+000 -1.6202e+000 +2.0336e+000 +1.9753e+000 +2.0426e+000 -3.7585e+000 -3.7310e+000
13 +1.985162114e+006 +1.985162114e+006 +1.985107174e+006 +1.985107174e+006 -1.8760e+000 +7.2231e-001 -1.8729e+000 +9.0024e-001 +4.0083e+000 -8.2482e-001 -2.5733e+000 -2.9291e+000 -3.5237e+000 -2.9255e+000 +1.9383e+000 -1.5213e+000 +8.3737e-001 -2.3494e+000 +2.6209e+000 +2.6497e+000 -1.0929e+000 -1.8682e+000 +2.5762e+000 -3.4602e+000
407 +8.992846042e+005 +8.992846042e+005 +8.992296642e+005 +8.992296642e+005 -1.5647e+000 -4.3253e-001 -6.1045e+000 +6.9599e-001 +1.3008e+001 -2.1230e+000 -3.6584e+000 -3.7792e+000 -7.5379e+000 -9.3394e+000 +2.8562e+000 +1.1762e+000 +5.7758e+000 -4.4195e+000 +3.7543e+000 +3.8518e+000 -2.0951e+000 -1.0165e+001 +7.8620e+000 -5.4408e+000
806 +5.841101600e+005 +5.841101600e+005 +5.840552200e+005 +5.840552200e+005 -1.3765e+000 -4.6751e+000 -1.1535e+001 +1.4308e+000 +1.9910e+001 -3.3009e+000 -2.3288e+000 -9.5874e+000 -8.7268e+000 -1.3767e+001 +6.9818e+000 +4.1592e+000 +8.8055e+000 -1.1235e+000 +5.0647e+000 +1.3314e+000 -3.9793e+000 -1.5638e+001 +8.6536e+000 -4.3930e+000
1349 +3.894747842e+005 +3.894747842e+005 +3.894198442e+005 +3.894198442e+005 -9.7332e-001 -3.5453e+000 -1.0751e+001 +1.7233e+000 +1.5444e+001 -1.0012e+000 -4.0320e+000 -6.8562e+000 -6.7411e+000 -1.1017e+001 +8.6463e+000 +1.9116e+000 +6.4188e+000 -3.5552e+000 +4.7877e+000 +4.0393e+000 -2.2572e+000 -1.0326e+001 +5.8666e+000 -3.5653e+000
2265 +2.502198802e+005 +2.502198802e+005 +2.501649402e+005 +2.501649402e+005 -2.0977e+000 -3.8053e+000 -7.1047e+000 +3.0754e+000 +3.7181e+000 -6.3268e+000 +2.2978e+000 -6.6549e+000 -4.3890e+000 -3.6095e+000 +8.0120e+000 -1.6417e-001 -4.3247e-001 -2.8261e+000 +5.9931e+000 -2.1708e-002 +2.4077e-001 -2.7048e+000 +3.7650e-001 +6.1503e-002
3570 +1.416162681e+005 +1.416162681e+005 +1.415613281e+005 +1.415613281e+005 -1.9160e+000 -3.6970e+000 -6.9450e+000 +2.6108e+000 +5.1183e+000 -5.1839e+000 +1.8579e-001 -7.1014e+000 -5.5657e+000 -3.1529e+000 +8.5933e+000 +7.3568e-001 +1.5595e+000 -2.7726e+000 +5.5245e+000 +3.8085e-001 -1.2438e-001 -3.5657e+000 +4.4468e+000 -1.0476e+000
