% function evaluation | noise-free fitness - Fopt (7.135000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.739621951e+001 +4.739621951e+001 +1.187462195e+002 +1.187462195e+002 +4.8450e+000 -3.0456e+000 -4.0783e+000 -2.1161e+000 +3.7184e+000 -4.1122e+000 -2.7540e+000 +2.5693e+000 +8.8301e-001 -2.3262e+000 -1.1105e+000 +1.6804e+000 -4.1243e+000 -1.5943e+000 +3.6776e-001 +2.9679e+000 +3.8930e+000 +4.4423e+000 +1.4226e+000 +3.7968e+000
23 +3.182183148e+001 +3.182183148e+001 +1.031718315e+002 +1.031718315e+002 -4.9843e+000 +1.8736e+000 -1.2950e+000 +2.2445e+000 -4.6583e+000 -3.3130e+000 -3.9943e+000 +4.8988e+000 -5.2597e-001 +2.6811e+000 +1.1977e+000 +2.7238e+000 -2.2589e+000 +6.0004e-001 -3.7424e+000 +6.6228e-001 -5.0665e-003 -3.0106e+000 -4.4186e+000 -2.2205e+000
5538 +1.751966253e+001 +1.751966253e+001 +8.886966253e+001 +8.886966253e+001 -2.5790e-001 -4.7278e+000 -6.1410e-001 -1.5960e-001 +2.1816e+000 -2.2363e+000 +1.5043e+000 +2.2233e+000 -2.4319e+000 +3.0631e+000 +1.9206e+000 +2.6622e-001 -4.7590e-001 +1.3454e+000 -1.9118e+000 +2.0074e+000 -2.5911e+000 -1.1347e+000 -2.6773e+000 +6.7511e+000
11200 +1.395223246e+001 +1.395223246e+001 +8.530223246e+001 +8.530223246e+001 -5.0859e+000 -4.1071e+000 +2.0357e+000 +2.4649e+000 +3.5937e+000 +3.8133e+000 +1.7548e-001 -2.3583e+000 +6.3274e+000 -1.9617e+000 -1.7811e+000 +4.1938e+000 -1.9410e+000 +4.0285e+000 -2.4301e+000 -2.0269e+000 +3.6898e-001 +4.4405e+000 -2.5936e+000 -2.0024e+000
239203 +9.722362696e+000 +9.722362696e+000 +8.107236270e+001 +8.107236270e+001 +5.1948e-001 +2.3326e+000 -2.8529e+000 -3.9371e+000 +4.2049e-001 -1.8447e+000 +7.3860e-001 +1.5841e+000 +2.6905e+000 -1.7291e+000 -3.2687e+000 +3.8207e+000 +7.6640e-001 +2.6506e+000 +8.4029e-001 -4.3645e+000 -3.7140e+000 -5.3521e-001 -2.2332e+000 +2.5491e-001
241284 +6.248893570e+000 +6.248893570e+000 +7.759889357e+001 +7.759889357e+001 +4.3914e-001 +2.4991e+000 -3.1351e+000 -4.0353e+000 +5.0220e-001 -1.8945e+000 +7.2287e-001 +1.6839e+000 +2.5989e+000 -1.7890e+000 -3.4108e+000 +4.0403e+000 +7.4691e-001 +2.6169e+000 +9.6443e-001 -4.4878e+000 -4.1096e+000 -8.3709e-001 -2.2045e+000 +2.5713e-001
243773 +3.887370699e+000 +3.887370699e+000 +7.523737070e+001 +7.523737070e+001 +4.5553e-001 +2.4496e+000 -3.1122e+000 -3.8829e+000 +4.5810e-001 -1.8434e+000 +6.7689e-001 +1.5695e+000 +2.6176e+000 -1.7142e+000 -3.5200e+000 +3.9331e+000 +7.6358e-001 +2.6009e+000 +1.0188e+000 -4.5177e+000 -4.1385e+000 -7.8475e-001 -2.1864e+000 +2.8363e-001
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.173115770e+002 +1.173115770e+002 -2.379084230e+002 -2.379084230e+002 +1.6672e+000 -1.9586e-001 -1.8097e+000 +3.3706e+000 -1.8559e+000 +3.1789e+000 +2.5334e+000 +4.6964e+000 -9.6505e-001 -2.8763e+000 -9.7940e-001 -1.0228e+000 -2.9330e-001 +7.6671e-001 -3.4463e-001 -4.6987e+000 -4.7116e+000 +4.3464e+000 +9.1482e-002 -9.0718e-001
3 +6.152674424e+001 +6.152674424e+001 -2.936932558e+002 -2.936932558e+002 +3.6697e+000 +4.1530e+000 +2.5991e+000 -4.7630e+000 -4.1657e+000 -3.9847e+000 +1.1043e+000 +3.7792e+000 +1.4503e+000 +2.0587e+000 -2.7795e+000 +2.8527e+000 +2.7075e+000 -1.7691e+000 +4.0432e+000 -3.1559e-001 -3.1139e-001 -1.9641e+000 -4.3996e+000 +3.4541e+000
98 +3.890018140e+001 +3.890018140e+001 -3.163198186e+002 -3.163198186e+002 -2.0422e+000 -3.1480e-002 +9.6329e-002 -1.4010e+000 +3.5585e+000 -3.4558e+000 +1.8298e+000 -3.2121e+000 +2.3733e+000 -3.7176e+000 +6.4049e-001 +8.3534e-001 -2.0251e+000 -2.7450e+000 -3.2529e+000 +2.8598e+000 -2.0503e-002 -2.1024e+000 +2.8955e-001 -3.0834e+000
20092 +2.196247100e+001 +2.196247100e+001 -3.332575290e+002 -3.332575290e+002 -1.5600e+000 +2.0465e+000 +8.4002e-001 -4.1991e+000 -4.2351e+000 +2.9925e+000 +3.2124e-001 +4.0236e+000 +1.3137e+000 +4.4997e+000 -1.7423e+000 +6.4251e-001 +1.4206e-001 +2.7389e+000 -5.6589e-001 -3.0198e+000 +2.4652e+000 +4.5167e+000 -7.9066e-001 +3.0407e+000
95643 +1.279937543e+001 +1.279937543e+001 -3.424206246e+002 -3.424206246e+002 -3.3389e+000 -4.0814e+000 -1.8024e+000 -7.0967e-001 -1.4829e+000 +6.7305e-001 +5.0702e+000 +4.5923e+000 +1.5735e+000 -1.7698e+000 +2.4877e+000 -4.0645e+000 -7.1262e+000 -4.8172e+000 -2.0356e+000 -3.7193e-001 -4.0520e+000 -1.1660e+000 -3.3307e-002 +1.3374e+000
264384 +9.656200139e+000 +9.656200139e+000 -3.455637999e+002 -3.455637999e+002 +6.1064e-001 -1.3854e+000 +1.0320e+000 -9.0206e-001 +1.5833e+000 +1.6171e+000 +2.5261e-001 +1.0515e-001 -1.1558e+000 +2.0393e+000 -1.5502e+000 +7.5937e-001 +1.0184e+000 -4.8325e-001 +1.3617e+000 +2.7269e+000 +3.4809e+000 -2.6152e+000 -2.1404e-001 -1.5759e-001
% function evaluation | noise-free fitness - Fopt (9.917000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
