% function evaluation | noise-free fitness - Fopt (7.948000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.381550916e+002 +2.381550916e+002 +3.176350916e+002 +3.176350916e+002 -1.5233e+000 +3.5926e+000 +1.1182e+000 +4.7587e+000 +2.6301e+000 +2.9633e+000 -2.9615e+000 -2.9651e+000 -1.3589e+000 -4.3874e+000 -1.9573e+000 +2.1422e+000 -4.8528e+000 -3.4922e+000 +4.6177e+000 +7.1121e-002 +4.6499e+000 -3.6506e-001 -4.6647e+000 +2.9786e+000
53 +1.485787874e+002 +1.485787874e+002 +2.280587874e+002 +2.280587874e+002 -1.7611e+000 -2.3885e+000 -4.9249e+000 +9.1779e-001 -1.2059e+000 -2.8812e+000 +1.8443e+000 +2.1594e-001 -4.6539e-001 -7.0141e-001 -5.9097e-001 +1.2886e+000 +3.8134e-001 -9.5499e-001 +5.2724e+000 +4.6542e+000 +6.1336e+000 +4.4694e-002 -1.7341e+000 +4.6058e+000
141 +9.613603425e+001 +9.613603425e+001 +1.756160343e+002 +1.756160343e+002 +1.7496e+000 -1.0975e+000 +3.8763e+000 +9.1779e-001 -1.2059e+000 +1.9966e+000 +1.8443e+000 +2.1594e-001 -1.7220e+000 +5.8588e-001 -5.9097e-001 +1.2886e+000 +3.8134e-001 +1.4292e+000 +3.3674e+000 +4.6542e+000 -5.8639e-001 +4.4694e-002 -1.7341e+000 +1.7466e+000
629 +6.280395186e+001 +6.280395186e+001 +1.422839519e+002 +1.422839519e+002 -6.7325e-002 -5.4231e-001 -5.1890e+000 -2.5087e+000 -2.6588e+000 +6.2454e-001 -9.8526e-001 -6.5279e-001 -2.3437e+000 -3.0289e+000 -2.2034e+000 +2.0680e+000 -2.0211e-001 -1.6920e+000 +6.4544e-001 +4.1162e+000 -2.1200e-001 -2.3276e+000 +2.2310e+000 +2.2604e+000
633 +3.422713969e+001 +3.422713969e+001 +1.137071397e+002 +1.137071397e+002 +1.1104e+000 +1.5572e-001 -2.2688e+000 -8.1736e-001 -1.9464e+000 +6.4634e-001 +2.3693e-002 -1.0362e-001 -3.1326e+000 -2.1436e+000 -2.7659e+000 +2.0421e+000 +5.0153e-001 +2.6153e-001 +1.9869e+000 +5.5288e+000 -1.3040e+000 -1.7532e+000 +1.7460e+000 +1.9714e+000
977 +1.928735204e+001 +1.928735204e+001 +9.876735204e+001 +9.876735204e+001 +1.4356e+000 +2.7696e-001 -2.3116e+000 +1.9972e+000 -1.2887e+000 +1.5111e+000 -1.0070e+000 -1.1072e-001 -2.3465e+000 -2.8255e+000 -3.9921e+000 +7.7063e-001 +6.1893e-002 +1.0918e+000 +2.6387e+000 +2.4662e+000 -2.3239e-001 -3.9272e+000 +1.3998e+000 +2.9900e+000
1259 +1.268338435e+001 +1.268338435e+001 +9.216338435e+001 +9.216338435e+001 +1.9488e-001 -5.3941e-001 -6.8470e-001 +2.9693e+000 -1.7422e+000 +9.4402e-001 +2.4363e-001 +2.3616e-001 -2.1585e+000 -2.5642e+000 -3.7914e+000 +3.0971e+000 -2.6987e-002 +1.3229e+000 +1.9822e+000 +1.8408e+000 -4.6406e-001 -3.9604e+000 +2.1507e+000 +2.3331e+000
1583 +9.649867508e+000 +9.649867508e+000 +8.912986751e+001 +8.912986751e+001 +5.0523e-001 -2.9741e-001 +9.6682e-002 +1.9558e+000 -1.7807e+000 +1.6535e+000 -4.7061e-001 -5.3378e-002 -2.2367e+000 -2.8777e+000 -4.0402e+000 +2.9112e+000 -1.8564e-001 -7.9210e-001 +3.5116e+000 +2.4093e+000 -5.1845e-001 -4.5115e+000 +2.5844e+000 +2.6151e+000
1697 +6.048786718e+000 +6.048786718e+000 +8.552878672e+001 +8.552878672e+001 +7.6536e-001 -1.3973e+000 -2.9954e-001 +2.2969e+000 -2.2853e+000 +2.7246e-001 +3.6622e-001 -1.3869e-001 -2.6765e+000 -2.8824e+000 -4.4842e+000 +2.2967e+000 +3.7539e-001 +2.9337e-001 +2.8344e+000 +2.2462e+000 -6.8271e-001 -4.0699e+000 +2.0741e+000 +2.4438e+000
1780 +3.692691553e+000 +3.692691553e+000 +8.317269155e+001 +8.317269155e+001 +9.5653e-001 -1.8877e+000 -1.8342e-001 +1.6712e+000 -2.8605e+000 +5.3558e-001 -7.4687e-002 -2.1669e-001 -1.7587e+000 -2.7312e+000 -4.2824e+000 +2.1654e+000 +4.8582e-001 -6.8202e-001 +3.7063e+000 +2.7032e+000 -8.2726e-001 -3.6326e+000 +2.5533e+000 +2.0274e+000
