% function evaluation | noise-free fitness - Fopt (-5.235000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.591130829e+001 +7.591130829e+001 +2.356130829e+001 +2.356130829e+001 -5.7912e-001 -3.2642e+000 -2.7192e+000 -2.9499e-001 +1.7201e-001 -1.3574e+000 +7.2417e-001 -9.0894e-001 +1.5634e+000 -1.3013e+000 +3.9140e+000 +3.8787e+000 -2.5266e+000 +3.9291e+000 +4.2807e+000 -4.4616e+000 -2.8964e+000 +3.9376e+000 +6.4336e-001 +8.3125e-001
21 +3.780119646e+001 +3.780119646e+001 -1.454880354e+001 -1.454880354e+001 +1.3541e+000 -1.4410e+000 +2.7875e-001 -3.3418e+000 -4.7228e+000 +2.8373e-001 -8.7895e-001 +9.2113e-001 +3.3315e+000 +1.4692e+000 -1.0897e-001 -3.2651e+000 -1.8294e-001 -3.1670e+000 +4.6562e+000 +1.8679e-001 +7.0857e-002 -2.5330e+000 -6.3943e-001 -4.9317e-001
532 +2.347744541e+001 +2.347744541e+001 -2.887255459e+001 -2.887255459e+001 -1.4381e+000 -6.9350e-001 +6.0602e-001 -3.2587e-001 -4.1578e+000 +2.5597e+000 -7.7433e-001 -2.8294e+000 +1.8581e+000 -5.5522e+000 -7.3235e-001 -2.4609e+000 +1.1541e+000 -4.2812e+000 +5.3266e+000 -3.7467e-001 -3.3339e-001 -1.4718e+000 +2.7215e+000 -5.7981e+000
744 +1.543704271e+001 +1.543704271e+001 -3.691295729e+001 -3.691295729e+001 -2.3078e+000 -3.9851e+000 +2.0381e+000 -2.5661e+000 -3.0416e+000 +3.5762e+000 +4.8588e-002 -2.3741e+000 +2.1608e+000 -6.8409e-001 -1.2228e+000 -5.8119e-001 +7.9714e-001 -3.9869e+000 +2.0496e-001 -2.3161e-001 +9.8410e-001 -3.1044e+000 +2.0482e+000 -3.9817e+000
1251 +9.648708522e+000 +9.648708522e+000 -4.270129148e+001 -4.270129148e+001 -2.2439e+000 -2.2307e+000 +2.5736e+000 -2.3198e+000 -1.6505e+000 +3.3182e+000 -4.7653e-001 -1.3609e+000 +1.9405e+000 -2.9220e+000 +6.4943e-001 +4.8925e-001 +2.6518e+000 -2.9987e+000 -1.3102e+000 +7.5916e-001 +1.1629e-001 -4.6284e-002 +3.9033e+000 -5.1613e+000
1612 +5.577775100e+000 +5.577775100e+000 -4.677222490e+001 -4.677222490e+001 -2.5975e+000 -1.0506e+000 +2.8936e+000 -2.2056e+000 -8.7404e-001 +2.7201e+000 -1.8228e+000 -2.0241e-001 +2.8079e+000 -2.9648e+000 +1.7458e+000 +3.1696e-001 +3.2720e+000 -2.7943e+000 -2.6341e+000 +2.0679e+000 +2.7227e-001 +1.2478e+000 +4.3206e+000 -4.8242e+000
2036 +3.010836068e+000 +3.010836068e+000 -4.933916393e+001 -4.933916393e+001 -1.1795e+000 -1.1079e+000 +1.9693e+000 -3.8293e+000 -1.5934e+000 +2.9942e+000 -3.3968e+000 -3.1337e-001 +2.7101e+000 -2.9950e+000 +2.4120e+000 -3.9375e-001 +4.4119e+000 -5.7049e-001 -2.6571e+000 +1.9389e+000 -5.0100e-001 +2.4382e+000 +4.2760e+000 -4.3047e+000
2347 +2.506894783e+000 +2.506894783e+000 -4.984310522e+001 -4.984310522e+001 -1.0179e+000 -1.1312e+000 +4.0205e+000 -2.9489e+000 -7.6093e-001 +2.8409e+000 -2.9411e+000 -3.2283e-001 +2.4158e+000 -9.4613e-001 +2.8199e+000 +5.0682e-001 +3.5772e+000 -1.4334e+000 -2.1810e+000 +1.2956e+000 -1.1763e+000 +1.9652e+000 +4.0420e+000 -4.3560e+000
2887 +1.452015667e+000 +1.452015667e+000 -5.089798433e+001 -5.089798433e+001 -9.4714e-001 -8.8911e-001 +2.3928e+000 -2.6123e+000 -1.7011e+000 +2.9738e+000 -3.7039e+000 +3.8412e-002 +2.2665e+000 -1.7241e+000 +2.8457e+000 -3.2528e-001 +3.4744e+000 -6.7192e-001 -2.3509e+000 +6.9074e-001 -1.1797e+000 +2.0589e+000 +4.2411e+000 -5.1877e+000
3175 +9.719081609e-001 +9.719081609e-001 -5.137809184e+001 -5.137809184e+001 -1.1244e+000 -1.0012e+000 +2.8507e+000 -2.5936e+000 -1.5164e+000 +3.1684e+000 -3.8540e+000 +1.0272e-001 +2.4169e+000 -1.9967e+000 +2.8333e+000 -5.3534e-001 +3.2277e+000 -8.1294e-001 -2.1798e+000 +5.8458e-001 -8.2788e-001 +1.6914e+000 +4.0164e+000 -4.8017e+000
