% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.417536814e+004 +1.417536814e+004 +1.371327814e+004 +1.371327814e+004 -2.5022e+000 -3.3193e+000 -1.0276e+000 +9.6913e-001 +2.5727e+000 +1.6777e+000 -4.7348e+000 +4.1351e+000 +2.8458e+000 +1.3559e+000 +2.3302e+000 -1.4330e+000 +4.8106e+000 -2.2886e+000 +3.7998e+000 -2.7588e+000 -3.9629e+000 -3.9375e+000 +1.0044e+000 +4.7184e+000
4 +3.010112172e+003 +3.010112172e+003 +2.548022172e+003 +2.548022172e+003 +2.4703e+000 -3.0831e+000 +4.7096e+000 +3.5303e+000 +5.9788e-001 -2.2794e+000 +4.9403e-001 +9.2408e-001 +6.0258e-001 +4.0960e+000 -9.3785e-001 -4.4279e+000 -2.1986e+000 -4.3353e+000 +1.5740e+000 +4.4797e+000 +1.2722e+000 -2.2912e+000 -4.8537e+000 +3.2270e+000
8 +7.554546885e+002 +7.554546885e+002 +2.933646885e+002 +2.933646885e+002 -1.9402e-001 -1.6982e+000 -4.6924e-001 +3.3995e+000 -4.0859e+000 +1.5509e+000 -2.1055e+000 +1.3408e+000 -1.1168e+000 -2.3676e-001 +2.5680e+000 -4.2462e+000 -1.2154e-001 -4.0754e+000 +1.1101e+000 +8.4111e-001 -2.7605e+000 -2.6066e-001 +2.3662e+000 -7.5694e-001
367 +5.162820302e+002 +5.162820302e+002 +5.419203022e+001 +5.419203022e+001 +3.4856e-001 -1.5453e+000 -1.2859e+000 +2.6664e+000 +2.5821e+000 +2.4140e+000 +1.8201e+000 +1.2137e+000 +2.3911e-001 +9.5503e-001 +1.3893e+000 +1.1809e+000 -8.5111e-001 -4.7047e+000 +1.1563e+000 -3.0564e+000 -3.4587e+000 +1.7834e+000 +8.2653e-001 +6.2579e-001
905 +3.871754502e+002 +3.871754502e+002 -7.491454983e+001 -7.491454983e+001 -1.4212e+000 -1.9136e+000 -9.3851e-001 +1.3715e+000 +2.1894e+000 +2.0132e+000 +5.0692e-001 -1.1981e+000 +1.9229e+000 -1.0545e-002 +1.9713e+000 -2.1892e+000 -2.1121e+000 -4.4647e+000 +1.4838e+000 -2.9751e+000 -8.6248e-001 +3.2807e+000 +1.7349e+000 +1.6427e+000
1172 +2.346522720e+002 +2.346522720e+002 -2.274377280e+002 -2.274377280e+002 -7.6484e-001 -1.5927e+000 -7.6018e-001 +1.5596e+000 -3.0562e-001 -2.5055e-001 +1.9932e+000 +1.5393e+000 +1.0720e+000 +1.0397e-001 +2.2874e+000 -1.7975e+000 -5.0686e-001 -3.2076e+000 +9.6648e-001 -3.2298e+000 -2.9841e-001 +2.7096e+000 +2.0879e+000 +1.7869e+000
2436 +1.495169881e+002 +1.495169881e+002 -3.125730119e+002 -3.125730119e+002 +3.9219e-001 +3.9025e-001 +6.3306e-001 +1.5732e+000 -2.7466e-001 -1.0779e-001 +1.8560e+000 +2.0517e+000 +1.0872e+000 -3.2006e-001 +1.6543e+000 -3.8514e+000 -4.1520e-001 -2.5370e+000 +8.0469e-001 -2.7921e+000 -7.0174e-001 +3.2164e+000 +2.3846e+000 +1.8266e+000
4880 +9.814066790e+001 +9.814066790e+001 -3.639493321e+002 -3.639493321e+002 +3.7215e-001 +3.9025e-001 +6.3306e-001 +1.5704e+000 -1.9961e-001 -1.0779e-001 +1.7650e+000 +2.0517e+000 +1.1146e+000 -6.0290e-001 +2.6949e+000 -3.8099e+000 -8.0526e-001 -3.4984e+000 +8.9350e-001 -2.7921e+000 -2.2412e-002 +3.2164e+000 +2.4368e+000 +1.8585e+000
7512 +6.165301822e+001 +6.165301822e+001 -4.004369818e+002 -4.004369818e+002 +5.3543e-001 +5.1634e-001 +5.2463e-001 +1.5929e+000 -1.6726e-001 -5.1983e-002 +1.7298e+000 +1.8470e+000 +1.1188e+000 -6.0182e-001 +2.7018e+000 -3.7798e+000 -8.2500e-001 -2.9775e+000 +9.0845e-001 -3.5118e+000 +3.1949e-002 +2.9264e+000 +2.4841e+000 +1.8129e+000
9461 +3.767675912e+001 +3.767675912e+001 -4.244132409e+002 -4.244132409e+002 +4.4357e-001 +1.4110e+000 +6.6526e-001 +1.6439e+000 +1.4115e+000 +1.3260e+000 +1.7308e+000 +1.9167e+000 +1.1421e+000 -5.8971e-001 +2.6954e+000 -3.7782e+000 -3.5724e-001 -2.9679e+000 +9.7407e-001 -3.5466e+000 -6.3233e-003 +2.9064e+000 +2.5171e+000 +1.8228e+000
11243 +2.501209642e+001 +2.501209642e+001 -4.370779036e+002 -4.370779036e+002 +4.0081e-001 +1.3112e+000 +6.0479e-001 +1.6049e+000 +1.4563e+000 +2.1465e+000 +1.7314e+000 +1.9004e+000 +1.1130e+000 -5.9251e-001 +2.7341e+000 -3.7777e+000 -3.3636e-001 -2.9455e+000 +9.8354e-001 -3.5168e+000 -3.7427e-002 +2.9525e+000 +2.5070e+000 +1.8314e+000
% function evaluation | noise-free fitness - Fopt (7.766000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.557155590e+003 +1.557155590e+003 +1.634815590e+003 +1.634815590e+003 -1.0441e+000 +2.2424e+000 +1.0161e+000 +3.7121e+000 +4.6195e+000 +1.7097e-001 +8.7486e-001 -2.6384e+000 -4.2284e+000 -1.7271e+000 +2.7749e+000 -1.1090e+000 -4.8948e+000 +2.4166e+000 +2.4418e+000 +5.5557e-001 +5.1660e-002 -1.8299e-001 +1.5378e-002 -4.3142e-001
